date,open,high,low,close,volume
2024-04-16,50.0,50.0,50.0,50.0,1683600
2024-04-17,50.0,50.0,50.0,50.0,333000
2024-04-18,50.0,50.0,50.0,50.0,220800
2024-04-19,50.0,50.0,50.0,50.0,54600
2024-04-22,50.0,50.0,50.0,50.0,430600
2024-04-23,50.0,50.0,50.0,50.0,244500
2024-04-24,50.0,50.0,50.0,50.0,102700
2024-04-25,50.0,50.0,50.0,50.0,112800
2024-04-26,50.0,50.0,50.0,50.0,120500
2024-04-29,50.0,50.0,50.0,50.0,59300
2024-04-30,50.0,50.0,50.0,50.0,113400
2024-05-02,50.0,50.0,50.0,50.0,81700
2024-05-03,50.0,50.0,50.0,50.0,124600
2024-05-06,50.0,50.0,50.0,50.0,336000
2024-05-07,50.0,50.0,50.0,50.0,214300
2024-05-08,50.0,50.0,50.0,50.0,4100
2024-05-13,50.0,50.0,50.0,50.0,302400
2024-05-14,50.0,50.0,50.0,50.0,245000
2024-05-15,50.0,50.0,50.0,50.0,47300
2024-05-16,50.0,50.0,50.0,50.0,213200
2024-05-17,50.0,50.0,50.0,50.0,51700
2024-05-20,50.0,50.0,50.0,50.0,26200
2024-05-21,50.0,50.0,50.0,50.0,36300
2024-05-22,50.0,50.0,50.0,50.0,103700
2024-05-27,50.0,50.0,50.0,50.0,188100
2024-05-28,50.0,50.0,50.0,50.0,140700
2024-05-29,50.0,50.0,50.0,50.0,662300
2024-05-30,50.0,50.0,50.0,50.0,51300
2024-05-31,50.0,50.0,50.0,50.0,211200
2024-06-03,50.0,50.0,50.0,50.0,8400
2024-06-04,50.0,50.0,50.0,50.0,70600
2024-06-05,50.0,50.0,50.0,50.0,32000
2024-06-06,50.0,50.0,50.0,50.0,31000
2024-06-07,50.0,50.0,50.0,50.0,34500
2024-06-10,50.0,50.0,50.0,50.0,147100
2024-06-11,50.0,50.0,50.0,50.0,6200
2024-06-12,50.0,50.0,50.0,50.0,13900
2024-06-13,50.0,50.0,50.0,50.0,15700
2024-06-14,50.0,50.0,50.0,50.0,131900
2024-06-19,50.0,50.0,50.0,50.0,2900
2024-06-20,50.0,50.0,50.0,50.0,11200
2024-06-21,50.0,50.0,50.0,50.0,2900
2024-06-24,50.0,50.0,50.0,50.0,26600
2024-06-25,50.0,50.0,50.0,50.0,66800
2024-06-26,50.0,50.0,50.0,50.0,12500
2024-06-27,50.0,50.0,50.0,50.0,500
2024-06-28,50.0,50.0,50.0,50.0,102500
2024-07-01,50.0,50.0,50.0,50.0,310000
2024-07-02,50.0,50.0,50.0,50.0,2600
2024-07-03,50.0,50.0,50.0,50.0,13400
2024-07-04,50.0,50.0,50.0,50.0,54500
2024-07-05,50.0,50.0,50.0,50.0,693900
2024-07-08,50.0,50.0,50.0,50.0,63000
2024-07-09,50.0,50.0,50.0,50.0,100600
2024-07-10,50.0,50.0,50.0,50.0,120000
2024-07-11,50.0,50.0,50.0,50.0,100000
2024-07-12,50.0,50.0,50.0,50.0,69500
2024-07-15,50.0,50.0,50.0,50.0,105800
2024-07-16,50.0,50.0,50.0,50.0,111200
2024-07-17,50.0,50.0,50.0,50.0,81500
2024-07-18,50.0,50.0,50.0,50.0,174700
2024-07-19,50.0,50.0,50.0,50.0,625000
2024-07-22,50.0,50.0,50.0,50.0,101900
2024-07-23,50.0,50.0,50.0,50.0,106200
2024-07-24,50.0,50.0,50.0,50.0,117700
2024-07-25,50.0,50.0,50.0,50.0,120100
2024-07-26,50.0,50.0,50.0,50.0,103700
2024-07-29,50.0,50.0,50.0,50.0,133700
2024-07-30,50.0,50.0,50.0,50.0,103100
2024-07-31,50.0,50.0,50.0,50.0,540900
2024-08-01,50.0,50.0,50.0,50.0,83000
