date,open,high,low,close,volume
2024-04-16,5.0,5.0,4.0,5.0,124700
2024-04-17,5.0,5.0,4.0,5.0,143500
2024-04-18,5.0,5.0,4.0,5.0,14300
2024-04-19,5.0,5.0,4.0,5.0,204900
2024-04-22,5.0,5.0,4.0,5.0,255100
2024-04-23,4.0,5.0,4.0,5.0,47100
2024-04-24,4.0,5.0,4.0,5.0,26500
2024-04-25,5.0,5.0,5.0,5.0,21400
2024-04-26,5.0,5.0,5.0,5.0,29000
2024-04-29,4.0,5.0,4.0,5.0,334500
2024-04-30,5.0,5.0,5.0,5.0,164400
2024-05-02,4.0,5.0,4.0,5.0,875400
2024-05-03,5.0,5.0,5.0,5.0,19200
2024-05-06,5.0,5.0,5.0,5.0,629400
2024-05-07,5.0,5.0,4.0,5.0,4900
2024-05-08,5.0,5.0,5.0,5.0,104200
2024-05-13,4.0,4.0,4.0,4.0,379900
2024-05-14,4.0,5.0,4.0,5.0,240300
2024-05-15,5.0,5.0,5.0,5.0,2847100
2024-05-16,5.0,5.0,4.0,5.0,99300
2024-05-17,5.0,5.0,5.0,5.0,271700
2024-05-20,5.0,5.0,4.0,4.0,126200
2024-05-21,4.0,5.0,4.0,4.0,244600
2024-05-22,4.0,5.0,4.0,5.0,217900
2024-05-27,5.0,5.0,4.0,5.0,112100
2024-05-28,5.0,5.0,5.0,5.0,74000
2024-05-29,5.0,5.0,4.0,5.0,9000
2024-05-30,5.0,5.0,5.0,5.0,160500
2024-05-31,5.0,5.0,5.0,5.0,2400
2024-06-03,5.0,5.0,4.0,5.0,11100
2024-06-04,4.0,5.0,4.0,5.0,6500
2024-06-05,5.0,5.0,5.0,5.0,13500
2024-06-06,4.0,5.0,4.0,5.0,203500
2024-06-07,5.0,5.0,5.0,5.0,11200
2024-06-10,5.0,5.0,5.0,5.0,2100
2024-06-11,4.0,5.0,4.0,5.0,185600
2024-06-12,5.0,5.0,4.0,5.0,172300
2024-06-13,5.0,5.0,5.0,5.0,552300
2024-06-14,5.0,5.0,5.0,5.0,21400
2024-06-19,5.0,5.0,4.0,5.0,17200
2024-06-20,4.0,5.0,4.0,5.0,37000
2024-06-21,5.0,5.0,4.0,5.0,583300
2024-06-24,5.0,5.0,4.0,5.0,146800
2024-06-25,5.0,5.0,5.0,5.0,100
2024-06-26,5.0,5.0,4.0,5.0,1300
2024-06-27,4.0,5.0,4.0,5.0,299600
2024-06-28,5.0,5.0,5.0,5.0,25500
2024-07-01,5.0,5.0,5.0,5.0,300
2024-07-02,5.0,5.0,4.0,5.0,1300
2024-07-03,4.0,5.0,4.0,5.0,169100
2024-07-04,4.0,5.0,4.0,5.0,207600
2024-07-05,4.0,5.0,4.0,4.0,1188900
2024-07-08,4.0,4.0,4.0,4.0,325200
2024-07-09,5.0,5.0,5.0,5.0,61500
2024-07-10,5.0,5.0,5.0,5.0,6700
2024-07-11,5.0,5.0,5.0,5.0,11500
2024-07-12,4.0,5.0,4.0,5.0,47100
2024-07-15,4.0,5.0,4.0,5.0,34300
2024-07-16,5.0,5.0,5.0,5.0,36600
2024-07-17,4.0,5.0,4.0,5.0,206800
2024-07-18,5.0,5.0,4.0,5.0,218300
2024-07-19,5.0,5.0,5.0,5.0,34000
2024-07-22,5.0,5.0,5.0,5.0,383700
2024-07-23,4.0,5.0,4.0,5.0,513200
2024-07-24,5.0,5.0,5.0,5.0,633300
2024-07-25,5.0,5.0,5.0,5.0,1304400
2024-07-26,5.0,5.0,5.0,5.0,22500
2024-07-29,5.0,5.0,4.0,5.0,772900
2024-07-30,5.0,5.0,5.0,5.0,341200
2024-07-31,5.0,5.0,5.0,5.0,88100
2024-08-01,5.0,5.0,5.0,5.0,2012600
2024-08-02,5.0,6.0,5.0,6.0,857900
2024-08-05,6.0,6.0,5.0,6.0,350900
2024-08-06,6.0,6.0,6.0,6.0,171400
2024-08-07,5.0,5.0,5.0,5.0,90000
2024-08-08,5.0,6.0,5.0,6.0,1109100
2024-08-09,6.0,6.0,6.0,6.0,327400
2024-08-12,6.0,6.0,5.0,5.0,2354500
2024-08-13,5.0,6.0,5.0,5.0,501700
2024-08-14,5.0,6.0,5.0,5.0,1454800
2024-08-15,5.0,5.0,5.0,5.0,1096000
2024-08-16,5.0,6.0,5.0,6.0,45100
2024-08-19,6.0,6.0,5.0,6.0,409800
2024-08-20,6.0,6.0,6.0,6.0,425600
2024-08-21,6.0,6.0,5.0,6.0,1858100
2024-08-22,5.0,6.0,5.0,6.0,452700
2024-08-23,6.0,6.0,6.0,6.0,293100
2024-08-26,6.0,7.0,6.0,7.0,1518900
2024-08-27,7.0,7.0,6.0,7.0,5656800
2024-08-28,8.0,8.0,8.0,8.0,5630800
2024-08-29,8.0,8.0,7.0,7.0,3408800
2024-08-30,8.0,8.0,8.0,8.0,3800000
2024-09-02,8.0,9.0,8.0,9.0,3513300
2024-09-03,10.0,10.0,9.0,9.0,5491400
2024-09-04,9.0,9.0,9.0,9.0,329900
2024-09-05,9.0,9.0,8.0,8.0,3792200
2024-09-06,8.0,8.0,8.0,8.0,2713800
2024-09-09,8.0,9.0,8.0,9.0,1190100
2024-09-10,8.0,9.0,8.0,8.0,728300
2024-09-11,8.0,8.0,8.0,8.0,298600
2024-09-12,8.0,8.0,7.0,8.0,178800
2024-09-13,8.0,8.0,8.0,8.0,78200
2024-09-17,8.0,8.0,7.0,7.0,1314700
