date,open,high,low,close,volume
2024-04-16,7.0,7.0,7.0,7.0,34400
2024-04-17,8.0,8.0,7.0,8.0,80700
2024-04-18,8.0,8.0,8.0,8.0,216100
2024-04-19,8.0,8.0,8.0,8.0,32500
2024-04-22,8.0,8.0,8.0,8.0,201100
2024-04-23,7.0,7.0,7.0,7.0,999000
2024-04-24,8.0,8.0,7.0,7.0,25700
2024-04-25,7.0,7.0,7.0,7.0,74100
2024-04-26,6.0,7.0,6.0,7.0,282000
2024-04-29,7.0,7.0,7.0,7.0,33000
2024-04-30,7.0,7.0,7.0,7.0,279900
2024-05-02,7.0,7.0,7.0,7.0,637300
2024-05-03,7.0,7.0,7.0,7.0,801200
2024-05-06,7.0,7.0,7.0,7.0,454000
2024-05-07,6.0,7.0,6.0,7.0,155600
2024-05-08,6.0,7.0,6.0,7.0,101400
2024-05-13,7.0,7.0,7.0,7.0,0
2024-05-14,7.0,7.0,7.0,7.0,1200
2024-05-15,7.0,7.0,7.0,7.0,2000
2024-05-16,7.0,7.0,7.0,7.0,520700
2024-05-17,6.0,7.0,6.0,7.0,653300
2024-05-20,7.0,7.0,7.0,7.0,110000
2024-05-21,7.0,7.0,7.0,7.0,90300
2024-05-22,8.0,8.0,8.0,8.0,31200
2024-05-27,8.0,8.0,8.0,8.0,13600
2024-05-28,8.0,8.0,8.0,8.0,2700
2024-05-29,8.0,8.0,8.0,8.0,211300
2024-05-30,8.0,8.0,8.0,8.0,251000
2024-05-31,8.0,8.0,8.0,8.0,300
2024-06-03,8.0,8.0,8.0,8.0,0
2024-06-04,8.0,8.0,8.0,8.0,0
2024-06-05,8.0,8.0,8.0,8.0,0
2024-06-06,8.0,8.0,8.0,8.0,200
2024-06-07,7.0,7.0,7.0,7.0,406000
2024-06-10,7.0,7.0,7.0,7.0,532800
2024-06-11,7.0,7.0,7.0,7.0,16100
2024-06-12,7.0,7.0,7.0,7.0,250000
2024-06-13,7.0,7.0,7.0,7.0,0
2024-06-14,7.0,7.0,7.0,7.0,169600
2024-06-19,7.0,7.0,7.0,7.0,1200
2024-06-20,7.0,7.0,6.0,6.0,800200
2024-06-21,7.0,7.0,7.0,7.0,10600
2024-06-24,7.0,7.0,7.0,7.0,100
2024-06-25,7.0,7.0,7.0,7.0,61000
2024-06-26,7.0,7.0,7.0,7.0,81000
2024-06-27,7.0,7.0,7.0,7.0,0
2024-06-28,7.0,7.0,7.0,7.0,200
2024-07-01,7.0,7.0,7.0,7.0,400
2024-07-02,7.0,7.0,7.0,7.0,6300
2024-07-03,7.0,7.0,7.0,7.0,30000
2024-07-04,6.0,7.0,6.0,7.0,44000
2024-07-05,7.0,7.0,7.0,7.0,279400
2024-07-08,7.0,7.0,7.0,7.0,37300
2024-07-09,7.0,7.0,7.0,7.0,30000
2024-07-10,7.0,7.0,7.0,7.0,20600
2024-07-11,7.0,7.0,7.0,7.0,10400
2024-07-12,7.0,7.0,7.0,7.0,0
2024-07-15,7.0,7.0,7.0,7.0,10100
2024-07-16,8.0,8.0,8.0,8.0,16600
2024-07-17,8.0,9.0,8.0,9.0,43200
2024-07-18,9.0,9.0,9.0,9.0,10500
2024-07-19,9.0,9.0,9.0,9.0,50000
