date,open,high,low,close,volume
2024-04-16,392.0,394.0,378.0,382.0,41857000
2024-04-17,384.0,400.0,382.0,390.0,25500300
2024-04-18,390.0,398.0,386.0,390.0,15222400
2024-04-19,390.0,394.0,382.0,390.0,17676600
2024-04-22,390.0,404.0,390.0,400.0,16144200
2024-04-23,404.0,412.0,398.0,400.0,17914200
2024-04-24,400.0,404.0,388.0,390.0,17720600
2024-04-25,392.0,396.0,384.0,388.0,10158800
2024-04-26,390.0,390.0,384.0,386.0,4149700
2024-04-29,384.0,416.0,384.0,416.0,25342600
2024-04-30,416.0,416.0,396.0,400.0,85035100
2024-05-02,400.0,404.0,396.0,400.0,13372600
2024-05-03,402.0,406.0,398.0,402.0,10110400
2024-05-06,402.0,404.0,400.0,400.0,2572000
2024-05-07,400.0,404.0,396.0,396.0,7599700
2024-05-08,398.0,402.0,394.0,394.0,21010900
2024-05-13,394.0,400.0,390.0,394.0,6480600
2024-05-14,394.0,396.0,390.0,390.0,7274400
2024-05-15,392.0,394.0,386.0,386.0,24153300
2024-05-16,390.0,396.0,386.0,392.0,17483200
2024-05-17,392.0,394.0,386.0,388.0,7338000
2024-05-20,388.0,390.0,378.0,380.0,21169000
2024-05-21,380.0,384.0,376.0,380.0,7835800
2024-05-22,382.0,386.0,378.0,380.0,8680300
2024-05-27,380.0,386.0,378.0,380.0,5694800
2024-05-28,382.0,386.0,374.0,382.0,27162100
2024-05-29,382.0,384.0,378.0,380.0,9187500
2024-05-30,380.0,382.0,376.0,380.0,11864100
2024-05-31,382.0,400.0,376.0,400.0,43643300
2024-06-03,400.0,404.0,392.0,400.0,23795700
2024-06-04,402.0,414.0,400.0,410.0,32001500
2024-06-05,414.0,424.0,408.0,414.0,38435000
2024-06-06,416.0,424.0,414.0,416.0,7972900
2024-06-07,420.0,420.0,402.0,406.0,5454500
2024-06-10,404.0,412.0,402.0,406.0,8721000
2024-06-11,408.0,412.0,404.0,404.0,6398300
2024-06-12,404.0,406.0,388.0,388.0,12507800
2024-06-13,382.0,396.0,380.0,392.0,1084900
2024-06-14,392.0,394.0,388.0,388.0,2920000
