date,open,high,low,close,volume
2024-04-16,5.0,5.0,5.0,5.0,119900
2024-04-17,5.0,5.0,5.0,5.0,55500
2024-04-18,5.0,5.0,4.0,5.0,334500
2024-04-19,5.0,5.0,4.0,5.0,36900
2024-04-22,5.0,5.0,4.0,5.0,134700
2024-04-23,5.0,5.0,5.0,5.0,861500
2024-04-24,4.0,6.0,4.0,6.0,1120100
2024-04-25,6.0,6.0,6.0,6.0,62200
2024-04-26,6.0,6.0,6.0,6.0,23600
2024-04-29,5.0,6.0,5.0,6.0,61500
2024-04-30,6.0,6.0,6.0,6.0,69000
2024-05-02,6.0,6.0,5.0,6.0,77300
2024-05-03,5.0,5.0,5.0,5.0,1135200
2024-05-06,5.0,6.0,5.0,6.0,58400
2024-05-07,5.0,6.0,5.0,5.0,640900
2024-05-08,5.0,6.0,5.0,6.0,108100
2024-05-13,5.0,6.0,5.0,6.0,247100
2024-05-14,5.0,6.0,5.0,6.0,33400
2024-05-15,6.0,6.0,6.0,6.0,21100
2024-05-16,6.0,6.0,5.0,6.0,150200
2024-05-17,6.0,6.0,6.0,6.0,111700
2024-05-20,5.0,6.0,5.0,5.0,455100
2024-05-21,5.0,6.0,5.0,6.0,56000
2024-05-22,6.0,6.0,6.0,6.0,23800
2024-05-27,5.0,6.0,5.0,5.0,462200
2024-05-28,5.0,6.0,5.0,5.0,248200
2024-05-29,5.0,5.0,4.0,5.0,99100
2024-05-30,5.0,5.0,5.0,5.0,24300
2024-05-31,5.0,5.0,5.0,5.0,268100
2024-06-03,5.0,5.0,4.0,5.0,28200
2024-06-04,5.0,5.0,5.0,5.0,73700
2024-06-05,4.0,5.0,4.0,5.0,538300
2024-06-06,5.0,5.0,5.0,5.0,148100
2024-06-07,5.0,5.0,5.0,5.0,256400
2024-06-10,5.0,5.0,5.0,5.0,500
2024-06-11,4.0,5.0,4.0,5.0,286100
2024-06-12,5.0,5.0,5.0,5.0,52500
2024-06-13,5.0,5.0,5.0,5.0,150000
2024-06-14,5.0,5.0,5.0,5.0,281000
2024-06-19,5.0,5.0,5.0,5.0,6200
2024-06-20,5.0,5.0,5.0,5.0,201600
2024-06-21,5.0,5.0,5.0,5.0,20000
2024-06-24,5.0,5.0,5.0,5.0,7200
2024-06-25,5.0,5.0,4.0,4.0,8342600
2024-06-26,4.0,4.0,4.0,4.0,3476700
2024-06-27,4.0,4.0,4.0,4.0,2507100
2024-06-28,4.0,4.0,4.0,4.0,3110600
2024-07-01,4.0,4.0,4.0,4.0,3890500
2024-07-02,4.0,4.0,4.0,4.0,2131300
2024-07-03,4.0,4.0,4.0,4.0,1169200
2024-07-04,4.0,4.0,4.0,4.0,4258600
2024-07-05,4.0,5.0,4.0,5.0,571300
2024-07-08,5.0,5.0,4.0,5.0,311900
2024-07-09,5.0,5.0,4.0,4.0,1723500
2024-07-10,4.0,5.0,4.0,4.0,1924000
2024-07-11,4.0,5.0,4.0,4.0,1812500
2024-07-12,4.0,4.0,4.0,4.0,76200
2024-07-15,5.0,5.0,4.0,5.0,211700
2024-07-16,5.0,5.0,5.0,5.0,153800
2024-07-17,5.0,5.0,4.0,5.0,371900
2024-07-18,5.0,5.0,4.0,5.0,153000
2024-07-19,5.0,5.0,5.0,5.0,385700
2024-07-22,5.0,5.0,5.0,5.0,9302900
2024-07-23,5.0,6.0,5.0,6.0,4867800
2024-07-24,6.0,6.0,5.0,6.0,268400
2024-07-25,6.0,6.0,5.0,5.0,15251600
2024-07-26,6.0,6.0,5.0,5.0,833400
2024-07-29,6.0,6.0,5.0,6.0,640200
2024-07-30,5.0,6.0,5.0,6.0,648700
2024-07-31,6.0,6.0,5.0,5.0,274000
2024-08-01,5.0,6.0,5.0,5.0,1062500
2024-08-02,6.0,6.0,5.0,5.0,785600
2024-08-05,5.0,5.0,5.0,5.0,429700
2024-08-06,6.0,6.0,5.0,6.0,4202100
2024-08-07,6.0,6.0,5.0,6.0,719300
2024-08-08,6.0,6.0,5.0,6.0,883700
2024-08-09,6.0,6.0,5.0,6.0,476500
2024-08-12,5.0,6.0,5.0,6.0,1051200
2024-08-13,6.0,6.0,6.0,6.0,316500
2024-08-14,5.0,6.0,5.0,6.0,1036700
2024-08-15,5.0,6.0,5.0,6.0,1550800
2024-08-16,6.0,6.0,5.0,5.0,414700
2024-08-19,6.0,6.0,5.0,5.0,471600
2024-08-20,6.0,6.0,6.0,6.0,523000
2024-08-21,6.0,6.0,5.0,6.0,651900
2024-08-22,6.0,6.0,6.0,6.0,274100
2024-08-23,6.0,6.0,6.0,6.0,1207700
2024-08-26,6.0,6.0,6.0,6.0,929700
2024-08-27,6.0,7.0,6.0,7.0,23225900
2024-08-28,8.0,8.0,8.0,8.0,10938400
2024-08-29,8.0,9.0,8.0,9.0,15231400
2024-08-30,10.0,10.0,10.0,10.0,7552100
2024-09-02,11.0,11.0,11.0,11.0,7655500
2024-09-03,10.0,10.0,10.0,10.0,8604000
2024-09-04,9.0,10.0,9.0,10.0,7292600
2024-09-05,10.0,11.0,10.0,11.0,2917200
2024-09-06,11.0,11.0,11.0,11.0,945900
2024-09-09,11.0,11.0,11.0,11.0,485600
2024-09-10,11.0,11.0,10.0,10.0,1108700
2024-09-11,9.0,10.0,9.0,10.0,1321300
2024-09-12,10.0,10.0,9.0,9.0,1676400
2024-09-13,9.0,9.0,9.0,9.0,978500
2024-09-17,9.0,9.0,9.0,9.0,1764900
2024-09-18,8.0,9.0,8.0,8.0,1372900
2024-09-19,8.0,9.0,8.0,9.0,5161900
2024-09-20,9.0,9.0,9.0,9.0,157700
2024-09-23,9.0,9.0,8.0,9.0,376300
2024-09-24,9.0,9.0,9.0,9.0,239400
2024-09-25,9.0,9.0,8.0,9.0,1804500
2024-09-26,8.0,8.0,8.0,8.0,3252900
2024-09-27,8.0,9.0,8.0,9.0,367600
2024-09-30,9.0,9.0,8.0,8.0,989500
2024-10-01,8.0,8.0,8.0,8.0,883400
2024-10-02,8.0,9.0,8.0,9.0,785000
2024-10-03,8.0,9.0,8.0,9.0,84600
2024-10-04,9.0,9.0,8.0,9.0,238800
2024-10-07,8.0,9.0,8.0,9.0,22600
2024-10-08,9.0,9.0,8.0,9.0,61000
2024-10-09,9.0,9.0,9.0,9.0,71300
2024-10-10,9.0,9.0,9.0,9.0,86900
2024-10-11,9.0,9.0,8.0,9.0,135700
2024-10-14,9.0,9.0,8.0,9.0,131900
2024-10-15,8.0,9.0,8.0,9.0,546800
2024-10-16,9.0,9.0,8.0,9.0,129200
2024-10-17,8.0,9.0,8.0,8.0,896000
2024-10-18,9.0,9.0,9.0,9.0,108300
2024-10-21,8.0,9.0,8.0,9.0,811000
2024-10-22,9.0,9.0,8.0,9.0,101000
2024-10-23,9.0,9.0,8.0,9.0,232600
2024-10-24,9.0,9.0,8.0,8.0,3249600
2024-10-25,8.0,8.0,8.0,8.0,2926000
2024-10-28,8.0,8.0,8.0,8.0,651400
2024-10-29,8.0,8.0,7.0,8.0,451300
2024-10-30,8.0,8.0,8.0,8.0,71500
2024-10-31,8.0,8.0,7.0,7.0,367000
2024-11-01,7.0,8.0,7.0,8.0,594400
2024-11-04,7.0,8.0,7.0,8.0,1156900
2024-11-05,8.0,8.0,7.0,8.0,52200
2024-11-06,8.0,8.0,8.0,8.0,174000
2024-11-07,8.0,8.0,8.0,8.0,3335600
2024-11-08,8.0,9.0,8.0,9.0,2781600
2024-11-11,9.0,9.0,9.0,9.0,100900
2024-11-12,9.0,9.0,8.0,9.0,165400
2024-11-13,8.0,8.0,8.0,8.0,643700
2024-11-14,8.0,8.0,7.0,8.0,304600
2024-11-15,8.0,8.0,8.0,8.0,141000
2024-11-18,8.0,8.0,7.0,8.0,303900
2024-11-19,7.0,8.0,7.0,8.0,198400
2024-11-20,7.0,8.0,7.0,8.0,140600
2024-11-21,8.0,8.0,8.0,8.0,20700
2024-11-22,8.0,8.0,7.0,8.0,114200
2024-11-25,8.0,8.0,7.0,8.0,132300
2024-11-26,8.0,8.0,7.0,8.0,180800
2024-11-28,8.0,8.0,8.0,8.0,73900
