date,open,high,low,close,volume
2024-04-16,290.0,290.0,276.0,280.0,2582400
2024-04-17,280.0,280.0,270.0,280.0,792900
2024-04-18,270.0,278.0,270.0,274.0,765200
2024-04-19,270.0,274.0,268.0,274.0,908700
2024-04-22,270.0,274.0,268.0,268.0,965000
2024-04-23,268.0,274.0,268.0,270.0,575300
2024-04-24,270.0,288.0,270.0,286.0,433600
2024-04-25,278.0,280.0,258.0,268.0,3197200
2024-04-26,270.0,278.0,270.0,274.0,943800
2024-04-29,276.0,276.0,274.0,274.0,57300
2024-04-30,276.0,276.0,272.0,276.0,34400
2024-05-02,276.0,280.0,272.0,276.0,994700
2024-05-03,274.0,274.0,272.0,272.0,2091800
2024-05-06,272.0,278.0,272.0,276.0,197800
2024-05-07,276.0,278.0,270.0,276.0,143600
2024-05-08,276.0,276.0,270.0,274.0,185800
2024-05-13,274.0,278.0,270.0,274.0,321700
2024-05-14,270.0,278.0,264.0,278.0,9571500
2024-05-15,278.0,284.0,272.0,272.0,255300
2024-05-16,278.0,280.0,272.0,280.0,19500
2024-05-17,284.0,284.0,276.0,278.0,284000
2024-05-20,278.0,290.0,272.0,288.0,918600
2024-05-21,288.0,316.0,284.0,304.0,1985400
2024-05-22,304.0,304.0,294.0,298.0,1119400
2024-05-27,302.0,310.0,292.0,304.0,616100
2024-05-28,306.0,320.0,306.0,320.0,1847900
2024-05-29,320.0,330.0,292.0,296.0,2133400
2024-05-30,296.0,322.0,294.0,294.0,2975900
2024-05-31,294.0,326.0,294.0,324.0,1946100
2024-06-03,324.0,338.0,318.0,336.0,2885700
2024-06-04,338.0,338.0,312.0,332.0,510100
2024-06-05,330.0,330.0,314.0,322.0,2075800
2024-06-06,322.0,330.0,318.0,330.0,644700
2024-06-07,328.0,328.0,322.0,328.0,592000
2024-06-10,322.0,334.0,322.0,334.0,2054900
2024-06-11,328.0,328.0,322.0,322.0,341600
2024-06-12,322.0,326.0,316.0,324.0,2997400
2024-06-13,326.0,330.0,316.0,320.0,613500
2024-06-14,320.0,320.0,318.0,318.0,1100600
2024-06-19,324.0,326.0,310.0,322.0,1340500
2024-06-20,324.0,326.0,322.0,324.0,764200
2024-06-21,324.0,326.0,320.0,324.0,7490800
2024-06-24,324.0,328.0,324.0,326.0,100400
2024-06-25,326.0,326.0,324.0,326.0,44200
2024-06-26,326.0,326.0,322.0,324.0,508600
2024-06-27,324.0,324.0,316.0,322.0,316000
2024-06-28,324.0,326.0,322.0,326.0,116700
2024-07-01,326.0,334.0,324.0,330.0,1910200
2024-07-02,330.0,330.0,326.0,328.0,782000
2024-07-03,330.0,336.0,326.0,334.0,3214700
2024-07-04,332.0,336.0,330.0,334.0,1189200
2024-07-05,334.0,334.0,332.0,334.0,1356200
2024-07-08,334.0,340.0,334.0,336.0,788500
2024-07-09,328.0,340.0,328.0,338.0,1298500
2024-07-10,338.0,340.0,336.0,338.0,280100
2024-07-11,338.0,340.0,338.0,340.0,3153000
2024-07-12,338.0,342.0,338.0,342.0,160500
2024-07-15,344.0,344.0,340.0,342.0,173600
2024-07-16,342.0,348.0,340.0,344.0,1374500
2024-07-17,344.0,344.0,342.0,344.0,460900
2024-07-18,342.0,344.0,342.0,344.0,1482100
2024-07-19,344.0,344.0,342.0,344.0,32400
2024-07-22,342.0,344.0,342.0,342.0,3813700
2024-07-23,344.0,344.0,342.0,342.0,494400
2024-07-24,342.0,346.0,342.0,346.0,295200
2024-07-25,346.0,346.0,342.0,342.0,1544500
2024-07-26,344.0,346.0,342.0,346.0,625100
2024-07-29,344.0,346.0,342.0,344.0,316500
2024-07-30,342.0,348.0,342.0,346.0,150100
2024-07-31,348.0,350.0,346.0,348.0,1805500
2024-08-01,354.0,354.0,348.0,348.0,307400
2024-08-02,350.0,350.0,348.0,348.0,194000
2024-08-05,350.0,350.0,346.0,348.0,3081800
2024-08-06,348.0,358.0,330.0,340.0,1617200
2024-08-07,340.0,346.0,326.0,344.0,146600
2024-08-08,344.0,344.0,338.0,340.0,86000
2024-08-09,334.0,346.0,324.0,326.0,363000
2024-08-12,326.0,332.0,310.0,318.0,889600
2024-08-13,318.0,330.0,318.0,320.0,1183700
2024-08-14,330.0,330.0,316.0,324.0,318000
2024-08-15,330.0,334.0,326.0,334.0,899300
2024-08-16,334.0,340.0,328.0,332.0,443900
2024-08-19,332.0,350.0,330.0,332.0,4057500
2024-08-20,332.0,344.0,332.0,342.0,260400
2024-08-21,342.0,404.0,340.0,400.0,5910500
2024-08-22,400.0,408.0,378.0,382.0,2243300
2024-08-23,382.0,398.0,380.0,382.0,1020200
2024-08-26,384.0,392.0,380.0,390.0,2001700
2024-08-27,382.0,404.0,382.0,404.0,1970500
2024-08-28,404.0,432.0,404.0,428.0,5834000
2024-08-29,428.0,432.0,416.0,428.0,1219300
2024-08-30,430.0,430.0,416.0,420.0,1479600
2024-09-02,422.0,426.0,410.0,420.0,296300
2024-09-03,422.0,424.0,418.0,424.0,429800
2024-09-04,418.0,430.0,410.0,428.0,658500
2024-09-05,428.0,432.0,424.0,432.0,272600
2024-09-06,432.0,438.0,430.0,430.0,717300
2024-09-09,430.0,436.0,430.0,432.0,856400
2024-09-10,432.0,434.0,414.0,414.0,997700
2024-09-11,414.0,418.0,400.0,418.0,732200
2024-09-12,416.0,420.0,410.0,418.0,543000
2024-09-13,410.0,414.0,410.0,412.0,51500
2024-09-17,414.0,418.0,408.0,412.0,668700
2024-09-18,406.0,416.0,400.0,414.0,237100
2024-09-19,414.0,416.0,408.0,414.0,1522900
2024-09-20,416.0,416.0,410.0,410.0,101000
2024-09-23,406.0,414.0,400.0,404.0,937400
2024-09-24,400.0,406.0,396.0,406.0,1720600
2024-09-25,400.0,406.0,398.0,400.0,1293800
2024-09-26,406.0,460.0,400.0,440.0,5309100
2024-09-27,440.0,448.0,438.0,448.0,5748300
2024-09-30,452.0,460.0,448.0,450.0,2004500
2024-10-01,450.0,498.0,450.0,472.0,16227000
2024-10-02,480.0,496.0,450.0,466.0,2966900
2024-10-03,466.0,466.0,446.0,458.0,236100
2024-10-04,458.0,468.0,458.0,464.0,1315800
2024-10-07,464.0,466.0,404.0,430.0,2120200
2024-10-08,430.0,450.0,430.0,442.0,1596000
2024-10-09,442.0,452.0,440.0,450.0,439000
2024-10-10,448.0,458.0,438.0,450.0,4643400
2024-10-11,450.0,454.0,448.0,454.0,1487800
2024-10-14,454.0,486.0,454.0,484.0,2480000
