date,open,high,low,close,volume
2024-04-16,460.0,460.0,452.0,460.0,197800
2024-04-17,452.0,462.0,452.0,458.0,414500
2024-04-18,452.0,462.0,452.0,454.0,411200
2024-04-19,460.0,460.0,452.0,456.0,58000
2024-04-22,452.0,464.0,452.0,458.0,185200
2024-04-23,458.0,458.0,452.0,456.0,264000
2024-04-24,450.0,462.0,450.0,462.0,178100
2024-04-25,454.0,460.0,452.0,460.0,50900
2024-04-26,460.0,460.0,454.0,456.0,267700
2024-04-29,452.0,472.0,452.0,470.0,947700
2024-04-30,460.0,460.0,456.0,456.0,2200
2024-05-02,456.0,460.0,454.0,460.0,82700
2024-05-03,454.0,456.0,454.0,456.0,54300
2024-05-06,456.0,460.0,456.0,456.0,5300
2024-05-07,456.0,456.0,454.0,454.0,53000
2024-05-08,454.0,454.0,454.0,454.0,9400
2024-05-13,454.0,462.0,454.0,460.0,26600
2024-05-14,456.0,462.0,456.0,462.0,434000
2024-05-15,458.0,472.0,454.0,460.0,1539100
2024-05-16,462.0,462.0,460.0,462.0,7500
2024-05-17,460.0,460.0,456.0,456.0,3900
2024-05-20,458.0,460.0,454.0,460.0,164000
2024-05-21,456.0,458.0,454.0,456.0,26400
2024-05-22,454.0,466.0,454.0,462.0,26100
2024-05-27,454.0,456.0,454.0,454.0,212800
2024-05-28,454.0,454.0,454.0,454.0,19100
2024-05-29,454.0,454.0,454.0,454.0,25900
2024-05-30,474.0,474.0,450.0,462.0,187600
2024-05-31,454.0,460.0,440.0,458.0,166900
2024-06-03,458.0,458.0,452.0,458.0,9600
2024-06-04,452.0,462.0,452.0,462.0,13000
2024-06-05,460.0,460.0,450.0,450.0,6600
2024-06-06,450.0,452.0,448.0,450.0,103100
2024-06-07,450.0,450.0,448.0,450.0,9300
2024-06-10,450.0,454.0,444.0,454.0,126900
2024-06-11,448.0,454.0,410.0,452.0,339100
2024-06-12,446.0,448.0,438.0,446.0,450200
2024-06-13,446.0,446.0,440.0,440.0,4900
2024-06-14,434.0,440.0,430.0,440.0,147200
2024-06-19,442.0,442.0,428.0,440.0,19900
2024-06-20,434.0,434.0,430.0,432.0,31200
2024-06-21,436.0,452.0,436.0,440.0,13200
2024-06-24,446.0,452.0,446.0,452.0,94700
2024-06-25,450.0,450.0,436.0,440.0,26000
2024-06-26,438.0,442.0,430.0,440.0,24000
2024-06-27,434.0,444.0,432.0,444.0,12500
2024-06-28,444.0,444.0,436.0,436.0,14700
2024-07-01,436.0,442.0,432.0,442.0,29700
2024-07-02,438.0,440.0,438.0,440.0,11600
2024-07-03,436.0,442.0,436.0,440.0,12400
2024-07-04,450.0,450.0,442.0,442.0,9300
2024-07-05,440.0,440.0,438.0,440.0,900
2024-07-08,440.0,440.0,432.0,438.0,14400
2024-07-09,450.0,450.0,446.0,448.0,2100
2024-07-10,448.0,448.0,436.0,444.0,16900
2024-07-11,444.0,444.0,444.0,444.0,0
2024-07-12,438.0,450.0,438.0,450.0,83500
2024-07-15,444.0,444.0,444.0,444.0,24300
2024-07-16,444.0,452.0,444.0,446.0,2100
