date,open,high,low,close,volume
2024-04-16,1040.0,1040.0,1020.0,1020.0,17068600
2024-04-17,1020.0,1030.0,995.0,1005.0,23923300
2024-04-18,1005.0,1015.0,1000.0,1010.0,13843000
2024-04-19,1010.0,1015.0,990.0,1000.0,16554200
2024-04-22,1000.0,1010.0,995.0,1000.0,11022500
2024-04-23,1010.0,1015.0,1000.0,1005.0,11718900
2024-04-24,1015.0,1015.0,995.0,1000.0,14079800
2024-04-25,1000.0,1005.0,990.0,1000.0,15558700
2024-04-26,1000.0,1005.0,985.0,990.0,7087500
2024-04-29,990.0,990.0,975.0,980.0,7553500
2024-04-30,985.0,1035.0,980.0,1030.0,9994500
2024-05-02,1030.0,1040.0,1015.0,1025.0,5470800
2024-05-03,1025.0,1045.0,1015.0,1020.0,3678900
2024-05-06,1020.0,1025.0,1010.0,1015.0,3893300
2024-05-07,1020.0,1025.0,1015.0,1015.0,3268100
2024-05-08,1020.0,1020.0,1005.0,1010.0,3538900
2024-05-13,1010.0,1020.0,1005.0,1015.0,4700600
2024-05-14,1015.0,1025.0,1015.0,1025.0,2665700
2024-05-15,1025.0,1030.0,1015.0,1020.0,2727800
2024-05-16,1020.0,1025.0,1020.0,1020.0,2337900
2024-05-17,1025.0,1030.0,1020.0,1030.0,3234500
2024-05-20,1050.0,1050.0,1030.0,1045.0,8302200
2024-05-21,1050.0,1050.0,1040.0,1045.0,4374500
2024-05-22,1050.0,1070.0,1045.0,1060.0,5675800
2024-05-27,1065.0,1070.0,1045.0,1055.0,4912000
2024-05-28,1055.0,1055.0,1050.0,1050.0,3083300
2024-05-29,1050.0,1075.0,1040.0,1070.0,12910700
2024-05-30,1070.0,1080.0,1035.0,1045.0,21191800
2024-05-31,1045.0,1065.0,1045.0,1060.0,7379600
2024-06-03,1070.0,1075.0,1060.0,1065.0,14330000
2024-06-04,1070.0,1075.0,1060.0,1075.0,15088800
2024-06-05,1070.0,1075.0,1060.0,1060.0,17647900
2024-06-06,1065.0,1070.0,1055.0,1060.0,40905600
2024-06-07,975.0,1010.0,955.0,970.0,28938800
2024-06-10,975.0,995.0,965.0,990.0,14521000
2024-06-11,990.0,990.0,975.0,975.0,5953700
2024-06-12,980.0,980.0,960.0,960.0,7907000
2024-06-13,970.0,970.0,950.0,950.0,5782200
2024-06-14,960.0,960.0,930.0,940.0,9180600
2024-06-19,940.0,940.0,915.0,915.0,8536600
2024-06-20,920.0,940.0,915.0,935.0,3605900
2024-06-21,940.0,965.0,930.0,945.0,6315400
2024-06-24,950.0,965.0,945.0,955.0,2281400
2024-06-25,955.0,970.0,950.0,960.0,4125100
2024-06-26,960.0,975.0,960.0,960.0,4113600
2024-06-27,960.0,970.0,950.0,955.0,3218700
2024-06-28,960.0,970.0,955.0,965.0,4752100
2024-07-01,970.0,980.0,965.0,970.0,5651700
2024-07-02,970.0,975.0,960.0,970.0,2330700
2024-07-03,970.0,975.0,965.0,970.0,1700600
2024-07-04,970.0,980.0,965.0,980.0,4972700
2024-07-05,980.0,985.0,975.0,980.0,3737100
2024-07-08,980.0,985.0,975.0,980.0,2629000
2024-07-09,980.0,985.0,975.0,975.0,4094400
2024-07-10,975.0,980.0,970.0,975.0,3364000
2024-07-11,970.0,980.0,965.0,970.0,3086900
2024-07-12,970.0,980.0,960.0,975.0,4094100
2024-07-15,975.0,980.0,970.0,980.0,2624600
2024-07-16,980.0,990.0,975.0,985.0,7129800
2024-07-17,990.0,990.0,985.0,990.0,3285000
2024-07-18,995.0,995.0,980.0,980.0,4284200
2024-07-19,980.0,990.0,980.0,990.0,2561300
2024-07-22,990.0,995.0,980.0,990.0,4409500
2024-07-23,990.0,995.0,980.0,985.0,1771600
2024-07-24,985.0,990.0,980.0,985.0,1726400
2024-07-25,985.0,990.0,975.0,980.0,3262200
2024-07-26,980.0,990.0,975.0,990.0,1763800
2024-07-29,990.0,995.0,985.0,990.0,1394700
2024-07-30,990.0,1010.0,990.0,995.0,5585200
2024-07-31,995.0,1020.0,995.0,1015.0,13018200
2024-08-01,1020.0,1025.0,1010.0,1020.0,7780300
2024-08-02,1015.0,1020.0,1010.0,1015.0,3222300
2024-08-05,1010.0,1015.0,980.0,985.0,11271300
2024-08-06,985.0,1000.0,980.0,995.0,4733700
2024-08-07,995.0,1005.0,995.0,1000.0,2072900
2024-08-08,1000.0,1005.0,995.0,1000.0,1487800
2024-08-09,1000.0,1005.0,995.0,995.0,1920900
2024-08-12,995.0,1005.0,995.0,1000.0,2145200
2024-08-13,1000.0,1010.0,1000.0,1000.0,1565500
2024-08-14,1005.0,1020.0,1000.0,1015.0,4104700
2024-08-15,1015.0,1020.0,1000.0,1010.0,4218900
2024-08-16,1010.0,1010.0,1000.0,1005.0,4380900
2024-08-19,1005.0,1010.0,1000.0,1005.0,3780400
2024-08-20,1005.0,1020.0,1000.0,1010.0,7267500
2024-08-21,1010.0,1020.0,1005.0,1010.0,7003000
2024-08-22,1005.0,1015.0,1000.0,1005.0,6622800
2024-08-23,1005.0,1015.0,1005.0,1010.0,12244600
2024-08-26,1010.0,1030.0,1010.0,1025.0,13651600
