date,open,high,low,close,volume
2024-04-16,50.0,50.0,50.0,50.0,777400
2024-04-17,50.0,50.0,50.0,50.0,180000
2024-04-18,50.0,50.0,50.0,50.0,1373000
2024-04-19,50.0,50.0,50.0,50.0,227900
2024-04-22,50.0,50.0,50.0,50.0,251600
2024-04-23,50.0,50.0,50.0,50.0,92500
2024-04-24,50.0,50.0,50.0,50.0,580200
2024-04-25,50.0,50.0,50.0,50.0,190700
2024-04-26,50.0,50.0,50.0,50.0,351300
2024-04-29,50.0,50.0,50.0,50.0,134500
2024-04-30,50.0,50.0,50.0,50.0,53700
2024-05-02,50.0,50.0,50.0,50.0,716700
2024-05-03,50.0,50.0,50.0,50.0,1145900
2024-05-06,50.0,50.0,50.0,50.0,6707300
2024-05-07,50.0,50.0,50.0,50.0,2671300
2024-05-08,50.0,50.0,50.0,50.0,12803400
2024-05-13,50.0,52.0,50.0,50.0,26627600
2024-05-14,50.0,51.0,50.0,50.0,5533100
2024-05-15,50.0,50.0,50.0,50.0,930600
2024-05-16,50.0,50.0,50.0,50.0,142100
2024-05-17,50.0,50.0,50.0,50.0,58600
2024-05-20,50.0,50.0,50.0,50.0,232800
2024-05-21,50.0,50.0,50.0,50.0,135000
2024-05-22,50.0,50.0,50.0,50.0,2918000
2024-05-27,50.0,50.0,50.0,50.0,36600
2024-05-28,50.0,50.0,50.0,50.0,22600
2024-05-29,50.0,50.0,50.0,50.0,26800
2024-05-30,50.0,50.0,50.0,50.0,1045000
2024-05-31,50.0,50.0,50.0,50.0,93100
2024-06-03,50.0,50.0,50.0,50.0,36400
2024-06-04,50.0,50.0,50.0,50.0,18800
2024-06-05,50.0,50.0,50.0,50.0,14000
2024-06-06,50.0,50.0,50.0,50.0,24500
2024-06-07,50.0,50.0,50.0,50.0,367200
2024-06-10,50.0,50.0,50.0,50.0,93900
2024-06-11,50.0,51.0,50.0,50.0,87095600
2024-06-12,50.0,50.0,50.0,50.0,268800
2024-06-13,50.0,50.0,50.0,50.0,17200
2024-06-14,50.0,50.0,50.0,50.0,1012300
