date,open,high,low,close,volume
2024-04-16,580.0,595.0,565.0,575.0,8676400
2024-04-17,575.0,590.0,550.0,550.0,8591900
2024-04-18,550.0,575.0,550.0,565.0,6212600
2024-04-19,565.0,565.0,525.0,555.0,9155800
2024-04-22,560.0,570.0,550.0,560.0,2915500
2024-04-23,560.0,565.0,550.0,550.0,1737300
2024-04-24,550.0,575.0,550.0,575.0,3309500
2024-04-25,575.0,580.0,565.0,575.0,2531700
2024-04-26,580.0,580.0,555.0,580.0,8832900
2024-04-29,580.0,585.0,560.0,565.0,1250000
2024-04-30,565.0,590.0,565.0,585.0,8021600
2024-05-02,585.0,590.0,565.0,580.0,7991400
2024-05-03,580.0,585.0,565.0,570.0,2356000
2024-05-06,570.0,580.0,570.0,580.0,2389600
2024-05-07,580.0,580.0,560.0,570.0,5209500
2024-05-08,570.0,575.0,555.0,565.0,3025800
2024-05-13,570.0,570.0,545.0,555.0,9990300
2024-05-14,555.0,565.0,545.0,545.0,9161400
2024-05-15,545.0,560.0,545.0,550.0,7366100
2024-05-16,550.0,555.0,545.0,550.0,9396800
2024-05-17,550.0,555.0,540.0,540.0,3480500
2024-05-20,540.0,560.0,535.0,550.0,2050600
2024-05-21,555.0,560.0,540.0,550.0,4725100
2024-05-22,550.0,575.0,550.0,575.0,3831400
2024-05-27,575.0,585.0,550.0,555.0,7862600
2024-05-28,565.0,575.0,560.0,570.0,3272100
2024-05-29,570.0,575.0,555.0,565.0,3523200
2024-05-30,570.0,570.0,550.0,555.0,1515300
2024-05-31,560.0,560.0,550.0,550.0,3762800
2024-06-03,550.0,570.0,545.0,560.0,11325400
2024-06-04,560.0,570.0,555.0,560.0,2772800
2024-06-05,555.0,565.0,550.0,560.0,2466300
2024-06-06,565.0,575.0,560.0,570.0,6950000
2024-06-07,570.0,580.0,565.0,580.0,7405100
2024-06-10,580.0,585.0,565.0,565.0,2743300
2024-06-11,565.0,570.0,565.0,570.0,6777900
2024-06-12,555.0,560.0,545.0,555.0,3707500
2024-06-13,555.0,560.0,550.0,555.0,985000
2024-06-14,555.0,560.0,545.0,560.0,3066200
2024-06-19,560.0,565.0,545.0,550.0,1691900
2024-06-20,550.0,555.0,545.0,550.0,1120500
2024-06-21,550.0,560.0,540.0,560.0,2318900
2024-06-24,560.0,565.0,545.0,565.0,3186900
2024-06-25,570.0,585.0,555.0,575.0,7928300
2024-06-26,580.0,580.0,560.0,575.0,3882300
2024-06-27,575.0,580.0,570.0,575.0,1693800
2024-06-28,575.0,580.0,565.0,575.0,1278600
2024-07-01,575.0,575.0,565.0,575.0,837300
2024-07-02,570.0,575.0,565.0,565.0,899400
2024-07-03,565.0,570.0,560.0,560.0,445300
2024-07-04,565.0,645.0,565.0,610.0,26139100
2024-07-05,610.0,615.0,600.0,605.0,4461400
2024-07-08,605.0,650.0,605.0,650.0,25782500
2024-07-09,650.0,670.0,635.0,640.0,5133900
2024-07-10,640.0,665.0,635.0,650.0,5172600
2024-07-11,650.0,670.0,650.0,670.0,5324700
2024-07-12,665.0,680.0,665.0,675.0,4072500
2024-07-15,675.0,690.0,670.0,675.0,6320300
2024-07-16,675.0,690.0,670.0,675.0,2156200
2024-07-17,675.0,685.0,660.0,665.0,5041700
2024-07-18,665.0,665.0,645.0,650.0,3495600
2024-07-19,645.0,650.0,635.0,650.0,1242200
2024-07-22,655.0,670.0,650.0,665.0,5038600
2024-07-23,665.0,680.0,650.0,665.0,4647200
2024-07-24,660.0,675.0,650.0,660.0,2528000
2024-07-25,660.0,665.0,615.0,635.0,7137400
2024-07-26,635.0,660.0,625.0,660.0,5497300
2024-07-29,655.0,660.0,630.0,635.0,3264500
2024-07-30,640.0,645.0,610.0,620.0,4614900
2024-07-31,625.0,625.0,600.0,605.0,6918600
2024-08-01,610.0,620.0,610.0,620.0,3075300
2024-08-02,620.0,625.0,610.0,620.0,2826500
