date,open,high,low,close,volume
2024-04-16,390.0,390.0,360.0,380.0,98100
2024-04-17,388.0,388.0,378.0,378.0,12700
2024-04-18,388.0,388.0,376.0,378.0,1800
2024-04-19,372.0,374.0,372.0,372.0,21700
2024-04-22,372.0,382.0,372.0,376.0,8800
2024-04-23,384.0,388.0,378.0,380.0,18600
2024-04-24,380.0,388.0,380.0,388.0,2700
2024-04-25,386.0,386.0,384.0,386.0,27600
2024-04-26,386.0,388.0,378.0,386.0,36400
2024-04-29,382.0,384.0,376.0,384.0,14100
2024-04-30,378.0,388.0,378.0,386.0,7400
2024-05-02,382.0,388.0,378.0,384.0,6500
2024-05-03,378.0,384.0,376.0,382.0,14300
2024-05-06,384.0,388.0,384.0,384.0,26400
2024-05-07,378.0,384.0,376.0,384.0,3000
2024-05-08,384.0,384.0,378.0,378.0,700
2024-05-13,378.0,386.0,374.0,384.0,22400
2024-05-14,386.0,386.0,374.0,382.0,7000
2024-05-15,384.0,384.0,382.0,382.0,200
2024-05-16,382.0,386.0,376.0,378.0,22800
2024-05-17,380.0,380.0,376.0,380.0,1100
2024-05-20,380.0,380.0,376.0,380.0,700
2024-05-21,380.0,380.0,354.0,376.0,97800
2024-05-22,378.0,378.0,374.0,378.0,2200
2024-05-27,360.0,376.0,360.0,376.0,10700
2024-05-28,374.0,374.0,366.0,366.0,39900
2024-05-29,366.0,368.0,360.0,368.0,31400
2024-05-30,368.0,370.0,368.0,370.0,17300
2024-05-31,370.0,390.0,368.0,390.0,116800
2024-06-03,376.0,380.0,372.0,374.0,20100
2024-06-04,372.0,384.0,372.0,384.0,2200
2024-06-05,380.0,382.0,374.0,374.0,3600
2024-06-06,372.0,382.0,370.0,376.0,46900
2024-06-07,376.0,376.0,360.0,372.0,60500
2024-06-10,372.0,378.0,366.0,372.0,38000
2024-06-11,378.0,382.0,370.0,380.0,17900
2024-06-12,380.0,392.0,362.0,390.0,338800
2024-06-13,376.0,390.0,376.0,382.0,43400
2024-06-14,376.0,390.0,376.0,390.0,56900
2024-06-19,388.0,394.0,376.0,380.0,5400
2024-06-20,380.0,388.0,380.0,388.0,67600
2024-06-21,382.0,390.0,382.0,390.0,18900
2024-06-24,390.0,402.0,380.0,390.0,55700
2024-06-25,388.0,390.0,372.0,390.0,44800
2024-06-26,390.0,390.0,380.0,390.0,34000
2024-06-27,390.0,420.0,384.0,420.0,278800
2024-06-28,410.0,460.0,400.0,460.0,746700
2024-07-01,430.0,434.0,404.0,434.0,580300
2024-07-02,420.0,432.0,408.0,430.0,58200
2024-07-03,416.0,422.0,408.0,422.0,125900
2024-07-04,422.0,422.0,412.0,422.0,24700
2024-07-05,422.0,424.0,412.0,424.0,11100
2024-07-08,420.0,420.0,412.0,420.0,5400
2024-07-09,428.0,428.0,420.0,422.0,8500
2024-07-10,416.0,422.0,416.0,422.0,16800
2024-07-11,422.0,422.0,414.0,422.0,10700
2024-07-12,422.0,424.0,422.0,424.0,137300
2024-07-15,424.0,424.0,414.0,414.0,25500
2024-07-16,418.0,420.0,416.0,420.0,700
2024-07-17,420.0,420.0,416.0,420.0,10000
2024-07-18,412.0,420.0,412.0,420.0,1600
2024-07-19,420.0,420.0,420.0,420.0,24800
2024-07-22,418.0,422.0,414.0,422.0,1500
2024-07-23,420.0,420.0,414.0,420.0,15000
2024-07-24,422.0,422.0,416.0,422.0,7400
2024-07-25,418.0,424.0,416.0,424.0,4600
2024-07-26,418.0,424.0,418.0,418.0,23600
2024-07-29,424.0,438.0,422.0,422.0,121000
2024-07-30,422.0,426.0,400.0,420.0,159900
2024-07-31,422.0,438.0,418.0,418.0,255100
2024-08-01,418.0,428.0,412.0,428.0,22100
2024-08-02,428.0,428.0,428.0,428.0,500
2024-08-05,422.0,422.0,406.0,408.0,36900
2024-08-06,408.0,408.0,400.0,408.0,16800
2024-08-07,408.0,426.0,408.0,426.0,42300
2024-08-08,426.0,426.0,416.0,426.0,12200
2024-08-09,414.0,428.0,414.0,424.0,4200
2024-08-12,424.0,426.0,418.0,422.0,80900
2024-08-13,426.0,434.0,420.0,420.0,22100
2024-08-14,420.0,424.0,420.0,424.0,42500
2024-08-15,430.0,430.0,422.0,422.0,29800
2024-08-16,416.0,422.0,416.0,422.0,211900
2024-08-19,422.0,424.0,410.0,420.0,10100
2024-08-20,416.0,420.0,414.0,420.0,6100
2024-08-21,420.0,420.0,418.0,420.0,3200
2024-08-22,420.0,420.0,412.0,420.0,2500
2024-08-23,422.0,422.0,412.0,420.0,19900
2024-08-26,420.0,424.0,416.0,420.0,7600
2024-08-27,416.0,420.0,416.0,420.0,7800
2024-08-28,416.0,438.0,416.0,426.0,62800
2024-08-29,426.0,426.0,416.0,422.0,10900
2024-08-30,420.0,448.0,416.0,422.0,78200
2024-09-02,428.0,440.0,422.0,440.0,98800
2024-09-03,432.0,432.0,430.0,430.0,12500
2024-09-04,428.0,428.0,422.0,424.0,16700
2024-09-05,424.0,424.0,424.0,424.0,76100
2024-09-06,422.0,424.0,422.0,424.0,18300
2024-09-09,424.0,424.0,420.0,424.0,27900
2024-09-10,424.0,426.0,420.0,422.0,34800
2024-09-11,428.0,428.0,422.0,422.0,400
2024-09-12,422.0,432.0,420.0,420.0,41600
2024-09-13,428.0,438.0,426.0,436.0,183900
2024-09-17,442.0,460.0,438.0,440.0,215900
2024-09-18,436.0,436.0,428.0,434.0,18200
2024-09-19,428.0,436.0,408.0,426.0,33500
2024-09-20,438.0,438.0,422.0,426.0,2800
2024-09-23,424.0,436.0,424.0,428.0,3900
2024-09-24,422.0,428.0,422.0,426.0,51800
2024-09-25,438.0,438.0,424.0,428.0,60200
2024-09-26,428.0,428.0,424.0,424.0,5000
2024-09-27,428.0,428.0,424.0,424.0,3500
2024-09-30,424.0,436.0,424.0,424.0,12900
2024-10-01,424.0,428.0,424.0,428.0,2700
2024-10-02,426.0,428.0,426.0,428.0,800
2024-10-03,432.0,432.0,416.0,416.0,32700
2024-10-04,418.0,430.0,418.0,420.0,10700
2024-10-07,416.0,424.0,410.0,420.0,55400
2024-10-08,414.0,424.0,412.0,424.0,7300
2024-10-09,420.0,428.0,414.0,426.0,8900
2024-10-10,420.0,426.0,408.0,420.0,73900
2024-10-11,420.0,480.0,418.0,432.0,136000
2024-10-14,434.0,480.0,432.0,440.0,74000
2024-10-15,444.0,444.0,438.0,440.0,5600
2024-10-16,440.0,450.0,432.0,444.0,25000
2024-10-17,450.0,450.0,448.0,448.0,4000
2024-10-18,432.0,448.0,432.0,448.0,2900
2024-10-21,448.0,448.0,432.0,448.0,56800
2024-10-22,450.0,450.0,436.0,446.0,8100
2024-10-23,446.0,446.0,436.0,440.0,12400
2024-10-24,440.0,440.0,440.0,440.0,2300
2024-10-25,440.0,450.0,440.0,440.0,900
2024-10-28,440.0,446.0,436.0,438.0,3400
2024-10-29,438.0,440.0,432.0,440.0,20000
2024-10-30,440.0,448.0,430.0,434.0,2600
2024-10-31,436.0,448.0,432.0,444.0,7400
2024-11-01,448.0,448.0,442.0,442.0,800
2024-11-04,442.0,448.0,430.0,436.0,28900
2024-11-05,418.0,430.0,418.0,430.0,36400
2024-11-06,414.0,428.0,414.0,416.0,3100
2024-11-07,416.0,426.0,408.0,426.0,12000
2024-11-08,422.0,424.0,414.0,414.0,13000
2024-11-11,420.0,420.0,398.0,402.0,78500
2024-11-12,402.0,416.0,402.0,404.0,32800
2024-11-13,404.0,428.0,400.0,422.0,67900
2024-11-14,422.0,422.0,400.0,422.0,7200
2024-11-15,424.0,424.0,400.0,420.0,25500
2024-11-18,404.0,418.0,404.0,418.0,600
2024-11-19,418.0,418.0,406.0,414.0,12800
2024-11-20,414.0,414.0,408.0,414.0,5600
2024-11-21,412.0,414.0,406.0,414.0,51300
2024-11-22,412.0,412.0,412.0,412.0,500
2024-11-25,412.0,412.0,404.0,410.0,14900
2024-11-26,410.0,410.0,410.0,410.0,10400
2024-11-28,410.0,410.0,402.0,410.0,5600
2024-11-29,410.0,410.0,408.0,410.0,2000
2024-12-02,410.0,410.0,408.0,410.0,1200
2024-12-03,408.0,408.0,404.0,408.0,14800
2024-12-04,404.0,416.0,404.0,414.0,4200
2024-12-05,412.0,416.0,406.0,416.0,10200
2024-12-06,410.0,418.0,410.0,418.0,18800
2024-12-09,418.0,418.0,410.0,416.0,17000
2024-12-10,410.0,420.0,404.0,416.0,28950300
2024-12-11,420.0,420.0,408.0,420.0,31328300
2024-12-12,420.0,420.0,412.0,414.0,10500
2024-12-13,412.0,418.0,410.0,418.0,20200
2024-12-16,412.0,420.0,394.0,416.0,161900
2024-12-17,416.0,418.0,394.0,406.0,175800
2024-12-18,400.0,406.0,396.0,404.0,25100
2024-12-19,404.0,404.0,394.0,400.0,42000
2024-12-20,398.0,400.0,394.0,400.0,19500
2024-12-23,400.0,400.0,394.0,394.0,8000
2024-12-24,394.0,400.0,394.0,400.0,41400
2024-12-27,400.0,446.0,394.0,446.0,1414000
2024-12-30,446.0,480.0,420.0,480.0,2678100
2025-01-02,480.0,480.0,430.0,454.0,107500
2025-01-03,444.0,450.0,414.0,448.0,984200
2025-01-06,448.0,448.0,426.0,434.0,45400
2025-01-07,434.0,434.0,416.0,426.0,60600
2025-01-08,426.0,426.0,416.0,420.0,42300
2025-01-09,410.0,420.0,410.0,420.0,22100
2025-01-10,424.0,424.0,418.0,418.0,2500
2025-01-13,418.0,422.0,418.0,418.0,8700
2025-01-14,430.0,430.0,412.0,414.0,5300
2025-01-15,420.0,420.0,398.0,412.0,45900
2025-01-16,412.0,412.0,406.0,408.0,12000
2025-01-17,408.0,410.0,404.0,408.0,12100
2025-01-20,408.0,414.0,400.0,406.0,101200
2025-01-21,408.0,408.0,400.0,402.0,151400
2025-01-22,402.0,402.0,398.0,402.0,1300
2025-01-23,408.0,408.0,398.0,400.0,10900
2025-01-24,398.0,398.0,396.0,398.0,34400
2025-01-30,396.0,398.0,394.0,398.0,7200
2025-01-31,398.0,398.0,378.0,396.0,25000
2025-02-03,396.0,420.0,396.0,420.0,572800
2025-02-04,416.0,424.0,400.0,424.0,291600
2025-02-05,424.0,426.0,408.0,426.0,76600
2025-02-06,426.0,426.0,412.0,426.0,42700
2025-02-07,412.0,426.0,412.0,426.0,111000
2025-02-10,424.0,426.0,408.0,426.0,52600
2025-02-11,426.0,426.0,424.0,426.0,13600
2025-02-12,412.0,426.0,412.0,426.0,3100
2025-02-13,426.0,426.0,416.0,426.0,34700
2025-02-14,424.0,426.0,420.0,426.0,40000
2025-02-17,426.0,426.0,416.0,426.0,21800
2025-02-18,426.0,426.0,420.0,426.0,3200
2025-02-19,426.0,426.0,426.0,426.0,2100
