date,open,high,low,close,volume
2024-04-16,1960.0,1990.0,1955.0,1990.0,118000
2024-04-17,1975.0,1990.0,1950.0,1990.0,137300
2024-04-18,2020.0,2030.0,1955.0,1955.0,75800
2024-04-19,1955.0,2100.0,1950.0,2100.0,86300
2024-04-22,2000.0,2100.0,1990.0,2100.0,203700
2024-04-23,2090.0,2100.0,2040.0,2100.0,135300
2024-04-24,2000.0,2100.0,2000.0,2100.0,288200
2024-04-25,2100.0,2100.0,2050.0,2100.0,154600
2024-04-26,2080.0,2090.0,2050.0,2090.0,293400
2024-04-29,2090.0,2090.0,2050.0,2090.0,311200
2024-04-30,2060.0,2090.0,2060.0,2080.0,172900
2024-05-02,2050.0,2070.0,2050.0,2070.0,118700
2024-05-03,2060.0,2060.0,2000.0,2030.0,106700
2024-05-06,2020.0,2020.0,2010.0,2020.0,53400
2024-05-07,1980.0,2010.0,1980.0,2010.0,105200
2024-05-08,2000.0,2010.0,1970.0,2010.0,42200
2024-05-13,1970.0,1990.0,1960.0,1970.0,36700
2024-05-14,1970.0,1970.0,1920.0,1960.0,37100
2024-05-15,1950.0,1950.0,1920.0,1945.0,27800
2024-05-16,1945.0,1950.0,1850.0,1950.0,53000
2024-05-17,1950.0,1950.0,1895.0,1935.0,39800
2024-05-20,1935.0,1935.0,1900.0,1920.0,50600
2024-05-21,1920.0,1920.0,1880.0,1915.0,13400
2024-05-22,1905.0,1910.0,1850.0,1910.0,72400
2024-05-27,1900.0,1900.0,1840.0,1875.0,91700
2024-05-28,1865.0,1870.0,1830.0,1845.0,81900
2024-05-29,1800.0,1845.0,1800.0,1840.0,51000
2024-05-30,1840.0,1840.0,1790.0,1825.0,57000
2024-05-31,1785.0,1825.0,1780.0,1825.0,23200
2024-06-03,1830.0,1830.0,1785.0,1830.0,32400
2024-06-04,1800.0,1850.0,1800.0,1850.0,27900
2024-06-05,1840.0,1840.0,1800.0,1835.0,63900
2024-06-06,1835.0,1835.0,1800.0,1810.0,109200
2024-06-07,1815.0,1860.0,1815.0,1860.0,25100
2024-06-10,1860.0,1860.0,1820.0,1860.0,42700
2024-06-11,1815.0,1820.0,1800.0,1800.0,82400
2024-06-12,1780.0,1800.0,1780.0,1800.0,40200
2024-06-13,1795.0,1825.0,1765.0,1825.0,78900
2024-06-14,1790.0,1810.0,1760.0,1810.0,135000
2024-06-19,1770.0,1790.0,1760.0,1765.0,111400
2024-06-20,1765.0,1780.0,1725.0,1780.0,25200
2024-06-21,1780.0,1780.0,1740.0,1740.0,33400
2024-06-24,1745.0,1750.0,1745.0,1750.0,12100
2024-06-25,1730.0,1730.0,1685.0,1730.0,77100
2024-06-26,1695.0,1700.0,1685.0,1695.0,181800
2024-06-27,1730.0,1730.0,1670.0,1695.0,188000
2024-06-28,1695.0,1695.0,1670.0,1680.0,45800
2024-07-01,1670.0,1685.0,1655.0,1675.0,36300
2024-07-02,1680.0,1680.0,1660.0,1670.0,59900
2024-07-03,1665.0,1665.0,1570.0,1575.0,107500
2024-07-04,1575.0,1575.0,1520.0,1560.0,109700
2024-07-05,1560.0,1560.0,1520.0,1525.0,123900
2024-07-08,1525.0,1525.0,1490.0,1500.0,59700
2024-07-09,1500.0,1510.0,1485.0,1490.0,36200
2024-07-10,1565.0,1575.0,1460.0,1500.0,129500
2024-07-11,1510.0,1510.0,1460.0,1460.0,88100
2024-07-12,1460.0,1470.0,1430.0,1445.0,64500
2024-07-15,1455.0,1455.0,1430.0,1435.0,20400
2024-07-16,1450.0,1460.0,1395.0,1430.0,85700
2024-07-17,1430.0,1430.0,1405.0,1430.0,30400
2024-07-18,1435.0,1500.0,1420.0,1500.0,97000
2024-07-19,1500.0,1500.0,1435.0,1455.0,118600
2024-07-22,1435.0,1445.0,1425.0,1425.0,82100
2024-07-23,1425.0,1460.0,1415.0,1460.0,30200
2024-07-24,1475.0,1475.0,1425.0,1430.0,50700
2024-07-25,1420.0,1425.0,1405.0,1420.0,75400
2024-07-26,1420.0,1450.0,1420.0,1450.0,16300
2024-07-29,1450.0,1450.0,1410.0,1420.0,88800
2024-07-30,1445.0,1445.0,1415.0,1420.0,57500
2024-07-31,1420.0,1430.0,1420.0,1430.0,26000
2024-08-01,1470.0,1495.0,1430.0,1465.0,163000
2024-08-02,1470.0,1500.0,1435.0,1455.0,100800
2024-08-05,1455.0,1455.0,1255.0,1405.0,203300
2024-08-06,1395.0,1395.0,1330.0,1390.0,203300
2024-08-07,1355.0,1380.0,1355.0,1375.0,99000
2024-08-08,1375.0,1375.0,1335.0,1350.0,115000
2024-08-09,1350.0,1355.0,1340.0,1340.0,11700
2024-08-12,1345.0,1355.0,1330.0,1350.0,61900
2024-08-13,1350.0,1350.0,1320.0,1320.0,125800
2024-08-14,1325.0,1340.0,1310.0,1320.0,49100
2024-08-15,1320.0,1335.0,1310.0,1310.0,50900
2024-08-16,1350.0,1390.0,1315.0,1370.0,10400
2024-08-19,1375.0,1380.0,1335.0,1345.0,54000
2024-08-20,1350.0,1350.0,1320.0,1330.0,56100
2024-08-21,1330.0,1380.0,1330.0,1355.0,6100
2024-08-22,1355.0,1355.0,1300.0,1305.0,182700
2024-08-23,1315.0,1330.0,1290.0,1330.0,52100
2024-08-26,1335.0,1375.0,1300.0,1375.0,64900
2024-08-27,1350.0,1350.0,1310.0,1330.0,68800
2024-08-28,1335.0,1370.0,1305.0,1330.0,82300
2024-08-29,1330.0,1345.0,1305.0,1325.0,117900
2024-08-30,1325.0,1325.0,1300.0,1310.0,57100
2024-09-02,1325.0,1485.0,1325.0,1345.0,214500
2024-09-03,1350.0,1350.0,1325.0,1330.0,75900
2024-09-04,1335.0,1345.0,1305.0,1310.0,74300
2024-09-05,1310.0,1335.0,1310.0,1330.0,127400
2024-09-06,1330.0,1330.0,1295.0,1315.0,131400
2024-09-09,1325.0,1330.0,1305.0,1325.0,57000
2024-09-10,1325.0,1330.0,1310.0,1330.0,112600
2024-09-11,1330.0,1330.0,1305.0,1315.0,75600
2024-09-12,1315.0,1350.0,1300.0,1350.0,74900
