date,open,high,low,close,volume
2024-04-16,900.0,930.0,870.0,920.0,39272300
2024-04-17,920.0,930.0,890.0,920.0,30765900
2024-04-18,920.0,925.0,890.0,895.0,15177100
2024-04-19,890.0,900.0,830.0,880.0,35365900
2024-04-22,885.0,970.0,880.0,965.0,101096700
2024-04-23,970.0,1020.0,950.0,960.0,82847200
2024-04-24,975.0,975.0,925.0,930.0,23419200
2024-04-25,940.0,950.0,880.0,930.0,41093300
2024-04-26,930.0,950.0,895.0,950.0,21247900
2024-04-29,950.0,970.0,935.0,970.0,20231200
2024-04-30,970.0,980.0,950.0,970.0,22670900
2024-05-02,950.0,970.0,925.0,925.0,18029200
2024-05-03,930.0,930.0,905.0,915.0,6215200
2024-05-06,915.0,940.0,915.0,935.0,9312300
2024-05-07,935.0,970.0,930.0,960.0,29067600
2024-05-08,960.0,970.0,940.0,970.0,15818200
2024-05-13,970.0,980.0,950.0,970.0,13832300
2024-05-14,970.0,970.0,950.0,970.0,12577500
2024-05-15,970.0,970.0,955.0,955.0,16223300
2024-05-16,955.0,975.0,955.0,975.0,24600300
2024-05-17,980.0,1045.0,980.0,1035.0,122155600
2024-05-20,1045.0,1060.0,1015.0,1030.0,104827700
2024-05-21,1030.0,1040.0,990.0,1035.0,63331900
2024-05-22,1030.0,1070.0,1005.0,1070.0,43062200
2024-05-27,1050.0,1070.0,1020.0,1065.0,42759900
2024-05-28,1065.0,1085.0,1040.0,1060.0,47622200
2024-05-29,1060.0,1060.0,1030.0,1030.0,21955800
2024-05-30,1040.0,1040.0,990.0,1010.0,32340700
2024-05-31,1010.0,1010.0,970.0,1005.0,55780100
2024-06-03,1005.0,1005.0,985.0,990.0,22537000
2024-06-04,990.0,995.0,920.0,920.0,49942600
2024-06-05,900.0,920.0,860.0,895.0,53844100
2024-06-06,895.0,920.0,880.0,920.0,20138200
2024-06-07,920.0,940.0,905.0,940.0,14738200
2024-06-10,930.0,940.0,915.0,940.0,16773300
2024-06-11,940.0,970.0,930.0,960.0,15371700
2024-06-12,955.0,980.0,920.0,980.0,36815500
2024-06-13,980.0,980.0,960.0,980.0,19023800
2024-06-14,980.0,980.0,960.0,980.0,12712000
2024-06-19,975.0,1020.0,965.0,1000.0,28961500
2024-06-20,1000.0,1020.0,985.0,1010.0,18250700
2024-06-21,1015.0,1025.0,985.0,1025.0,34134300
2024-06-24,1020.0,1020.0,995.0,1015.0,30824300
2024-06-25,1010.0,1015.0,1000.0,1000.0,9608100
2024-06-26,1000.0,1000.0,985.0,1000.0,15708600
2024-06-27,1000.0,1020.0,990.0,1010.0,25977100
2024-06-28,1010.0,1025.0,995.0,1010.0,35929900
2024-07-01,1010.0,1010.0,990.0,1000.0,18420400
2024-07-02,1000.0,1005.0,990.0,1000.0,11807500
2024-07-03,1000.0,1005.0,990.0,1000.0,18530400
2024-07-04,1000.0,1010.0,995.0,1000.0,16638500
2024-07-05,1000.0,1000.0,995.0,1000.0,9590100
2024-07-08,980.0,990.0,975.0,985.0,20887800
2024-07-09,985.0,990.0,960.0,985.0,23015600
2024-07-10,985.0,985.0,970.0,985.0,4415600
2024-07-11,980.0,985.0,970.0,970.0,12935500
2024-07-12,970.0,975.0,955.0,965.0,12014900
2024-07-15,965.0,970.0,935.0,935.0,20198900
2024-07-16,935.0,960.0,930.0,940.0,20586000
2024-07-17,940.0,950.0,925.0,935.0,11550000
2024-07-18,935.0,945.0,920.0,935.0,16872100
2024-07-19,940.0,945.0,925.0,930.0,7823000
2024-07-22,935.0,935.0,925.0,935.0,7868400
2024-07-23,935.0,935.0,920.0,925.0,12155900
2024-07-24,925.0,925.0,905.0,905.0,14008000
2024-07-25,905.0,905.0,885.0,890.0,12149800
2024-07-26,890.0,910.0,885.0,905.0,5682000
2024-07-29,900.0,920.0,900.0,910.0,11065400
2024-07-30,910.0,925.0,895.0,925.0,12295400
2024-07-31,925.0,935.0,915.0,915.0,12755600
2024-08-01,950.0,955.0,930.0,935.0,21964800
2024-08-02,940.0,940.0,920.0,930.0,5709600
2024-08-05,925.0,925.0,860.0,880.0,29777000
2024-08-06,880.0,890.0,875.0,885.0,9316000
2024-08-07,885.0,905.0,880.0,900.0,9577500
2024-08-08,900.0,905.0,885.0,895.0,4595900
2024-08-09,910.0,910.0,895.0,895.0,5902400
2024-08-12,900.0,945.0,895.0,940.0,18216500
2024-08-13,940.0,950.0,925.0,925.0,10068300
2024-08-14,930.0,945.0,925.0,935.0,15360500
2024-08-15,940.0,940.0,905.0,920.0,17557500
