date,open,high,low,close,volume
2024-04-16,505.0,505.0,498.0,500.0,876100
2024-04-17,500.0,505.0,498.0,500.0,1402700
2024-04-18,505.0,505.0,498.0,505.0,1099800
2024-04-19,505.0,505.0,498.0,505.0,1156800
2024-04-22,505.0,505.0,498.0,500.0,1413700
2024-04-23,500.0,500.0,494.0,498.0,1795500
2024-04-24,498.0,498.0,492.0,494.0,2118900
2024-04-25,494.0,494.0,484.0,490.0,1009000
2024-04-26,490.0,490.0,480.0,484.0,1665400
2024-04-29,480.0,484.0,464.0,466.0,2766600
2024-04-30,472.0,480.0,466.0,470.0,2248400
2024-05-02,474.0,480.0,468.0,472.0,1176700
2024-05-03,476.0,478.0,464.0,468.0,2204300
2024-05-06,466.0,468.0,450.0,460.0,2176200
2024-05-07,460.0,460.0,444.0,450.0,2594500
2024-05-08,450.0,456.0,430.0,436.0,3293000
2024-05-13,436.0,448.0,422.0,440.0,1591600
2024-05-14,460.0,460.0,430.0,434.0,1017100
2024-05-15,440.0,444.0,436.0,440.0,1227000
2024-05-16,440.0,446.0,440.0,442.0,1378500
2024-05-17,442.0,450.0,438.0,450.0,950300
2024-05-20,450.0,456.0,446.0,454.0,929400
2024-05-21,456.0,470.0,456.0,466.0,1385600
2024-05-22,460.0,470.0,460.0,464.0,430000
2024-05-27,464.0,468.0,456.0,458.0,1198700
2024-05-28,458.0,466.0,454.0,462.0,1520400
2024-05-29,462.0,464.0,456.0,458.0,941500
2024-05-30,460.0,460.0,450.0,452.0,1042600
2024-05-31,460.0,460.0,452.0,454.0,965100
2024-06-03,454.0,460.0,446.0,448.0,754900
2024-06-04,450.0,458.0,450.0,454.0,889600
2024-06-05,456.0,456.0,448.0,450.0,1464900
2024-06-06,450.0,452.0,446.0,448.0,935900
2024-06-07,452.0,460.0,450.0,460.0,1088200
2024-06-10,458.0,466.0,456.0,462.0,611900
2024-06-11,462.0,466.0,460.0,462.0,717500
2024-06-12,462.0,462.0,452.0,456.0,1011800
2024-06-13,454.0,464.0,452.0,454.0,84000
2024-06-14,454.0,466.0,452.0,462.0,755700
2024-06-19,456.0,464.0,440.0,444.0,1585500
2024-06-20,444.0,444.0,428.0,434.0,1056000
2024-06-21,434.0,454.0,434.0,436.0,329100
2024-06-24,446.0,454.0,438.0,452.0,584700
2024-06-25,448.0,460.0,442.0,454.0,1163400
2024-06-26,460.0,470.0,454.0,468.0,2113800
2024-06-27,468.0,472.0,458.0,464.0,2001200
2024-06-28,454.0,454.0,448.0,454.0,955800
2024-07-01,462.0,464.0,450.0,454.0,727900
2024-07-02,460.0,460.0,452.0,454.0,652000
2024-07-03,454.0,458.0,454.0,454.0,309100
2024-07-04,456.0,458.0,454.0,458.0,589900
2024-07-05,458.0,458.0,454.0,456.0,714300
2024-07-08,456.0,458.0,450.0,452.0,647500
2024-07-09,452.0,454.0,450.0,454.0,583700
2024-07-10,454.0,454.0,452.0,454.0,691400
2024-07-11,454.0,466.0,452.0,464.0,1161400
2024-07-12,464.0,464.0,460.0,460.0,693000
2024-07-15,462.0,468.0,458.0,458.0,1141300
2024-07-16,458.0,460.0,456.0,460.0,214300
2024-07-17,460.0,464.0,458.0,458.0,1222800
2024-07-18,460.0,464.0,458.0,462.0,754400
2024-07-19,462.0,464.0,460.0,462.0,1026100
2024-07-22,462.0,464.0,458.0,464.0,1429700
2024-07-23,464.0,466.0,462.0,464.0,767600
2024-07-24,464.0,478.0,462.0,468.0,1355100
2024-07-25,470.0,480.0,462.0,462.0,1265100
2024-07-26,462.0,470.0,462.0,468.0,1052500
2024-07-29,470.0,474.0,464.0,470.0,1393700
2024-07-30,472.0,480.0,468.0,468.0,1446400
2024-07-31,468.0,472.0,462.0,468.0,859100
2024-08-01,468.0,468.0,460.0,464.0,1346400
2024-08-02,464.0,468.0,460.0,464.0,1344100
2024-08-05,466.0,466.0,444.0,450.0,969200
2024-08-06,450.0,458.0,436.0,444.0,1553100
2024-08-07,444.0,458.0,444.0,458.0,870600
2024-08-08,458.0,462.0,452.0,462.0,1071100
2024-08-09,464.0,466.0,454.0,454.0,826900
2024-08-12,456.0,460.0,452.0,454.0,980900
2024-08-13,456.0,456.0,450.0,452.0,997000
2024-08-14,452.0,462.0,452.0,458.0,1537300
2024-08-15,458.0,460.0,456.0,458.0,713800
2024-08-16,460.0,464.0,458.0,460.0,934000
2024-08-19,462.0,468.0,460.0,462.0,1612100
2024-08-20,464.0,466.0,462.0,464.0,809100
2024-08-21,464.0,466.0,460.0,462.0,1437700
2024-08-22,460.0,464.0,456.0,458.0,1342100
2024-08-23,458.0,464.0,458.0,462.0,1273900
2024-08-26,462.0,464.0,456.0,462.0,1185600
2024-08-27,460.0,462.0,458.0,462.0,1276300
2024-08-28,460.0,462.0,456.0,458.0,1352900
2024-08-29,458.0,468.0,452.0,466.0,2440500
2024-08-30,466.0,474.0,462.0,466.0,2126000
2024-09-02,466.0,470.0,464.0,466.0,1615500
2024-09-03,468.0,472.0,464.0,468.0,1351100
2024-09-04,468.0,470.0,460.0,466.0,1231400
2024-09-05,466.0,468.0,462.0,466.0,1220700
2024-09-06,466.0,468.0,462.0,464.0,1211000
2024-09-09,464.0,470.0,462.0,466.0,1469300
2024-09-10,468.0,470.0,466.0,470.0,1353200
2024-09-11,470.0,476.0,468.0,468.0,1018200
2024-09-12,468.0,472.0,464.0,470.0,1120500
2024-09-13,470.0,474.0,468.0,468.0,1152200
