date,open,high,low,close,volume
2024-04-16,404.0,406.0,392.0,392.0,2957200
2024-04-17,356.0,380.0,356.0,380.0,1285200
2024-04-18,372.0,400.0,372.0,400.0,697600
2024-04-19,416.0,420.0,416.0,418.0,692100
2024-04-22,418.0,418.0,390.0,390.0,1764000
2024-04-23,414.0,414.0,410.0,410.0,656100
2024-04-24,410.0,416.0,410.0,416.0,760900
2024-04-25,440.0,456.0,440.0,456.0,1163900
2024-04-26,500.0,500.0,496.0,496.0,1022400
2024-04-29,496.0,510.0,390.0,426.0,8789100
2024-04-30,426.0,430.0,396.0,396.0,1707600
2024-05-02,396.0,400.0,376.0,376.0,936900
2024-05-03,376.0,390.0,370.0,374.0,452100
2024-05-06,376.0,438.0,376.0,412.0,3477900
2024-05-07,412.0,426.0,354.0,358.0,5490300
2024-05-08,356.0,364.0,330.0,338.0,1735100
2024-05-13,320.0,364.0,320.0,344.0,609900
2024-05-14,326.0,346.0,308.0,314.0,1297100
2024-05-15,298.0,318.0,298.0,302.0,1230200
2024-05-16,286.0,308.0,276.0,286.0,1531500
2024-05-17,292.0,356.0,286.0,322.0,11743400
2024-05-20,324.0,376.0,324.0,346.0,7609200
2024-05-21,350.0,356.0,316.0,330.0,1329700
2024-05-22,292.0,336.0,292.0,320.0,563600
2024-05-27,338.0,338.0,310.0,310.0,851000
2024-05-28,310.0,322.0,306.0,316.0,406000
2024-05-29,318.0,326.0,304.0,308.0,975100
2024-05-30,318.0,318.0,302.0,312.0,610000
2024-05-31,318.0,318.0,310.0,312.0,128400
2024-06-03,330.0,330.0,296.0,300.0,1015900
2024-06-04,280.0,300.0,280.0,286.0,1080700
2024-06-05,306.0,306.0,284.0,286.0,342900
2024-06-06,304.0,304.0,286.0,292.0,132300
2024-06-07,310.0,310.0,288.0,290.0,225200
2024-06-10,310.0,310.0,258.0,272.0,991000
2024-06-11,292.0,292.0,270.0,272.0,299700
2024-06-12,308.0,308.0,256.0,262.0,555400
2024-06-13,282.0,282.0,258.0,260.0,257000
2024-06-14,298.0,298.0,254.0,254.0,118100
2024-06-19,280.0,280.0,250.0,252.0,242000
2024-06-20,272.0,272.0,250.0,254.0,121400
2024-06-21,270.0,270.0,246.0,254.0,265400
2024-06-24,272.0,272.0,250.0,252.0,65800
2024-06-25,270.0,270.0,248.0,250.0,227200
2024-06-26,258.0,258.0,248.0,248.0,777300
2024-06-27,242.0,250.0,242.0,244.0,502300
2024-06-28,244.0,252.0,244.0,250.0,525900
2024-07-01,254.0,264.0,252.0,254.0,731400
2024-07-02,238.0,260.0,238.0,256.0,220700
2024-07-03,238.0,274.0,238.0,266.0,772100
2024-07-04,270.0,304.0,270.0,284.0,2987600
2024-07-05,286.0,290.0,272.0,286.0,703600
2024-07-08,266.0,288.0,266.0,278.0,847700
2024-07-09,258.0,286.0,258.0,274.0,746200
2024-07-10,256.0,274.0,256.0,272.0,268800
2024-07-11,272.0,274.0,262.0,268.0,345500
2024-07-12,248.0,274.0,248.0,272.0,225000
2024-07-15,252.0,280.0,252.0,276.0,417200
2024-07-16,258.0,280.0,258.0,274.0,158600
2024-07-17,254.0,288.0,254.0,278.0,416600
2024-07-18,260.0,286.0,260.0,276.0,173500
2024-07-19,256.0,280.0,256.0,270.0,317000
2024-07-22,252.0,278.0,252.0,274.0,190800
2024-07-23,254.0,276.0,254.0,270.0,177400
2024-07-24,252.0,290.0,252.0,268.0,550500
2024-07-25,248.0,270.0,248.0,262.0,235000
2024-07-26,244.0,270.0,244.0,262.0,343600
2024-07-29,244.0,270.0,244.0,262.0,194800
2024-07-30,244.0,266.0,244.0,254.0,677800
2024-07-31,246.0,262.0,246.0,254.0,187600
2024-08-01,256.0,266.0,256.0,264.0,413300
2024-08-02,244.0,264.0,244.0,262.0,62900
2024-08-05,242.0,262.0,242.0,252.0,243300
2024-08-06,234.0,252.0,234.0,246.0,565500
2024-08-07,228.0,258.0,228.0,248.0,283700
2024-08-08,248.0,254.0,246.0,246.0,162200
2024-08-09,246.0,252.0,242.0,250.0,225600
2024-08-12,260.0,260.0,246.0,250.0,236100
2024-08-13,250.0,256.0,246.0,250.0,476200
2024-08-14,232.0,256.0,232.0,254.0,214700
2024-08-15,234.0,258.0,234.0,254.0,404200
2024-08-16,236.0,282.0,236.0,262.0,937300
2024-08-19,242.0,268.0,242.0,260.0,574300
2024-08-20,242.0,262.0,242.0,260.0,639200
2024-08-21,242.0,264.0,242.0,258.0,293100
2024-08-22,240.0,264.0,240.0,256.0,766000
2024-08-23,238.0,262.0,238.0,262.0,178500
2024-08-26,242.0,272.0,242.0,266.0,804600
2024-08-27,246.0,268.0,246.0,260.0,293300
2024-08-28,244.0,268.0,244.0,260.0,285500
2024-08-29,240.0,264.0,240.0,258.0,488900
2024-08-30,252.0,264.0,252.0,262.0,168200
2024-09-02,242.0,264.0,242.0,260.0,733300
2024-09-03,240.0,262.0,240.0,254.0,331600
2024-09-04,236.0,256.0,236.0,256.0,208200
2024-09-05,256.0,266.0,254.0,254.0,316100
2024-09-06,236.0,262.0,236.0,260.0,245700
2024-09-09,240.0,260.0,240.0,254.0,214100
2024-09-10,236.0,260.0,236.0,254.0,155600
2024-09-11,234.0,258.0,234.0,252.0,184800
2024-09-12,240.0,258.0,240.0,256.0,152400
2024-09-13,260.0,260.0,254.0,254.0,105900
2024-09-17,258.0,262.0,248.0,250.0,1556300
2024-09-18,250.0,260.0,250.0,256.0,825500
2024-09-19,256.0,256.0,250.0,254.0,201000
2024-09-20,270.0,270.0,250.0,250.0,358300
2024-09-23,268.0,268.0,248.0,250.0,833200
2024-09-24,232.0,256.0,232.0,250.0,355600
2024-09-25,232.0,266.0,232.0,252.0,902600
2024-09-26,234.0,260.0,234.0,256.0,355200
2024-09-27,236.0,256.0,236.0,238.0,7467400
2024-09-30,256.0,256.0,238.0,244.0,1917700
2024-10-01,226.0,250.0,226.0,244.0,1766900
2024-10-02,224.0,246.0,224.0,242.0,563800
2024-10-03,222.0,288.0,222.0,280.0,23224100
2024-10-04,290.0,324.0,268.0,270.0,25868300
2024-10-07,284.0,284.0,260.0,266.0,2444500
2024-10-08,258.0,274.0,258.0,266.0,2192500
2024-10-09,246.0,270.0,246.0,254.0,3556700
2024-10-10,250.0,260.0,250.0,256.0,1309400
2024-10-11,236.0,258.0,236.0,254.0,867900
2024-10-14,234.0,264.0,234.0,256.0,1910200
2024-10-15,236.0,260.0,236.0,254.0,831000
2024-10-16,236.0,264.0,236.0,254.0,2232100
2024-10-17,256.0,264.0,252.0,260.0,1131200
2024-10-18,248.0,266.0,248.0,266.0,3563900
2024-10-21,294.0,332.0,284.0,332.0,21085800
2024-10-22,392.0,408.0,334.0,340.0,67743900
2024-10-23,322.0,344.0,308.0,314.0,6666000
2024-10-24,314.0,322.0,286.0,292.0,6041100
2024-10-25,276.0,332.0,276.0,308.0,8468000
2024-10-28,326.0,326.0,288.0,300.0,3659300
2024-10-29,318.0,318.0,290.0,294.0,1391300
2024-10-30,312.0,312.0,288.0,288.0,1583800
2024-10-31,308.0,308.0,282.0,288.0,988300
2024-11-01,290.0,292.0,278.0,278.0,769600
2024-11-04,296.0,296.0,274.0,280.0,974600
2024-11-05,298.0,298.0,274.0,280.0,757100
2024-11-06,300.0,300.0,278.0,278.0,591400
2024-11-07,296.0,296.0,274.0,278.0,504900
2024-11-08,278.0,284.0,274.0,278.0,392400
2024-11-11,296.0,296.0,274.0,274.0,463500
2024-11-12,290.0,290.0,270.0,276.0,623000
2024-11-13,290.0,290.0,266.0,274.0,1270000
2024-11-14,292.0,292.0,266.0,266.0,567800
2024-11-15,280.0,280.0,256.0,268.0,1130500
2024-11-18,284.0,284.0,258.0,260.0,538200
2024-11-19,270.0,270.0,258.0,260.0,513400
2024-11-20,268.0,290.0,258.0,270.0,3360900
2024-11-21,286.0,286.0,260.0,270.0,631700
2024-11-22,288.0,288.0,264.0,276.0,312400
2024-11-25,268.0,278.0,262.0,266.0,1133400
2024-11-26,284.0,284.0,262.0,264.0,1876500
2024-11-28,282.0,282.0,258.0,260.0,372700
2024-11-29,278.0,278.0,256.0,264.0,620000
2024-12-02,282.0,282.0,256.0,258.0,458500
2024-12-03,278.0,278.0,252.0,254.0,181100
2024-12-04,274.0,274.0,254.0,258.0,424500
2024-12-05,276.0,276.0,252.0,254.0,436900
2024-12-06,254.0,262.0,254.0,256.0,513600
2024-12-09,258.0,264.0,254.0,260.0,541100
2024-12-10,260.0,270.0,256.0,260.0,1260300
2024-12-11,262.0,266.0,258.0,258.0,508000
2024-12-12,264.0,264.0,246.0,254.0,454400
2024-12-13,258.0,260.0,252.0,252.0,796200
2024-12-16,252.0,258.0,248.0,248.0,652200
2024-12-17,248.0,254.0,242.0,244.0,443800
2024-12-18,244.0,246.0,238.0,240.0,517000
2024-12-19,240.0,240.0,232.0,232.0,773900
2024-12-20,232.0,252.0,232.0,234.0,384700
2024-12-23,234.0,246.0,234.0,238.0,560800
2024-12-24,238.0,244.0,234.0,236.0,222000
2024-12-27,236.0,242.0,232.0,240.0,528000
2024-12-30,240.0,240.0,234.0,236.0,129700
2025-01-02,236.0,256.0,234.0,242.0,290200
2025-01-03,238.0,250.0,238.0,242.0,85500
2025-01-06,242.0,250.0,236.0,238.0,305100
2025-01-07,236.0,244.0,232.0,234.0,577500
2025-01-08,234.0,238.0,232.0,234.0,214400
2025-01-09,234.0,244.0,234.0,236.0,263000
2025-01-10,244.0,244.0,236.0,238.0,403500
2025-01-13,238.0,248.0,236.0,236.0,162100
2025-01-14,236.0,258.0,234.0,236.0,630000
2025-01-15,236.0,248.0,236.0,238.0,205900
2025-01-16,238.0,250.0,236.0,238.0,231200
2025-01-17,238.0,242.0,238.0,238.0,782500
2025-01-20,238.0,252.0,238.0,240.0,455100
2025-01-21,244.0,246.0,242.0,244.0,181700
2025-01-22,242.0,246.0,242.0,244.0,182300
2025-01-23,244.0,244.0,230.0,240.0,313900
2025-01-24,238.0,242.0,234.0,236.0,232000
2025-01-30,238.0,248.0,236.0,236.0,663600
2025-01-31,236.0,242.0,236.0,238.0,43800
2025-02-03,236.0,240.0,234.0,236.0,235200
2025-02-04,236.0,238.0,232.0,236.0,405100
2025-02-05,236.0,240.0,234.0,238.0,248400
2025-02-06,234.0,238.0,232.0,238.0,1473900
2025-02-07,236.0,236.0,222.0,236.0,512800
2025-02-10,230.0,234.0,224.0,234.0,157500
2025-02-11,236.0,236.0,222.0,224.0,381900
2025-02-12,222.0,228.0,222.0,224.0,191000
2025-02-13,228.0,232.0,224.0,228.0,196800
2025-02-14,228.0,230.0,224.0,230.0,163900
2025-02-17,230.0,236.0,228.0,232.0,547400
2025-02-18,232.0,246.0,232.0,232.0,401500
2025-02-19,234.0,242.0,234.0,240.0,203900
2025-02-20,240.0,240.0,230.0,236.0,407200
2025-02-21,236.0,240.0,232.0,234.0,285500
2025-02-24,234.0,236.0,230.0,230.0,374200
2025-02-25,230.0,232.0,228.0,230.0,106200
2025-02-26,230.0,230.0,224.0,224.0,153300
2025-02-27,224.0,232.0,224.0,226.0,70700
