date,open,high,low,close,volume
2024-04-16,350.0,354.0,342.0,350.0,1828200
2024-04-17,350.0,354.0,348.0,350.0,576700
2024-04-18,350.0,352.0,346.0,348.0,985000
2024-04-19,348.0,350.0,340.0,346.0,766800
2024-04-22,346.0,350.0,344.0,348.0,580100
2024-04-23,348.0,352.0,346.0,346.0,1262900
2024-04-24,346.0,350.0,346.0,348.0,761900
2024-04-25,350.0,350.0,344.0,348.0,808900
2024-04-26,344.0,350.0,344.0,346.0,552900
2024-04-29,346.0,348.0,344.0,348.0,192100
2024-04-30,348.0,348.0,344.0,346.0,618900
2024-05-02,346.0,348.0,346.0,348.0,373200
2024-05-03,348.0,350.0,344.0,344.0,1255000
2024-05-06,344.0,348.0,344.0,346.0,891900
2024-05-07,346.0,358.0,346.0,352.0,2555900
2024-05-08,356.0,356.0,348.0,350.0,1464400
2024-05-13,350.0,374.0,350.0,366.0,6464100
2024-05-14,364.0,368.0,352.0,354.0,4329200
2024-05-15,354.0,358.0,352.0,354.0,1306100
2024-05-16,354.0,362.0,352.0,356.0,1938600
2024-05-17,358.0,358.0,352.0,356.0,868600
2024-05-20,356.0,360.0,352.0,354.0,1055700
2024-05-21,354.0,358.0,352.0,354.0,1791800
2024-05-22,352.0,360.0,352.0,358.0,3073100
2024-05-27,338.0,340.0,332.0,334.0,2941200
2024-05-28,328.0,338.0,328.0,334.0,336600
2024-05-29,334.0,336.0,330.0,330.0,562000
2024-05-30,330.0,334.0,328.0,332.0,356100
2024-05-31,332.0,332.0,324.0,326.0,916200
2024-06-03,326.0,330.0,324.0,328.0,367700
2024-06-04,328.0,334.0,328.0,332.0,221900
2024-06-05,334.0,340.0,332.0,334.0,940900
2024-06-06,334.0,342.0,334.0,340.0,587500
2024-06-07,342.0,342.0,336.0,336.0,226400
2024-06-10,338.0,338.0,332.0,334.0,480900
2024-06-11,334.0,336.0,332.0,334.0,213300
2024-06-12,334.0,334.0,326.0,330.0,405800
2024-06-13,330.0,332.0,326.0,328.0,258100
2024-06-14,330.0,332.0,326.0,326.0,296500
2024-06-19,326.0,330.0,324.0,328.0,197400
2024-06-20,328.0,330.0,322.0,326.0,1009600
2024-06-21,324.0,328.0,322.0,328.0,387900
2024-06-24,330.0,330.0,326.0,330.0,439200
2024-06-25,330.0,332.0,328.0,330.0,166900
2024-06-26,330.0,336.0,330.0,336.0,593400
2024-06-27,334.0,338.0,330.0,332.0,311200
2024-06-28,334.0,336.0,332.0,334.0,335600
2024-07-01,334.0,338.0,334.0,334.0,434000
2024-07-02,334.0,344.0,334.0,340.0,680500
2024-07-03,340.0,344.0,336.0,336.0,520400
2024-07-04,336.0,338.0,334.0,338.0,196800
2024-07-05,338.0,340.0,336.0,340.0,183600
2024-07-08,340.0,344.0,336.0,340.0,411000
2024-07-09,342.0,344.0,338.0,340.0,408500
2024-07-10,340.0,344.0,340.0,342.0,131900
2024-07-11,342.0,344.0,340.0,340.0,120500
2024-07-12,340.0,344.0,340.0,344.0,160400
2024-07-15,344.0,344.0,336.0,340.0,349600
2024-07-16,340.0,342.0,334.0,338.0,292900
2024-07-17,336.0,342.0,330.0,338.0,1495500
2024-07-18,338.0,342.0,336.0,336.0,692000
2024-07-19,338.0,340.0,336.0,338.0,235000
2024-07-22,338.0,342.0,336.0,340.0,244500
2024-07-23,340.0,344.0,340.0,342.0,567600
2024-07-24,342.0,348.0,342.0,346.0,922400
2024-07-25,348.0,348.0,342.0,346.0,503200
2024-07-26,346.0,348.0,344.0,346.0,175700
2024-07-29,346.0,348.0,344.0,346.0,216600
2024-07-30,346.0,346.0,334.0,342.0,925600
2024-07-31,342.0,344.0,340.0,342.0,301800
2024-08-01,348.0,354.0,342.0,346.0,847600
2024-08-02,348.0,348.0,344.0,344.0,361400
2024-08-05,344.0,346.0,334.0,336.0,1146100
2024-08-06,336.0,340.0,334.0,340.0,236500
