date,open,high,low,close,volume
2024-04-16,116.0,117.0,115.0,116.0,55900
2024-04-17,106.0,116.0,106.0,113.0,168900
2024-04-18,103.0,113.0,103.0,112.0,185600
2024-04-19,102.0,112.0,102.0,107.0,921700
2024-04-22,97.0,110.0,97.0,102.0,1027100
2024-04-23,93.0,101.0,93.0,101.0,811300
2024-04-24,92.0,101.0,92.0,96.0,1809500
2024-04-25,96.0,100.0,94.0,96.0,1395800
2024-04-26,96.0,97.0,92.0,94.0,470100
2024-04-29,100.0,100.0,93.0,95.0,196300
2024-04-30,102.0,102.0,93.0,96.0,170200
2024-05-02,103.0,103.0,95.0,97.0,110400
2024-05-03,104.0,104.0,95.0,97.0,144800
2024-05-06,103.0,103.0,93.0,95.0,326800
2024-05-07,102.0,102.0,91.0,95.0,780900
2024-05-08,103.0,103.0,93.0,95.0,64400
2024-05-13,103.0,103.0,93.0,95.0,334300
2024-05-14,102.0,102.0,93.0,95.0,128400
2024-05-15,102.0,102.0,92.0,95.0,148300
2024-05-16,102.0,109.0,90.0,92.0,34811400
2024-05-17,98.0,106.0,91.0,92.0,41660300
2024-05-20,92.0,97.0,85.0,88.0,23329000
2024-05-21,97.0,97.0,84.0,87.0,2121000
2024-05-22,88.0,89.0,86.0,88.0,339500
2024-05-27,90.0,90.0,84.0,84.0,830100
2024-05-28,84.0,86.0,79.0,82.0,1355500
2024-05-29,82.0,84.0,79.0,80.0,530400
2024-05-30,79.0,81.0,79.0,80.0,346600
2024-05-31,78.0,80.0,78.0,78.0,731500
2024-06-03,72.0,79.0,72.0,75.0,934400
2024-06-04,67.0,89.0,67.0,80.0,4046000
2024-06-05,72.0,88.0,72.0,81.0,5444900
2024-06-06,77.0,84.0,77.0,82.0,351800
2024-06-07,81.0,84.0,81.0,82.0,138100
2024-06-10,82.0,84.0,79.0,82.0,372500
2024-06-11,75.0,82.0,75.0,79.0,265200
2024-06-12,72.0,81.0,72.0,77.0,741700
2024-06-13,69.0,78.0,69.0,75.0,515200
2024-06-14,68.0,79.0,68.0,74.0,431000
2024-06-19,67.0,74.0,66.0,67.0,1106700
2024-06-20,66.0,77.0,66.0,69.0,1306200
2024-06-21,63.0,75.0,63.0,70.0,633700
2024-06-24,63.0,79.0,63.0,77.0,1490600
2024-06-25,78.0,79.0,72.0,73.0,1428000
2024-06-26,66.0,74.0,66.0,72.0,227100
2024-06-27,65.0,74.0,65.0,72.0,299500
2024-06-28,73.0,73.0,68.0,72.0,258100
2024-07-01,65.0,73.0,65.0,71.0,396200
2024-07-02,71.0,74.0,71.0,72.0,607500
2024-07-03,73.0,79.0,71.0,74.0,2207600
2024-07-04,74.0,77.0,73.0,75.0,566000
2024-07-05,75.0,80.0,75.0,77.0,890300
2024-07-08,77.0,79.0,77.0,77.0,367700
2024-07-09,77.0,80.0,74.0,74.0,711300
2024-07-10,76.0,99.0,76.0,99.0,59362100
2024-07-11,126.0,126.0,89.0,89.0,35955100
2024-07-12,80.0,93.0,80.0,86.0,4574400
2024-07-15,78.0,92.0,78.0,85.0,5396600
2024-07-16,85.0,89.0,79.0,83.0,3200500
2024-07-17,75.0,85.0,75.0,83.0,377600
2024-07-18,84.0,85.0,81.0,82.0,988800
2024-07-19,82.0,86.0,82.0,84.0,838400
2024-07-22,77.0,88.0,77.0,85.0,1205200
2024-07-23,76.0,86.0,76.0,85.0,727900
2024-07-24,77.0,91.0,77.0,85.0,1887800
2024-07-25,77.0,86.0,77.0,81.0,1543300
2024-07-26,74.0,82.0,74.0,80.0,1537300
2024-07-29,73.0,81.0,73.0,78.0,580100
2024-07-30,77.0,85.0,77.0,80.0,2165700
2024-07-31,80.0,90.0,80.0,85.0,8468800
2024-08-01,79.0,89.0,79.0,84.0,816000
2024-08-02,81.0,88.0,81.0,85.0,1387300
2024-08-05,79.0,87.0,79.0,82.0,951300
2024-08-06,81.0,89.0,81.0,88.0,2228300
2024-08-07,80.0,92.0,80.0,88.0,2503600
2024-08-08,85.0,89.0,85.0,87.0,1013900
2024-08-09,88.0,88.0,81.0,84.0,1356800
2024-08-12,76.0,86.0,76.0,85.0,379300
2024-08-13,78.0,88.0,78.0,87.0,2138800
2024-08-14,80.0,91.0,80.0,88.0,913800
2024-08-15,81.0,89.0,81.0,87.0,373500
2024-08-16,88.0,88.0,83.0,86.0,544500
2024-08-19,85.0,109.0,85.0,93.0,8757400
2024-08-20,94.0,94.0,89.0,93.0,1010500
2024-08-21,93.0,103.0,90.0,92.0,2155800
2024-08-22,92.0,115.0,92.0,107.0,44491400
2024-08-23,107.0,115.0,105.0,105.0,13939900
2024-08-26,111.0,111.0,103.0,104.0,3169400
2024-08-27,105.0,123.0,103.0,112.0,41824000
2024-08-28,111.0,122.0,111.0,115.0,13667000
2024-08-29,106.0,116.0,102.0,104.0,4307200
2024-08-30,104.0,109.0,104.0,105.0,1916800
2024-09-02,106.0,108.0,104.0,106.0,776800
2024-09-03,98.0,109.0,98.0,103.0,943100
2024-09-04,101.0,108.0,101.0,103.0,1558600
2024-09-05,95.0,105.0,95.0,105.0,982900
2024-09-06,106.0,107.0,103.0,104.0,587300
2024-09-09,95.0,106.0,95.0,104.0,452500
2024-09-10,95.0,106.0,95.0,104.0,786800
2024-09-11,95.0,104.0,95.0,103.0,569700
2024-09-12,94.0,104.0,94.0,104.0,438500
2024-09-13,95.0,104.0,95.0,102.0,1459300
2024-09-17,102.0,104.0,101.0,103.0,257900
2024-09-18,109.0,109.0,102.0,103.0,375400
2024-09-19,109.0,109.0,102.0,103.0,148700
2024-09-20,109.0,109.0,101.0,101.0,270200
2024-09-23,108.0,108.0,100.0,102.0,669300
2024-09-24,108.0,108.0,100.0,101.0,591100
2024-09-25,107.0,107.0,100.0,101.0,215100
2024-09-26,93.0,102.0,93.0,101.0,254300
2024-09-27,93.0,101.0,93.0,100.0,356300
