date,open,high,low,close,volume
2024-04-16,418.0,462.0,396.0,444.0,6965000
2024-04-17,444.0,458.0,436.0,438.0,2709700
2024-04-18,438.0,484.0,436.0,464.0,4634600
2024-04-19,464.0,476.0,458.0,460.0,3916600
2024-04-22,460.0,468.0,454.0,454.0,1400900
2024-04-23,458.0,462.0,450.0,460.0,909500
2024-04-24,460.0,466.0,446.0,450.0,803000
2024-04-25,456.0,456.0,432.0,446.0,1182700
2024-04-26,440.0,456.0,426.0,428.0,1173400
2024-04-29,434.0,440.0,412.0,424.0,1220100
2024-04-30,424.0,434.0,416.0,422.0,805600
2024-05-02,422.0,422.0,396.0,398.0,1584400
2024-05-03,400.0,410.0,394.0,398.0,1536500
2024-05-06,398.0,424.0,396.0,402.0,946800
2024-05-07,402.0,408.0,396.0,400.0,752400
2024-05-08,400.0,416.0,392.0,400.0,628800
2024-05-13,400.0,404.0,394.0,396.0,219800
2024-05-14,404.0,408.0,396.0,396.0,225700
2024-05-15,396.0,398.0,370.0,390.0,1361300
2024-05-16,390.0,390.0,374.0,380.0,664500
2024-05-17,380.0,400.0,380.0,394.0,887400
2024-05-20,394.0,414.0,394.0,404.0,777500
2024-05-21,410.0,424.0,404.0,408.0,929600
2024-05-22,408.0,408.0,386.0,396.0,910200
2024-05-27,396.0,400.0,388.0,396.0,309800
2024-05-28,406.0,410.0,388.0,400.0,513600
2024-05-29,398.0,404.0,396.0,396.0,353800
2024-05-30,396.0,400.0,392.0,392.0,529700
2024-05-31,392.0,402.0,388.0,388.0,787800
2024-06-03,388.0,410.0,388.0,408.0,811100
2024-06-04,410.0,414.0,396.0,400.0,220700
2024-06-05,396.0,396.0,386.0,390.0,872500
2024-06-06,388.0,388.0,380.0,382.0,753900
2024-06-07,388.0,388.0,382.0,388.0,170700
2024-06-10,382.0,388.0,376.0,380.0,428600
2024-06-11,384.0,386.0,378.0,382.0,70200
2024-06-12,378.0,382.0,370.0,372.0,567500
2024-06-13,368.0,396.0,366.0,396.0,801000
2024-06-14,392.0,392.0,368.0,384.0,916600
2024-06-19,374.0,414.0,372.0,390.0,1006300
2024-06-20,388.0,422.0,374.0,400.0,1614000
2024-06-21,400.0,418.0,394.0,398.0,908000
2024-06-24,398.0,416.0,398.0,406.0,866600
2024-06-25,406.0,410.0,390.0,396.0,557600
2024-06-26,404.0,414.0,392.0,400.0,817000
2024-06-27,406.0,416.0,400.0,412.0,934000
2024-06-28,410.0,410.0,402.0,410.0,647000
2024-07-01,404.0,410.0,400.0,406.0,207700
2024-07-02,410.0,410.0,398.0,398.0,187100
2024-07-03,408.0,408.0,392.0,396.0,914000
2024-07-04,396.0,400.0,396.0,400.0,54100
2024-07-05,400.0,400.0,388.0,394.0,897800
2024-07-08,394.0,398.0,392.0,396.0,94400
2024-07-09,396.0,412.0,394.0,412.0,624300
2024-07-10,412.0,412.0,400.0,402.0,707600
2024-07-11,400.0,406.0,396.0,400.0,628600
2024-07-12,400.0,400.0,396.0,396.0,750800
2024-07-15,396.0,402.0,392.0,398.0,79000
2024-07-16,396.0,398.0,394.0,396.0,205800
2024-07-17,396.0,400.0,390.0,398.0,765100
2024-07-18,398.0,400.0,392.0,398.0,135800
2024-07-19,396.0,400.0,388.0,388.0,502900
2024-07-22,400.0,410.0,382.0,382.0,3096700
2024-07-23,384.0,388.0,380.0,380.0,988800
2024-07-24,382.0,386.0,378.0,384.0,580300
2024-07-25,382.0,400.0,382.0,400.0,649800
2024-07-26,400.0,400.0,390.0,396.0,570000
2024-07-29,394.0,394.0,386.0,390.0,224200
2024-07-30,390.0,392.0,386.0,386.0,157000
2024-07-31,396.0,396.0,384.0,388.0,177000
2024-08-01,392.0,392.0,382.0,386.0,294400
2024-08-02,386.0,386.0,380.0,386.0,618300
2024-08-05,386.0,386.0,368.0,370.0,521000
2024-08-06,370.0,378.0,366.0,374.0,607700
2024-08-07,374.0,378.0,368.0,372.0,196000
2024-08-08,374.0,378.0,372.0,376.0,205400
2024-08-09,376.0,378.0,372.0,378.0,66500
2024-08-12,378.0,380.0,376.0,378.0,19400
2024-08-13,378.0,380.0,376.0,380.0,58800
2024-08-14,380.0,380.0,372.0,374.0,311700
2024-08-15,378.0,378.0,370.0,374.0,428400
2024-08-16,374.0,376.0,368.0,376.0,243300
2024-08-19,376.0,376.0,366.0,372.0,516600
2024-08-20,374.0,376.0,372.0,376.0,135700
2024-08-21,376.0,376.0,372.0,374.0,1369100
2024-08-22,374.0,378.0,372.0,376.0,242800
2024-08-23,376.0,378.0,374.0,378.0,140700
2024-08-26,378.0,380.0,374.0,380.0,212200
2024-08-27,376.0,382.0,372.0,374.0,443300
2024-08-28,376.0,380.0,374.0,376.0,300400
2024-08-29,376.0,378.0,370.0,370.0,360600
2024-08-30,370.0,396.0,370.0,386.0,1080200
2024-09-02,390.0,390.0,378.0,384.0,853800
2024-09-03,384.0,386.0,380.0,380.0,421500
2024-09-04,378.0,388.0,376.0,382.0,361400
2024-09-05,384.0,384.0,374.0,384.0,318700
2024-09-06,386.0,386.0,378.0,382.0,217500
2024-09-09,380.0,408.0,376.0,394.0,1345300
2024-09-10,396.0,396.0,380.0,382.0,489000
2024-09-11,382.0,388.0,376.0,382.0,473800
2024-09-12,380.0,402.0,374.0,394.0,3075600
2024-09-13,398.0,398.0,390.0,390.0,512700
2024-09-17,392.0,404.0,390.0,394.0,794100
2024-09-18,396.0,400.0,394.0,396.0,411300
2024-09-19,396.0,402.0,394.0,396.0,421000
2024-09-20,398.0,400.0,392.0,396.0,523400
2024-09-23,398.0,400.0,392.0,396.0,737200
2024-09-24,396.0,410.0,396.0,406.0,553100
2024-09-25,406.0,430.0,406.0,428.0,2446700
2024-09-26,432.0,444.0,416.0,436.0,2320900
2024-09-27,438.0,438.0,424.0,428.0,662600
2024-09-30,426.0,428.0,416.0,418.0,616600
2024-10-01,420.0,426.0,410.0,416.0,1223400
2024-10-02,414.0,420.0,408.0,410.0,667300
2024-10-03,410.0,424.0,406.0,418.0,774500
2024-10-04,418.0,426.0,410.0,426.0,626300
2024-10-07,424.0,438.0,420.0,430.0,850400
2024-10-08,432.0,434.0,418.0,426.0,1261300
2024-10-09,426.0,428.0,410.0,422.0,852500
2024-10-10,422.0,422.0,410.0,410.0,354200
2024-10-11,412.0,418.0,412.0,416.0,77700
2024-10-14,416.0,422.0,416.0,420.0,309600
2024-10-15,420.0,424.0,418.0,422.0,484700
2024-10-16,422.0,424.0,422.0,424.0,290000
2024-10-17,440.0,442.0,426.0,428.0,1756100
2024-10-18,430.0,432.0,422.0,422.0,1445000
2024-10-21,422.0,422.0,414.0,420.0,1763900
2024-10-22,424.0,434.0,424.0,434.0,1467100
2024-10-23,434.0,434.0,422.0,422.0,1107200
2024-10-24,422.0,428.0,416.0,422.0,1252500
2024-10-25,424.0,428.0,408.0,412.0,1840200
2024-10-28,412.0,412.0,408.0,408.0,292600
2024-10-29,408.0,412.0,390.0,404.0,1334500
2024-10-30,404.0,406.0,394.0,406.0,200900
2024-10-31,400.0,400.0,394.0,394.0,758600
2024-11-01,396.0,404.0,392.0,394.0,523400
2024-11-04,394.0,400.0,384.0,398.0,1104400
2024-11-05,398.0,400.0,392.0,398.0,714600
2024-11-06,398.0,404.0,394.0,400.0,819900
2024-11-07,396.0,400.0,392.0,398.0,425600
2024-11-08,398.0,398.0,390.0,398.0,116400
2024-11-11,396.0,400.0,390.0,398.0,553200
2024-11-12,398.0,398.0,388.0,392.0,649400
2024-11-13,392.0,400.0,392.0,398.0,703600
2024-11-14,398.0,402.0,392.0,402.0,246700
2024-11-15,402.0,402.0,392.0,398.0,480900
2024-11-18,394.0,400.0,388.0,394.0,98600
2024-11-19,392.0,396.0,386.0,396.0,132000
2024-11-20,394.0,400.0,390.0,396.0,55900
2024-11-21,390.0,396.0,390.0,396.0,106600
2024-11-22,390.0,398.0,390.0,398.0,111400
2024-11-25,398.0,400.0,392.0,400.0,153400
2024-11-26,398.0,398.0,394.0,398.0,235700
2024-11-28,390.0,398.0,386.0,394.0,536600
2024-11-29,390.0,398.0,384.0,394.0,268600
2024-12-02,394.0,394.0,384.0,394.0,303400
2024-12-03,392.0,404.0,384.0,398.0,86100
2024-12-04,394.0,400.0,388.0,400.0,83400
2024-12-05,400.0,400.0,380.0,398.0,347100
2024-12-06,398.0,400.0,388.0,398.0,139100
2024-12-09,396.0,402.0,394.0,398.0,232200
2024-12-10,396.0,400.0,394.0,398.0,208000
2024-12-11,398.0,400.0,370.0,370.0,2119900
2024-12-12,376.0,376.0,350.0,362.0,1303500
2024-12-13,360.0,368.0,358.0,360.0,250500
2024-12-16,360.0,364.0,348.0,360.0,172300
2024-12-17,370.0,386.0,364.0,368.0,1043900
2024-12-18,368.0,374.0,364.0,372.0,304500
2024-12-19,372.0,426.0,360.0,414.0,4035200
2024-12-20,416.0,418.0,394.0,410.0,912600
2024-12-23,418.0,440.0,410.0,420.0,1644500
2024-12-24,422.0,432.0,408.0,432.0,2416900
2024-12-27,434.0,436.0,420.0,432.0,669200
2024-12-30,432.0,440.0,424.0,438.0,565100
2025-01-02,438.0,440.0,428.0,432.0,238100
2025-01-03,432.0,432.0,402.0,412.0,866900
2025-01-06,412.0,412.0,390.0,406.0,382400
2025-01-07,392.0,400.0,390.0,398.0,205000
2025-01-08,390.0,400.0,390.0,400.0,78200
2025-01-09,400.0,412.0,394.0,400.0,65400
2025-01-10,398.0,400.0,390.0,400.0,53500
2025-01-13,400.0,416.0,390.0,394.0,311500
2025-01-14,390.0,410.0,390.0,390.0,213000
2025-01-15,392.0,400.0,390.0,398.0,290000
2025-01-16,398.0,414.0,398.0,406.0,620800
2025-01-17,418.0,430.0,400.0,406.0,1097500
2025-01-20,354.0,406.0,354.0,390.0,1005800
2025-01-21,390.0,398.0,380.0,394.0,451900
2025-01-22,396.0,402.0,382.0,396.0,558100
2025-01-23,396.0,396.0,390.0,396.0,84500
2025-01-24,396.0,396.0,390.0,396.0,53400
2025-01-30,396.0,398.0,372.0,384.0,671900
2025-01-31,382.0,386.0,376.0,386.0,189000
2025-02-03,386.0,386.0,370.0,372.0,445400
2025-02-04,372.0,394.0,370.0,372.0,319900
2025-02-05,374.0,380.0,372.0,376.0,126700
2025-02-06,380.0,380.0,364.0,368.0,195100
2025-02-07,366.0,368.0,362.0,368.0,136900
2025-02-10,362.0,366.0,350.0,360.0,289700
2025-02-11,360.0,366.0,354.0,360.0,227500
2025-02-12,358.0,360.0,354.0,356.0,119000
2025-02-13,356.0,360.0,352.0,360.0,198100
