date,open,high,low,close,volume
2024-04-16,1645.0,1645.0,1620.0,1640.0,54600
2024-04-17,1640.0,1640.0,1625.0,1630.0,33400
2024-04-18,1630.0,1630.0,1625.0,1630.0,48200
2024-04-19,1630.0,1635.0,1620.0,1620.0,224200
2024-04-22,1620.0,1640.0,1620.0,1620.0,66300
2024-04-23,1625.0,1640.0,1625.0,1630.0,116900
2024-04-24,1625.0,1640.0,1625.0,1625.0,29300
2024-04-25,1630.0,1635.0,1625.0,1630.0,5100
2024-04-26,1635.0,1645.0,1630.0,1630.0,86200
2024-04-29,1640.0,1640.0,1615.0,1620.0,46500
2024-04-30,1625.0,1650.0,1620.0,1650.0,192600
2024-05-02,1650.0,1660.0,1630.0,1650.0,297800
2024-05-03,1650.0,1655.0,1645.0,1645.0,142700
2024-05-06,1645.0,1680.0,1645.0,1680.0,109300
2024-05-07,1680.0,1680.0,1660.0,1670.0,34700
2024-05-08,1685.0,1685.0,1625.0,1635.0,93900
2024-05-13,1635.0,1660.0,1630.0,1660.0,78300
2024-05-14,1670.0,1680.0,1650.0,1660.0,42000
2024-05-15,1670.0,1675.0,1650.0,1650.0,53500
2024-05-16,1670.0,1675.0,1655.0,1665.0,114500
2024-05-17,1675.0,1675.0,1660.0,1665.0,12200
2024-05-20,1665.0,1685.0,1665.0,1680.0,116400
2024-05-21,1680.0,1685.0,1670.0,1670.0,36000
2024-05-22,1670.0,1690.0,1665.0,1680.0,77100
2024-05-27,1685.0,1700.0,1670.0,1690.0,382800
2024-05-28,1690.0,1700.0,1675.0,1680.0,144100
2024-05-29,1690.0,1690.0,1670.0,1685.0,103600
2024-05-30,1685.0,1685.0,1660.0,1670.0,111700
2024-05-31,1685.0,1700.0,1670.0,1670.0,52300
2024-06-03,1675.0,1695.0,1660.0,1665.0,98900
2024-06-04,1670.0,1695.0,1665.0,1680.0,143700
2024-06-05,1695.0,1695.0,1675.0,1680.0,50800
2024-06-06,1680.0,1690.0,1675.0,1680.0,61100
2024-06-07,1690.0,1695.0,1680.0,1685.0,64600
2024-06-10,1690.0,1695.0,1670.0,1695.0,122300
2024-06-11,1695.0,1695.0,1670.0,1690.0,113200
2024-06-12,1690.0,1690.0,1660.0,1675.0,200900
2024-06-13,1675.0,1680.0,1665.0,1670.0,16000
2024-06-14,1670.0,1690.0,1660.0,1680.0,222100
2024-06-19,1675.0,1685.0,1660.0,1680.0,188100
2024-06-20,1680.0,1685.0,1675.0,1685.0,35000
2024-06-21,1685.0,1730.0,1685.0,1720.0,793000
2024-06-24,1725.0,1800.0,1725.0,1770.0,893300
2024-06-25,1760.0,1775.0,1740.0,1750.0,224800
2024-06-26,1750.0,1815.0,1750.0,1815.0,1193500
2024-06-27,1820.0,1870.0,1820.0,1860.0,1587600
2024-06-28,1860.0,1900.0,1860.0,1875.0,1718800
2024-07-01,1880.0,1900.0,1875.0,1895.0,3199100
2024-07-02,1765.0,1765.0,1680.0,1695.0,2342600
2024-07-03,1700.0,1700.0,1630.0,1635.0,1480900
2024-07-04,1630.0,1680.0,1615.0,1655.0,1191000
2024-07-05,1660.0,1665.0,1635.0,1640.0,637900
2024-07-08,1645.0,1660.0,1635.0,1650.0,422900
2024-07-09,1660.0,1660.0,1610.0,1645.0,627300
2024-07-10,1645.0,1655.0,1635.0,1645.0,196800
2024-07-11,1645.0,1655.0,1640.0,1645.0,291100
2024-07-12,1650.0,1660.0,1640.0,1655.0,153600
2024-07-15,1655.0,1665.0,1650.0,1655.0,257700
2024-07-16,1655.0,1670.0,1655.0,1665.0,133100
2024-07-17,1665.0,1670.0,1655.0,1655.0,198900
2024-07-18,1665.0,1665.0,1650.0,1655.0,199000
2024-07-19,1660.0,1665.0,1655.0,1660.0,173400
2024-07-22,1660.0,1670.0,1660.0,1670.0,315900
2024-07-23,1670.0,1675.0,1665.0,1670.0,140700
2024-07-24,1670.0,1670.0,1655.0,1660.0,181900
2024-07-25,1670.0,1670.0,1655.0,1660.0,342600
2024-07-26,1665.0,1665.0,1655.0,1660.0,221500
2024-07-29,1660.0,1670.0,1645.0,1660.0,207500
2024-07-30,1670.0,1670.0,1655.0,1660.0,125000
2024-07-31,1660.0,1665.0,1570.0,1615.0,1857800
2024-08-01,1625.0,1625.0,1575.0,1605.0,295900
2024-08-02,1605.0,1610.0,1600.0,1605.0,146300
2024-08-05,1605.0,1605.0,1565.0,1575.0,515300
2024-08-06,1575.0,1600.0,1560.0,1580.0,180500
2024-08-07,1580.0,1585.0,1580.0,1585.0,95600
2024-08-08,1585.0,1600.0,1585.0,1590.0,51800
2024-08-09,1590.0,1605.0,1590.0,1600.0,86200
2024-08-12,1600.0,1605.0,1590.0,1595.0,83600
2024-08-13,1600.0,1600.0,1590.0,1595.0,120200
2024-08-14,1600.0,1605.0,1595.0,1600.0,58500
2024-08-15,1600.0,1605.0,1595.0,1600.0,72000
2024-08-16,1600.0,1605.0,1595.0,1605.0,77200
2024-08-19,1605.0,1610.0,1600.0,1605.0,64300
2024-08-20,1610.0,1615.0,1605.0,1610.0,108500
2024-08-21,1615.0,1630.0,1615.0,1620.0,100500
2024-08-22,1620.0,1620.0,1600.0,1610.0,150500
2024-08-23,1615.0,1630.0,1595.0,1595.0,703800
2024-08-26,1600.0,1620.0,1600.0,1610.0,246700
2024-08-27,1610.0,1620.0,1605.0,1615.0,67100
2024-08-28,1620.0,1620.0,1610.0,1610.0,78200
2024-08-29,1625.0,1660.0,1625.0,1635.0,727800
2024-08-30,1650.0,1650.0,1615.0,1615.0,533000
2024-09-02,1615.0,1620.0,1605.0,1605.0,427000
2024-09-03,1605.0,1620.0,1605.0,1610.0,212400
2024-09-04,1610.0,1610.0,1600.0,1610.0,58000
2024-09-05,1610.0,1620.0,1605.0,1610.0,45700
2024-09-06,1610.0,1625.0,1605.0,1615.0,118700
2024-09-09,1605.0,1615.0,1605.0,1610.0,86400
2024-09-10,1620.0,1620.0,1605.0,1610.0,79500
2024-09-11,1615.0,1615.0,1605.0,1610.0,138500
2024-09-12,1610.0,1620.0,1595.0,1610.0,421100
2024-09-13,1610.0,1620.0,1595.0,1600.0,407500
2024-09-17,1595.0,1615.0,1595.0,1610.0,136900
2024-09-18,1605.0,1620.0,1605.0,1615.0,210500
2024-09-19,1620.0,1620.0,1605.0,1620.0,113300
2024-09-20,1620.0,1630.0,1615.0,1625.0,145900
2024-09-23,1625.0,1625.0,1610.0,1620.0,111800
2024-09-24,1620.0,1630.0,1620.0,1625.0,102300
2024-09-25,1625.0,1640.0,1625.0,1635.0,352900
2024-09-26,1635.0,1640.0,1600.0,1600.0,566500
2024-09-27,1610.0,1620.0,1610.0,1620.0,283500
2024-09-30,1620.0,1620.0,1600.0,1605.0,133800
2024-10-01,1620.0,1625.0,1600.0,1610.0,166200
2024-10-02,1610.0,1625.0,1610.0,1615.0,67700
2024-10-03,1625.0,1625.0,1610.0,1620.0,40100
2024-10-04,1620.0,1620.0,1605.0,1620.0,45600
2024-10-07,1620.0,1625.0,1615.0,1620.0,170000
2024-10-08,1625.0,1630.0,1610.0,1630.0,99000
2024-10-09,1630.0,1635.0,1620.0,1630.0,109200
2024-10-10,1635.0,1660.0,1630.0,1655.0,255300
