date,open,high,low,close,volume
2024-04-16,20.0,21.0,20.0,21.0,87834400
2024-04-17,20.0,20.0,19.0,19.0,62152300
2024-04-18,18.0,18.0,18.0,18.0,53675000
2024-04-19,17.0,17.0,17.0,17.0,41767300
2024-04-22,17.0,18.0,17.0,18.0,28725100
2024-04-23,19.0,19.0,19.0,19.0,12019200
2024-04-24,20.0,20.0,20.0,20.0,6800100
2024-04-25,22.0,22.0,22.0,22.0,14647400
2024-04-26,24.0,24.0,24.0,24.0,12821100
2024-04-29,26.0,26.0,25.0,25.0,41475700
2024-04-30,25.0,25.0,23.0,23.0,14757600
2024-05-02,21.0,21.0,21.0,21.0,16179800
2024-05-03,21.0,22.0,21.0,22.0,10639600
2024-05-06,21.0,21.0,21.0,21.0,7851200
2024-05-07,21.0,21.0,21.0,21.0,4128200
2024-05-08,22.0,22.0,22.0,22.0,19413800
2024-05-13,22.0,22.0,22.0,22.0,6311500
2024-05-14,22.0,22.0,22.0,22.0,3526400
2024-05-15,21.0,21.0,20.0,20.0,17327100
2024-05-16,20.0,20.0,20.0,20.0,7813400
2024-05-17,20.0,20.0,20.0,20.0,10628700
2024-05-20,20.0,20.0,20.0,20.0,19941000
2024-05-21,20.0,20.0,20.0,20.0,17523400
2024-05-22,20.0,20.0,20.0,20.0,14983000
2024-05-27,20.0,20.0,19.0,19.0,8463400
2024-05-28,18.0,18.0,18.0,18.0,28065500
2024-05-29,18.0,18.0,17.0,17.0,23275100
2024-05-30,16.0,16.0,16.0,16.0,15232400
2024-05-31,16.0,17.0,16.0,17.0,4853700
2024-06-03,17.0,17.0,17.0,17.0,6149500
2024-06-04,17.0,17.0,17.0,17.0,9275200
2024-06-05,17.0,17.0,17.0,17.0,3676700
2024-06-06,17.0,17.0,17.0,17.0,4342900
2024-06-07,17.0,17.0,17.0,17.0,7486200
2024-06-10,17.0,17.0,17.0,17.0,4550900
2024-06-11,17.0,17.0,17.0,17.0,17119200
2024-06-12,17.0,17.0,17.0,17.0,6157300
2024-06-13,17.0,17.0,16.0,16.0,9491600
2024-06-14,15.0,15.0,15.0,15.0,12096400
2024-06-19,14.0,14.0,14.0,14.0,13889800
2024-06-20,14.0,15.0,14.0,15.0,8183100
2024-06-21,15.0,16.0,15.0,16.0,3063000
2024-06-24,16.0,17.0,16.0,17.0,3138500
2024-06-25,17.0,17.0,17.0,17.0,3092600
2024-06-26,17.0,17.0,16.0,16.0,2755800
2024-06-27,16.0,16.0,15.0,16.0,2399000
2024-06-28,16.0,16.0,16.0,16.0,4353100
2024-07-01,16.0,16.0,15.0,16.0,6619500
2024-07-02,16.0,16.0,16.0,16.0,5350100
2024-07-03,16.0,16.0,16.0,16.0,2577800
2024-07-04,16.0,16.0,15.0,16.0,3615200
2024-07-05,16.0,16.0,16.0,16.0,1372800
2024-07-08,16.0,16.0,16.0,16.0,3247200
2024-07-09,16.0,16.0,15.0,15.0,3056800
2024-07-10,15.0,16.0,15.0,16.0,10882700
2024-07-11,16.0,16.0,15.0,15.0,5067900
2024-07-12,16.0,16.0,16.0,16.0,8224700
2024-07-15,16.0,16.0,16.0,16.0,10208800
2024-07-16,17.0,17.0,17.0,17.0,5451500
2024-07-17,18.0,18.0,18.0,18.0,8815200
2024-07-18,19.0,19.0,19.0,19.0,1849000
2024-07-19,20.0,20.0,20.0,20.0,2634000
2024-07-22,21.0,22.0,21.0,22.0,23549500
2024-07-23,23.0,23.0,23.0,23.0,15193200
2024-07-24,23.0,23.0,22.0,22.0,6917900
2024-07-25,21.0,21.0,20.0,20.0,3841800
2024-07-26,19.0,19.0,19.0,19.0,3376000
2024-07-29,19.0,19.0,19.0,19.0,11136600
2024-07-30,19.0,20.0,19.0,20.0,2064900
2024-07-31,19.0,20.0,19.0,20.0,842900
2024-08-01,20.0,20.0,19.0,19.0,2001300
2024-08-02,19.0,19.0,19.0,19.0,2950900
2024-08-05,19.0,19.0,18.0,18.0,3721800
2024-08-06,18.0,18.0,17.0,18.0,5115300
2024-08-07,18.0,18.0,18.0,18.0,8463200
2024-08-08,18.0,18.0,17.0,18.0,3736500
2024-08-09,17.0,18.0,17.0,18.0,6508500
2024-08-12,18.0,18.0,18.0,18.0,7519500
2024-08-13,18.0,18.0,18.0,18.0,3476100
2024-08-14,19.0,19.0,18.0,18.0,4335200
2024-08-15,19.0,19.0,19.0,19.0,4937100
2024-08-16,19.0,19.0,19.0,19.0,1349100
2024-08-19,18.0,18.0,18.0,18.0,14281300
2024-08-20,18.0,19.0,18.0,19.0,10047600
2024-08-21,19.0,19.0,18.0,18.0,4279500
2024-08-22,18.0,19.0,18.0,19.0,6134600
2024-08-23,19.0,19.0,19.0,19.0,6436000
2024-08-26,19.0,19.0,19.0,19.0,2925900
