date,open,high,low,close,volume
2024-04-16,50.0,50.0,50.0,50.0,49000
2024-04-17,50.0,50.0,50.0,50.0,5100
2024-04-18,50.0,50.0,50.0,50.0,2400
2024-04-19,50.0,50.0,50.0,50.0,2900
2024-04-22,50.0,50.0,50.0,50.0,100
2024-04-23,50.0,50.0,50.0,50.0,15500
2024-04-24,50.0,50.0,50.0,50.0,11000
2024-04-25,50.0,50.0,50.0,50.0,122000
2024-04-26,50.0,50.0,50.0,50.0,43700
2024-04-29,50.0,50.0,50.0,50.0,63000
2024-04-30,50.0,50.0,50.0,50.0,200
2024-05-02,50.0,50.0,50.0,50.0,3800
2024-05-03,50.0,50.0,50.0,50.0,0
2024-05-06,50.0,50.0,50.0,50.0,3000
2024-05-07,50.0,50.0,50.0,50.0,12100
2024-05-08,50.0,50.0,50.0,50.0,100
2024-05-13,50.0,50.0,50.0,50.0,25683500
2024-05-14,50.0,50.0,50.0,50.0,25000
2024-05-15,50.0,50.0,50.0,50.0,3500
2024-05-16,50.0,50.0,50.0,50.0,400
2024-05-17,50.0,50.0,50.0,50.0,300
2024-05-20,50.0,50.0,50.0,50.0,2900
2024-05-21,50.0,50.0,50.0,50.0,2300
2024-05-22,50.0,50.0,50.0,50.0,100
2024-05-27,50.0,50.0,50.0,50.0,2100
2024-05-28,50.0,50.0,50.0,50.0,2800
2024-05-29,50.0,50.0,50.0,50.0,20100
2024-05-30,50.0,50.0,50.0,50.0,93900
2024-05-31,50.0,50.0,50.0,50.0,100
2024-06-03,50.0,50.0,50.0,50.0,232700
2024-06-04,50.0,50.0,50.0,50.0,200
2024-06-05,50.0,50.0,50.0,50.0,4000
2024-06-06,50.0,50.0,50.0,50.0,1100
2024-06-07,50.0,50.0,50.0,50.0,0
2024-06-10,50.0,50.0,50.0,50.0,0
2024-06-11,50.0,50.0,50.0,50.0,7700
2024-06-12,50.0,50.0,50.0,50.0,400
2024-06-13,50.0,50.0,50.0,50.0,0
2024-06-14,50.0,50.0,50.0,50.0,0
2024-06-19,50.0,50.0,50.0,50.0,100
2024-06-20,50.0,50.0,50.0,50.0,1000
2024-06-21,50.0,50.0,50.0,50.0,10000
2024-06-24,50.0,50.0,50.0,50.0,100
2024-06-25,50.0,50.0,50.0,50.0,2900
2024-06-26,50.0,50.0,50.0,50.0,4400
2024-06-27,50.0,50.0,50.0,50.0,100
2024-06-28,50.0,50.0,50.0,50.0,23000
2024-07-01,50.0,50.0,50.0,50.0,1100
2024-07-02,50.0,50.0,50.0,50.0,0
2024-07-03,50.0,50.0,50.0,50.0,2000
2024-07-04,50.0,50.0,50.0,50.0,100
2024-07-05,50.0,50.0,50.0,50.0,1700
2024-07-08,50.0,50.0,50.0,50.0,2800
2024-07-09,50.0,50.0,50.0,50.0,2000
2024-07-10,50.0,50.0,50.0,50.0,1800
2024-07-11,50.0,50.0,50.0,50.0,1500
2024-07-12,50.0,50.0,50.0,50.0,2000
2024-07-15,50.0,50.0,50.0,50.0,2100
2024-07-16,50.0,50.0,50.0,50.0,900
2024-07-17,50.0,50.0,50.0,50.0,1000
2024-07-18,50.0,50.0,50.0,50.0,4400
2024-07-19,50.0,50.0,50.0,50.0,22900
2024-07-22,50.0,50.0,50.0,50.0,200
2024-07-23,50.0,50.0,50.0,50.0,8600
2024-07-24,50.0,50.0,50.0,50.0,22700
2024-07-25,50.0,50.0,50.0,50.0,11700
2024-07-26,50.0,50.0,50.0,50.0,21900
2024-07-29,50.0,50.0,50.0,50.0,700
2024-07-30,50.0,50.0,50.0,50.0,4100
2024-07-31,50.0,50.0,50.0,50.0,10000
2024-08-01,50.0,50.0,50.0,50.0,600
2024-08-02,50.0,50.0,50.0,50.0,700
2024-08-05,50.0,50.0,50.0,50.0,400
2024-08-06,50.0,50.0,50.0,50.0,300
2024-08-07,50.0,50.0,50.0,50.0,0
2024-08-08,50.0,50.0,50.0,50.0,11300
2024-08-09,50.0,50.0,50.0,50.0,900
2024-08-12,50.0,50.0,50.0,50.0,10200
2024-08-13,50.0,50.0,50.0,50.0,2400
2024-08-14,50.0,50.0,50.0,50.0,0
2024-08-15,50.0,50.0,50.0,50.0,10000
2024-08-16,50.0,50.0,50.0,50.0,20500
2024-08-19,50.0,50.0,50.0,50.0,4500
2024-08-20,50.0,50.0,50.0,50.0,40600
2024-08-21,50.0,50.0,50.0,50.0,5700
2024-08-22,50.0,50.0,50.0,50.0,2100
2024-08-23,50.0,50.0,50.0,50.0,28500
2024-08-26,50.0,50.0,50.0,50.0,41300
2024-08-27,50.0,50.0,50.0,50.0,10100
2024-08-28,50.0,50.0,50.0,50.0,43700
2024-08-29,50.0,50.0,50.0,50.0,1500
2024-08-30,50.0,50.0,50.0,50.0,1400
2024-09-02,50.0,50.0,50.0,50.0,778900
2024-09-03,50.0,50.0,50.0,50.0,111000
2024-09-04,50.0,50.0,50.0,50.0,10300
2024-09-05,50.0,50.0,50.0,50.0,52300
2024-09-06,50.0,50.0,50.0,50.0,25000
2024-09-09,50.0,50.0,50.0,50.0,900
2024-09-10,50.0,50.0,50.0,50.0,304500
2024-09-11,50.0,50.0,50.0,50.0,3500
2024-09-12,50.0,50.0,50.0,50.0,23100
2024-09-13,50.0,50.0,50.0,50.0,17100
2024-09-17,50.0,50.0,50.0,50.0,1500
2024-09-18,50.0,50.0,50.0,50.0,3100
2024-09-19,50.0,50.0,50.0,50.0,35200
2024-09-20,50.0,50.0,50.0,50.0,2600
2024-09-23,50.0,50.0,50.0,50.0,5200
2024-09-24,50.0,50.0,50.0,50.0,15500
2024-09-25,50.0,50.0,50.0,50.0,8600
2024-09-26,50.0,50.0,50.0,50.0,12200
2024-09-27,50.0,50.0,50.0,50.0,2200
2024-09-30,50.0,50.0,50.0,50.0,17700
2024-10-01,50.0,50.0,50.0,50.0,100
2024-10-02,50.0,50.0,50.0,50.0,1600
2024-10-03,50.0,50.0,50.0,50.0,1100
2024-10-04,50.0,50.0,50.0,50.0,500
2024-10-07,50.0,50.0,50.0,50.0,100
2024-10-08,50.0,50.0,50.0,50.0,12400
2024-10-09,50.0,50.0,50.0,50.0,0
2024-10-10,50.0,50.0,50.0,50.0,2100
2024-10-11,50.0,50.0,50.0,50.0,4800
2024-10-14,50.0,50.0,50.0,50.0,1000
2024-10-15,50.0,50.0,50.0,50.0,284700
2024-10-16,50.0,50.0,50.0,50.0,7000
2024-10-17,50.0,50.0,50.0,50.0,2000
2024-10-18,50.0,50.0,50.0,50.0,600
2024-10-21,50.0,50.0,50.0,50.0,19700
2024-10-22,50.0,50.0,50.0,50.0,3300
2024-10-23,50.0,50.0,50.0,50.0,800
2024-10-24,50.0,50.0,50.0,50.0,13100
2024-10-25,50.0,50.0,50.0,50.0,400
2024-10-28,50.0,50.0,50.0,50.0,1200
2024-10-29,50.0,50.0,50.0,50.0,9000
2024-10-30,50.0,50.0,50.0,50.0,9600
2024-10-31,50.0,50.0,50.0,50.0,5100
2024-11-01,50.0,50.0,50.0,50.0,200
2024-11-04,50.0,50.0,50.0,50.0,10600
2024-11-05,50.0,50.0,50.0,50.0,300
2024-11-06,50.0,50.0,50.0,50.0,4100
2024-11-07,50.0,50.0,50.0,50.0,308200
2024-11-08,50.0,50.0,50.0,50.0,18900
2024-11-11,50.0,50.0,50.0,50.0,51100
2024-11-12,50.0,50.0,50.0,50.0,600
2024-11-13,50.0,50.0,50.0,50.0,1100
2024-11-14,50.0,50.0,50.0,50.0,1800
2024-11-15,50.0,50.0,50.0,50.0,0
2024-11-18,50.0,50.0,50.0,50.0,500
2024-11-19,50.0,50.0,50.0,50.0,300
2024-11-20,50.0,50.0,50.0,50.0,1200
2024-11-21,50.0,50.0,50.0,50.0,1200
2024-11-22,50.0,50.0,50.0,50.0,2100
2024-11-25,50.0,50.0,50.0,50.0,10000
2024-11-26,50.0,50.0,50.0,50.0,11900
2024-11-28,50.0,50.0,50.0,50.0,7100
2024-11-29,50.0,50.0,50.0,50.0,3100
2024-12-02,50.0,50.0,50.0,50.0,200
2024-12-03,50.0,50.0,50.0,50.0,3200
2024-12-04,50.0,50.0,50.0,50.0,81500
2024-12-05,50.0,50.0,50.0,50.0,22000
2024-12-06,50.0,50.0,50.0,50.0,700
2024-12-09,50.0,50.0,50.0,50.0,1200
2024-12-10,50.0,50.0,50.0,50.0,700
2024-12-11,50.0,50.0,50.0,50.0,900
2024-12-12,50.0,50.0,50.0,50.0,310000
2024-12-13,50.0,50.0,50.0,50.0,200
2024-12-16,50.0,50.0,50.0,50.0,300
2024-12-17,50.0,50.0,50.0,50.0,700
2024-12-18,50.0,50.0,50.0,50.0,900
2024-12-19,50.0,50.0,50.0,50.0,2100
2024-12-20,50.0,50.0,50.0,50.0,21000
2024-12-23,50.0,50.0,50.0,50.0,8400
2024-12-24,50.0,50.0,50.0,50.0,0
2024-12-27,50.0,50.0,50.0,50.0,200
2024-12-30,50.0,50.0,50.0,50.0,400
2025-01-02,50.0,50.0,50.0,50.0,200
2025-01-03,50.0,50.0,50.0,50.0,2000
2025-01-06,50.0,50.0,50.0,50.0,700
2025-01-07,50.0,50.0,50.0,50.0,600
2025-01-08,50.0,50.0,50.0,50.0,6200
2025-01-09,50.0,50.0,50.0,50.0,1500
2025-01-10,50.0,50.0,50.0,50.0,6200
2025-01-13,50.0,50.0,50.0,50.0,31200
2025-01-14,50.0,50.0,50.0,50.0,100
2025-01-15,50.0,50.0,50.0,50.0,700
2025-01-16,50.0,50.0,50.0,50.0,200
2025-01-17,50.0,50.0,50.0,50.0,2300
2025-01-20,50.0,50.0,50.0,50.0,600
2025-01-21,50.0,50.0,50.0,50.0,100
2025-01-22,50.0,50.0,50.0,50.0,100
2025-01-23,50.0,50.0,50.0,50.0,600
2025-01-24,50.0,50.0,50.0,50.0,1100
2025-01-30,50.0,50.0,50.0,50.0,6700
2025-01-31,50.0,50.0,50.0,50.0,500
2025-02-03,50.0,50.0,50.0,50.0,500
2025-02-04,50.0,50.0,50.0,50.0,3600
2025-02-05,50.0,50.0,50.0,50.0,500
2025-02-06,50.0,50.0,50.0,50.0,800
2025-02-07,50.0,50.0,50.0,50.0,700
2025-02-10,50.0,50.0,50.0,50.0,1700
2025-02-11,50.0,50.0,50.0,50.0,0
2025-02-12,50.0,50.0,50.0,50.0,2100
2025-02-13,50.0,50.0,50.0,50.0,1000
2025-02-14,50.0,50.0,50.0,50.0,0
2025-02-17,50.0,50.0,50.0,50.0,100
2025-02-18,50.0,50.0,50.0,50.0,1300
2025-02-19,50.0,50.0,50.0,50.0,2100
2025-02-20,50.0,50.0,50.0,50.0,900
2025-02-21,50.0,50.0,50.0,50.0,0
2025-02-24,50.0,50.0,50.0,50.0,1000
2025-02-25,50.0,50.0,50.0,50.0,1100
2025-02-26,50.0,50.0,50.0,50.0,600
2025-02-27,50.0,50.0,50.0,50.0,20000
2025-02-28,50.0,50.0,50.0,50.0,1000
2025-03-03,50.0,50.0,50.0,50.0,1000
2025-03-04,50.0,50.0,50.0,50.0,100
2025-03-05,50.0,50.0,50.0,50.0,400
2025-03-06,50.0,50.0,50.0,50.0,0
2025-03-07,50.0,50.0,50.0,50.0,2500
2025-03-10,50.0,50.0,50.0,50.0,5700
2025-03-11,50.0,50.0,50.0,50.0,600
2025-03-12,50.0,50.0,50.0,50.0,0
2025-03-13,50.0,50.0,50.0,50.0,2000
2025-03-14,50.0,50.0,50.0,50.0,200
2025-03-17,50.0,50.0,50.0,50.0,100
2025-03-18,50.0,50.0,50.0,50.0,10000
2025-03-19,50.0,50.0,50.0,50.0,500
2025-03-20,50.0,50.0,50.0,50.0,0
2025-03-21,50.0,50.0,50.0,50.0,200
2025-03-24,50.0,50.0,50.0,50.0,0
2025-03-25,50.0,50.0,50.0,50.0,1000
2025-03-26,50.0,50.0,50.0,50.0,2000
2025-03-27,50.0,50.0,50.0,50.0,1200
2025-04-08,50.0,50.0,50.0,50.0,30800
2025-04-09,50.0,50.0,50.0,50.0,100
2025-04-10,50.0,50.0,50.0,50.0,10200
2025-04-11,50.0,50.0,50.0,50.0,100
2025-04-14,50.0,50.0,50.0,50.0,13300
2025-04-15,50.0,50.0,50.0,50.0,300
2025-04-16,50.0,50.0,50.0,50.0,1100
2025-04-17,50.0,50.0,50.0,50.0,300
2025-04-21,50.0,50.0,50.0,50.0,600
2025-04-22,50.0,50.0,50.0,50.0,6500
2025-04-23,50.0,50.0,50.0,50.0,300
2025-04-24,50.0,50.0,50.0,50.0,500
2025-04-25,50.0,50.0,50.0,50.0,1000
2025-04-28,50.0,50.0,50.0,50.0,1000
2025-04-29,50.0,50.0,50.0,50.0,4100
2025-04-30,50.0,50.0,50.0,50.0,2200
2025-05-02,50.0,50.0,50.0,50.0,10300
2025-05-05,50.0,50.0,50.0,50.0,16900
2025-05-06,50.0,50.0,50.0,50.0,2100
2025-05-07,50.0,50.0,50.0,50.0,1200
2025-05-08,50.0,50.0,50.0,50.0,96200
2025-05-09,50.0,50.0,50.0,50.0,153800
2025-05-14,50.0,50.0,50.0,50.0,34100
2025-05-15,50.0,50.0,50.0,50.0,2300
2025-05-16,50.0,50.0,50.0,50.0,13100
2025-05-19,50.0,50.0,50.0,50.0,200
2025-05-20,50.0,50.0,50.0,50.0,13500
2025-05-21,50.0,50.0,50.0,50.0,87900
2025-05-22,50.0,50.0,50.0,50.0,3600
2025-05-23,50.0,50.0,50.0,50.0,11700
2025-05-26,50.0,50.0,50.0,50.0,135700
2025-05-27,50.0,50.0,50.0,50.0,24500
2025-05-28,45.0,45.0,45.0,45.0,187200
2025-06-02,41.0,41.0,41.0,41.0,143500
2025-06-03,37.0,37.0,37.0,37.0,227200
2025-06-04,34.0,34.0,34.0,34.0,286100
2025-06-05,31.0,31.0,31.0,31.0,359500
2025-06-10,28.0,28.0,28.0,28.0,513100
2025-06-11,26.0,26.0,26.0,26.0,589700
2025-06-12,24.0,24.0,24.0,24.0,1812900
2025-06-13,22.0,26.0,22.0,26.0,64609200
2025-06-16,28.0,28.0,28.0,28.0,4794500
2025-06-17,30.0,30.0,30.0,30.0,1823700
2025-06-18,33.0,33.0,33.0,33.0,1304700
2025-06-19,36.0,36.0,36.0,36.0,13853900
2025-06-20,33.0,33.0,33.0,33.0,2854200
2025-06-23,30.0,30.0,30.0,30.0,644100
2025-06-24,27.0,27.0,27.0,27.0,34896600
2025-06-25,27.0,28.0,27.0,28.0,5262800
2025-06-26,30.0,30.0,30.0,30.0,2837700
2025-06-30,33.0,33.0,33.0,33.0,6893900
2025-07-01,30.0,31.0,30.0,31.0,10834100
2025-07-02,31.0,32.0,31.0,32.0,1164900
2025-07-03,31.0,31.0,31.0,31.0,439800
2025-07-04,31.0,31.0,30.0,30.0,403200
2025-07-07,29.0,29.0,27.0,29.0,2690100
2025-07-08,28.0,28.0,27.0,27.0,1259500
2025-07-09,27.0,29.0,27.0,29.0,1040700
2025-07-10,28.0,29.0,28.0,29.0,925500
2025-07-11,29.0,29.0,28.0,29.0,909400
2025-07-14,29.0,29.0,27.0,27.0,18166500
2025-07-15,28.0,28.0,27.0,27.0,1335800
2025-07-16,27.0,28.0,27.0,28.0,1360000
2025-07-17,27.0,28.0,27.0,28.0,706800
2025-07-18,27.0,27.0,27.0,27.0,1671100
2025-07-21,28.0,28.0,27.0,27.0,2825400
2025-07-22,27.0,27.0,27.0,27.0,4306300
2025-07-23,27.0,28.0,27.0,27.0,2499100
2025-07-24,27.0,27.0,26.0,26.0,1152200
2025-07-25,26.0,27.0,26.0,27.0,665400
