date,open,high,low,close,volume
2024-04-16,1370.0,1410.0,1365.0,1370.0,91478600
2024-04-17,1380.0,1405.0,1370.0,1390.0,42969400
2024-04-18,1390.0,1395.0,1365.0,1375.0,32568400
2024-04-19,1375.0,1375.0,1345.0,1350.0,41564600
2024-04-22,1355.0,1375.0,1340.0,1340.0,31310800
2024-04-23,1350.0,1385.0,1345.0,1370.0,44447400
2024-04-24,1375.0,1380.0,1315.0,1325.0,33010100
2024-04-25,1325.0,1335.0,1290.0,1320.0,45248200
2024-04-26,1325.0,1325.0,1275.0,1280.0,38713100
2024-04-29,1295.0,1330.0,1285.0,1320.0,38054700
2024-04-30,1430.0,1485.0,1415.0,1470.0,260115900
2024-05-02,1445.0,1460.0,1420.0,1460.0,73186400
2024-05-03,1465.0,1515.0,1460.0,1515.0,112891800
2024-05-06,1525.0,1530.0,1480.0,1505.0,46006100
2024-05-07,1505.0,1505.0,1480.0,1500.0,38240500
2024-05-08,1495.0,1520.0,1475.0,1520.0,59500300
2024-05-13,1520.0,1530.0,1500.0,1520.0,40059200
2024-05-14,1500.0,1505.0,1435.0,1480.0,75312700
2024-05-15,1480.0,1510.0,1470.0,1485.0,29779500
2024-05-16,1490.0,1505.0,1485.0,1495.0,20135100
2024-05-17,1500.0,1520.0,1495.0,1515.0,24621800
2024-05-20,1525.0,1600.0,1520.0,1575.0,127570400
2024-05-21,1590.0,1600.0,1550.0,1565.0,43311900
2024-05-22,1565.0,1615.0,1565.0,1590.0,72382300
2024-05-27,1590.0,1595.0,1555.0,1580.0,43823100
2024-05-28,1590.0,1640.0,1570.0,1635.0,75529800
2024-05-29,1635.0,1635.0,1595.0,1610.0,47165900
2024-05-30,1615.0,1650.0,1565.0,1635.0,99720600
2024-05-31,1635.0,1635.0,1580.0,1580.0,65354200
2024-06-03,1600.0,1620.0,1590.0,1590.0,37183600
2024-06-04,1605.0,1630.0,1600.0,1620.0,67744600
2024-06-05,1620.0,1625.0,1575.0,1585.0,61844400
2024-06-06,1590.0,1605.0,1585.0,1605.0,46979000
2024-06-07,1605.0,1615.0,1585.0,1590.0,71486800
2024-06-10,1470.0,1470.0,1430.0,1435.0,83519000
2024-06-11,1440.0,1460.0,1435.0,1435.0,65956400
2024-06-12,1435.0,1440.0,1395.0,1400.0,53998900
2024-06-13,1410.0,1450.0,1410.0,1440.0,47466200
2024-06-14,1450.0,1460.0,1405.0,1420.0,53300600
2024-06-19,1430.0,1435.0,1395.0,1410.0,19440800
2024-06-20,1410.0,1450.0,1410.0,1430.0,32866900
2024-06-21,1435.0,1525.0,1425.0,1505.0,108675300
2024-06-24,1505.0,1540.0,1495.0,1530.0,53635200
2024-06-25,1535.0,1555.0,1530.0,1555.0,36860400
2024-06-26,1555.0,1560.0,1520.0,1545.0,22730900
2024-06-27,1545.0,1550.0,1530.0,1540.0,22925000
2024-06-28,1535.0,1560.0,1530.0,1540.0,28690500
2024-07-01,1540.0,1550.0,1510.0,1545.0,26923500
2024-07-02,1545.0,1590.0,1535.0,1590.0,84257900
2024-07-03,1590.0,1615.0,1575.0,1600.0,68227300
2024-07-04,1610.0,1620.0,1590.0,1600.0,39504900
2024-07-05,1600.0,1620.0,1600.0,1610.0,30695500
2024-07-08,1600.0,1630.0,1600.0,1625.0,27908600
2024-07-09,1605.0,1610.0,1510.0,1515.0,141698200
2024-07-10,1525.0,1545.0,1505.0,1520.0,91788900
2024-07-11,1530.0,1565.0,1525.0,1560.0,54170100
2024-07-12,1565.0,1585.0,1560.0,1580.0,30054600
2024-07-15,1585.0,1595.0,1560.0,1580.0,17056600
2024-07-16,1580.0,1635.0,1580.0,1610.0,55415500
2024-07-17,1630.0,1630.0,1615.0,1620.0,26276100
2024-07-18,1620.0,1625.0,1610.0,1615.0,16959100
2024-07-19,1620.0,1630.0,1580.0,1595.0,22147100
2024-07-22,1605.0,1620.0,1595.0,1615.0,13980300
2024-07-23,1605.0,1620.0,1595.0,1595.0,16005600
2024-07-24,1595.0,1600.0,1575.0,1585.0,19525300
2024-07-25,1585.0,1600.0,1550.0,1555.0,43484500
2024-07-26,1565.0,1595.0,1565.0,1580.0,23660700
2024-07-29,1590.0,1605.0,1585.0,1605.0,26796400
2024-07-30,1605.0,1610.0,1585.0,1605.0,23602800
2024-07-31,1615.0,1615.0,1590.0,1600.0,20831400
2024-08-01,1600.0,1605.0,1590.0,1590.0,14582700
2024-08-02,1585.0,1610.0,1585.0,1585.0,21969200
2024-08-05,1585.0,1585.0,1505.0,1530.0,73254900
2024-08-06,1530.0,1555.0,1515.0,1535.0,34932500
2024-08-07,1530.0,1560.0,1530.0,1555.0,35799000
2024-08-08,1550.0,1580.0,1550.0,1565.0,24638200
2024-08-09,1575.0,1595.0,1545.0,1570.0,29247700
2024-08-12,1575.0,1590.0,1560.0,1585.0,19668500
2024-08-13,1595.0,1610.0,1565.0,1590.0,51526600
2024-08-14,1600.0,1620.0,1595.0,1620.0,26875400
2024-08-15,1620.0,1620.0,1595.0,1605.0,23738300
2024-08-16,1615.0,1620.0,1600.0,1600.0,14691700
2024-08-19,1600.0,1665.0,1600.0,1635.0,77167200
2024-08-20,1645.0,1650.0,1610.0,1635.0,46639900
2024-08-21,1635.0,1635.0,1605.0,1615.0,38132800
2024-08-22,1615.0,1640.0,1590.0,1630.0,41605500
2024-08-23,1635.0,1690.0,1630.0,1690.0,91590300
2024-08-26,1695.0,1700.0,1665.0,1680.0,32651400
2024-08-27,1655.0,1655.0,1570.0,1580.0,245090600
2024-08-28,1585.0,1585.0,1560.0,1575.0,50373900
2024-08-29,1580.0,1585.0,1545.0,1550.0,56221600
2024-08-30,1550.0,1560.0,1525.0,1540.0,51704200
2024-09-02,1540.0,1560.0,1535.0,1545.0,54339300
2024-09-03,1545.0,1570.0,1545.0,1555.0,34002800
2024-09-04,1545.0,1550.0,1525.0,1525.0,32173900
2024-09-05,1530.0,1545.0,1525.0,1530.0,28644900
2024-09-06,1515.0,1535.0,1510.0,1515.0,54463200
2024-09-09,1515.0,1525.0,1505.0,1510.0,43776100
2024-09-10,1510.0,1515.0,1470.0,1475.0,108187600
2024-09-11,1480.0,1495.0,1475.0,1485.0,39112500
2024-09-12,1485.0,1510.0,1475.0,1495.0,45904300
2024-09-13,1505.0,1510.0,1480.0,1495.0,44835200
2024-09-17,1495.0,1505.0,1485.0,1495.0,29029600
2024-09-18,1500.0,1505.0,1495.0,1500.0,28006500
2024-09-19,1495.0,1500.0,1470.0,1480.0,77043300
2024-09-20,1475.0,1490.0,1435.0,1490.0,115453800
2024-09-23,1490.0,1500.0,1475.0,1490.0,35961900
2024-09-24,1500.0,1500.0,1480.0,1485.0,47845800
2024-09-25,1490.0,1500.0,1460.0,1470.0,48215700
2024-09-26,1475.0,1480.0,1465.0,1480.0,28541500
2024-09-27,1480.0,1485.0,1465.0,1470.0,36651900
2024-09-30,1475.0,1485.0,1435.0,1435.0,73179900
2024-10-01,1440.0,1455.0,1435.0,1450.0,36017600
2024-10-02,1450.0,1470.0,1430.0,1440.0,68416800
2024-10-03,1445.0,1465.0,1440.0,1460.0,37875200
2024-10-04,1465.0,1515.0,1460.0,1500.0,126456400
2024-10-07,1515.0,1535.0,1500.0,1505.0,67435900
2024-10-08,1505.0,1510.0,1485.0,1505.0,60413800
2024-10-09,1510.0,1515.0,1490.0,1505.0,29862500
2024-10-10,1510.0,1510.0,1490.0,1505.0,33954900
2024-10-11,1510.0,1540.0,1505.0,1520.0,50007400
2024-10-14,1530.0,1555.0,1515.0,1545.0,83492600
2024-10-15,1545.0,1550.0,1525.0,1530.0,36778700
2024-10-16,1530.0,1545.0,1505.0,1545.0,63614300
2024-10-17,1550.0,1555.0,1525.0,1535.0,55425900
2024-10-18,1535.0,1535.0,1510.0,1525.0,33027000
2024-10-21,1525.0,1555.0,1515.0,1545.0,49300700
2024-10-22,1550.0,1560.0,1535.0,1545.0,33481100
2024-10-23,1550.0,1570.0,1540.0,1550.0,57763200
2024-10-24,1555.0,1555.0,1530.0,1530.0,25520800
2024-10-25,1530.0,1535.0,1500.0,1500.0,32979100
2024-10-28,1490.0,1510.0,1490.0,1500.0,20382900
2024-10-29,1505.0,1510.0,1485.0,1495.0,18544400
2024-10-30,1495.0,1515.0,1475.0,1505.0,26041500
2024-10-31,1510.0,1565.0,1505.0,1565.0,88125000
2024-11-01,1565.0,1570.0,1530.0,1530.0,29992000
2024-11-04,1530.0,1530.0,1500.0,1510.0,29052300
2024-11-05,1510.0,1525.0,1505.0,1515.0,13911300
2024-11-06,1515.0,1530.0,1505.0,1515.0,24517100
2024-11-07,1515.0,1575.0,1515.0,1560.0,81339500
2024-11-08,1570.0,1570.0,1520.0,1530.0,30071700
2024-11-11,1530.0,1530.0,1470.0,1495.0,47646800
2024-11-12,1495.0,1530.0,1490.0,1525.0,30609800
2024-11-13,1525.0,1525.0,1505.0,1505.0,11183900
2024-11-14,1505.0,1510.0,1480.0,1480.0,22082800
2024-11-15,1480.0,1500.0,1480.0,1485.0,9712600
2024-11-18,1490.0,1495.0,1460.0,1465.0,12951400
2024-11-19,1475.0,1505.0,1470.0,1505.0,13026100
2024-11-20,1505.0,1510.0,1485.0,1490.0,8252700
2024-11-21,1500.0,1510.0,1495.0,1495.0,13457900
2024-11-22,1510.0,1515.0,1490.0,1495.0,17575800
2024-11-25,1505.0,1575.0,1500.0,1570.0,84402100
2024-11-26,1570.0,1575.0,1535.0,1535.0,27779100
