date,open,high,low,close,volume
2024-04-16,136.0,159.0,133.0,139.0,217400
2024-04-17,143.0,143.0,136.0,139.0,4200
2024-04-18,132.0,141.0,132.0,140.0,49800
2024-04-19,131.0,140.0,119.0,119.0,293200
2024-04-22,123.0,135.0,118.0,129.0,109600
2024-04-23,129.0,134.0,123.0,129.0,14500
2024-04-24,128.0,133.0,122.0,124.0,22500
2024-04-25,121.0,124.0,121.0,122.0,500
2024-04-26,127.0,127.0,118.0,127.0,183100
2024-04-29,125.0,127.0,119.0,120.0,9900
2024-04-30,115.0,126.0,115.0,120.0,4300
2024-05-02,118.0,125.0,118.0,125.0,13500
2024-05-03,124.0,125.0,121.0,125.0,6700
2024-05-06,125.0,125.0,115.0,117.0,3300
2024-05-07,123.0,125.0,117.0,122.0,5600
2024-05-08,122.0,125.0,115.0,125.0,151800
2024-05-13,118.0,125.0,118.0,124.0,2300
2024-05-14,120.0,125.0,116.0,117.0,12700
2024-05-15,117.0,130.0,117.0,119.0,84900
2024-05-16,116.0,124.0,116.0,124.0,7200
2024-05-17,124.0,125.0,116.0,124.0,48200
2024-05-20,123.0,124.0,117.0,117.0,27500
2024-05-21,118.0,123.0,118.0,118.0,8900
2024-05-22,120.0,120.0,118.0,119.0,1000
2024-05-27,119.0,119.0,115.0,118.0,16100
2024-05-28,120.0,120.0,115.0,116.0,26100
2024-05-29,114.0,120.0,112.0,119.0,35400
2024-05-30,120.0,120.0,115.0,116.0,2600
2024-05-31,120.0,120.0,115.0,118.0,50700
2024-06-03,118.0,120.0,118.0,118.0,4700
2024-06-04,120.0,120.0,112.0,120.0,2600
2024-06-05,110.0,120.0,110.0,111.0,1500
2024-06-06,110.0,119.0,110.0,115.0,1400
2024-06-07,119.0,120.0,115.0,117.0,3400
2024-06-10,117.0,119.0,110.0,111.0,18800
2024-06-11,110.0,118.0,110.0,110.0,9000
2024-06-12,117.0,117.0,111.0,112.0,56700
2024-06-13,111.0,117.0,111.0,116.0,5900
2024-06-14,122.0,122.0,110.0,116.0,80500
2024-06-19,118.0,118.0,105.0,113.0,53400
2024-06-20,119.0,119.0,110.0,112.0,3300
2024-06-21,112.0,119.0,105.0,115.0,16300
2024-06-24,109.0,117.0,109.0,115.0,900
2024-06-25,117.0,117.0,111.0,111.0,1200
2024-06-26,115.0,115.0,109.0,114.0,3700
2024-06-27,120.0,120.0,107.0,115.0,700
2024-06-28,117.0,117.0,112.0,115.0,4400
2024-07-01,119.0,119.0,108.0,108.0,2000
2024-07-02,109.0,116.0,109.0,116.0,3000
2024-07-03,117.0,118.0,109.0,111.0,17200
2024-07-04,111.0,115.0,111.0,114.0,3700
2024-07-05,111.0,111.0,111.0,111.0,43000
2024-07-08,115.0,115.0,109.0,115.0,500
2024-07-09,116.0,116.0,116.0,116.0,100
2024-07-10,117.0,117.0,108.0,117.0,282100
2024-07-11,112.0,116.0,110.0,116.0,2000
2024-07-12,116.0,116.0,111.0,111.0,1000
2024-07-15,115.0,115.0,107.0,108.0,14100
2024-07-16,115.0,115.0,108.0,114.0,900
2024-07-17,114.0,115.0,108.0,109.0,65000
2024-07-18,115.0,121.0,112.0,117.0,164300
2024-07-19,117.0,119.0,110.0,116.0,85900
2024-07-22,116.0,118.0,115.0,118.0,29500
2024-07-23,118.0,118.0,107.0,113.0,275200
2024-07-24,117.0,117.0,109.0,113.0,2600
2024-07-25,113.0,113.0,107.0,111.0,13300
2024-07-26,117.0,117.0,107.0,111.0,7600
2024-07-29,112.0,112.0,107.0,111.0,600
2024-07-30,111.0,111.0,108.0,110.0,6100
2024-07-31,110.0,110.0,109.0,109.0,1900
2024-08-01,117.0,117.0,106.0,111.0,33900
2024-08-02,110.0,111.0,100.0,108.0,32500
2024-08-05,108.0,108.0,99.0,107.0,18800
2024-08-06,109.0,109.0,107.0,107.0,900
2024-08-07,110.0,110.0,101.0,108.0,300
2024-08-08,109.0,109.0,106.0,106.0,2400
2024-08-09,101.0,106.0,101.0,106.0,4800
2024-08-12,106.0,112.0,101.0,112.0,6100
2024-08-13,107.0,109.0,107.0,108.0,142900
2024-08-14,118.0,118.0,102.0,102.0,110800
2024-08-15,97.0,114.0,97.0,110.0,38100
2024-08-16,115.0,116.0,108.0,108.0,14200
2024-08-19,108.0,108.0,108.0,108.0,1100
2024-08-20,112.0,122.0,104.0,114.0,144000
2024-08-21,107.0,116.0,107.0,115.0,45200
2024-08-22,115.0,116.0,109.0,114.0,2900
2024-08-23,113.0,123.0,113.0,115.0,34100
