date,open,high,low,close,volume
2024-04-16,890.0,890.0,855.0,865.0,549100
2024-04-17,865.0,875.0,835.0,845.0,656600
2024-04-18,860.0,860.0,845.0,850.0,121500
2024-04-19,850.0,850.0,820.0,820.0,577000
2024-04-22,835.0,855.0,815.0,830.0,150000
2024-04-23,835.0,860.0,835.0,850.0,172600
2024-04-24,850.0,860.0,825.0,830.0,159600
2024-04-25,830.0,850.0,820.0,820.0,188900
2024-04-26,825.0,825.0,690.0,690.0,1014100
2024-04-29,700.0,700.0,570.0,620.0,7200700
2024-04-30,620.0,655.0,610.0,640.0,2169100
2024-05-02,645.0,645.0,630.0,635.0,1021500
2024-05-03,635.0,670.0,635.0,650.0,1062000
2024-05-06,660.0,685.0,650.0,655.0,860200
2024-05-07,655.0,665.0,635.0,655.0,653300
2024-05-08,655.0,655.0,640.0,640.0,70700
2024-05-13,645.0,665.0,625.0,640.0,864000
2024-05-14,640.0,660.0,625.0,655.0,726900
2024-05-15,660.0,660.0,645.0,650.0,102700
2024-05-16,650.0,675.0,650.0,670.0,363700
2024-05-17,675.0,680.0,665.0,680.0,139500
2024-05-20,685.0,685.0,665.0,670.0,238600
2024-05-21,670.0,675.0,665.0,670.0,46500
2024-05-22,670.0,680.0,665.0,680.0,65300
2024-05-27,680.0,680.0,655.0,655.0,189600
2024-05-28,655.0,675.0,650.0,650.0,595100
2024-05-29,650.0,655.0,650.0,655.0,74300
2024-05-30,655.0,655.0,630.0,650.0,148500
2024-05-31,660.0,665.0,640.0,655.0,495400
2024-06-03,655.0,655.0,645.0,645.0,68700
2024-06-04,645.0,660.0,645.0,655.0,94800
2024-06-05,655.0,655.0,645.0,650.0,68900
2024-06-06,645.0,660.0,645.0,655.0,31400
2024-06-07,655.0,655.0,645.0,650.0,72900
2024-06-10,650.0,655.0,640.0,650.0,95200
2024-06-11,650.0,655.0,645.0,655.0,187300
2024-06-12,655.0,655.0,640.0,640.0,114500
2024-06-13,635.0,655.0,635.0,645.0,44300
2024-06-14,655.0,655.0,640.0,645.0,184000
2024-06-19,640.0,650.0,625.0,625.0,223400
2024-06-20,625.0,635.0,620.0,625.0,71100
2024-06-21,630.0,650.0,625.0,640.0,52000
2024-06-24,640.0,650.0,640.0,640.0,113300
2024-06-25,645.0,655.0,635.0,640.0,81900
2024-06-26,640.0,655.0,640.0,650.0,190800
2024-06-27,650.0,660.0,640.0,660.0,72800
2024-06-28,665.0,670.0,660.0,660.0,112300
2024-07-01,660.0,665.0,650.0,665.0,158300
2024-07-02,665.0,665.0,660.0,660.0,41700
2024-07-03,660.0,680.0,660.0,675.0,106000
2024-07-04,675.0,680.0,675.0,675.0,56500
2024-07-05,680.0,695.0,680.0,695.0,219900
2024-07-08,695.0,725.0,690.0,715.0,233900
2024-07-09,715.0,725.0,715.0,715.0,174200
2024-07-10,720.0,725.0,715.0,715.0,50700
2024-07-11,720.0,725.0,710.0,720.0,501700
2024-07-12,720.0,740.0,715.0,740.0,81200
2024-07-15,740.0,745.0,720.0,725.0,50000
2024-07-16,725.0,740.0,725.0,740.0,116300
2024-07-17,740.0,740.0,710.0,730.0,220200
2024-07-18,730.0,740.0,710.0,730.0,98600
2024-07-19,730.0,730.0,720.0,730.0,36400
2024-07-22,730.0,730.0,720.0,725.0,30700
2024-07-23,725.0,725.0,715.0,720.0,28700
2024-07-24,715.0,725.0,715.0,725.0,32500
2024-07-25,725.0,725.0,715.0,725.0,35200
2024-07-26,720.0,725.0,655.0,665.0,1388600
2024-07-29,665.0,665.0,640.0,655.0,1128300
2024-07-30,655.0,655.0,630.0,650.0,880100
2024-07-31,650.0,665.0,650.0,660.0,373600
2024-08-01,665.0,675.0,655.0,670.0,251700
2024-08-02,675.0,675.0,665.0,675.0,224700
2024-08-05,675.0,675.0,630.0,640.0,774000
2024-08-06,640.0,655.0,640.0,650.0,149200
2024-08-07,655.0,660.0,645.0,650.0,80900
2024-08-08,655.0,655.0,640.0,655.0,297200
2024-08-09,650.0,665.0,640.0,665.0,838600
