date,open,high,low,close,volume
2024-04-16,320.0,320.0,300.0,310.0,121600
2024-04-17,320.0,336.0,306.0,328.0,607400
2024-04-18,322.0,322.0,322.0,322.0,1600
2024-04-19,326.0,330.0,310.0,310.0,213500
2024-04-22,310.0,332.0,310.0,314.0,331900
2024-04-23,314.0,320.0,314.0,314.0,35000
2024-04-24,314.0,324.0,314.0,314.0,437500
2024-04-25,314.0,324.0,314.0,316.0,599100
2024-04-26,318.0,320.0,310.0,316.0,288600
2024-04-29,316.0,322.0,308.0,312.0,75000
2024-04-30,320.0,320.0,308.0,320.0,79200
2024-05-02,320.0,320.0,310.0,312.0,257700
2024-05-03,314.0,318.0,312.0,318.0,42400
2024-05-06,316.0,318.0,312.0,318.0,244800
2024-05-07,320.0,320.0,310.0,318.0,168100
2024-05-08,320.0,322.0,316.0,320.0,6600
2024-05-13,320.0,320.0,310.0,318.0,235100
2024-05-14,320.0,322.0,320.0,320.0,110100
2024-05-15,322.0,322.0,318.0,322.0,312600
2024-05-16,322.0,322.0,316.0,316.0,565200
2024-05-17,320.0,320.0,320.0,320.0,206700
2024-05-20,330.0,330.0,316.0,316.0,155500
2024-05-21,314.0,318.0,298.0,316.0,160000
2024-05-22,316.0,318.0,316.0,316.0,259600
2024-05-27,316.0,322.0,316.0,322.0,31800
2024-05-28,322.0,332.0,312.0,312.0,753900
2024-05-29,318.0,320.0,314.0,320.0,5700
2024-05-30,320.0,320.0,320.0,320.0,76800
2024-05-31,320.0,322.0,314.0,320.0,18100
2024-06-03,320.0,352.0,318.0,346.0,628900
2024-06-04,352.0,352.0,322.0,348.0,962900
2024-06-05,348.0,350.0,322.0,348.0,829900
2024-06-06,344.0,348.0,334.0,346.0,302500
2024-06-07,348.0,348.0,334.0,346.0,28900
2024-06-10,348.0,350.0,334.0,348.0,144700
2024-06-11,344.0,344.0,344.0,344.0,4600
2024-06-12,336.0,350.0,332.0,342.0,351500
2024-06-13,348.0,348.0,320.0,346.0,150500
2024-06-14,346.0,346.0,336.0,346.0,154300
2024-06-19,348.0,350.0,336.0,348.0,223800
2024-06-20,348.0,348.0,346.0,348.0,8700
2024-06-21,346.0,346.0,346.0,346.0,5000
2024-06-24,346.0,346.0,328.0,344.0,416900
2024-06-25,336.0,340.0,336.0,340.0,65400
2024-06-26,338.0,352.0,338.0,350.0,300800
2024-06-27,348.0,356.0,338.0,348.0,129000
2024-06-28,348.0,350.0,344.0,348.0,80900
2024-07-01,348.0,350.0,342.0,350.0,88200
2024-07-02,344.0,350.0,344.0,348.0,154900
2024-07-03,348.0,350.0,340.0,350.0,4600
2024-07-04,344.0,350.0,342.0,350.0,13500
2024-07-05,350.0,352.0,334.0,348.0,72800
2024-07-08,348.0,350.0,340.0,344.0,295700
2024-07-09,344.0,350.0,344.0,350.0,188400
2024-07-10,350.0,350.0,332.0,350.0,37800
2024-07-11,350.0,350.0,350.0,350.0,400
2024-07-12,334.0,348.0,330.0,348.0,28600
2024-07-15,348.0,354.0,336.0,352.0,56800
2024-07-16,350.0,352.0,348.0,352.0,25100
2024-07-17,352.0,352.0,340.0,352.0,5900
2024-07-18,340.0,352.0,336.0,350.0,6600
2024-07-19,350.0,350.0,340.0,340.0,176100
2024-07-22,348.0,354.0,342.0,348.0,72700
2024-07-23,348.0,358.0,346.0,346.0,642800
2024-07-24,344.0,350.0,340.0,350.0,268000
2024-07-25,350.0,350.0,340.0,340.0,207400
2024-07-26,344.0,350.0,342.0,350.0,40400
2024-07-29,350.0,354.0,346.0,352.0,348100
2024-07-30,348.0,352.0,348.0,352.0,42600
2024-07-31,348.0,354.0,348.0,348.0,70300
2024-08-01,348.0,352.0,348.0,352.0,14200
2024-08-02,350.0,352.0,342.0,352.0,800
2024-08-05,352.0,352.0,336.0,336.0,364400
2024-08-06,338.0,348.0,338.0,342.0,41400
2024-08-07,350.0,350.0,348.0,348.0,1700
2024-08-08,348.0,350.0,340.0,350.0,3800
2024-08-09,348.0,348.0,348.0,348.0,20700
2024-08-12,350.0,350.0,342.0,350.0,12200
2024-08-13,340.0,348.0,326.0,348.0,93500
2024-08-14,340.0,342.0,340.0,342.0,34200
2024-08-15,346.0,346.0,342.0,346.0,115100
2024-08-16,350.0,350.0,344.0,348.0,90700
2024-08-19,348.0,348.0,344.0,344.0,49400
2024-08-20,346.0,346.0,344.0,346.0,103200
2024-08-21,346.0,350.0,342.0,348.0,294400
2024-08-22,344.0,352.0,326.0,346.0,257300
2024-08-23,346.0,350.0,342.0,342.0,463300
2024-08-26,344.0,360.0,344.0,346.0,179800
2024-08-27,350.0,362.0,348.0,350.0,990100
2024-08-28,360.0,360.0,350.0,356.0,305800
2024-08-29,360.0,360.0,352.0,352.0,55300
2024-08-30,352.0,352.0,352.0,352.0,12800
2024-09-02,370.0,370.0,350.0,352.0,1212700
2024-09-03,356.0,356.0,350.0,350.0,447400
2024-09-04,362.0,362.0,346.0,350.0,962100
2024-09-05,348.0,350.0,346.0,348.0,410300
2024-09-06,354.0,354.0,348.0,352.0,417100
2024-09-09,352.0,360.0,350.0,358.0,1453200
2024-09-10,358.0,370.0,356.0,370.0,1734400
2024-09-11,370.0,390.0,370.0,390.0,5556600
2024-09-12,394.0,486.0,394.0,486.0,12192900
2024-09-13,540.0,605.0,510.0,605.0,11080600
2024-09-17,700.0,755.0,655.0,690.0,12801300
2024-09-18,700.0,750.0,640.0,665.0,3751100
2024-09-19,670.0,700.0,635.0,680.0,2380300
2024-09-20,680.0,840.0,670.0,730.0,8885700
2024-09-23,730.0,730.0,730.0,730.0,0
2024-09-24,730.0,780.0,680.0,735.0,2957000
2024-09-25,740.0,745.0,715.0,715.0,1556000
2024-09-26,715.0,740.0,685.0,720.0,1227600
2024-09-27,725.0,745.0,700.0,745.0,1213400
2024-09-30,745.0,920.0,720.0,910.0,7265200
2024-10-01,910.0,910.0,910.0,910.0,0
2024-10-02,910.0,910.0,910.0,910.0,0
2024-10-03,910.0,910.0,910.0,910.0,0
2024-10-04,910.0,910.0,910.0,910.0,0
2024-10-07,910.0,910.0,910.0,910.0,0
2024-10-08,910.0,910.0,910.0,910.0,0
2024-10-09,910.0,910.0,910.0,910.0,0
2024-10-10,820.0,820.0,820.0,820.0,3029000
2024-10-11,795.0,795.0,765.0,765.0,973600
2024-10-14,760.0,760.0,740.0,740.0,2082900
2024-10-15,740.0,740.0,740.0,740.0,1287500
2024-10-16,730.0,730.0,720.0,720.0,829200
2024-10-17,710.0,710.0,700.0,710.0,1191600
2024-10-18,700.0,780.0,700.0,780.0,2154200
2024-10-21,840.0,975.0,780.0,975.0,15530400
2024-10-22,980.0,1045.0,735.0,765.0,28237300
2024-10-23,810.0,815.0,740.0,775.0,7156600
2024-10-24,800.0,825.0,775.0,825.0,5435400
2024-10-25,825.0,885.0,825.0,880.0,7154600
2024-10-28,880.0,895.0,780.0,845.0,3749900
2024-10-29,845.0,860.0,805.0,810.0,998800
2024-10-30,815.0,850.0,810.0,815.0,434500
2024-10-31,825.0,850.0,820.0,835.0,945200
2024-11-01,850.0,850.0,815.0,815.0,667900
2024-11-04,815.0,840.0,790.0,800.0,1193800
2024-11-05,800.0,825.0,795.0,815.0,1004700
2024-11-06,820.0,850.0,820.0,820.0,339700
2024-11-07,825.0,835.0,805.0,825.0,690800
2024-11-08,840.0,840.0,820.0,830.0,186800
2024-11-11,840.0,840.0,805.0,835.0,809400
2024-11-12,840.0,850.0,825.0,840.0,726400
2024-11-13,835.0,845.0,825.0,835.0,741600
2024-11-14,835.0,835.0,820.0,825.0,467700
2024-11-15,825.0,830.0,810.0,810.0,848600
2024-11-18,820.0,825.0,810.0,810.0,284400
2024-11-19,805.0,825.0,800.0,820.0,1227600
2024-11-20,815.0,825.0,815.0,820.0,160000
2024-11-21,820.0,825.0,815.0,825.0,386000
2024-11-22,810.0,820.0,810.0,815.0,93000
2024-11-25,820.0,825.0,805.0,810.0,579900
2024-11-26,820.0,820.0,810.0,810.0,263500
2024-11-28,810.0,820.0,795.0,795.0,479300
2024-11-29,810.0,820.0,795.0,795.0,356000
2024-12-02,795.0,820.0,790.0,795.0,416100
2024-12-03,795.0,810.0,795.0,800.0,223100
2024-12-04,800.0,810.0,795.0,800.0,844200
2024-12-05,795.0,800.0,790.0,795.0,1141400
2024-12-06,795.0,795.0,790.0,795.0,275900
2024-12-09,795.0,805.0,790.0,795.0,303000
2024-12-10,800.0,800.0,790.0,800.0,245300
2024-12-11,800.0,805.0,790.0,795.0,413200
2024-12-12,795.0,805.0,790.0,795.0,247800
2024-12-13,790.0,800.0,790.0,790.0,415200
2024-12-16,800.0,800.0,785.0,785.0,305500
2024-12-17,790.0,800.0,780.0,780.0,278700
