date,open,high,low,close,volume
2024-04-16,125.0,130.0,122.0,129.0,43800.0
2024-04-17,130.0,134.0,123.0,128.0,59600.0
2024-04-18,135.0,135.0,131.0,131.0,26700.0
2024-04-19,125.0,130.0,121.0,129.0,7800.0
2024-04-22,129.0,149.0,126.0,131.0,587100.0
2024-04-23,131.0,138.0,127.0,132.0,22200.0
2024-04-24,131.0,136.0,128.0,129.0,20900.0
2024-04-25,134.0,145.0,129.0,132.0,1189100.0
2024-04-26,132.0,137.0,132.0,137.0,19500.0
2024-04-29,137.0,137.0,130.0,135.0,3700.0
2024-04-30,137.0,137.0,131.0,131.0,13800.0
2024-05-02,137.0,137.0,130.0,134.0,12000.0
2024-05-03,132.0,133.0,132.0,133.0,1100.0
2024-05-06,130.0,141.0,129.0,134.0,140100.0
2024-05-07,140.0,140.0,134.0,136.0,11100.0
2024-05-08,141.0,141.0,130.0,137.0,26500.0
2024-05-13,136.0,137.0,131.0,132.0,10000.0
2024-05-14,136.0,136.0,131.0,131.0,70200.0
2024-05-15,136.0,148.0,132.0,136.0,574900.0
2024-05-16,135.0,140.0,130.0,132.0,129900.0
2024-05-17,135.0,138.0,130.0,130.0,43800.0
2024-05-20,130.0,139.0,129.0,133.0,151300.0
2024-05-21,133.0,133.0,127.0,127.0,159600.0
2024-05-22,132.0,132.0,128.0,132.0,14300.0
2024-05-27,129.0,129.0,129.0,129.0,300.0
2024-05-28,129.0,132.0,127.0,132.0,22200.0
2024-05-29,131.0,134.0,130.0,130.0,254800.0
2024-05-30,129.0,135.0,109.0,115.0,376200.0
2024-05-31,118.0,123.0,116.0,121.0,15200.0
2024-06-03,125.0,125.0,114.0,118.0,34900.0
2024-06-04,123.0,135.0,122.0,125.0,394900.0
2024-06-05,124.0,128.0,120.0,122.0,22600.0
2024-06-06,124.0,129.0,120.0,124.0,69100.0
2024-06-07,121.0,125.0,119.0,119.0,33000.0
2024-06-10,124.0,124.0,119.0,121.0,4500.0
2024-06-11,120.0,124.0,120.0,123.0,3200.0
2024-06-12,123.0,123.0,120.0,120.0,18500.0
2024-06-13,124.0,124.0,118.0,122.0,31900.0
2024-06-14,124.0,124.0,116.0,123.0,8500.0
2024-06-19,123.0,124.0,116.0,116.0,61500.0
2024-06-20,115.0,121.0,115.0,118.0,23900.0
2024-06-21,121.0,125.0,120.0,120.0,66800.0
2024-06-24,124.0,125.0,114.0,116.0,45400.0
2024-06-25,117.0,117.0,109.0,109.0,249600.0
2024-06-26,110.0,117.0,109.0,112.0,17800.0
