date,open,high,low,close,volume
2024-04-16,685.0,685.0,680.0,680.0,5708100
2024-04-17,685.0,695.0,680.0,680.0,6163700
2024-04-18,685.0,685.0,680.0,680.0,2368100
2024-04-19,680.0,685.0,675.0,680.0,4787400
2024-04-22,680.0,680.0,675.0,680.0,2535800
2024-04-23,680.0,685.0,675.0,685.0,1358600
2024-04-24,685.0,690.0,680.0,680.0,5166500
2024-04-25,685.0,685.0,680.0,685.0,1450200
2024-04-26,685.0,685.0,675.0,675.0,3141900
2024-04-29,675.0,685.0,670.0,675.0,7063300
2024-04-30,675.0,685.0,675.0,680.0,4277500
2024-05-02,680.0,680.0,670.0,680.0,4743500
2024-05-03,675.0,680.0,670.0,680.0,4291700
2024-05-06,675.0,690.0,675.0,680.0,8877700
2024-05-07,680.0,685.0,670.0,675.0,3303500
2024-05-08,675.0,680.0,670.0,675.0,7783200
2024-05-13,675.0,675.0,670.0,670.0,4785400
2024-05-14,675.0,675.0,670.0,675.0,1537400
2024-05-15,675.0,675.0,665.0,665.0,3742000
2024-05-16,665.0,675.0,665.0,670.0,8961400
2024-05-17,670.0,675.0,665.0,670.0,8547500
2024-05-20,670.0,680.0,665.0,675.0,7516300
2024-05-21,675.0,675.0,670.0,670.0,909300
2024-05-22,675.0,675.0,665.0,665.0,2993000
2024-05-27,670.0,670.0,665.0,670.0,12403300
2024-05-28,670.0,670.0,665.0,670.0,2970500
2024-05-29,670.0,670.0,660.0,660.0,17436700
2024-05-30,665.0,670.0,660.0,660.0,7553300
2024-05-31,665.0,665.0,660.0,665.0,3646600
2024-06-03,665.0,665.0,660.0,665.0,10314500
2024-06-04,665.0,670.0,660.0,665.0,8043600
2024-06-05,665.0,670.0,660.0,665.0,6791800
2024-06-06,665.0,670.0,660.0,665.0,12312500
2024-06-07,660.0,660.0,620.0,625.0,33375800
2024-06-10,625.0,630.0,620.0,620.0,9844100
2024-06-11,620.0,625.0,620.0,625.0,3805400
2024-06-12,630.0,630.0,610.0,615.0,8480100
2024-06-13,615.0,625.0,615.0,620.0,2647600
2024-06-14,625.0,625.0,610.0,615.0,3341000
2024-06-19,610.0,620.0,605.0,610.0,5996000
2024-06-20,610.0,615.0,605.0,615.0,2665200
2024-06-21,615.0,620.0,610.0,615.0,3196900
2024-06-24,620.0,620.0,610.0,620.0,1682300
2024-06-25,620.0,635.0,615.0,630.0,5337300
2024-06-26,630.0,635.0,625.0,630.0,2152700
2024-06-27,635.0,635.0,625.0,630.0,1291300
2024-06-28,630.0,640.0,625.0,640.0,5229800
2024-07-01,640.0,645.0,630.0,640.0,5078100
2024-07-02,645.0,650.0,630.0,645.0,5038000
2024-07-03,645.0,655.0,640.0,645.0,3557400
2024-07-04,650.0,670.0,645.0,660.0,8193400
2024-07-05,660.0,670.0,655.0,665.0,3091700
2024-07-08,675.0,685.0,660.0,675.0,6243300
2024-07-09,670.0,680.0,665.0,675.0,8061600
2024-07-10,675.0,680.0,670.0,675.0,2899400
2024-07-11,680.0,695.0,675.0,690.0,10479400
2024-07-12,690.0,695.0,680.0,685.0,3460600
2024-07-15,685.0,690.0,670.0,680.0,10195000
2024-07-16,680.0,690.0,675.0,680.0,2253400
2024-07-17,680.0,685.0,670.0,685.0,7691500
2024-07-18,685.0,685.0,675.0,685.0,3498400
2024-07-19,685.0,690.0,675.0,675.0,1810900
2024-07-22,680.0,685.0,670.0,675.0,2409700
2024-07-23,675.0,685.0,670.0,685.0,6006300
2024-07-24,685.0,685.0,675.0,685.0,2797700
2024-07-25,685.0,685.0,675.0,680.0,2957600
2024-07-26,680.0,685.0,670.0,675.0,3182600
2024-07-29,675.0,680.0,670.0,675.0,1154800
2024-07-30,675.0,680.0,670.0,675.0,1469600
2024-07-31,675.0,680.0,670.0,670.0,1504900
2024-08-01,665.0,670.0,660.0,665.0,4243100
2024-08-02,665.0,670.0,660.0,660.0,2946100
2024-08-05,660.0,665.0,650.0,660.0,5995100
2024-08-06,660.0,665.0,645.0,660.0,4747900
2024-08-07,660.0,665.0,655.0,655.0,1367500
2024-08-08,660.0,665.0,655.0,660.0,899600
2024-08-09,660.0,665.0,655.0,660.0,884500
2024-08-12,660.0,660.0,655.0,660.0,692500
2024-08-13,660.0,665.0,655.0,660.0,1901200
2024-08-14,660.0,665.0,655.0,660.0,1345800
2024-08-15,660.0,665.0,655.0,660.0,2953900
2024-08-16,660.0,665.0,660.0,665.0,1027500
2024-08-19,660.0,670.0,655.0,665.0,3049100
2024-08-20,665.0,670.0,660.0,665.0,3104500
2024-08-21,665.0,670.0,660.0,670.0,2403700
2024-08-22,670.0,670.0,655.0,660.0,5156400
2024-08-23,660.0,670.0,660.0,670.0,2675700
2024-08-26,670.0,675.0,660.0,670.0,6883100
2024-08-27,670.0,680.0,670.0,675.0,3055200
2024-08-28,675.0,680.0,670.0,675.0,1989500
2024-08-29,675.0,680.0,670.0,675.0,4664500
2024-08-30,675.0,680.0,670.0,675.0,4004800
2024-09-02,675.0,680.0,670.0,675.0,1099400
2024-09-03,680.0,680.0,670.0,675.0,3074100
2024-09-04,675.0,680.0,665.0,675.0,6129700
2024-09-05,675.0,685.0,670.0,680.0,3818300
2024-09-06,680.0,685.0,675.0,685.0,4336000
2024-09-09,685.0,690.0,675.0,685.0,2864500
2024-09-10,685.0,690.0,680.0,685.0,4963900
2024-09-11,685.0,695.0,680.0,695.0,4960100
2024-09-12,695.0,700.0,685.0,695.0,3460700
2024-09-13,700.0,700.0,685.0,690.0,3782000
2024-09-17,690.0,700.0,685.0,700.0,5342900
2024-09-18,695.0,705.0,690.0,700.0,3173500
2024-09-19,700.0,700.0,695.0,700.0,5632200
2024-09-20,700.0,705.0,695.0,700.0,5214700
2024-09-23,715.0,715.0,690.0,695.0,5136100
2024-09-24,695.0,705.0,690.0,700.0,2451600
2024-09-25,695.0,705.0,695.0,700.0,2476900
2024-09-26,700.0,700.0,690.0,695.0,1657700
2024-09-27,695.0,700.0,690.0,695.0,3215600
2024-09-30,705.0,705.0,685.0,695.0,3956600
2024-10-01,695.0,700.0,690.0,700.0,3328000
2024-10-02,700.0,700.0,685.0,685.0,2695600
2024-10-03,685.0,705.0,680.0,700.0,6355300
2024-10-04,700.0,720.0,695.0,720.0,10860500
2024-10-07,720.0,720.0,700.0,705.0,6298800
2024-10-08,710.0,710.0,690.0,705.0,6885600
2024-10-09,705.0,710.0,700.0,705.0,576900
2024-10-10,705.0,710.0,700.0,700.0,3468000
2024-10-11,705.0,720.0,700.0,710.0,6210500
2024-10-14,710.0,720.0,700.0,710.0,7747600
2024-10-15,710.0,715.0,705.0,715.0,1625300
2024-10-16,715.0,715.0,705.0,710.0,896500
2024-10-17,710.0,710.0,700.0,705.0,4657900
2024-10-18,705.0,710.0,700.0,705.0,1226200
2024-10-21,705.0,710.0,700.0,705.0,1893700
2024-10-22,705.0,710.0,705.0,710.0,1388500
2024-10-23,710.0,710.0,700.0,705.0,1560800
2024-10-24,705.0,705.0,700.0,705.0,1393200
