date,open,high,low,close,volume
2024-04-16,93.0,94.0,93.0,93.0,62000
2024-04-17,93.0,94.0,91.0,93.0,47900
2024-04-18,92.0,95.0,90.0,95.0,65000
2024-04-19,93.0,95.0,91.0,93.0,144700
2024-04-22,92.0,96.0,92.0,95.0,663100
2024-04-23,95.0,95.0,91.0,94.0,143400
2024-04-24,92.0,97.0,92.0,93.0,425200
2024-04-25,92.0,94.0,92.0,94.0,4200
2024-04-26,92.0,97.0,91.0,94.0,49200
2024-04-29,92.0,95.0,92.0,95.0,244400
2024-04-30,92.0,94.0,92.0,94.0,19200
2024-05-02,92.0,96.0,90.0,93.0,394300
2024-05-03,92.0,98.0,90.0,94.0,338800
2024-05-06,92.0,95.0,91.0,93.0,41200
2024-05-07,92.0,93.0,91.0,92.0,53300
2024-05-08,92.0,93.0,90.0,92.0,75000
2024-05-13,92.0,95.0,91.0,92.0,554300
2024-05-14,91.0,94.0,91.0,92.0,779800
2024-05-15,92.0,93.0,91.0,93.0,362700
2024-05-16,92.0,93.0,91.0,93.0,268600
2024-05-17,92.0,94.0,91.0,93.0,152300
2024-05-20,92.0,94.0,91.0,92.0,116100
2024-05-21,92.0,93.0,89.0,90.0,273500
2024-05-22,91.0,94.0,89.0,91.0,405600
2024-05-27,91.0,95.0,90.0,92.0,865900
2024-05-28,92.0,92.0,90.0,91.0,696400
2024-05-29,91.0,93.0,90.0,92.0,390900
2024-05-30,90.0,91.0,88.0,89.0,249200
2024-05-31,90.0,90.0,89.0,90.0,132500
2024-06-03,90.0,94.0,89.0,91.0,225000
2024-06-04,91.0,92.0,89.0,90.0,190900
2024-06-05,90.0,93.0,89.0,91.0,106400
2024-06-06,91.0,92.0,89.0,92.0,53000
2024-06-07,92.0,92.0,91.0,92.0,18400
2024-06-10,92.0,95.0,90.0,92.0,502400
2024-06-11,92.0,92.0,90.0,90.0,71800
2024-06-12,90.0,91.0,90.0,91.0,17100
2024-06-13,90.0,91.0,90.0,91.0,37600
2024-06-14,91.0,94.0,89.0,90.0,70600
2024-06-19,90.0,93.0,90.0,91.0,25200
2024-06-20,92.0,95.0,89.0,93.0,197200
2024-06-21,93.0,93.0,90.0,92.0,40300
2024-06-24,92.0,95.0,89.0,91.0,289900
2024-06-25,91.0,95.0,91.0,91.0,264600
2024-06-26,93.0,96.0,91.0,94.0,643800
2024-06-27,94.0,94.0,91.0,94.0,9700
2024-06-28,94.0,94.0,91.0,93.0,19300
2024-07-01,94.0,96.0,91.0,93.0,94400
2024-07-02,95.0,95.0,91.0,92.0,64400
2024-07-03,92.0,96.0,92.0,93.0,11500
2024-07-04,95.0,96.0,93.0,94.0,646800
2024-07-05,95.0,96.0,93.0,93.0,217700
2024-07-08,93.0,98.0,93.0,94.0,53900
2024-07-09,95.0,97.0,93.0,96.0,99600
2024-07-10,95.0,97.0,94.0,95.0,112800
2024-07-11,97.0,98.0,94.0,96.0,156600
2024-07-12,94.0,97.0,94.0,97.0,10100
2024-07-15,97.0,97.0,95.0,96.0,38700
2024-07-16,96.0,100.0,95.0,97.0,267900
2024-07-17,97.0,98.0,94.0,97.0,97000
2024-07-18,96.0,99.0,96.0,98.0,155400
2024-07-19,99.0,103.0,98.0,101.0,427200
2024-07-22,100.0,102.0,97.0,99.0,42300
2024-07-23,100.0,101.0,99.0,99.0,22900
2024-07-24,99.0,100.0,98.0,99.0,123200
2024-07-25,100.0,104.0,93.0,99.0,264000
2024-07-26,100.0,102.0,100.0,100.0,35300
2024-07-29,100.0,102.0,98.0,99.0,37200
2024-07-30,102.0,105.0,98.0,100.0,7300
2024-07-31,101.0,101.0,98.0,99.0,26800
2024-08-01,101.0,101.0,99.0,99.0,133600
2024-08-02,100.0,101.0,99.0,100.0,37000
2024-08-05,99.0,101.0,92.0,97.0,358700
2024-08-06,95.0,97.0,93.0,96.0,83700
2024-08-07,96.0,96.0,93.0,95.0,77900
2024-08-08,95.0,99.0,94.0,98.0,190000
2024-08-09,99.0,102.0,98.0,98.0,316400
2024-08-12,98.0,107.0,96.0,103.0,1459900
2024-08-13,104.0,111.0,103.0,108.0,2514300
2024-08-14,108.0,108.0,104.0,108.0,465400
2024-08-15,108.0,110.0,106.0,110.0,1889100
2024-08-16,110.0,111.0,108.0,110.0,2136400
2024-08-19,111.0,112.0,109.0,109.0,3445400
2024-08-20,107.0,112.0,107.0,111.0,3479400
2024-08-21,108.0,109.0,103.0,106.0,2676700
2024-08-22,106.0,109.0,104.0,106.0,835500
2024-08-23,106.0,109.0,105.0,107.0,496000
2024-08-26,107.0,107.0,105.0,107.0,342300
2024-08-27,107.0,107.0,104.0,106.0,287700
2024-08-28,107.0,107.0,103.0,105.0,913300
2024-08-29,105.0,105.0,103.0,104.0,192900
2024-08-30,106.0,106.0,104.0,105.0,171900
2024-09-02,105.0,106.0,104.0,106.0,614600
2024-09-03,107.0,108.0,105.0,106.0,641000
2024-09-04,106.0,106.0,104.0,106.0,187800
2024-09-05,105.0,106.0,105.0,106.0,133000
2024-09-06,106.0,106.0,105.0,105.0,182900
2024-09-09,105.0,106.0,104.0,105.0,1725900
2024-09-10,105.0,106.0,104.0,104.0,92900
2024-09-11,105.0,106.0,104.0,106.0,368800
2024-09-12,106.0,108.0,104.0,107.0,1735700
2024-09-13,106.0,108.0,105.0,107.0,1405400
2024-09-17,107.0,108.0,105.0,106.0,158400
2024-09-18,106.0,106.0,104.0,104.0,255400
2024-09-19,105.0,107.0,105.0,106.0,203200
2024-09-20,106.0,106.0,104.0,105.0,162800
2024-09-23,105.0,107.0,104.0,104.0,393500
2024-09-24,105.0,106.0,102.0,105.0,360800
2024-09-25,105.0,107.0,105.0,106.0,367200
2024-09-26,106.0,107.0,105.0,106.0,828500
2024-09-27,105.0,107.0,105.0,105.0,254000
2024-09-30,105.0,107.0,105.0,105.0,34800
2024-10-01,104.0,107.0,104.0,106.0,416900
2024-10-02,107.0,110.0,107.0,107.0,1491000
2024-10-03,107.0,109.0,107.0,109.0,813700
2024-10-04,109.0,110.0,107.0,109.0,1028400
2024-10-07,109.0,110.0,108.0,109.0,386100
2024-10-08,109.0,109.0,107.0,109.0,1114700
2024-10-09,109.0,110.0,108.0,109.0,1243500
2024-10-10,108.0,108.0,104.0,106.0,390700
2024-10-11,106.0,107.0,106.0,106.0,923000
2024-10-14,107.0,107.0,105.0,106.0,50500
2024-10-15,107.0,107.0,106.0,106.0,59300
2024-10-16,106.0,107.0,105.0,106.0,67800
2024-10-17,107.0,107.0,106.0,107.0,121000
2024-10-18,107.0,107.0,106.0,107.0,111700
2024-10-21,107.0,108.0,106.0,107.0,91900
2024-10-22,107.0,109.0,106.0,107.0,364100
2024-10-23,107.0,107.0,105.0,106.0,523800
2024-10-24,107.0,108.0,106.0,106.0,209400
2024-10-25,107.0,108.0,106.0,106.0,26200
2024-10-28,108.0,108.0,106.0,106.0,18000
2024-10-29,107.0,107.0,106.0,106.0,75400
2024-10-30,105.0,107.0,104.0,106.0,411200
2024-10-31,106.0,107.0,104.0,106.0,402900
2024-11-01,106.0,106.0,105.0,106.0,159000
2024-11-04,106.0,107.0,105.0,106.0,92300
2024-11-05,106.0,107.0,105.0,106.0,19300
2024-11-06,106.0,106.0,103.0,105.0,741500
2024-11-07,105.0,105.0,102.0,105.0,173200
2024-11-08,105.0,115.0,104.0,108.0,1114300
2024-11-11,108.0,114.0,103.0,107.0,1191800
2024-11-12,107.0,109.0,105.0,105.0,227800
2024-11-13,106.0,108.0,105.0,105.0,200100
2024-11-14,106.0,107.0,103.0,103.0,188100
2024-11-15,104.0,106.0,103.0,105.0,85300
2024-11-18,105.0,106.0,104.0,105.0,396500
2024-11-19,105.0,105.0,98.0,103.0,415000
2024-11-20,103.0,103.0,100.0,103.0,84000
2024-11-21,104.0,107.0,102.0,102.0,146700
2024-11-22,101.0,105.0,100.0,105.0,34900
2024-11-25,105.0,105.0,98.0,103.0,372300
2024-11-26,103.0,104.0,101.0,103.0,79000
2024-11-28,104.0,104.0,101.0,101.0,61100
2024-11-29,101.0,102.0,100.0,102.0,102000
2024-12-02,102.0,103.0,102.0,102.0,78700
2024-12-03,103.0,103.0,101.0,103.0,37200
2024-12-04,102.0,107.0,101.0,106.0,266100
2024-12-05,105.0,106.0,103.0,104.0,21400
2024-12-06,104.0,105.0,104.0,104.0,26400
2024-12-09,104.0,104.0,103.0,104.0,280100
2024-12-10,104.0,105.0,103.0,105.0,86400
2024-12-11,106.0,106.0,104.0,105.0,130300
2024-12-12,105.0,105.0,104.0,105.0,65300
2024-12-13,105.0,105.0,104.0,105.0,327500
2024-12-16,105.0,106.0,103.0,106.0,2375400
2024-12-17,104.0,106.0,104.0,106.0,443600
2024-12-18,105.0,108.0,104.0,106.0,195900
2024-12-19,108.0,108.0,104.0,104.0,532300
2024-12-20,106.0,106.0,105.0,105.0,264900
2024-12-23,105.0,106.0,104.0,106.0,142900
2024-12-24,104.0,106.0,104.0,105.0,520500
2024-12-27,106.0,106.0,104.0,106.0,33700
2024-12-30,105.0,105.0,102.0,104.0,49800
2025-01-02,104.0,105.0,102.0,104.0,36700
2025-01-03,104.0,104.0,103.0,104.0,42600
2025-01-06,103.0,106.0,102.0,106.0,203500
2025-01-07,105.0,106.0,104.0,105.0,66500
2025-01-08,105.0,106.0,104.0,106.0,72800
2025-01-09,105.0,107.0,102.0,105.0,82800
2025-01-10,106.0,106.0,105.0,106.0,32200
2025-01-13,106.0,107.0,104.0,104.0,150200
2025-01-14,106.0,107.0,105.0,106.0,164800
2025-01-15,106.0,107.0,106.0,106.0,46300
2025-01-16,107.0,107.0,106.0,107.0,39300
2025-01-17,107.0,107.0,104.0,107.0,219800
2025-01-20,107.0,107.0,104.0,104.0,74200
2025-01-21,105.0,106.0,104.0,105.0,150800
2025-01-22,105.0,106.0,104.0,105.0,115300
2025-01-23,105.0,105.0,104.0,104.0,65600
2025-01-24,104.0,105.0,104.0,105.0,15300
2025-01-30,105.0,105.0,104.0,104.0,33800
2025-01-31,104.0,105.0,103.0,104.0,62400
2025-02-03,105.0,105.0,103.0,103.0,83000
2025-02-04,104.0,105.0,104.0,104.0,59400
2025-02-05,103.0,105.0,103.0,103.0,494300
2025-02-06,105.0,105.0,102.0,103.0,45700
2025-02-07,103.0,104.0,102.0,102.0,47000
2025-02-10,102.0,105.0,102.0,103.0,21400
2025-02-11,104.0,104.0,103.0,103.0,4600
2025-02-12,104.0,104.0,94.0,103.0,37900
2025-02-13,103.0,104.0,102.0,102.0,45500
2025-02-14,103.0,103.0,100.0,103.0,313600
2025-02-17,103.0,103.0,101.0,102.0,239800
2025-02-18,102.0,102.0,101.0,102.0,52700
2025-02-19,102.0,103.0,102.0,103.0,94300
2025-02-20,101.0,104.0,101.0,103.0,42200
2025-02-21,103.0,104.0,102.0,104.0,427900
2025-02-24,105.0,105.0,103.0,103.0,23700
2025-02-25,105.0,105.0,101.0,102.0,132400
2025-02-26,104.0,105.0,101.0,102.0,76800
2025-02-27,104.0,104.0,100.0,102.0,42100
2025-02-28,101.0,102.0,99.0,101.0,552300
2025-03-03,101.0,102.0,99.0,102.0,323500
2025-03-04,102.0,102.0,100.0,101.0,28100
2025-03-05,101.0,102.0,99.0,101.0,23600
2025-03-06,103.0,103.0,93.0,101.0,284600
2025-03-07,102.0,102.0,100.0,100.0,16700
2025-03-10,100.0,102.0,100.0,102.0,21400
2025-03-11,100.0,102.0,99.0,102.0,32200
2025-03-12,100.0,102.0,100.0,102.0,18100
2025-03-13,101.0,102.0,101.0,101.0,25200
2025-03-14,101.0,101.0,99.0,100.0,27300
2025-03-17,100.0,101.0,98.0,100.0,20500
2025-03-18,101.0,101.0,99.0,100.0,34000
2025-03-19,99.0,100.0,97.0,99.0,187500
2025-03-20,101.0,101.0,99.0,100.0,22500
2025-03-21,100.0,100.0,98.0,100.0,19300
2025-03-24,100.0,100.0,97.0,100.0,21900
2025-03-25,100.0,100.0,93.0,99.0,58500
2025-03-26,99.0,101.0,95.0,99.0,165500
2025-03-27,99.0,103.0,99.0,101.0,22500
2025-04-08,99.0,101.0,91.0,97.0,167900
2025-04-09,96.0,102.0,88.0,93.0,660500
2025-04-10,93.0,97.0,92.0,95.0,101100
2025-04-11,94.0,96.0,93.0,94.0,65300
2025-04-14,94.0,94.0,89.0,90.0,1067000
2025-04-15,90.0,93.0,90.0,91.0,180800
2025-04-16,91.0,93.0,91.0,92.0,48000
2025-04-17,94.0,94.0,91.0,93.0,30000
2025-04-21,93.0,93.0,92.0,93.0,14800
2025-04-22,93.0,94.0,92.0,94.0,132000
2025-04-23,93.0,94.0,92.0,93.0,367000
2025-04-24,93.0,96.0,92.0,95.0,120100
2025-04-25,95.0,99.0,94.0,95.0,98500
2025-04-28,95.0,97.0,94.0,96.0,90400
2025-04-29,96.0,98.0,95.0,98.0,97900
2025-04-30,97.0,98.0,96.0,97.0,64800
2025-05-02,97.0,100.0,95.0,99.0,70700
2025-05-05,97.0,101.0,97.0,99.0,124200
2025-05-06,95.0,99.0,95.0,99.0,99600
2025-05-07,95.0,99.0,95.0,97.0,76200
2025-05-08,97.0,99.0,94.0,97.0,77600
2025-05-09,97.0,97.0,93.0,95.0,287600
2025-05-14,95.0,95.0,93.0,95.0,115300
2025-05-15,95.0,99.0,95.0,99.0,179200
2025-05-16,100.0,100.0,96.0,99.0,206600
2025-05-19,95.0,102.0,95.0,100.0,183700
2025-05-20,100.0,102.0,99.0,101.0,188000
2025-05-21,101.0,102.0,96.0,100.0,123700
2025-05-22,100.0,102.0,100.0,100.0,75400
2025-05-23,101.0,101.0,100.0,100.0,18200
2025-05-26,101.0,104.0,100.0,102.0,167700
2025-05-27,102.0,103.0,100.0,100.0,147400
2025-05-28,103.0,103.0,100.0,101.0,46500
2025-06-02,102.0,103.0,100.0,101.0,106000
2025-06-03,100.0,103.0,99.0,101.0,101100
2025-06-04,101.0,101.0,99.0,100.0,86900
2025-06-05,101.0,104.0,99.0,101.0,344600
2025-06-10,100.0,101.0,100.0,100.0,8300
2025-06-11,100.0,103.0,100.0,100.0,112200
2025-06-12,100.0,102.0,99.0,102.0,131200
2025-06-13,101.0,102.0,100.0,102.0,143900
2025-06-16,101.0,102.0,100.0,101.0,95100
2025-06-17,102.0,106.0,101.0,103.0,244000
2025-06-18,101.0,103.0,101.0,102.0,240700
2025-06-19,103.0,103.0,100.0,102.0,145100
2025-06-20,102.0,102.0,101.0,101.0,176500
2025-06-23,99.0,99.0,94.0,96.0,378000
2025-06-24,98.0,98.0,96.0,98.0,19500
2025-06-25,98.0,99.0,97.0,98.0,46900
2025-06-26,100.0,100.0,95.0,98.0,120100
2025-06-30,98.0,98.0,96.0,98.0,22300
2025-07-01,98.0,99.0,97.0,98.0,21400
2025-07-02,99.0,100.0,98.0,99.0,19700
2025-07-03,99.0,99.0,98.0,99.0,34100
2025-07-04,99.0,100.0,99.0,100.0,41100
2025-07-07,100.0,100.0,99.0,99.0,9200
2025-07-08,99.0,100.0,99.0,100.0,21400
2025-07-09,100.0,100.0,99.0,100.0,3600
2025-07-10,99.0,99.0,96.0,98.0,147200
2025-07-11,98.0,99.0,95.0,98.0,165500
2025-07-14,98.0,99.0,96.0,97.0,138000
2025-07-15,97.0,98.0,97.0,97.0,591100
2025-07-16,98.0,100.0,97.0,99.0,165100
2025-07-17,99.0,99.0,97.0,98.0,127700
2025-07-18,98.0,99.0,96.0,98.0,150600
2025-07-21,98.0,99.0,97.0,99.0,49700
