date,open,high,low,close,volume
2024-04-16,20.0,20.0,20.0,20.0,1829100
2024-04-17,18.0,18.0,18.0,18.0,5316600
2024-04-18,17.0,17.0,17.0,17.0,1754200
2024-04-19,16.0,16.0,16.0,16.0,2164900
2024-04-22,15.0,15.0,15.0,15.0,1466700
2024-04-23,14.0,14.0,14.0,14.0,956600
2024-04-24,13.0,13.0,13.0,13.0,2907600
2024-04-25,12.0,14.0,12.0,14.0,163336700
2024-04-26,15.0,15.0,15.0,15.0,43501700
2024-04-29,16.0,16.0,16.0,16.0,19070500
2024-04-30,15.0,15.0,15.0,15.0,76263700
2024-05-02,14.0,14.0,14.0,14.0,8956400
2024-05-03,13.0,13.0,13.0,13.0,7287300
2024-05-06,12.0,12.0,12.0,12.0,42244000
2024-05-07,11.0,11.0,11.0,11.0,13793600
2024-05-08,10.0,10.0,10.0,10.0,9017600
2024-05-13,9.0,9.0,9.0,9.0,117528100
2024-05-14,8.0,8.0,8.0,8.0,26801700
2024-05-15,8.0,9.0,8.0,9.0,32797900
2024-05-16,9.0,10.0,9.0,10.0,17985200
2024-05-17,11.0,11.0,11.0,11.0,23822200
2024-05-20,11.0,11.0,10.0,10.0,14527700
2024-05-21,10.0,11.0,10.0,11.0,5350000
2024-05-22,10.0,11.0,10.0,11.0,14222300
2024-05-27,10.0,11.0,10.0,11.0,3525000
2024-05-28,10.0,11.0,10.0,11.0,9289800
2024-05-29,11.0,11.0,10.0,11.0,1423000
2024-05-30,10.0,11.0,10.0,11.0,4619100
2024-05-31,11.0,11.0,10.0,10.0,5917700
2024-06-03,10.0,10.0,10.0,10.0,8220900
2024-06-04,9.0,10.0,9.0,10.0,7893800
2024-06-05,9.0,9.0,9.0,9.0,17819000
2024-06-06,8.0,8.0,8.0,8.0,5718900
2024-06-07,8.0,8.0,8.0,8.0,6468500
2024-06-10,7.0,8.0,7.0,8.0,12852200
2024-06-11,8.0,8.0,8.0,8.0,14844200
2024-06-12,8.0,8.0,8.0,8.0,3571600
2024-06-13,8.0,9.0,8.0,9.0,3554200
2024-06-14,9.0,9.0,8.0,8.0,11415800
2024-06-19,8.0,8.0,7.0,7.0,19443500
2024-06-20,7.0,7.0,7.0,7.0,9441400
2024-06-21,7.0,8.0,7.0,8.0,14949300
2024-06-24,8.0,9.0,8.0,9.0,11309900
2024-06-25,9.0,10.0,9.0,10.0,3795800
2024-06-26,10.0,10.0,10.0,10.0,2104900
2024-06-27,10.0,10.0,9.0,9.0,9756100
2024-06-28,10.0,10.0,9.0,9.0,2324300
2024-07-01,9.0,10.0,9.0,10.0,4097500
2024-07-02,10.0,10.0,10.0,10.0,17539500
2024-07-03,11.0,11.0,11.0,11.0,23267000
2024-07-04,11.0,11.0,10.0,10.0,21557500
2024-07-05,11.0,11.0,10.0,10.0,5023000
2024-07-08,10.0,11.0,10.0,11.0,15792400
2024-07-09,12.0,12.0,12.0,12.0,51259300
2024-07-10,12.0,12.0,11.0,11.0,28932800
2024-07-11,12.0,12.0,11.0,11.0,18950600
2024-07-12,11.0,11.0,11.0,11.0,11091600
2024-07-15,12.0,12.0,12.0,12.0,20941900
2024-07-16,12.0,12.0,11.0,11.0,6630300
2024-07-17,11.0,12.0,11.0,11.0,8327000
2024-07-18,11.0,12.0,11.0,11.0,31992300
