date,open,high,low,close,volume
2024-04-16,97.0,97.0,97.0,97.0,0.0
2024-04-17,97.0,97.0,97.0,97.0,0.0
2024-04-18,97.0,97.0,97.0,97.0,0.0
2024-04-19,97.0,97.0,97.0,97.0,0.0
2024-04-22,97.0,97.0,97.0,97.0,0.0
2024-04-23,97.0,97.0,97.0,97.0,0.0
2024-04-24,97.0,97.0,97.0,97.0,0.0
2024-04-25,97.0,97.0,97.0,97.0,0.0
2024-04-26,97.0,97.0,97.0,97.0,0.0
2024-04-29,97.0,97.0,97.0,97.0,0.0
2024-04-30,97.0,97.0,97.0,97.0,0.0
2024-05-02,97.0,97.0,97.0,97.0,0.0
2024-05-03,97.0,97.0,97.0,97.0,0.0
2024-05-06,97.0,97.0,97.0,97.0,0.0
2024-05-07,97.0,97.0,97.0,97.0,0.0
2024-05-08,97.0,97.0,97.0,97.0,0.0
2024-05-13,97.0,97.0,97.0,97.0,0.0
2024-05-14,97.0,97.0,97.0,97.0,0.0
2024-05-15,97.0,97.0,97.0,97.0,0.0
2024-05-16,97.0,97.0,97.0,97.0,0.0
2024-05-17,97.0,97.0,97.0,97.0,0.0
2024-05-20,97.0,97.0,97.0,97.0,0.0
2024-05-21,97.0,97.0,97.0,97.0,0.0
2024-05-22,97.0,97.0,97.0,97.0,0.0
2024-05-27,97.0,97.0,97.0,97.0,0.0
2024-05-28,97.0,97.0,97.0,97.0,0.0
2024-05-29,97.0,97.0,97.0,97.0,0.0
2024-05-30,97.0,97.0,97.0,97.0,0.0
2024-05-31,97.0,97.0,97.0,97.0,0.0
2024-06-03,97.0,97.0,97.0,97.0,0.0
2024-06-04,97.0,97.0,97.0,97.0,0.0
2024-06-05,97.0,97.0,97.0,97.0,0.0
2024-06-06,97.0,97.0,97.0,97.0,0.0
2024-06-07,97.0,97.0,97.0,97.0,0.0
2024-06-10,97.0,97.0,97.0,97.0,0.0
2024-06-11,97.0,97.0,97.0,97.0,0.0
2024-06-12,97.0,97.0,97.0,97.0,0.0
2024-06-13,97.0,97.0,97.0,97.0,0.0
2024-06-14,97.0,97.0,97.0,97.0,0.0
2024-06-19,97.0,97.0,97.0,97.0,0.0
2024-06-20,97.0,97.0,97.0,97.0,0.0
2024-06-21,97.0,97.0,97.0,97.0,0.0
2024-06-24,97.0,97.0,97.0,97.0,0.0
2024-06-25,97.0,97.0,97.0,97.0,0.0
2024-06-26,97.0,97.0,97.0,97.0,0.0
2024-06-27,97.0,97.0,97.0,97.0,0.0
2024-06-28,97.0,97.0,97.0,97.0,0.0
2024-07-01,97.0,97.0,97.0,97.0,0.0
2024-07-02,97.0,97.0,97.0,97.0,0.0
2024-07-03,97.0,97.0,97.0,97.0,0.0
2024-07-04,97.0,97.0,97.0,97.0,0.0
2024-07-05,97.0,97.0,97.0,97.0,0.0
2024-07-08,97.0,97.0,97.0,97.0,0.0
2024-07-09,97.0,97.0,97.0,97.0,0.0
2024-07-10,97.0,97.0,97.0,97.0,0.0
2024-07-11,97.0,97.0,97.0,97.0,0.0
2024-07-12,97.0,97.0,97.0,97.0,0.0
2024-07-15,97.0,97.0,97.0,97.0,0.0
2024-07-16,97.0,97.0,97.0,97.0,0.0
2024-07-17,97.0,97.0,97.0,97.0,0.0
2024-07-18,97.0,97.0,97.0,97.0,0.0
2024-07-19,97.0,97.0,97.0,97.0,0.0
2024-07-22,97.0,97.0,97.0,97.0,0.0
2024-07-23,97.0,97.0,97.0,97.0,0.0
2024-07-24,97.0,97.0,97.0,97.0,0.0
2024-07-25,97.0,97.0,97.0,97.0,0.0
2024-07-26,97.0,97.0,97.0,97.0,0.0
2024-07-29,97.0,97.0,97.0,97.0,0.0
2024-07-30,97.0,97.0,97.0,97.0,0.0
2024-07-31,97.0,97.0,97.0,97.0,0.0
2024-08-01,97.0,97.0,97.0,97.0,0.0
2024-08-02,97.0,97.0,97.0,97.0,0.0
2024-08-05,97.0,97.0,97.0,97.0,0.0
2024-08-06,97.0,97.0,97.0,97.0,0.0
2024-08-07,97.0,97.0,97.0,97.0,0.0
2024-08-08,97.0,97.0,97.0,97.0,0.0
2024-08-09,97.0,97.0,97.0,97.0,0.0
2024-08-12,97.0,97.0,97.0,97.0,0.0
2024-08-13,97.0,97.0,97.0,97.0,0.0
2024-08-14,97.0,97.0,97.0,97.0,0.0
2024-08-15,97.0,97.0,97.0,97.0,0.0
2024-08-16,97.0,97.0,97.0,97.0,0.0
2024-08-19,97.0,97.0,97.0,97.0,0.0
2024-08-20,97.0,97.0,97.0,97.0,0.0
2024-08-21,97.0,97.0,97.0,97.0,0.0
2024-08-22,97.0,97.0,97.0,97.0,0.0
2024-08-23,97.0,97.0,97.0,97.0,0.0
2024-08-26,97.0,97.0,97.0,97.0,0.0
2024-08-27,97.0,97.0,97.0,97.0,0.0
2024-08-28,97.0,97.0,97.0,97.0,0.0
2024-08-29,97.0,97.0,97.0,97.0,0.0
2024-08-30,97.0,97.0,97.0,97.0,0.0
2024-09-02,97.0,97.0,97.0,97.0,0.0
2024-09-03,97.0,97.0,97.0,97.0,0.0
2024-09-04,97.0,97.0,97.0,97.0,0.0
2024-09-05,97.0,97.0,97.0,97.0,0.0
2024-09-06,97.0,97.0,97.0,97.0,0.0
2024-09-09,97.0,97.0,97.0,97.0,0.0
2024-09-10,97.0,97.0,97.0,97.0,0.0
2024-09-11,97.0,97.0,97.0,97.0,0.0
2024-09-12,97.0,97.0,97.0,97.0,0.0
2024-09-13,97.0,97.0,97.0,97.0,0.0
2024-09-17,97.0,97.0,97.0,97.0,0.0
2024-09-18,97.0,97.0,97.0,97.0,0.0
2024-09-19,97.0,97.0,97.0,97.0,0.0
2024-09-20,97.0,97.0,97.0,97.0,0.0
2024-09-23,97.0,97.0,97.0,97.0,0.0
2024-09-24,97.0,97.0,97.0,97.0,0.0
2024-09-25,97.0,97.0,97.0,97.0,0.0
2024-09-26,97.0,97.0,97.0,97.0,0.0
2024-09-27,97.0,97.0,97.0,97.0,0.0
2024-09-30,97.0,97.0,97.0,97.0,0.0
2024-10-01,97.0,97.0,97.0,97.0,0.0
2024-10-02,97.0,97.0,97.0,97.0,0.0
2024-10-03,97.0,97.0,97.0,97.0,0.0
2024-10-04,97.0,97.0,97.0,97.0,0.0
2024-10-07,97.0,97.0,97.0,97.0,0.0
2024-10-08,97.0,97.0,97.0,97.0,0.0
2024-10-09,97.0,97.0,97.0,97.0,0.0
2024-10-10,97.0,97.0,97.0,97.0,0.0
2024-10-11,97.0,97.0,97.0,97.0,0.0
2024-10-14,97.0,97.0,97.0,97.0,0.0
2024-10-15,97.0,97.0,97.0,97.0,0.0
2024-10-16,97.0,97.0,97.0,97.0,0.0
2024-10-17,97.0,97.0,97.0,97.0,0.0
2024-10-18,97.0,97.0,97.0,97.0,0.0
2024-10-21,97.0,97.0,97.0,97.0,0.0
2024-10-22,97.0,97.0,97.0,97.0,0.0
2024-10-23,97.0,97.0,97.0,97.0,0.0
2024-10-24,97.0,97.0,97.0,97.0,0.0
2024-10-25,97.0,97.0,97.0,97.0,0.0
2024-10-28,97.0,97.0,97.0,97.0,0.0
2024-10-29,97.0,97.0,97.0,97.0,0.0
2024-10-30,97.0,97.0,97.0,97.0,0.0
2024-10-31,97.0,97.0,97.0,97.0,0.0
2024-11-01,97.0,97.0,97.0,97.0,0.0
