date,open,high,low,close,volume
2024-04-16,3870.0,3870.0,3630.0,3720.0,1295000
2024-04-17,3720.0,3750.0,3680.0,3710.0,744700
2024-04-18,3710.0,3740.0,3660.0,3680.0,557700
2024-04-19,3690.0,3690.0,3470.0,3570.0,1013600
2024-04-22,3570.0,3640.0,3410.0,3470.0,992000
2024-04-23,3480.0,3570.0,3460.0,3540.0,1355900
2024-04-24,3540.0,3630.0,3520.0,3520.0,899000
2024-04-25,3620.0,3620.0,3230.0,3380.0,2400100
2024-04-26,3390.0,3500.0,3360.0,3360.0,1255600
2024-04-29,3350.0,3360.0,3200.0,3260.0,1689800
2024-04-30,3260.0,3300.0,3250.0,3280.0,1076000
2024-05-02,3260.0,3280.0,3150.0,3280.0,807500
2024-05-03,3270.0,3280.0,3210.0,3230.0,651900
2024-05-06,3240.0,3260.0,3220.0,3230.0,303900
2024-05-07,3230.0,3230.0,3150.0,3150.0,523700
2024-05-08,3170.0,3170.0,3100.0,3100.0,977400
2024-05-13,3100.0,3120.0,3000.0,3000.0,1054800
2024-05-14,3000.0,3110.0,3000.0,3020.0,1489400
2024-05-15,3020.0,3100.0,3020.0,3050.0,259800
2024-05-16,3050.0,3120.0,3040.0,3100.0,665000
2024-05-17,3080.0,3110.0,3040.0,3080.0,353500
2024-05-20,3080.0,3140.0,3080.0,3100.0,454400
2024-05-21,3090.0,3090.0,3000.0,3000.0,747700
2024-05-22,3010.0,3170.0,3000.0,3110.0,1002300
2024-05-27,3110.0,3180.0,3070.0,3170.0,565400
2024-05-28,3170.0,3200.0,3120.0,3170.0,605000
2024-05-29,3150.0,3170.0,3050.0,3050.0,760200
2024-05-30,3060.0,3060.0,3000.0,3010.0,395300
2024-05-31,3010.0,3060.0,3000.0,3010.0,668000
2024-06-03,3010.0,3150.0,3010.0,3130.0,573600
2024-06-04,3130.0,3140.0,3020.0,3100.0,1081700
2024-06-05,3100.0,3140.0,3000.0,3000.0,809900
2024-06-06,3020.0,3080.0,3010.0,3050.0,858900
2024-06-07,3050.0,3080.0,3010.0,3050.0,134300
2024-06-10,3050.0,3070.0,3010.0,3020.0,136000
2024-06-11,3030.0,3060.0,3000.0,3030.0,339800
2024-06-12,3030.0,3030.0,2910.0,2910.0,784800
2024-06-13,2900.0,2990.0,2900.0,2950.0,378800
2024-06-14,2950.0,2950.0,2910.0,2930.0,229800
2024-06-19,2950.0,2950.0,2880.0,2880.0,739300
2024-06-20,2900.0,2910.0,2860.0,2900.0,600000
2024-06-21,2900.0,2950.0,2870.0,2910.0,794700
2024-06-24,2920.0,2930.0,2890.0,2900.0,136900
2024-06-25,2900.0,2990.0,2820.0,2840.0,627000
2024-06-26,2840.0,2840.0,2730.0,2760.0,1493900
2024-06-27,2760.0,2800.0,2700.0,2730.0,1620800
2024-06-28,2730.0,2830.0,2710.0,2830.0,1176400
2024-07-01,2840.0,2850.0,2800.0,2820.0,291900
2024-07-02,2820.0,2910.0,2820.0,2870.0,152100
2024-07-03,2870.0,2910.0,2830.0,2850.0,178400
2024-07-04,2850.0,2880.0,2840.0,2870.0,122600
2024-07-05,2890.0,2960.0,2860.0,2950.0,232500
2024-07-08,2950.0,2950.0,2830.0,2880.0,627700
2024-07-09,2880.0,2900.0,2820.0,2820.0,1039200
2024-07-10,2830.0,3000.0,2830.0,2940.0,1337900
2024-07-11,2970.0,2980.0,2940.0,2940.0,377400
2024-07-12,2940.0,2980.0,2880.0,2890.0,317100
2024-07-15,2960.0,2960.0,2860.0,2900.0,347200
2024-07-16,2930.0,2930.0,2870.0,2870.0,174800
2024-07-17,2870.0,2940.0,2870.0,2940.0,119100
2024-07-18,2920.0,2940.0,2870.0,2870.0,131600
2024-07-19,2870.0,2890.0,2870.0,2880.0,83800
2024-07-22,2900.0,2920.0,2870.0,2880.0,110500
2024-07-23,2880.0,2880.0,2850.0,2850.0,186600
2024-07-24,2860.0,2900.0,2840.0,2900.0,131000
2024-07-25,2900.0,2920.0,2850.0,2850.0,115500
2024-07-26,2850.0,2890.0,2850.0,2860.0,102200
2024-07-29,2870.0,2890.0,2860.0,2870.0,79100
2024-07-30,2870.0,2880.0,2850.0,2850.0,123400
2024-07-31,2900.0,3230.0,2890.0,3200.0,3662000
2024-08-01,3210.0,3680.0,3200.0,3520.0,4981700
2024-08-02,3540.0,3640.0,3370.0,3420.0,1665900
2024-08-05,3400.0,3430.0,3180.0,3260.0,1439700
2024-08-06,3300.0,3330.0,3150.0,3160.0,830700
2024-08-07,3170.0,3350.0,3170.0,3230.0,1337500
2024-08-08,3240.0,3240.0,3070.0,3160.0,1386500
2024-08-09,3150.0,3300.0,3110.0,3230.0,2433100
2024-08-12,3230.0,3330.0,3200.0,3220.0,945300
2024-08-13,3250.0,3250.0,3180.0,3180.0,375000
2024-08-14,3180.0,3230.0,3150.0,3180.0,522900
2024-08-15,3200.0,3250.0,3160.0,3190.0,355800
2024-08-16,3200.0,3260.0,3170.0,3200.0,546300
2024-08-19,3210.0,3240.0,3180.0,3210.0,551700
2024-08-20,3210.0,3240.0,3180.0,3190.0,914000
2024-08-21,3200.0,3200.0,3160.0,3160.0,565300
2024-08-22,3160.0,3180.0,3110.0,3130.0,594900
2024-08-23,3130.0,3160.0,3100.0,3160.0,169200
2024-08-26,3160.0,3190.0,3150.0,3160.0,413100
2024-08-27,3180.0,3310.0,3170.0,3190.0,1903700
2024-08-28,3190.0,3260.0,3160.0,3170.0,1221500
