date,open,high,low,close,volume
2024-04-16,210.0,218.0,208.0,208.0,30700
2024-04-17,208.0,218.0,183.0,206.0,89400
2024-04-18,206.0,206.0,190.0,202.0,18300
2024-04-19,204.0,204.0,191.0,191.0,126700
2024-04-22,191.0,191.0,180.0,180.0,128300
2024-04-23,178.0,178.0,160.0,163.0,155900
2024-04-24,169.0,220.0,152.0,220.0,1285000
2024-04-25,242.0,274.0,230.0,274.0,3797000
2024-04-26,294.0,302.0,230.0,238.0,1561100
2024-04-29,244.0,256.0,220.0,250.0,884300
2024-04-30,250.0,296.0,250.0,262.0,2635600
2024-05-02,270.0,278.0,236.0,260.0,678400
2024-05-03,260.0,284.0,248.0,282.0,2077700
2024-05-06,284.0,308.0,274.0,300.0,3217000
2024-05-07,300.0,316.0,286.0,286.0,2574100
2024-05-08,286.0,286.0,262.0,266.0,641200
2024-05-13,266.0,282.0,262.0,278.0,328200
2024-05-14,278.0,286.0,270.0,276.0,477800
2024-05-15,276.0,276.0,266.0,274.0,102500
2024-05-16,266.0,280.0,262.0,266.0,160400
2024-05-17,268.0,276.0,260.0,270.0,46200
2024-05-20,274.0,274.0,250.0,264.0,231000
2024-05-21,268.0,268.0,254.0,266.0,107700
2024-05-22,264.0,264.0,252.0,252.0,339200
2024-05-27,252.0,266.0,244.0,252.0,515300
2024-05-28,254.0,308.0,248.0,306.0,4668400
2024-05-29,306.0,308.0,266.0,282.0,2076200
2024-05-30,284.0,284.0,272.0,276.0,222300
2024-05-31,272.0,284.0,262.0,264.0,536800
2024-06-03,262.0,274.0,250.0,264.0,288100
2024-06-04,266.0,274.0,258.0,270.0,706700
2024-06-05,262.0,270.0,252.0,254.0,210400
2024-06-06,256.0,260.0,246.0,256.0,54500
2024-06-07,266.0,266.0,246.0,252.0,345800
2024-06-10,252.0,266.0,234.0,256.0,321800
2024-06-11,258.0,258.0,244.0,244.0,24700
2024-06-12,242.0,258.0,238.0,242.0,52700
2024-06-13,238.0,250.0,238.0,242.0,45200
2024-06-14,242.0,242.0,232.0,238.0,36500
2024-06-19,234.0,248.0,230.0,238.0,21400
2024-06-20,246.0,246.0,230.0,244.0,45300
2024-06-21,234.0,246.0,234.0,240.0,281500
2024-06-24,240.0,244.0,240.0,240.0,11800
2024-06-25,252.0,252.0,240.0,240.0,7200
2024-06-26,250.0,250.0,238.0,242.0,33000
2024-06-27,250.0,250.0,232.0,238.0,17100
2024-06-28,250.0,250.0,236.0,242.0,3700
2024-07-01,242.0,242.0,230.0,236.0,69100
2024-07-02,236.0,236.0,212.0,220.0,158800
2024-07-03,220.0,222.0,204.0,214.0,178000
2024-07-04,220.0,220.0,212.0,216.0,58500
2024-07-05,220.0,220.0,200.0,210.0,207700
2024-07-08,208.0,232.0,202.0,214.0,752300
2024-07-09,214.0,220.0,210.0,214.0,145500
2024-07-10,214.0,222.0,210.0,214.0,75700
2024-07-11,214.0,220.0,210.0,212.0,99100
2024-07-12,218.0,218.0,210.0,216.0,56400
2024-07-15,218.0,246.0,210.0,236.0,2100600
2024-07-16,242.0,242.0,214.0,216.0,1143100
2024-07-17,220.0,220.0,208.0,214.0,483500
2024-07-18,214.0,216.0,208.0,208.0,201400
2024-07-19,210.0,218.0,208.0,210.0,111800
2024-07-22,210.0,218.0,208.0,218.0,317700
2024-07-23,218.0,218.0,206.0,212.0,409500
2024-07-24,212.0,214.0,208.0,208.0,52600
2024-07-25,208.0,210.0,206.0,208.0,36900
2024-07-26,208.0,210.0,200.0,200.0,239900
2024-07-29,200.0,204.0,196.0,204.0,214700
2024-07-30,202.0,204.0,199.0,200.0,100900
2024-07-31,202.0,202.0,194.0,199.0,112500
2024-08-01,199.0,202.0,195.0,199.0,74900
2024-08-02,198.0,199.0,192.0,195.0,101200
2024-08-05,196.0,196.0,184.0,187.0,72500
2024-08-06,185.0,187.0,169.0,178.0,256200
2024-08-07,179.0,240.0,176.0,240.0,8104600
2024-08-08,250.0,260.0,214.0,216.0,2912500
2024-08-09,200.0,216.0,199.0,199.0,718300
2024-08-12,206.0,214.0,196.0,199.0,266700
2024-08-13,200.0,208.0,198.0,204.0,96500
2024-08-14,208.0,210.0,200.0,200.0,72000
2024-08-15,204.0,204.0,199.0,202.0,143800
2024-08-16,202.0,208.0,200.0,202.0,67300
