date,open,high,low,close,volume
2024-04-16,426.0,426.0,406.0,408.0,103744400
2024-04-17,408.0,418.0,404.0,406.0,35627100
2024-04-18,408.0,410.0,398.0,400.0,70930800
2024-04-19,400.0,402.0,392.0,392.0,63052800
2024-04-22,396.0,400.0,392.0,400.0,26751600
2024-04-23,402.0,404.0,398.0,400.0,40154600
2024-04-24,400.0,406.0,398.0,398.0,23340700
2024-04-25,402.0,402.0,396.0,398.0,17915200
2024-04-26,398.0,404.0,394.0,394.0,31893900
2024-04-29,394.0,398.0,390.0,394.0,38333400
2024-04-30,396.0,404.0,384.0,402.0,84811500
2024-05-02,400.0,402.0,388.0,392.0,53180300
2024-05-03,392.0,394.0,384.0,388.0,32036900
2024-05-06,398.0,406.0,388.0,404.0,72230700
2024-05-07,410.0,410.0,394.0,400.0,22307900
2024-05-08,400.0,402.0,384.0,384.0,57955700
2024-05-13,394.0,394.0,374.0,376.0,62832600
2024-05-14,380.0,382.0,376.0,380.0,37561900
2024-05-15,380.0,382.0,374.0,378.0,32318200
2024-05-16,382.0,396.0,380.0,392.0,113248200
2024-05-17,392.0,400.0,392.0,398.0,60838400
2024-05-20,398.0,404.0,398.0,400.0,29243700
2024-05-21,400.0,400.0,392.0,394.0,32099500
2024-05-22,398.0,400.0,394.0,394.0,10450900
2024-05-27,404.0,404.0,388.0,388.0,21934700
2024-05-28,390.0,394.0,384.0,386.0,11689200
2024-05-29,386.0,388.0,382.0,382.0,8534000
2024-05-30,386.0,390.0,380.0,386.0,13022600
2024-05-31,386.0,400.0,386.0,394.0,41592300
2024-06-03,400.0,404.0,384.0,390.0,19575300
2024-06-04,390.0,400.0,390.0,396.0,26389500
2024-06-05,406.0,406.0,398.0,402.0,29227400
2024-06-06,402.0,410.0,398.0,406.0,20562400
2024-06-07,406.0,414.0,404.0,408.0,23587800
2024-06-10,408.0,410.0,402.0,404.0,12883100
2024-06-11,404.0,412.0,404.0,404.0,28651700
