date,open,high,low,close,volume
2024-04-16,223.29156494140625,251.2030029296875,201.8212127685547,203.96824645996094,55959517
2024-04-17,203.96824645996094,210.40936279296875,161.02757263183594,166.39515686035156,37380400
2024-04-18,157.80702209472656,174.98329162597656,144.9248046875,147.07183837890625,47846931
2024-04-19,147.07183837890625,147.07183837890625,110.572265625,122.38095092773438,93767484
2024-04-22,140.0,164.0,138.0,164.0,2492000
2024-04-23,199.0,220.0,161.0,173.0,68791900
2024-04-24,173.0,182.0,154.0,162.0,24356900
2024-04-25,162.0,165.0,106.0,106.0,139213100
2024-04-26,100.0,107.0,100.0,101.0,114702700
2024-04-29,100.0,103.0,100.0,101.0,97592600
2024-04-30,102.0,103.0,100.0,103.0,133610200
2024-05-02,105.0,105.0,96.0,96.0,240229300
2024-05-03,94.0,99.0,87.0,87.0,80756200
2024-05-06,88.0,101.0,81.0,100.0,241161300
2024-05-07,101.0,119.0,98.0,106.0,549590100
2024-05-08,106.0,111.0,100.0,101.0,154707900
2024-05-13,101.0,106.0,99.0,106.0,53230500
2024-05-14,107.0,110.0,98.0,102.0,206884500
2024-05-15,102.0,103.0,100.0,101.0,39888700
2024-05-16,101.0,107.0,101.0,105.0,46990600
2024-05-17,106.0,106.0,102.0,104.0,35003100
2024-05-20,104.0,115.0,104.0,112.0,141961400
2024-05-21,114.0,118.0,112.0,116.0,180028000
2024-05-22,117.0,127.0,115.0,123.0,279576200
2024-05-27,123.0,128.0,117.0,119.0,80224500
2024-05-28,119.0,124.0,118.0,124.0,75644400
2024-05-29,125.0,133.0,122.0,132.0,136051200
2024-05-30,131.0,135.0,127.0,127.0,85601400
2024-05-31,128.0,129.0,116.0,118.0,82261000
2024-06-03,118.0,121.0,112.0,113.0,85046300
2024-06-04,113.0,120.0,110.0,118.0,53862600
2024-06-05,119.0,124.0,113.0,113.0,80654300
2024-06-06,113.0,119.0,113.0,119.0,36939100
2024-06-07,120.0,121.0,116.0,117.0,24610000
2024-06-10,117.0,118.0,113.0,115.0,21982500
2024-06-11,115.0,119.0,114.0,115.0,18272400
2024-06-12,115.0,117.0,108.0,108.0,84095300
2024-06-13,109.0,110.0,105.0,109.0,26630300
2024-06-14,101.0,110.0,101.0,105.0,29583100
2024-06-19,106.0,108.0,103.0,103.0,34572200
2024-06-20,95.0,112.0,95.0,110.0,48439500
2024-06-21,111.0,112.0,106.0,107.0,29774900
2024-06-24,107.0,112.0,107.0,110.0,14955900
2024-06-25,111.0,112.0,110.0,111.0,14345300
2024-06-26,111.0,113.0,108.0,110.0,20859300
2024-06-27,111.0,111.0,107.0,107.0,18745700
2024-06-28,108.0,112.0,107.0,110.0,18984500
2024-07-01,111.0,115.0,110.0,114.0,29615700
2024-07-02,114.0,115.0,111.0,111.0,14859600
2024-07-03,111.0,114.0,110.0,110.0,17438700
2024-07-04,111.0,114.0,110.0,113.0,19724500
2024-07-05,113.0,118.0,111.0,113.0,37406300
2024-07-08,113.0,114.0,111.0,113.0,11501300
2024-07-09,113.0,114.0,111.0,111.0,11509000
2024-07-10,112.0,112.0,107.0,108.0,29615200
2024-07-11,107.0,110.0,107.0,108.0,10181500
2024-07-12,108.0,110.0,108.0,109.0,9162900
2024-07-15,111.0,111.0,108.0,108.0,5682400
2024-07-16,109.0,109.0,107.0,107.0,14024000
2024-07-17,108.0,109.0,100.0,105.0,105211900
2024-07-18,106.0,107.0,103.0,105.0,21874200
2024-07-19,106.0,106.0,103.0,103.0,22915700
2024-07-22,104.0,104.0,100.0,101.0,30888000
2024-07-23,101.0,104.0,101.0,104.0,16017000
2024-07-24,104.0,104.0,100.0,101.0,26990300
2024-07-25,103.0,103.0,98.0,100.0,27898400
2024-07-26,93.0,102.0,93.0,100.0,16293300
2024-07-29,100.0,102.0,99.0,100.0,10224200
2024-07-30,100.0,101.0,98.0,99.0,12685500
2024-07-31,99.0,102.0,98.0,101.0,9677300
2024-08-01,101.0,101.0,93.0,96.0,61495600
2024-08-02,97.0,98.0,96.0,97.0,8438500
2024-08-05,98.0,98.0,89.0,93.0,58996400
2024-08-06,93.0,95.0,91.0,93.0,14068100
2024-08-07,92.0,95.0,92.0,95.0,6564600
2024-08-08,95.0,96.0,93.0,94.0,7021800
2024-08-09,95.0,104.0,94.0,100.0,29549400
2024-08-12,100.0,103.0,100.0,101.0,13536500
2024-08-13,102.0,102.0,99.0,100.0,11355500
2024-08-14,100.0,102.0,99.0,99.0,8720200
2024-08-15,99.0,100.0,97.0,98.0,11796700
2024-08-16,98.0,100.0,97.0,100.0,4245800
2024-08-19,100.0,103.0,99.0,103.0,15793400
2024-08-20,103.0,105.0,102.0,103.0,11300300
2024-08-21,104.0,113.0,103.0,111.0,134056400
2024-08-22,115.0,115.0,105.0,105.0,69141900
2024-08-23,106.0,108.0,105.0,106.0,13797100
2024-08-26,107.0,110.0,106.0,108.0,26431000
2024-08-27,109.0,113.0,108.0,110.0,42804900
2024-08-28,111.0,114.0,109.0,112.0,34414300
2024-08-29,114.0,114.0,109.0,110.0,33171900
2024-08-30,111.0,113.0,106.0,106.0,28190900
2024-09-02,107.0,110.0,105.0,109.0,39099100
2024-09-03,110.0,110.0,108.0,109.0,13228300
2024-09-04,108.0,109.0,106.0,107.0,11698400
2024-09-05,108.0,112.0,106.0,111.0,16558300
2024-09-06,111.0,131.0,111.0,128.0,352064000
2024-09-09,130.0,130.0,120.0,122.0,111756100
2024-09-10,122.0,147.0,120.0,140.0,381790000
2024-09-11,140.0,150.0,136.0,137.0,278872900
2024-09-12,137.0,142.0,134.0,141.0,72603100
2024-09-13,142.0,146.0,137.0,139.0,96282200
2024-09-17,139.0,161.0,138.0,159.0,305239000
2024-09-18,161.0,167.0,154.0,154.0,194073100
2024-09-19,156.0,167.0,145.0,164.0,229020300
2024-09-20,165.0,172.0,160.0,169.0,146459600
2024-09-23,170.0,198.0,169.0,197.0,287838300
2024-09-24,197.0,202.0,181.0,190.0,161012000
2024-09-25,191.0,242.0,140.0,172.0,809123200
2024-09-26,175.0,189.0,160.0,178.0,337261800
2024-09-27,178.0,220.0,178.0,220.0,436225000
2024-09-30,240.0,274.0,226.0,246.0,792382200
2024-10-01,246.0,246.0,246.0,246.0,0
2024-10-02,306.0,306.0,240.0,246.0,307090600
2024-10-03,228.0,268.0,228.0,260.0,147977500
2024-10-04,260.0,260.0,260.0,260.0,0
2024-10-07,260.0,260.0,260.0,260.0,0
2024-10-08,260.0,260.0,260.0,260.0,0
2024-10-09,260.0,260.0,260.0,260.0,0
2024-10-10,260.0,260.0,260.0,260.0,0
2024-10-11,260.0,260.0,260.0,260.0,0
2024-10-14,260.0,260.0,260.0,260.0,0
2024-10-15,260.0,260.0,260.0,260.0,0
2024-10-16,260.0,260.0,260.0,260.0,0
2024-10-17,260.0,260.0,260.0,260.0,0
2024-10-18,270.0,280.0,270.0,280.0,55935300
2024-10-21,308.0,308.0,308.0,308.0,29035200
2024-10-22,338.0,338.0,280.0,280.0,63259800
2024-10-23,268.0,280.0,254.0,280.0,50029700
2024-10-24,260.0,270.0,260.0,270.0,13806300
2024-10-25,266.0,278.0,266.0,278.0,13665700
2024-10-28,274.0,276.0,274.0,274.0,20156500
2024-10-29,300.0,320.0,260.0,298.0,355563300
2024-10-30,292.0,310.0,288.0,288.0,86094700
2024-10-31,290.0,298.0,258.0,268.0,116064000
2024-11-01,254.0,288.0,254.0,274.0,95874700
2024-11-04,276.0,278.0,260.0,260.0,56550100
2024-11-05,262.0,278.0,230.0,266.0,131537400
2024-11-06,270.0,302.0,266.0,290.0,153041100
2024-11-07,292.0,318.0,282.0,318.0,139581400
2024-11-08,328.0,332.0,296.0,304.0,151947700
2024-11-11,304.0,308.0,292.0,300.0,45100600
2024-11-12,304.0,314.0,292.0,304.0,46951800
2024-11-13,306.0,310.0,296.0,296.0,27393500
2024-11-14,296.0,306.0,274.0,282.0,54524100
2024-11-15,282.0,288.0,248.0,268.0,69769300
2024-11-18,268.0,272.0,240.0,240.0,95196200
2024-11-19,230.0,280.0,230.0,280.0,66367500
2024-11-20,282.0,290.0,270.0,270.0,48246700
2024-11-21,274.0,276.0,256.0,260.0,31693600
2024-11-22,262.0,282.0,260.0,264.0,50210600
2024-11-25,268.0,296.0,266.0,280.0,82737700
2024-11-26,284.0,290.0,270.0,270.0,26875700
2024-11-28,270.0,274.0,260.0,264.0,20986600
2024-11-29,264.0,274.0,256.0,260.0,25530600
2024-12-02,260.0,272.0,256.0,256.0,18504000
2024-12-03,258.0,262.0,256.0,260.0,10057600
2024-12-04,262.0,264.0,254.0,258.0,11991900
