date,open,high,low,close,volume
2024-04-16,595.0,600.0,565.0,590.0,13100
2024-04-17,600.0,610.0,600.0,605.0,11700
2024-04-18,600.0,605.0,600.0,605.0,300
2024-04-19,600.0,600.0,595.0,595.0,500
2024-04-22,595.0,600.0,595.0,595.0,3700
2024-04-23,595.0,615.0,580.0,605.0,1900
2024-04-24,600.0,605.0,600.0,605.0,3100
2024-04-25,600.0,605.0,590.0,600.0,1900
2024-04-26,595.0,595.0,585.0,585.0,3100
2024-04-29,585.0,590.0,585.0,585.0,600
2024-04-30,605.0,610.0,580.0,590.0,3900
2024-05-02,590.0,610.0,590.0,590.0,3500
2024-05-03,610.0,610.0,585.0,600.0,600
2024-05-06,600.0,600.0,595.0,595.0,3900
2024-05-07,590.0,595.0,575.0,595.0,9200
2024-05-08,580.0,585.0,580.0,585.0,300
2024-05-13,585.0,585.0,575.0,575.0,8900
2024-05-14,570.0,590.0,570.0,585.0,500
2024-05-15,575.0,585.0,575.0,585.0,2500
2024-05-16,580.0,580.0,580.0,580.0,200
2024-05-17,580.0,580.0,575.0,575.0,200
2024-05-20,575.0,585.0,575.0,585.0,300
2024-05-21,580.0,580.0,565.0,565.0,1200
2024-05-22,565.0,580.0,500.0,570.0,28100
2024-05-27,570.0,570.0,545.0,550.0,7800
2024-05-28,565.0,575.0,565.0,570.0,22300
2024-05-29,575.0,575.0,555.0,555.0,15300
2024-05-30,570.0,595.0,560.0,560.0,2800
2024-05-31,555.0,590.0,555.0,590.0,2200
2024-06-03,590.0,595.0,590.0,590.0,207300
2024-06-04,570.0,590.0,560.0,570.0,2900
2024-06-05,580.0,580.0,580.0,580.0,5000
2024-06-06,580.0,595.0,580.0,595.0,165000
2024-06-07,580.0,580.0,580.0,580.0,7100
2024-06-10,570.0,575.0,550.0,550.0,34400
2024-06-11,570.0,570.0,530.0,565.0,69200
2024-06-12,565.0,565.0,565.0,565.0,300
2024-06-13,565.0,565.0,565.0,565.0,100
2024-06-14,565.0,565.0,550.0,550.0,1600
2024-06-19,530.0,535.0,530.0,535.0,7200
2024-06-20,535.0,545.0,525.0,545.0,3300
2024-06-21,545.0,560.0,505.0,560.0,3600
2024-06-24,530.0,560.0,525.0,555.0,8200
2024-06-25,550.0,555.0,540.0,555.0,8700
2024-06-26,535.0,545.0,530.0,545.0,3100
2024-06-27,545.0,545.0,540.0,540.0,500
2024-06-28,540.0,580.0,540.0,555.0,54400
2024-07-01,550.0,585.0,550.0,580.0,5600
2024-07-02,570.0,575.0,530.0,540.0,25000
2024-07-03,560.0,580.0,540.0,560.0,24300
2024-07-04,550.0,555.0,550.0,550.0,600
2024-07-05,550.0,550.0,540.0,540.0,39500
2024-07-08,540.0,540.0,540.0,540.0,100
2024-07-09,540.0,540.0,540.0,540.0,600
2024-07-10,550.0,565.0,545.0,545.0,6000
2024-07-11,545.0,550.0,535.0,545.0,14500
2024-07-12,545.0,545.0,545.0,545.0,700
2024-07-15,545.0,545.0,545.0,545.0,200
2024-07-16,555.0,555.0,545.0,545.0,9700
2024-07-17,545.0,545.0,545.0,545.0,100
2024-07-18,545.0,545.0,545.0,545.0,0
2024-07-19,555.0,565.0,555.0,565.0,5200
2024-07-22,545.0,560.0,545.0,555.0,700
2024-07-23,555.0,560.0,545.0,560.0,1900
2024-07-24,560.0,570.0,560.0,570.0,36800
2024-07-25,570.0,570.0,570.0,570.0,6000
2024-07-26,575.0,595.0,570.0,570.0,79200
2024-07-29,575.0,575.0,545.0,545.0,13700
2024-07-30,565.0,585.0,560.0,580.0,25600
2024-07-31,580.0,580.0,525.0,560.0,359100
2024-08-01,560.0,565.0,540.0,560.0,108200
2024-08-02,540.0,565.0,540.0,560.0,4700
2024-08-05,550.0,550.0,540.0,540.0,4600
2024-08-06,550.0,560.0,550.0,550.0,51200
2024-08-07,550.0,555.0,550.0,550.0,11500
2024-08-08,545.0,545.0,545.0,545.0,1700
2024-08-09,540.0,545.0,535.0,540.0,2600
2024-08-12,540.0,545.0,540.0,540.0,37900
2024-08-13,545.0,550.0,540.0,540.0,600
2024-08-14,545.0,545.0,540.0,540.0,800
2024-08-15,540.0,540.0,540.0,540.0,1900
2024-08-16,550.0,550.0,550.0,550.0,3700
2024-08-19,550.0,550.0,530.0,550.0,174400
2024-08-20,550.0,550.0,535.0,540.0,32200
2024-08-21,540.0,550.0,540.0,545.0,22600
2024-08-22,545.0,550.0,545.0,550.0,21800
2024-08-23,535.0,550.0,525.0,540.0,75300
2024-08-26,540.0,545.0,515.0,540.0,86500
2024-08-27,530.0,540.0,530.0,540.0,12400
2024-08-28,540.0,545.0,540.0,545.0,5700
2024-08-29,545.0,545.0,540.0,540.0,1200
2024-08-30,540.0,545.0,540.0,540.0,21400
2024-09-02,550.0,570.0,545.0,550.0,74300
2024-09-03,550.0,550.0,540.0,550.0,18300
2024-09-04,550.0,560.0,550.0,550.0,21300
2024-09-05,550.0,550.0,520.0,540.0,33200
2024-09-06,545.0,550.0,540.0,540.0,10200
2024-09-09,555.0,570.0,540.0,555.0,20400
2024-09-10,565.0,565.0,545.0,555.0,5900
2024-09-11,550.0,565.0,540.0,560.0,7600
2024-09-12,555.0,560.0,550.0,555.0,11700
2024-09-13,550.0,555.0,545.0,545.0,2900
2024-09-17,540.0,555.0,540.0,555.0,24400
2024-09-18,540.0,565.0,500.0,545.0,63800
2024-09-19,555.0,565.0,555.0,565.0,13300
2024-09-20,565.0,570.0,555.0,555.0,15000
2024-09-23,555.0,555.0,550.0,550.0,9600
2024-09-24,550.0,550.0,540.0,550.0,123800
2024-09-25,550.0,550.0,540.0,550.0,47500
2024-09-26,545.0,545.0,540.0,545.0,31000
2024-09-27,545.0,545.0,540.0,545.0,5700
2024-09-30,550.0,550.0,540.0,550.0,5000
2024-10-01,550.0,550.0,545.0,550.0,4700
2024-10-02,510.0,545.0,490.0,490.0,441900
2024-10-03,500.0,530.0,494.0,525.0,60800
2024-10-04,525.0,525.0,505.0,515.0,17300
2024-10-07,520.0,525.0,520.0,525.0,9700
2024-10-08,520.0,520.0,515.0,515.0,9700
2024-10-09,515.0,515.0,510.0,515.0,12800
2024-10-10,515.0,515.0,515.0,515.0,500
2024-10-11,520.0,525.0,520.0,520.0,2100
2024-10-14,520.0,525.0,520.0,525.0,900
2024-10-15,520.0,525.0,520.0,525.0,1500
2024-10-16,515.0,525.0,500.0,525.0,16000
2024-10-17,520.0,525.0,510.0,525.0,9800
2024-10-18,520.0,530.0,505.0,520.0,18000
2024-10-21,520.0,520.0,510.0,520.0,15500
2024-10-22,520.0,520.0,510.0,510.0,21800
2024-10-23,520.0,525.0,515.0,520.0,23700
2024-10-24,520.0,525.0,510.0,525.0,7700
2024-10-25,525.0,525.0,525.0,525.0,7200
2024-10-28,530.0,530.0,505.0,520.0,6400
2024-10-29,520.0,520.0,520.0,520.0,900
2024-10-30,520.0,520.0,510.0,520.0,10800
2024-10-31,530.0,530.0,520.0,520.0,6300
2024-11-01,520.0,520.0,515.0,515.0,2200
2024-11-04,515.0,515.0,500.0,505.0,26600
2024-11-05,500.0,520.0,500.0,510.0,2400
2024-11-06,510.0,510.0,505.0,505.0,1400
2024-11-07,500.0,500.0,500.0,500.0,14400
2024-11-08,500.0,520.0,500.0,515.0,1100
2024-11-11,500.0,500.0,498.0,500.0,28000
2024-11-12,510.0,515.0,510.0,510.0,10200
2024-11-13,494.0,494.0,494.0,494.0,900
