date,open,high,low,close,volume
2024-04-16,78.0,85.0,78.0,79.0,4829900
2024-04-17,72.0,81.0,72.0,78.0,505400
2024-04-18,73.0,79.0,73.0,77.0,698700
2024-04-19,77.0,79.0,75.0,76.0,1058600
2024-04-22,70.0,76.0,70.0,73.0,1826800
2024-04-23,68.0,76.0,68.0,72.0,526300
2024-04-24,73.0,75.0,71.0,72.0,589000
2024-04-25,72.0,75.0,72.0,72.0,431600
2024-04-26,74.0,74.0,71.0,73.0,197400
2024-04-29,73.0,74.0,71.0,72.0,418000
2024-04-30,79.0,79.0,71.0,74.0,461300
2024-05-02,80.0,80.0,67.0,70.0,830300
2024-05-03,77.0,77.0,68.0,70.0,427700
2024-05-06,75.0,75.0,70.0,73.0,1346900
2024-05-07,73.0,74.0,71.0,72.0,319700
2024-05-08,72.0,72.0,68.0,70.0,1222300
2024-05-13,77.0,77.0,68.0,71.0,689400
2024-05-14,78.0,78.0,68.0,69.0,317700
2024-05-15,75.0,75.0,69.0,71.0,160000
2024-05-16,77.0,77.0,68.0,70.0,458500
2024-05-17,76.0,76.0,68.0,70.0,370400
2024-05-20,76.0,76.0,68.0,70.0,211500
2024-05-21,76.0,76.0,69.0,69.0,296600
2024-05-22,75.0,75.0,69.0,70.0,78900
2024-05-27,76.0,76.0,68.0,70.0,28100
2024-05-28,76.0,76.0,68.0,70.0,44000
2024-05-29,76.0,76.0,68.0,70.0,188600
2024-05-30,71.0,71.0,66.0,68.0,260400
2024-05-31,69.0,69.0,64.0,67.0,235300
2024-06-03,73.0,73.0,65.0,67.0,65100
2024-06-04,73.0,73.0,65.0,67.0,119200
2024-06-05,73.0,73.0,64.0,64.0,255100
2024-06-06,65.0,66.0,63.0,66.0,95800
2024-06-07,67.0,67.0,63.0,64.0,216900
2024-06-10,69.0,69.0,59.0,59.0,970700
2024-06-11,66.0,66.0,57.0,59.0,227000
2024-06-12,60.0,60.0,50.0,50.0,5065300
2024-06-13,50.0,50.0,50.0,50.0,104200
2024-06-14,50.0,50.0,50.0,50.0,110000
2024-06-19,50.0,50.0,50.0,50.0,32300
2024-06-20,50.0,50.0,50.0,50.0,207000
2024-06-21,50.0,50.0,50.0,50.0,4400
2024-06-24,50.0,50.0,50.0,50.0,7000
2024-06-25,50.0,50.0,50.0,50.0,6600
2024-06-26,50.0,50.0,50.0,50.0,25700
2024-06-27,50.0,50.0,50.0,50.0,15000
2024-06-28,50.0,50.0,50.0,50.0,14200
2024-07-01,50.0,50.0,50.0,50.0,17900
2024-07-02,50.0,50.0,50.0,50.0,4000
2024-07-03,50.0,50.0,50.0,50.0,1200
2024-07-04,50.0,50.0,50.0,50.0,31600
2024-07-05,50.0,50.0,50.0,50.0,178200
2024-07-08,50.0,50.0,50.0,50.0,31100
2024-07-09,50.0,50.0,50.0,50.0,54700
2024-07-10,50.0,50.0,50.0,50.0,3700
2024-07-11,50.0,50.0,50.0,50.0,1200
2024-07-12,50.0,67.0,50.0,62.0,11067400
2024-07-15,63.0,83.0,62.0,83.0,15251500
2024-07-16,98.0,112.0,88.0,100.0,70590700
2024-07-17,130.0,130.0,83.0,89.0,20955200
2024-07-18,80.0,114.0,80.0,105.0,55292300
2024-07-19,106.0,108.0,96.0,100.0,12844000
2024-07-22,100.0,103.0,90.0,97.0,10369100
2024-07-23,97.0,99.0,90.0,91.0,5567600
2024-07-24,91.0,96.0,91.0,91.0,4805700
2024-07-25,92.0,92.0,87.0,89.0,3429800
2024-07-26,94.0,95.0,88.0,88.0,4443100
2024-07-29,88.0,89.0,82.0,82.0,2685100
2024-07-30,84.0,85.0,77.0,79.0,2076700
2024-07-31,79.0,80.0,72.0,73.0,2634200
2024-08-01,73.0,98.0,67.0,98.0,42982800
