date,open,high,low,close,volume
2024-04-16,500.0,525.0,500.0,525.0,123300
2024-04-17,525.0,540.0,510.0,520.0,25700
2024-04-18,520.0,535.0,520.0,525.0,1700
2024-04-19,525.0,525.0,505.0,515.0,13000
2024-04-22,510.0,530.0,500.0,520.0,95500
2024-04-23,505.0,525.0,500.0,515.0,12500
2024-04-24,500.0,510.0,500.0,510.0,79800
2024-04-25,500.0,505.0,498.0,500.0,82700
2024-04-26,500.0,515.0,490.0,500.0,100700
2024-04-29,500.0,510.0,500.0,510.0,97700
2024-04-30,520.0,520.0,505.0,520.0,203700
2024-05-02,520.0,520.0,498.0,500.0,63700
2024-05-03,520.0,520.0,500.0,515.0,1400
2024-05-06,505.0,520.0,492.0,515.0,154200
2024-05-07,492.0,520.0,492.0,515.0,100400
2024-05-08,500.0,515.0,500.0,510.0,36000
2024-05-13,510.0,510.0,500.0,500.0,700
2024-05-14,500.0,515.0,498.0,500.0,21100
2024-05-15,510.0,510.0,496.0,496.0,57900
2024-05-16,510.0,520.0,494.0,510.0,163300
2024-05-17,510.0,515.0,494.0,505.0,40600
2024-05-20,515.0,515.0,500.0,510.0,19600
2024-05-21,498.0,510.0,482.0,510.0,14200
2024-05-22,505.0,510.0,480.0,505.0,38500
2024-05-27,505.0,510.0,482.0,500.0,94100
2024-05-28,488.0,515.0,482.0,494.0,67300
2024-05-29,494.0,498.0,492.0,498.0,12100
2024-05-30,498.0,498.0,494.0,496.0,8900
2024-05-31,492.0,494.0,480.0,490.0,86900
2024-06-03,496.0,496.0,488.0,496.0,140200
2024-06-04,496.0,500.0,490.0,496.0,34900
2024-06-05,500.0,500.0,490.0,500.0,3500
2024-06-06,500.0,500.0,500.0,500.0,4500
2024-06-07,500.0,500.0,486.0,500.0,6600
2024-06-10,490.0,500.0,490.0,500.0,1300
2024-06-11,490.0,505.0,486.0,496.0,27000
2024-06-12,490.0,500.0,490.0,496.0,52700
2024-06-13,498.0,498.0,488.0,498.0,10200
2024-06-14,496.0,498.0,484.0,498.0,21300
2024-06-19,496.0,496.0,470.0,480.0,60400
2024-06-20,480.0,496.0,464.0,480.0,105000
2024-06-21,480.0,486.0,470.0,480.0,82500
2024-06-24,480.0,492.0,480.0,492.0,48700
2024-06-25,494.0,500.0,494.0,496.0,23900
2024-06-26,496.0,496.0,488.0,492.0,13500
2024-06-27,496.0,496.0,492.0,492.0,200
2024-06-28,488.0,492.0,476.0,492.0,3200
2024-07-01,488.0,540.0,488.0,500.0,25600
2024-07-02,510.0,525.0,500.0,515.0,60800
2024-07-03,515.0,525.0,515.0,515.0,3700
2024-07-04,515.0,530.0,500.0,510.0,13700
2024-07-05,500.0,520.0,498.0,505.0,129200
2024-07-08,505.0,510.0,500.0,500.0,20200
2024-07-09,500.0,505.0,500.0,505.0,24000
2024-07-10,505.0,505.0,496.0,496.0,37100
2024-07-11,510.0,510.0,498.0,498.0,66600
2024-07-12,496.0,505.0,494.0,500.0,26600
2024-07-15,505.0,505.0,492.0,500.0,51100
2024-07-16,500.0,505.0,490.0,500.0,52800
2024-07-17,500.0,500.0,492.0,500.0,11100
2024-07-18,498.0,498.0,492.0,498.0,47200
2024-07-19,498.0,498.0,490.0,494.0,16800
2024-07-22,498.0,510.0,498.0,500.0,66600
2024-07-23,500.0,505.0,498.0,505.0,25000
2024-07-24,505.0,505.0,498.0,500.0,3700
2024-07-25,500.0,510.0,498.0,510.0,73800
2024-07-26,515.0,515.0,505.0,505.0,8600
2024-07-29,520.0,530.0,510.0,520.0,59000
2024-07-30,520.0,520.0,510.0,515.0,41400
2024-07-31,515.0,520.0,496.0,505.0,35500
2024-08-01,505.0,505.0,494.0,500.0,46200
2024-08-02,500.0,500.0,490.0,498.0,164800
2024-08-05,500.0,520.0,494.0,500.0,137800
2024-08-06,496.0,500.0,494.0,498.0,28100
2024-08-07,494.0,500.0,494.0,498.0,34500
2024-08-08,498.0,510.0,486.0,500.0,142200
2024-08-09,500.0,500.0,490.0,496.0,18400
