date,open,high,low,close,volume
2024-04-16,21.0,21.0,21.0,21.0,901800
2024-04-17,19.0,19.0,19.0,19.0,1027700
2024-04-18,18.0,18.0,18.0,18.0,1149700
2024-04-19,17.0,17.0,17.0,17.0,506700
2024-04-22,16.0,16.0,16.0,16.0,269000
2024-04-23,15.0,15.0,15.0,15.0,946700
2024-04-24,14.0,14.0,14.0,14.0,2122100
2024-04-25,15.0,15.0,15.0,15.0,91100
2024-04-26,16.0,16.0,16.0,16.0,7500
2024-04-29,16.0,16.0,16.0,16.0,327500
2024-04-30,16.0,16.0,16.0,16.0,256100
2024-05-02,16.0,16.0,16.0,16.0,0
2024-05-03,17.0,17.0,17.0,17.0,38200
2024-05-06,17.0,17.0,17.0,17.0,15000
2024-05-07,18.0,18.0,18.0,18.0,88900
2024-05-08,18.0,18.0,18.0,18.0,125800
2024-05-13,18.0,18.0,18.0,18.0,55100
2024-05-14,18.0,18.0,18.0,18.0,35600
2024-05-15,17.0,17.0,17.0,17.0,211100
2024-05-16,17.0,18.0,17.0,18.0,401600
2024-05-17,17.0,18.0,17.0,18.0,51400
2024-05-20,18.0,19.0,18.0,19.0,160100
2024-05-21,20.0,20.0,20.0,20.0,10500
2024-05-22,20.0,20.0,20.0,20.0,446000
2024-05-27,20.0,20.0,19.0,19.0,67700
2024-05-28,18.0,18.0,18.0,18.0,3200
2024-05-29,17.0,18.0,17.0,18.0,115300
2024-05-30,18.0,18.0,18.0,18.0,60100
2024-05-31,17.0,18.0,17.0,17.0,151000
2024-06-03,18.0,18.0,18.0,18.0,48700
2024-06-04,18.0,18.0,18.0,18.0,55300
2024-06-05,17.0,17.0,17.0,17.0,69800
2024-06-06,17.0,17.0,17.0,17.0,81900
2024-06-07,17.0,17.0,17.0,17.0,223600
2024-06-10,17.0,17.0,17.0,17.0,0
2024-06-11,17.0,17.0,17.0,17.0,120400
2024-06-12,16.0,17.0,16.0,17.0,222100
2024-06-13,17.0,18.0,17.0,18.0,19500
2024-06-14,18.0,18.0,18.0,18.0,5200
2024-06-19,17.0,17.0,17.0,17.0,68700
2024-06-20,16.0,17.0,16.0,17.0,900
2024-06-21,17.0,17.0,17.0,17.0,100
