date,open,high,low,close,volume
2024-04-16,1210.0,1215.0,1200.0,1210.0,1170800
2024-04-17,1210.0,1230.0,1205.0,1210.0,1630200
2024-04-18,1210.0,1215.0,1205.0,1210.0,901600
2024-04-19,1215.0,1240.0,1185.0,1210.0,3772100
2024-04-22,1160.0,1185.0,1110.0,1185.0,1601400
2024-04-23,1115.0,1170.0,1115.0,1150.0,121900
2024-04-24,1150.0,1160.0,1140.0,1150.0,196500
2024-04-25,1150.0,1155.0,1130.0,1150.0,284300
2024-04-26,1150.0,1150.0,1135.0,1140.0,166300
2024-04-29,1145.0,1145.0,1110.0,1120.0,3275400
2024-04-30,1130.0,1140.0,1125.0,1135.0,48500
2024-05-02,1135.0,1135.0,1085.0,1125.0,1249500
2024-05-03,1120.0,1130.0,1100.0,1125.0,1097900
2024-05-06,1120.0,1125.0,1100.0,1105.0,1828500
2024-05-07,1105.0,1125.0,1100.0,1110.0,492800
2024-05-08,1115.0,1120.0,1105.0,1115.0,319300
2024-05-13,1115.0,1125.0,1115.0,1125.0,1236800
2024-05-14,1120.0,1120.0,1050.0,1050.0,4259900
2024-05-15,1080.0,1100.0,1060.0,1090.0,961500
2024-05-16,1090.0,1115.0,1080.0,1080.0,386500
2024-05-17,1090.0,1100.0,1080.0,1080.0,80500
2024-05-20,1080.0,1080.0,1065.0,1075.0,101000
2024-05-21,1060.0,1075.0,1055.0,1055.0,157100
2024-05-22,1055.0,1080.0,1050.0,1065.0,64100
2024-05-27,1065.0,1065.0,1030.0,1050.0,1077700
2024-05-28,1050.0,1050.0,1025.0,1035.0,3864800
2024-05-29,1035.0,1040.0,1025.0,1035.0,1298200
2024-05-30,1035.0,1035.0,1025.0,1030.0,1105200
2024-05-31,1030.0,1035.0,1010.0,1015.0,3190700
2024-06-03,1020.0,1020.0,1000.0,1000.0,2398900
2024-06-04,1000.0,1000.0,985.0,995.0,7757400
2024-06-05,1000.0,1010.0,995.0,995.0,527100
2024-06-06,1000.0,1000.0,995.0,995.0,979900
2024-06-07,995.0,995.0,985.0,990.0,1032400
2024-06-10,990.0,1000.0,985.0,990.0,218800
2024-06-11,990.0,995.0,960.0,990.0,2677400
2024-06-12,990.0,990.0,975.0,990.0,231000
2024-06-13,990.0,995.0,980.0,990.0,28300
2024-06-14,990.0,1005.0,975.0,990.0,64400
2024-06-19,990.0,995.0,970.0,990.0,612000
2024-06-20,975.0,990.0,975.0,990.0,1861400
2024-06-21,990.0,990.0,980.0,990.0,34400
2024-06-24,990.0,990.0,985.0,990.0,1852000
2024-06-25,990.0,990.0,980.0,990.0,1181600
2024-06-26,990.0,990.0,980.0,985.0,1997000
2024-06-27,985.0,990.0,985.0,985.0,1795000
2024-06-28,990.0,1005.0,990.0,1000.0,5490300
2024-07-01,1000.0,1040.0,1000.0,1015.0,1347600
