date,open,high,low,close,volume
2024-04-16,192.0,192.0,192.0,192.0,7500
2024-04-17,192.0,192.0,192.0,192.0,0
2024-04-18,192.0,192.0,192.0,192.0,0
2024-04-19,192.0,192.0,192.0,192.0,0
2024-04-22,192.0,192.0,192.0,192.0,0
2024-04-23,192.0,192.0,192.0,192.0,0
2024-04-24,192.0,192.0,192.0,192.0,0
2024-04-25,192.0,192.0,192.0,192.0,0
2024-04-26,190.0,193.0,190.0,193.0,522500
2024-04-29,195.0,199.0,195.0,198.0,364500
2024-04-30,202.0,212.0,202.0,208.0,439300
2024-05-02,210.0,222.0,210.0,220.0,668800
2024-05-03,222.0,224.0,222.0,222.0,763700
2024-05-06,226.0,230.0,226.0,230.0,515500
2024-05-07,234.0,234.0,232.0,232.0,355700
2024-05-08,232.0,234.0,232.0,234.0,505300
2024-05-13,234.0,238.0,234.0,238.0,652600
2024-05-14,238.0,240.0,238.0,240.0,410100
2024-05-15,240.0,240.0,238.0,238.0,475500
2024-05-16,238.0,240.0,238.0,238.0,358800
2024-05-17,238.0,240.0,238.0,238.0,507000
2024-05-20,238.0,240.0,238.0,238.0,288900
2024-05-21,238.0,238.0,236.0,236.0,177000
2024-05-22,232.0,232.0,232.0,232.0,274000
2024-05-27,228.0,228.0,226.0,226.0,374000
2024-05-28,226.0,226.0,224.0,224.0,1100
2024-05-29,224.0,224.0,224.0,224.0,0
2024-05-30,224.0,224.0,224.0,224.0,0
2024-05-31,224.0,226.0,224.0,226.0,128800
2024-06-03,226.0,228.0,226.0,228.0,57600
2024-06-04,228.0,230.0,228.0,230.0,282300
2024-06-05,230.0,232.0,230.0,232.0,314100
2024-06-06,232.0,234.0,232.0,234.0,165600
2024-06-07,236.0,238.0,236.0,238.0,375600
2024-06-10,238.0,240.0,238.0,240.0,75100
2024-06-11,240.0,242.0,240.0,242.0,196100
2024-06-12,242.0,242.0,242.0,242.0,103600
2024-06-13,242.0,242.0,242.0,242.0,135200
2024-06-14,242.0,246.0,242.0,246.0,249000
2024-06-19,246.0,246.0,246.0,246.0,127300
2024-06-20,244.0,244.0,242.0,242.0,36900
2024-06-21,238.0,238.0,236.0,236.0,48600
2024-06-24,236.0,236.0,236.0,236.0,34900
2024-06-25,236.0,236.0,236.0,236.0,59500
2024-06-26,236.0,236.0,234.0,234.0,41000
2024-06-27,234.0,234.0,234.0,234.0,169500
2024-06-28,234.0,234.0,234.0,234.0,258800
2024-07-01,234.0,234.0,234.0,234.0,158600
2024-07-02,232.0,232.0,230.0,230.0,301500
2024-07-03,226.0,226.0,226.0,226.0,208000
2024-07-04,226.0,228.0,226.0,228.0,269000
2024-07-05,228.0,228.0,226.0,226.0,113200
2024-07-08,222.0,222.0,218.0,218.0,57600
2024-07-09,216.0,216.0,216.0,216.0,147500
2024-07-10,216.0,216.0,214.0,214.0,292500
2024-07-11,214.0,214.0,208.0,208.0,21000
2024-07-12,208.0,208.0,208.0,208.0,1000
2024-07-15,208.0,208.0,208.0,208.0,79500
2024-07-16,208.0,210.0,208.0,210.0,225000
2024-07-17,210.0,210.0,210.0,210.0,276100
2024-07-18,210.0,210.0,210.0,210.0,190100
2024-07-19,210.0,210.0,210.0,210.0,312500
2024-07-22,210.0,212.0,210.0,212.0,149000
2024-07-23,212.0,214.0,212.0,214.0,201400
2024-07-24,214.0,214.0,214.0,214.0,351500
2024-07-25,214.0,214.0,214.0,214.0,223100
2024-07-26,214.0,216.0,214.0,216.0,306900
2024-07-29,216.0,216.0,216.0,216.0,170600
2024-07-30,216.0,220.0,216.0,220.0,107100
2024-07-31,218.0,218.0,216.0,216.0,317200
2024-08-01,212.0,214.0,212.0,214.0,197400
