date,open,high,low,close,volume
2024-04-16,2010.0,2070.0,2000.0,2000.0,59400
2024-04-17,2010.0,2010.0,1990.0,2010.0,28700
2024-04-18,2010.0,2010.0,2000.0,2000.0,3000
2024-04-19,2000.0,2000.0,1940.0,1995.0,344100
2024-04-22,1980.0,2000.0,1950.0,2000.0,126000
2024-04-23,1970.0,2000.0,1965.0,2000.0,119200
2024-04-24,2000.0,2000.0,1965.0,1980.0,160700
2024-04-25,1970.0,1980.0,1955.0,1980.0,185300
2024-04-26,1980.0,2020.0,1960.0,1970.0,168800
2024-04-29,1960.0,2000.0,1955.0,1990.0,101100
2024-04-30,1970.0,2000.0,1960.0,1995.0,63700
2024-05-02,1995.0,2000.0,1960.0,2000.0,171300
2024-05-03,1975.0,2000.0,1975.0,1995.0,64200
2024-05-06,1965.0,2060.0,1965.0,2000.0,66800
2024-05-07,2020.0,2020.0,1980.0,1980.0,7700
2024-05-08,1980.0,1995.0,1960.0,1990.0,31600
2024-05-13,1990.0,1990.0,1970.0,1990.0,58600
2024-05-14,2000.0,2000.0,1990.0,1995.0,3600
2024-05-15,1990.0,1990.0,1980.0,1980.0,7200
2024-05-16,1980.0,1995.0,1980.0,1980.0,29600
2024-05-17,1980.0,2020.0,1980.0,2010.0,52900
2024-05-20,1985.0,2000.0,1985.0,1990.0,15900
2024-05-21,2000.0,2000.0,1980.0,1985.0,22700
2024-05-22,2010.0,2010.0,1985.0,1995.0,24200
2024-05-27,2000.0,2010.0,1980.0,1990.0,23500
2024-05-28,2000.0,2000.0,1990.0,2000.0,23500
2024-05-29,2000.0,2000.0,1985.0,1990.0,15900
2024-05-30,2010.0,2010.0,1995.0,2000.0,46700
2024-05-31,2010.0,2010.0,1990.0,2000.0,60300
2024-06-03,2010.0,2020.0,2000.0,2020.0,223700
2024-06-04,2030.0,2100.0,2020.0,2100.0,448200
2024-06-05,2040.0,2040.0,1950.0,2000.0,498500
2024-06-06,2000.0,2000.0,1950.0,1995.0,104400
2024-06-07,1980.0,1995.0,1950.0,1990.0,56300
2024-06-10,1970.0,1995.0,1960.0,1980.0,59700
2024-06-11,1980.0,1990.0,1960.0,1980.0,66000
2024-06-12,1975.0,1985.0,1945.0,1985.0,101000
2024-06-13,1985.0,1990.0,1980.0,1985.0,22900
2024-06-14,1985.0,1985.0,1945.0,1975.0,76500
2024-06-19,1970.0,1980.0,1940.0,1975.0,52800
2024-06-20,1980.0,1980.0,1960.0,1975.0,22400
2024-06-21,1960.0,1985.0,1930.0,1980.0,25600
2024-06-24,1965.0,1990.0,1950.0,1990.0,75700
2024-06-25,1990.0,1990.0,1940.0,1990.0,51100
2024-06-26,1985.0,1990.0,1970.0,1985.0,11800
2024-06-27,1985.0,1985.0,1980.0,1985.0,5900
2024-06-28,1995.0,1995.0,1985.0,1985.0,4800
2024-07-01,1965.0,1990.0,1950.0,1975.0,39500
2024-07-02,1980.0,1990.0,1980.0,1985.0,9500
2024-07-03,1985.0,1990.0,1965.0,1975.0,55400
2024-07-04,1975.0,2010.0,1975.0,2000.0,90700
2024-07-05,2000.0,2000.0,1990.0,2000.0,14000
2024-07-08,1990.0,2000.0,1965.0,1995.0,16600
2024-07-09,1995.0,2000.0,1970.0,2000.0,37500
2024-07-10,2000.0,2000.0,1985.0,1990.0,34500
2024-07-11,1985.0,2000.0,1970.0,2000.0,121200
2024-07-12,2000.0,2010.0,1995.0,2000.0,26100
2024-07-15,1985.0,2000.0,1985.0,2000.0,32700
2024-07-16,1985.0,2000.0,1975.0,1990.0,59200
2024-07-17,1990.0,2010.0,1990.0,2010.0,39000
2024-07-18,2010.0,2010.0,1990.0,2000.0,30600
2024-07-19,2000.0,2000.0,1990.0,1990.0,7600
2024-07-22,1990.0,2010.0,1990.0,2010.0,13200
2024-07-23,2010.0,2010.0,1985.0,2000.0,18800
2024-07-24,1985.0,2000.0,1985.0,2000.0,17900
2024-07-25,2010.0,2020.0,1990.0,2000.0,59200
2024-07-26,2000.0,2010.0,1990.0,2000.0,41700
