date,open,high,low,close,volume
2024-04-16,248.0,248.0,248.0,248.0,2600
2024-04-17,256.0,272.0,256.0,272.0,1200
2024-04-18,290.0,290.0,290.0,290.0,9100
2024-04-19,290.0,290.0,290.0,290.0,1100
2024-04-22,290.0,290.0,288.0,288.0,2300
2024-04-23,290.0,290.0,290.0,290.0,800
2024-04-24,290.0,290.0,290.0,290.0,500
2024-04-25,290.0,290.0,290.0,290.0,200
2024-04-26,290.0,290.0,290.0,290.0,1000
2024-04-29,290.0,290.0,290.0,290.0,0
2024-04-30,286.0,286.0,286.0,286.0,300
2024-05-02,286.0,286.0,286.0,286.0,0
2024-05-03,286.0,286.0,286.0,286.0,0
2024-05-06,282.0,282.0,282.0,282.0,1100
2024-05-07,280.0,280.0,280.0,280.0,200
2024-05-08,274.0,274.0,274.0,274.0,100
2024-05-13,274.0,274.0,274.0,274.0,300
2024-05-14,274.0,274.0,274.0,274.0,0
2024-05-15,274.0,274.0,274.0,274.0,0
2024-05-16,274.0,274.0,274.0,274.0,0
2024-05-17,274.0,274.0,274.0,274.0,0
2024-05-20,274.0,274.0,274.0,274.0,0
2024-05-21,274.0,274.0,274.0,274.0,0
2024-05-22,270.0,270.0,270.0,270.0,300
2024-05-27,270.0,270.0,270.0,270.0,0
2024-05-28,264.0,264.0,264.0,264.0,2000
2024-05-29,264.0,264.0,264.0,264.0,0
2024-05-30,250.0,250.0,250.0,250.0,100
2024-05-31,240.0,240.0,240.0,240.0,5500
2024-06-03,240.0,240.0,238.0,238.0,800
2024-06-04,238.0,238.0,230.0,230.0,5200
2024-06-05,228.0,228.0,226.0,226.0,5000
2024-06-06,226.0,226.0,222.0,222.0,400
2024-06-07,222.0,222.0,216.0,216.0,900
2024-06-10,216.0,216.0,216.0,216.0,1300
2024-06-11,216.0,216.0,212.0,212.0,1800
2024-06-12,212.0,212.0,212.0,212.0,1000
2024-06-13,212.0,212.0,212.0,212.0,12600
2024-06-14,212.0,212.0,212.0,212.0,0
2024-06-19,208.0,208.0,204.0,204.0,3500
2024-06-20,204.0,204.0,204.0,204.0,6300
2024-06-21,204.0,204.0,204.0,204.0,0
2024-06-24,202.0,202.0,202.0,202.0,6900
2024-06-25,204.0,204.0,204.0,204.0,100
2024-06-26,204.0,204.0,204.0,204.0,500
2024-06-27,204.0,204.0,204.0,204.0,100
2024-06-28,204.0,204.0,204.0,204.0,0
2024-07-01,208.0,210.0,208.0,210.0,1600
2024-07-02,210.0,210.0,210.0,210.0,100
2024-07-03,208.0,208.0,208.0,208.0,1000
2024-07-04,208.0,208.0,208.0,208.0,15000
2024-07-05,208.0,208.0,208.0,208.0,900
2024-07-08,200.0,228.0,200.0,228.0,25700
2024-07-09,228.0,250.0,228.0,250.0,11000
2024-07-10,248.0,248.0,246.0,246.0,2600
2024-07-11,246.0,246.0,246.0,246.0,0
2024-07-12,242.0,242.0,242.0,242.0,200
2024-07-15,238.0,238.0,228.0,230.0,9700
2024-07-16,220.0,220.0,220.0,220.0,14300
2024-07-17,220.0,220.0,210.0,210.0,6600
2024-07-18,226.0,226.0,226.0,226.0,300
2024-07-19,226.0,232.0,226.0,228.0,2600
2024-07-22,228.0,228.0,228.0,228.0,200
2024-07-23,226.0,226.0,226.0,226.0,500
2024-07-24,226.0,226.0,226.0,226.0,0
2024-07-25,248.0,282.0,248.0,282.0,125300
2024-07-26,302.0,352.0,252.0,326.0,1032400
2024-07-29,326.0,350.0,282.0,324.0,127000
2024-07-30,310.0,324.0,282.0,288.0,177800
2024-07-31,288.0,288.0,262.0,264.0,135100
2024-08-01,264.0,330.0,264.0,270.0,55400
2024-08-02,270.0,306.0,260.0,276.0,34400
2024-08-05,276.0,312.0,260.0,276.0,97200
2024-08-06,276.0,284.0,230.0,250.0,134000
2024-08-07,250.0,310.0,250.0,264.0,79400
