date,open,high,low,close,volume
2024-04-16,140.0,150.0,140.0,150.0,43700
2024-04-17,150.0,150.0,150.0,150.0,19900
2024-04-18,150.0,150.0,150.0,150.0,7100
2024-04-19,150.0,150.0,150.0,150.0,2200
2024-04-22,145.0,145.0,140.0,140.0,4900
2024-04-23,140.0,140.0,140.0,140.0,18900
2024-04-24,140.0,140.0,140.0,140.0,1000
2024-04-25,140.0,140.0,140.0,140.0,1100
2024-04-26,138.0,138.0,138.0,138.0,1200
2024-04-29,138.0,138.0,138.0,138.0,0
2024-04-30,135.0,135.0,133.0,133.0,15200
2024-05-02,132.0,132.0,130.0,130.0,25600
2024-05-03,129.0,129.0,127.0,127.0,21500
2024-05-06,127.0,127.0,127.0,127.0,30000
2024-05-07,127.0,127.0,127.0,127.0,14600
2024-05-08,127.0,127.0,127.0,127.0,142600
2024-05-13,132.0,132.0,127.0,130.0,75600
2024-05-14,130.0,130.0,130.0,130.0,1200
2024-05-15,130.0,130.0,130.0,130.0,2100
2024-05-16,130.0,130.0,130.0,130.0,11100
2024-05-17,130.0,130.0,130.0,130.0,21500
2024-05-20,130.0,130.0,130.0,130.0,8100
2024-05-21,135.0,135.0,133.0,133.0,1300
2024-05-22,133.0,133.0,133.0,133.0,300
2024-05-27,133.0,133.0,133.0,133.0,3900
2024-05-28,133.0,133.0,133.0,133.0,1000
2024-05-29,133.0,133.0,133.0,133.0,1500
2024-05-30,133.0,134.0,133.0,133.0,800
2024-05-31,133.0,133.0,132.0,132.0,6100
2024-06-03,131.0,131.0,130.0,131.0,17500
2024-06-04,131.0,134.0,131.0,132.0,9300
2024-06-05,132.0,132.0,131.0,131.0,2800
2024-06-06,131.0,131.0,130.0,130.0,36800
2024-06-07,130.0,130.0,130.0,130.0,10400
2024-06-10,130.0,130.0,130.0,130.0,500
2024-06-11,130.0,130.0,129.0,129.0,1700
2024-06-12,135.0,174.0,135.0,174.0,720400
2024-06-13,186.0,234.0,186.0,234.0,3259700
2024-06-14,248.0,290.0,194.0,238.0,11062000
2024-06-19,238.0,270.0,238.0,246.0,2187900
2024-06-20,248.0,258.0,230.0,232.0,555300
2024-06-21,232.0,264.0,230.0,232.0,777100
2024-06-24,232.0,232.0,181.0,192.0,1618800
2024-06-25,192.0,199.0,189.0,191.0,469400
2024-06-26,192.0,192.0,181.0,188.0,347400
2024-06-27,188.0,230.0,182.0,188.0,358900
2024-06-28,188.0,193.0,181.0,183.0,377500
2024-07-01,188.0,189.0,168.0,171.0,1469100
2024-07-02,171.0,176.0,165.0,168.0,258500
2024-07-03,168.0,171.0,150.0,160.0,521200
2024-07-04,160.0,171.0,157.0,163.0,660000
2024-07-05,163.0,163.0,155.0,162.0,609300
2024-07-08,162.0,162.0,156.0,158.0,230000
2024-07-09,158.0,212.0,157.0,198.0,5473300
2024-07-10,199.0,208.0,180.0,184.0,1782000
2024-07-11,185.0,189.0,176.0,180.0,338700
2024-07-12,180.0,180.0,172.0,175.0,186900
2024-07-15,177.0,188.0,171.0,174.0,431700
2024-07-16,174.0,210.0,173.0,186.0,1160500
2024-07-17,188.0,195.0,182.0,182.0,1146100
2024-07-18,183.0,188.0,181.0,184.0,527700
2024-07-19,187.0,188.0,183.0,183.0,107600
2024-07-22,182.0,186.0,179.0,181.0,200100
2024-07-23,183.0,188.0,179.0,181.0,103000
2024-07-24,187.0,187.0,180.0,181.0,287900
2024-07-25,181.0,185.0,180.0,184.0,94100
2024-07-26,184.0,184.0,180.0,181.0,84200
2024-07-29,182.0,182.0,178.0,180.0,65700
2024-07-30,185.0,188.0,166.0,174.0,1348100
2024-07-31,180.0,180.0,173.0,173.0,49300
2024-08-01,173.0,178.0,172.0,175.0,59100
2024-08-02,176.0,182.0,175.0,175.0,85800
2024-08-05,175.0,175.0,166.0,170.0,156700
2024-08-06,170.0,170.0,165.0,169.0,62200
2024-08-07,169.0,174.0,167.0,173.0,72200
2024-08-08,173.0,175.0,168.0,174.0,46500
2024-08-09,174.0,178.0,170.0,172.0,43100
2024-08-12,172.0,175.0,170.0,173.0,291800
2024-08-13,180.0,180.0,167.0,172.0,128400
2024-08-14,172.0,172.0,168.0,171.0,248200
2024-08-15,169.0,171.0,168.0,170.0,74300
2024-08-16,170.0,174.0,160.0,171.0,34100
2024-08-19,172.0,172.0,168.0,170.0,41000
2024-08-20,172.0,172.0,170.0,171.0,114200
2024-08-21,172.0,174.0,168.0,172.0,247700
2024-08-22,172.0,202.0,171.0,178.0,2629000
2024-08-23,179.0,184.0,171.0,177.0,616000
2024-08-26,180.0,186.0,177.0,178.0,228600
2024-08-27,178.0,196.0,174.0,188.0,539800
2024-08-28,194.0,194.0,179.0,182.0,531900
2024-08-29,183.0,184.0,176.0,180.0,237200
2024-08-30,170.0,185.0,170.0,184.0,191000
2024-09-02,184.0,189.0,180.0,188.0,260200
2024-09-03,190.0,190.0,180.0,182.0,511900
2024-09-04,186.0,228.0,182.0,197.0,4794400
2024-09-05,197.0,198.0,185.0,189.0,1898300
2024-09-06,189.0,210.0,187.0,204.0,607500
2024-09-09,214.0,214.0,193.0,200.0,317500
2024-09-10,198.0,202.0,185.0,195.0,469300
2024-09-11,195.0,200.0,188.0,193.0,383400
2024-09-12,193.0,210.0,185.0,187.0,728100
2024-09-13,189.0,197.0,182.0,186.0,1998900
2024-09-17,185.0,196.0,180.0,184.0,302700
2024-09-18,177.0,197.0,177.0,184.0,780200
2024-09-19,184.0,190.0,178.0,184.0,472600
2024-09-20,181.0,187.0,180.0,184.0,422000
2024-09-23,182.0,188.0,178.0,182.0,389700
2024-09-24,182.0,187.0,178.0,186.0,775900
2024-09-25,185.0,186.0,180.0,182.0,127900
2024-09-26,182.0,185.0,178.0,180.0,205900
2024-09-27,184.0,184.0,178.0,178.0,453100
2024-09-30,186.0,186.0,174.0,175.0,598100
2024-10-01,177.0,185.0,173.0,176.0,376000
2024-10-02,176.0,182.0,174.0,175.0,643100
2024-10-03,175.0,179.0,169.0,172.0,608600
2024-10-04,172.0,175.0,172.0,173.0,121700
2024-10-07,175.0,175.0,171.0,172.0,86800
2024-10-08,172.0,175.0,171.0,171.0,47400
2024-10-09,174.0,174.0,170.0,170.0,152200
2024-10-10,170.0,174.0,170.0,171.0,280800
2024-10-11,171.0,172.0,168.0,171.0,1455100
2024-10-14,171.0,174.0,171.0,174.0,72900
2024-10-15,173.0,176.0,173.0,175.0,51500
2024-10-16,175.0,175.0,170.0,173.0,199700
2024-10-17,173.0,175.0,172.0,172.0,236200
2024-10-18,170.0,173.0,170.0,172.0,51900
2024-10-21,172.0,175.0,171.0,171.0,257600
2024-10-22,172.0,173.0,169.0,170.0,223800
2024-10-23,171.0,173.0,170.0,173.0,75400
2024-10-24,173.0,174.0,170.0,171.0,203600
2024-10-25,178.0,178.0,171.0,173.0,20300
2024-10-28,173.0,174.0,170.0,170.0,159900
2024-10-29,170.0,172.0,168.0,171.0,108300
2024-10-30,171.0,171.0,170.0,170.0,51100
2024-10-31,173.0,228.0,171.0,228.0,17837100
2024-11-01,240.0,280.0,234.0,256.0,21808100
2024-11-04,260.0,266.0,218.0,228.0,3151000
2024-11-05,232.0,232.0,194.0,202.0,2015000
2024-11-06,206.0,238.0,197.0,208.0,5966100
2024-11-07,208.0,210.0,192.0,199.0,1016400
2024-11-08,200.0,200.0,193.0,193.0,452200
2024-11-11,194.0,204.0,187.0,192.0,582900
2024-11-12,192.0,195.0,188.0,188.0,259800
2024-11-13,190.0,191.0,185.0,187.0,286300
2024-11-14,189.0,189.0,182.0,186.0,379700
2024-11-15,186.0,194.0,181.0,182.0,371900
2024-11-18,195.0,195.0,179.0,179.0,289300
2024-11-19,179.0,182.0,177.0,180.0,116000
2024-11-20,182.0,220.0,178.0,182.0,1874600
2024-11-21,185.0,190.0,179.0,180.0,514900
2024-11-22,181.0,186.0,179.0,183.0,121400
2024-11-25,183.0,185.0,180.0,182.0,136700
2024-11-26,183.0,183.0,171.0,178.0,229200
2024-11-28,178.0,240.0,176.0,240.0,15003300
2024-11-29,250.0,276.0,194.0,195.0,9101600
2024-12-02,196.0,198.0,183.0,186.0,1218200
2024-12-03,186.0,192.0,183.0,189.0,1607000
2024-12-04,191.0,199.0,185.0,189.0,1117900
2024-12-05,195.0,195.0,187.0,190.0,480500
2024-12-06,190.0,194.0,190.0,192.0,482300
2024-12-09,192.0,195.0,188.0,190.0,232900
2024-12-10,193.0,193.0,185.0,188.0,278700
2024-12-11,188.0,193.0,182.0,190.0,164500
2024-12-12,190.0,192.0,189.0,189.0,56800
2024-12-13,191.0,191.0,183.0,187.0,257200
2024-12-16,189.0,234.0,187.0,199.0,13222500
2024-12-17,199.0,202.0,182.0,189.0,1586200
2024-12-18,189.0,218.0,189.0,195.0,2599300
2024-12-19,198.0,202.0,187.0,190.0,614700
2024-12-20,190.0,228.0,189.0,200.0,5139600
2024-12-23,202.0,220.0,196.0,199.0,652500
2024-12-24,199.0,202.0,196.0,199.0,350900
2024-12-27,200.0,204.0,197.0,197.0,215200
2024-12-30,204.0,204.0,196.0,199.0,211800
2025-01-02,199.0,206.0,195.0,200.0,294600
2025-01-03,202.0,202.0,195.0,195.0,375400
2025-01-06,195.0,195.0,182.0,187.0,1127800
2025-01-07,187.0,193.0,187.0,189.0,260600
2025-01-08,189.0,189.0,185.0,186.0,211000
2025-01-09,187.0,188.0,185.0,185.0,105200
2025-01-10,185.0,192.0,183.0,184.0,143200
2025-01-13,188.0,190.0,183.0,186.0,171100
2025-01-14,186.0,187.0,181.0,184.0,214900
2025-01-15,184.0,187.0,182.0,187.0,69700
2025-01-16,188.0,188.0,184.0,185.0,100500
2025-01-17,185.0,186.0,182.0,184.0,97600
2025-01-20,184.0,184.0,181.0,181.0,148500
2025-01-21,181.0,186.0,180.0,181.0,222100
