date,open,high,low,close,volume
2024-04-16,310.0,316.0,302.0,312.0,27123100
2024-04-17,312.0,316.0,310.0,310.0,9256600
2024-04-18,310.0,316.0,306.0,308.0,8564900
2024-04-19,308.0,308.0,300.0,302.0,13119100
2024-04-22,302.0,310.0,302.0,308.0,7194000
2024-04-23,308.0,310.0,302.0,304.0,8285400
2024-04-24,304.0,308.0,302.0,302.0,7156000
2024-04-25,304.0,306.0,298.0,298.0,14207400
2024-04-26,300.0,302.0,290.0,290.0,15564900
2024-04-29,292.0,294.0,286.0,290.0,11241400
2024-04-30,290.0,296.0,274.0,276.0,53997100
2024-05-02,276.0,278.0,252.0,252.0,52067300
2024-05-03,254.0,258.0,252.0,256.0,10353300
2024-05-06,260.0,266.0,254.0,264.0,12373200
2024-05-07,268.0,272.0,262.0,268.0,8557400
2024-05-08,268.0,268.0,262.0,264.0,6291000
2024-05-13,264.0,266.0,252.0,258.0,11428800
2024-05-14,258.0,262.0,254.0,260.0,6486200
2024-05-15,260.0,266.0,258.0,262.0,6654600
2024-05-16,260.0,266.0,258.0,262.0,8616900
2024-05-17,262.0,268.0,258.0,264.0,8836400
2024-05-20,264.0,270.0,256.0,258.0,26446500
2024-05-21,258.0,266.0,258.0,262.0,11381800
2024-05-22,262.0,264.0,258.0,260.0,8463200
2024-05-27,262.0,266.0,260.0,262.0,11818500
2024-05-28,264.0,266.0,258.0,262.0,12123700
2024-05-29,264.0,290.0,262.0,276.0,74647000
2024-05-30,276.0,280.0,264.0,276.0,18857100
2024-05-31,276.0,280.0,272.0,274.0,6961200
2024-06-03,276.0,286.0,274.0,284.0,17312900
2024-06-04,286.0,290.0,282.0,288.0,18839300
2024-06-05,288.0,290.0,276.0,278.0,14909900
2024-06-06,280.0,290.0,278.0,284.0,12763800
2024-06-07,284.0,302.0,284.0,292.0,30658600
2024-06-10,292.0,300.0,290.0,300.0,25560600
2024-06-11,300.0,302.0,294.0,296.0,13683000
2024-06-12,298.0,298.0,282.0,282.0,21324700
2024-06-13,282.0,286.0,278.0,282.0,6460400
2024-06-14,282.0,288.0,272.0,272.0,11135200
2024-06-19,276.0,280.0,268.0,270.0,12385600
2024-06-20,270.0,276.0,270.0,274.0,5526000
2024-06-21,274.0,300.0,274.0,300.0,26287400
2024-06-24,302.0,312.0,298.0,308.0,38124200
2024-06-25,310.0,318.0,298.0,300.0,16845200
2024-06-26,302.0,312.0,298.0,306.0,13517400
2024-06-27,304.0,310.0,302.0,304.0,16799900
2024-06-28,304.0,326.0,304.0,324.0,56566600
2024-07-01,324.0,386.0,324.0,372.0,259946000
2024-07-02,378.0,378.0,354.0,356.0,82917300
2024-07-03,356.0,372.0,354.0,362.0,75192100
2024-07-04,380.0,380.0,350.0,368.0,64320900
2024-07-05,360.0,374.0,356.0,360.0,62338100
2024-07-08,364.0,368.0,350.0,362.0,24500800
2024-07-09,360.0,368.0,352.0,362.0,22756400
2024-07-10,360.0,364.0,356.0,364.0,35082500
2024-07-11,364.0,396.0,364.0,382.0,183678000
2024-07-12,382.0,390.0,368.0,380.0,56738900
2024-07-15,382.0,396.0,380.0,392.0,79208400
2024-07-16,392.0,394.0,382.0,392.0,42436100
2024-07-17,390.0,396.0,384.0,390.0,34350800
2024-07-18,390.0,392.0,384.0,390.0,30400200
2024-07-19,390.0,392.0,372.0,380.0,41450500
2024-07-22,380.0,380.0,360.0,362.0,68769500
2024-07-23,362.0,366.0,342.0,350.0,88137800
2024-07-24,346.0,352.0,340.0,350.0,38154300
2024-07-25,350.0,350.0,324.0,334.0,69244100
2024-07-26,336.0,346.0,330.0,346.0,24194700
2024-07-29,346.0,348.0,334.0,338.0,29547700
2024-07-30,338.0,338.0,306.0,316.0,118437500
2024-07-31,318.0,326.0,314.0,324.0,55690600
2024-08-01,324.0,328.0,318.0,328.0,23768300
2024-08-02,328.0,328.0,318.0,322.0,14158000
2024-08-05,320.0,320.0,302.0,310.0,44358400
2024-08-06,312.0,318.0,308.0,314.0,18782000
2024-08-07,316.0,324.0,312.0,318.0,23815500
2024-08-08,318.0,318.0,306.0,312.0,12363900
2024-08-09,314.0,318.0,310.0,314.0,9350900
2024-08-12,314.0,316.0,310.0,314.0,8798100
2024-08-13,314.0,332.0,312.0,330.0,34940300
2024-08-14,332.0,340.0,326.0,330.0,29455500
2024-08-15,332.0,332.0,320.0,326.0,11431200
2024-08-16,326.0,362.0,326.0,356.0,109807800
2024-08-19,358.0,376.0,356.0,358.0,84493700
2024-08-20,360.0,364.0,344.0,358.0,43909900
2024-08-21,360.0,370.0,354.0,364.0,34222900
2024-08-22,364.0,366.0,356.0,366.0,28115000
2024-08-23,368.0,378.0,364.0,368.0,56203600
2024-08-26,370.0,372.0,356.0,360.0,18208600
2024-08-27,360.0,362.0,346.0,350.0,32731100
2024-08-28,352.0,354.0,348.0,348.0,17110500
2024-08-29,350.0,352.0,348.0,348.0,11571600
2024-08-30,350.0,362.0,348.0,354.0,21362700
2024-09-02,358.0,366.0,354.0,360.0,21778500
2024-09-03,360.0,366.0,354.0,354.0,13646300
2024-09-04,354.0,358.0,346.0,346.0,22462200
2024-09-05,348.0,348.0,336.0,340.0,22478400
2024-09-06,340.0,344.0,334.0,336.0,18481200
2024-09-09,336.0,336.0,330.0,334.0,17780100
2024-09-10,334.0,350.0,332.0,338.0,29441800
2024-09-11,338.0,340.0,332.0,336.0,12925500
2024-09-12,336.0,346.0,336.0,338.0,9594200
2024-09-13,338.0,342.0,336.0,338.0,8658100
2024-09-17,340.0,342.0,336.0,342.0,11088400
2024-09-18,344.0,346.0,338.0,340.0,13325500
2024-09-19,340.0,344.0,340.0,344.0,7084200
2024-09-20,344.0,344.0,338.0,340.0,11430900
2024-09-23,340.0,342.0,334.0,336.0,13959000
2024-09-24,336.0,344.0,334.0,342.0,22081800
2024-09-25,346.0,354.0,338.0,350.0,38702900
2024-09-26,352.0,358.0,346.0,348.0,37087200
2024-09-27,350.0,352.0,342.0,348.0,30231500
2024-09-30,348.0,366.0,346.0,362.0,49457200
2024-10-01,362.0,366.0,352.0,356.0,31034900
2024-10-02,356.0,362.0,344.0,346.0,31075100
2024-10-03,346.0,356.0,346.0,348.0,16733300
2024-10-04,348.0,358.0,346.0,350.0,21271000
2024-10-07,350.0,354.0,346.0,348.0,12271700
2024-10-08,354.0,354.0,332.0,338.0,32975500
2024-10-09,322.0,340.0,322.0,336.0,14109700
2024-10-10,338.0,340.0,334.0,338.0,5158900
2024-10-11,338.0,344.0,338.0,340.0,5951700
2024-10-14,342.0,344.0,338.0,342.0,10330200
2024-10-15,342.0,348.0,338.0,346.0,9995600
2024-10-16,346.0,348.0,342.0,342.0,5286900
2024-10-17,344.0,346.0,340.0,340.0,14275800
2024-10-18,342.0,342.0,338.0,340.0,9566500
2024-10-21,340.0,342.0,334.0,338.0,21275700
2024-10-22,338.0,340.0,330.0,336.0,16654600
2024-10-23,336.0,348.0,332.0,346.0,46632400
2024-10-24,348.0,350.0,340.0,342.0,19947600
2024-10-25,342.0,346.0,336.0,338.0,11314100
2024-10-28,342.0,342.0,336.0,336.0,7793800
2024-10-29,336.0,340.0,334.0,334.0,8138900
2024-10-30,336.0,338.0,332.0,336.0,7490900
2024-10-31,336.0,352.0,332.0,340.0,44974200
2024-11-01,340.0,344.0,332.0,334.0,18959400
2024-11-04,336.0,338.0,324.0,324.0,19035500
2024-11-05,324.0,328.0,310.0,312.0,33041900
2024-11-06,306.0,318.0,306.0,312.0,13523200
2024-11-07,314.0,314.0,300.0,300.0,24889200
2024-11-08,304.0,306.0,300.0,300.0,14265700
2024-11-11,302.0,304.0,286.0,292.0,23384900
2024-11-12,294.0,298.0,292.0,294.0,9833100
2024-11-13,294.0,306.0,294.0,294.0,21933500
2024-11-14,296.0,300.0,290.0,290.0,13539200
2024-11-15,292.0,294.0,284.0,288.0,12184200
2024-11-18,288.0,290.0,280.0,280.0,14317400
2024-11-19,276.0,290.0,276.0,284.0,9554300
2024-11-20,286.0,292.0,280.0,280.0,12252700
2024-11-21,282.0,288.0,282.0,282.0,8353700
2024-11-22,284.0,286.0,280.0,280.0,10663600
2024-11-25,282.0,288.0,280.0,288.0,9427900
2024-11-26,288.0,292.0,282.0,282.0,8137300
2024-11-28,286.0,286.0,280.0,284.0,11235600
2024-11-29,284.0,286.0,278.0,282.0,8382000
2024-12-02,280.0,284.0,278.0,280.0,8124100
2024-12-03,280.0,282.0,272.0,276.0,15962800
2024-12-04,276.0,284.0,276.0,280.0,9241700
2024-12-05,280.0,286.0,280.0,284.0,5064500
2024-12-06,284.0,286.0,280.0,282.0,4904800
2024-12-09,282.0,288.0,282.0,286.0,11711300
2024-12-10,286.0,296.0,286.0,290.0,13580700
2024-12-11,292.0,292.0,282.0,282.0,10606800
2024-12-12,284.0,286.0,282.0,282.0,5243800
2024-12-13,282.0,284.0,280.0,282.0,4366100
2024-12-16,282.0,282.0,272.0,276.0,16717700
2024-12-17,276.0,278.0,272.0,272.0,8198700
2024-12-18,272.0,274.0,268.0,270.0,6355600
2024-12-19,270.0,270.0,258.0,264.0,10805000
2024-12-20,264.0,270.0,262.0,264.0,8815700
2024-12-23,264.0,270.0,264.0,268.0,8136200
2024-12-24,268.0,270.0,264.0,266.0,3573100
2024-12-27,266.0,274.0,266.0,274.0,5148900
2024-12-30,274.0,278.0,268.0,268.0,6751200
2025-01-02,270.0,278.0,268.0,276.0,6073000
2025-01-03,276.0,280.0,274.0,276.0,4051900
2025-01-06,276.0,280.0,270.0,274.0,5739400
2025-01-07,274.0,276.0,270.0,272.0,3923700
2025-01-08,272.0,274.0,266.0,270.0,5519500
2025-01-09,270.0,272.0,266.0,266.0,4626800
2025-01-10,268.0,270.0,266.0,268.0,2552300
2025-01-13,268.0,268.0,260.0,262.0,14193200
2025-01-14,262.0,266.0,260.0,260.0,5489800
2025-01-15,262.0,268.0,262.0,266.0,4575000
2025-01-16,268.0,268.0,260.0,264.0,6051100
2025-01-17,264.0,268.0,262.0,264.0,3181000
2025-01-20,264.0,268.0,264.0,268.0,3864400
2025-01-21,268.0,268.0,262.0,266.0,18171500
2025-01-22,266.0,268.0,264.0,266.0,4894900
2025-01-23,266.0,268.0,264.0,266.0,5637400
2025-01-24,268.0,268.0,260.0,264.0,12784900
2025-01-30,264.0,264.0,258.0,258.0,7836000
2025-01-31,258.0,260.0,250.0,256.0,12116100
2025-02-03,256.0,258.0,252.0,254.0,7332300
2025-02-04,254.0,258.0,254.0,256.0,4024500
2025-02-05,256.0,258.0,252.0,256.0,4897000
2025-02-06,256.0,256.0,246.0,246.0,19173200
2025-02-07,246.0,246.0,232.0,238.0,16616000
2025-02-10,240.0,242.0,232.0,236.0,7246800
2025-02-11,238.0,238.0,228.0,230.0,10190200
2025-02-12,230.0,232.0,228.0,230.0,4447900
2025-02-13,230.0,232.0,226.0,232.0,3430600
2025-02-14,232.0,246.0,232.0,246.0,11376400
2025-02-17,244.0,258.0,240.0,252.0,13493300
2025-02-18,250.0,254.0,244.0,248.0,7764900
2025-02-19,250.0,252.0,244.0,246.0,4667700
2025-02-20,246.0,248.0,238.0,240.0,5374200
2025-02-21,240.0,268.0,240.0,264.0,21607900
2025-02-24,270.0,292.0,268.0,268.0,65274600
2025-02-25,268.0,280.0,254.0,254.0,17948200
2025-02-26,256.0,276.0,254.0,268.0,14370500
2025-02-27,268.0,272.0,252.0,254.0,11376300
2025-02-28,256.0,258.0,240.0,242.0,11094200
2025-03-03,242.0,254.0,238.0,248.0,11920100
2025-03-04,248.0,250.0,236.0,238.0,8502400
2025-03-05,238.0,248.0,238.0,242.0,7232300
2025-03-06,246.0,248.0,242.0,244.0,3903700
2025-03-07,244.0,248.0,242.0,244.0,4444200
2025-03-10,246.0,246.0,238.0,240.0,7066700
2025-03-11,240.0,242.0,236.0,238.0,4922800
2025-03-12,238.0,242.0,236.0,242.0,5032600
2025-03-13,242.0,242.0,236.0,240.0,3376400
2025-03-14,240.0,240.0,234.0,236.0,8356700
2025-03-17,238.0,242.0,236.0,238.0,6519000
2025-03-18,240.0,242.0,216.0,232.0,15883200
2025-03-19,232.0,236.0,226.0,236.0,3812500
2025-03-20,236.0,240.0,232.0,232.0,4542000
2025-03-21,232.0,234.0,226.0,230.0,7252100
2025-03-24,228.0,230.0,216.0,222.0,14483400
2025-03-25,222.0,226.0,220.0,224.0,7340700
2025-03-26,224.0,234.0,224.0,232.0,9933100
2025-03-27,238.0,238.0,226.0,230.0,9195700
2025-04-08,212.0,214.0,200.0,202.0,22602400
2025-04-09,194.0,224.0,192.0,218.0,22862300
2025-04-10,220.0,230.0,220.0,224.0,13761500
2025-04-11,224.0,232.0,218.0,232.0,12683600
2025-04-14,232.0,240.0,232.0,240.0,13030900
2025-04-15,240.0,242.0,236.0,236.0,7547800
2025-04-16,240.0,240.0,234.0,234.0,4823300
2025-04-17,234.0,244.0,234.0,240.0,9413300
2025-04-21,244.0,246.0,236.0,238.0,7316500
2025-04-22,238.0,246.0,236.0,244.0,6440900
2025-04-23,244.0,248.0,240.0,242.0,5674600
2025-04-24,244.0,252.0,242.0,246.0,8529000
2025-04-25,246.0,254.0,244.0,252.0,10260700
2025-04-28,254.0,256.0,248.0,252.0,6160000
2025-04-29,252.0,254.0,246.0,252.0,8157900
2025-04-30,254.0,258.0,250.0,254.0,11202700
2025-05-02,260.0,272.0,260.0,266.0,21277600
2025-05-05,270.0,278.0,266.0,270.0,15218800
2025-05-06,272.0,272.0,264.0,268.0,13018200
2025-05-07,266.0,270.0,262.0,264.0,15000700
2025-05-08,266.0,272.0,260.0,260.0,13751900
2025-05-09,260.0,264.0,258.0,258.0,6920300
2025-05-14,266.0,288.0,264.0,276.0,67909800
2025-05-15,276.0,288.0,274.0,286.0,35760000
