date,open,high,low,close,volume
2024-04-16,5650.0,5650.0,5500.0,5575.0,16305200
2024-04-17,5550.0,5575.0,5350.0,5350.0,11729200
2024-04-18,5350.0,5425.0,5300.0,5350.0,7719100
2024-04-19,5350.0,5375.0,5075.0,5075.0,16105100
2024-04-22,5100.0,5200.0,4980.0,5025.0,16088400
2024-04-23,5025.0,5100.0,4850.0,4880.0,23190300
2024-04-24,4900.0,4980.0,4780.0,4800.0,18681800
2024-04-25,4800.0,4880.0,4750.0,4800.0,18056300
2024-04-26,4800.0,4820.0,4580.0,4580.0,22366700
2024-04-29,4620.0,4740.0,4600.0,4620.0,21495900
2024-04-30,4620.0,4690.0,4620.0,4670.0,24647500
2024-05-02,4680.0,4750.0,4650.0,4740.0,20484200
2024-05-03,4740.0,4750.0,4630.0,4630.0,13946100
2024-05-06,4670.0,4710.0,4630.0,4700.0,13406400
2024-05-07,4700.0,4740.0,4690.0,4700.0,8058800
2024-05-08,4710.0,4710.0,4450.0,4480.0,22529600
2024-05-13,4470.0,4490.0,4350.0,4380.0,30089700
2024-05-14,4390.0,4390.0,4210.0,4220.0,35689600
2024-05-15,4180.0,4210.0,4060.0,4120.0,39417100
2024-05-16,4070.0,4340.0,4040.0,4120.0,47082600
2024-05-17,4100.0,4140.0,4060.0,4060.0,32411400
2024-05-20,4000.0,4040.0,3970.0,3990.0,28480300
2024-05-21,4000.0,4080.0,3980.0,3990.0,20008900
2024-05-22,3980.0,4030.0,3900.0,3950.0,21807200
2024-05-27,3910.0,3990.0,3760.0,3760.0,42613300
2024-05-28,3780.0,3860.0,3760.0,3780.0,20602200
2024-05-29,3780.0,3790.0,3710.0,3760.0,18878100
2024-05-30,3760.0,3790.0,3670.0,3690.0,43930000
2024-05-31,3630.0,3650.0,3490.0,3490.0,290449700
2024-06-03,3510.0,3590.0,3410.0,3550.0,70088100
2024-06-04,3560.0,4060.0,3530.0,3830.0,142238100
2024-06-05,3900.0,3990.0,3770.0,3860.0,95511400
2024-06-06,3890.0,4040.0,3880.0,3950.0,62672100
2024-06-07,4000.0,4120.0,3960.0,4010.0,58719100
2024-06-10,4050.0,4150.0,4020.0,4100.0,37510400
2024-06-11,4100.0,4150.0,3870.0,3880.0,89001000
2024-06-12,3890.0,3900.0,3570.0,3610.0,69083400
2024-06-13,3640.0,3790.0,3620.0,3660.0,51881200
