date,open,high,low,close,volume
2024-04-16,770.0,780.0,760.0,765.0,166800
2024-04-17,770.0,785.0,755.0,760.0,86200
2024-04-18,795.0,795.0,750.0,765.0,60000
2024-04-19,750.0,760.0,750.0,755.0,65100
2024-04-22,755.0,760.0,755.0,755.0,38000
2024-04-23,760.0,770.0,755.0,755.0,48200
2024-04-24,755.0,770.0,750.0,750.0,92200
2024-04-25,770.0,770.0,760.0,770.0,57600
2024-04-26,770.0,770.0,750.0,750.0,20500
2024-04-29,755.0,760.0,735.0,750.0,89900
2024-04-30,750.0,765.0,750.0,765.0,34600
2024-05-02,760.0,770.0,755.0,765.0,65600
2024-05-03,765.0,765.0,730.0,750.0,110600
2024-05-06,750.0,765.0,745.0,750.0,21200
2024-05-07,750.0,765.0,735.0,755.0,42200
2024-05-08,740.0,755.0,735.0,755.0,68000
2024-05-13,755.0,755.0,740.0,740.0,18300
2024-05-14,740.0,760.0,735.0,755.0,3100
2024-05-15,755.0,755.0,730.0,735.0,40200
2024-05-16,735.0,745.0,730.0,735.0,43400
2024-05-17,735.0,735.0,725.0,725.0,26600
2024-05-20,730.0,745.0,725.0,730.0,34900
2024-05-21,735.0,745.0,735.0,735.0,37900
2024-05-22,735.0,740.0,730.0,735.0,25400
2024-05-27,735.0,740.0,730.0,735.0,21800
2024-05-28,740.0,750.0,740.0,740.0,69500
2024-05-29,740.0,740.0,720.0,740.0,40500
2024-05-30,725.0,745.0,725.0,730.0,168800
2024-05-31,730.0,730.0,715.0,730.0,15100
2024-06-03,735.0,745.0,730.0,735.0,25700
2024-06-04,745.0,760.0,740.0,740.0,30400
2024-06-05,740.0,740.0,735.0,740.0,2600
2024-06-06,740.0,760.0,740.0,740.0,24100
2024-06-07,745.0,755.0,710.0,750.0,47600
2024-06-10,750.0,750.0,715.0,730.0,18100
2024-06-11,725.0,735.0,720.0,730.0,35700
2024-06-12,725.0,730.0,715.0,720.0,26000
2024-06-13,720.0,780.0,720.0,725.0,42900
2024-06-14,725.0,735.0,660.0,705.0,15200
2024-06-19,705.0,745.0,680.0,680.0,39700
2024-06-20,690.0,710.0,680.0,710.0,82500
2024-06-21,705.0,735.0,705.0,710.0,9400
2024-06-24,725.0,730.0,690.0,695.0,9500
2024-06-25,715.0,715.0,690.0,700.0,16000
2024-06-26,700.0,730.0,700.0,700.0,8500
2024-06-27,700.0,725.0,700.0,705.0,4500
2024-06-28,725.0,725.0,710.0,710.0,22300
2024-07-01,720.0,735.0,710.0,720.0,40400
2024-07-02,720.0,735.0,710.0,720.0,63800
2024-07-03,720.0,725.0,720.0,720.0,16700
2024-07-04,720.0,730.0,710.0,720.0,59300
2024-07-05,720.0,730.0,720.0,720.0,4600
2024-07-08,720.0,725.0,720.0,720.0,17500
2024-07-09,725.0,730.0,710.0,710.0,25500
2024-07-10,730.0,730.0,710.0,720.0,15400
2024-07-11,730.0,730.0,710.0,715.0,9800
2024-07-12,715.0,730.0,710.0,720.0,36100
2024-07-15,720.0,730.0,715.0,715.0,8500
2024-07-16,715.0,730.0,695.0,710.0,31600
2024-07-17,725.0,725.0,715.0,715.0,3700
2024-07-18,715.0,720.0,710.0,710.0,16600
2024-07-19,710.0,725.0,710.0,715.0,26400
2024-07-22,715.0,725.0,715.0,715.0,30400
2024-07-23,720.0,725.0,705.0,710.0,62500
2024-07-24,710.0,720.0,710.0,710.0,8500
2024-07-25,710.0,725.0,700.0,710.0,44000
2024-07-26,710.0,720.0,710.0,715.0,3400
2024-07-29,715.0,740.0,710.0,715.0,106000
2024-07-30,730.0,735.0,720.0,735.0,94400
2024-07-31,735.0,735.0,705.0,720.0,27100
2024-08-01,720.0,730.0,715.0,720.0,32400
2024-08-02,720.0,720.0,705.0,705.0,56700
