date,open,high,low,close,volume
2024-04-16,1945.0,1950.0,1850.0,1875.0,2449100
2024-04-17,1875.0,1960.0,1875.0,1915.0,1742500
2024-04-18,1915.0,1950.0,1875.0,1875.0,1733100
2024-04-19,1895.0,1905.0,1855.0,1865.0,823100
2024-04-22,1870.0,1895.0,1840.0,1890.0,1329200
2024-04-23,1880.0,1900.0,1875.0,1885.0,738300
2024-04-24,1890.0,1895.0,1850.0,1855.0,1458200
2024-04-25,1855.0,1885.0,1845.0,1885.0,1218500
2024-04-26,1885.0,1890.0,1800.0,1800.0,1740000
2024-04-29,1805.0,1820.0,1760.0,1765.0,2051000
2024-04-30,1765.0,1820.0,1740.0,1800.0,3029500
2024-05-02,1800.0,1800.0,1725.0,1745.0,2993500
2024-05-03,1750.0,1760.0,1710.0,1750.0,2177200
2024-05-06,1755.0,1780.0,1710.0,1760.0,5189700
2024-05-07,1760.0,1760.0,1700.0,1710.0,8296500
2024-05-08,1710.0,1725.0,1650.0,1650.0,5212800
2024-05-13,1600.0,1655.0,1600.0,1620.0,3005300
2024-05-14,1620.0,1660.0,1605.0,1645.0,2792600
2024-05-15,1650.0,1705.0,1645.0,1695.0,1654000
2024-05-16,1700.0,1705.0,1660.0,1675.0,1684400
2024-05-17,1675.0,1675.0,1635.0,1645.0,4651600
2024-05-20,1645.0,1700.0,1620.0,1630.0,1582600
2024-05-21,1630.0,1630.0,1585.0,1590.0,2576000
2024-05-22,1600.0,1630.0,1600.0,1600.0,2652200
2024-05-27,1600.0,1610.0,1595.0,1595.0,1933300
2024-05-28,1595.0,1620.0,1590.0,1600.0,2883900
2024-05-29,1605.0,1630.0,1580.0,1585.0,1421800
2024-05-30,1590.0,1595.0,1545.0,1555.0,1654700
2024-05-31,1555.0,1800.0,1555.0,1800.0,7294400
2024-06-03,1800.0,1800.0,1600.0,1780.0,14781600
2024-06-04,1785.0,1800.0,1765.0,1765.0,3489000
2024-06-05,1765.0,1770.0,1725.0,1760.0,1252000
2024-06-06,1760.0,1795.0,1755.0,1795.0,1514800
2024-06-07,1795.0,1795.0,1760.0,1760.0,2252700
2024-06-10,1770.0,1780.0,1745.0,1760.0,1291100
2024-06-11,1775.0,1795.0,1720.0,1795.0,5257300
