date,open,high,low,close,volume
2024-04-16,492.0,492.0,492.0,492.0,500
2024-04-17,492.0,492.0,492.0,492.0,2600
2024-04-18,492.0,492.0,492.0,492.0,1500
2024-04-19,492.0,492.0,492.0,492.0,300
2024-04-22,492.0,492.0,492.0,492.0,800
2024-04-23,490.0,490.0,490.0,490.0,100
2024-04-24,490.0,492.0,490.0,492.0,52700
2024-04-25,492.0,492.0,492.0,492.0,0
2024-04-26,494.0,494.0,494.0,494.0,500
2024-04-29,494.0,494.0,494.0,494.0,1100
2024-04-30,494.0,498.0,494.0,498.0,600
2024-05-02,496.0,496.0,496.0,496.0,1100
2024-05-03,498.0,498.0,496.0,496.0,900
2024-05-06,496.0,496.0,496.0,496.0,200
2024-05-07,496.0,496.0,496.0,496.0,900
2024-05-08,496.0,498.0,496.0,498.0,1300
2024-05-13,500.0,500.0,498.0,498.0,300
2024-05-14,498.0,498.0,498.0,498.0,7300
2024-05-15,498.0,500.0,498.0,500.0,11800
2024-05-16,500.0,500.0,500.0,500.0,100
2024-05-17,500.0,500.0,500.0,500.0,900
2024-05-20,500.0,500.0,500.0,500.0,200
2024-05-21,498.0,498.0,498.0,498.0,100
2024-05-22,498.0,498.0,498.0,498.0,2000
2024-05-27,500.0,500.0,500.0,500.0,11500
2024-05-28,500.0,500.0,500.0,500.0,13300
2024-05-29,500.0,505.0,500.0,505.0,13600
2024-05-30,505.0,505.0,505.0,505.0,1800
2024-05-31,510.0,630.0,510.0,575.0,125400
2024-06-03,575.0,615.0,560.0,575.0,312300
2024-06-04,575.0,620.0,575.0,600.0,49800
2024-06-05,600.0,750.0,600.0,750.0,637600
2024-06-06,750.0,840.0,750.0,765.0,832900
2024-06-07,760.0,765.0,610.0,690.0,321700
2024-06-10,690.0,745.0,685.0,710.0,133000
2024-06-11,715.0,715.0,680.0,705.0,38400
2024-06-12,705.0,705.0,605.0,695.0,155400
2024-06-13,695.0,725.0,655.0,695.0,47000
2024-06-14,695.0,720.0,665.0,675.0,47200
2024-06-19,675.0,675.0,605.0,605.0,152700
2024-06-20,620.0,710.0,590.0,620.0,363000
2024-06-21,620.0,680.0,620.0,660.0,56400
2024-06-24,665.0,715.0,665.0,695.0,129600
2024-06-25,695.0,710.0,685.0,695.0,20600
2024-06-26,695.0,695.0,675.0,675.0,24800
2024-06-27,685.0,685.0,670.0,670.0,26000
2024-06-28,680.0,710.0,680.0,685.0,63400
2024-07-01,690.0,695.0,650.0,675.0,25900
2024-07-02,680.0,775.0,680.0,695.0,246400
2024-07-03,695.0,695.0,685.0,690.0,46500
2024-07-04,690.0,695.0,690.0,695.0,19100
2024-07-05,695.0,695.0,665.0,690.0,55500
2024-07-08,690.0,690.0,665.0,680.0,143400
2024-07-09,680.0,680.0,665.0,670.0,45400
2024-07-10,680.0,680.0,670.0,670.0,18400
2024-07-11,675.0,675.0,670.0,675.0,44300
2024-07-12,675.0,675.0,670.0,675.0,48600
2024-07-15,675.0,675.0,670.0,670.0,15700
2024-07-16,675.0,675.0,670.0,670.0,14700
2024-07-17,670.0,675.0,665.0,670.0,49900
2024-07-18,670.0,675.0,665.0,670.0,29000
2024-07-19,670.0,670.0,660.0,670.0,71900
2024-07-22,665.0,665.0,660.0,665.0,21900
2024-07-23,665.0,665.0,645.0,655.0,74000
2024-07-24,655.0,665.0,635.0,665.0,43600
2024-07-25,670.0,670.0,650.0,650.0,63400
2024-07-26,650.0,660.0,650.0,660.0,7800
2024-07-29,660.0,665.0,655.0,655.0,34600
2024-07-30,655.0,660.0,650.0,655.0,32200
2024-07-31,655.0,665.0,655.0,665.0,9700
2024-08-01,665.0,665.0,660.0,660.0,11200
2024-08-02,665.0,665.0,655.0,655.0,18400
2024-08-05,655.0,655.0,625.0,630.0,8400
2024-08-06,630.0,650.0,630.0,635.0,1900
2024-08-07,645.0,645.0,645.0,645.0,2400
2024-08-08,640.0,650.0,625.0,650.0,2300
2024-08-09,650.0,650.0,635.0,640.0,2000
2024-08-12,640.0,645.0,635.0,635.0,4900
2024-08-13,635.0,650.0,635.0,650.0,3100
2024-08-14,660.0,660.0,650.0,650.0,15200
2024-08-15,660.0,660.0,650.0,660.0,20600
2024-08-16,660.0,660.0,655.0,655.0,9100
2024-08-19,660.0,660.0,655.0,655.0,7400
2024-08-20,660.0,665.0,660.0,660.0,29300
2024-08-21,665.0,765.0,650.0,670.0,102200
2024-08-22,670.0,670.0,635.0,665.0,31200
2024-08-23,665.0,665.0,640.0,660.0,10200
2024-08-26,660.0,665.0,660.0,660.0,18600
2024-08-27,660.0,660.0,645.0,650.0,70100
2024-08-28,650.0,660.0,640.0,660.0,19000
2024-08-29,665.0,665.0,645.0,660.0,15000
2024-08-30,635.0,660.0,635.0,660.0,5500
2024-09-02,660.0,660.0,635.0,655.0,20700
2024-09-03,660.0,660.0,655.0,655.0,12500
2024-09-04,650.0,660.0,650.0,650.0,12000
2024-09-05,655.0,665.0,655.0,665.0,31200
2024-09-06,695.0,700.0,665.0,670.0,52500
2024-09-09,675.0,685.0,665.0,670.0,18100
2024-09-10,670.0,670.0,660.0,660.0,36800
2024-09-11,665.0,665.0,660.0,665.0,18200
2024-09-12,655.0,670.0,655.0,665.0,25900
2024-09-13,665.0,675.0,650.0,650.0,6300
2024-09-17,650.0,695.0,650.0,655.0,50400
2024-09-18,660.0,670.0,660.0,665.0,10000
2024-09-19,670.0,670.0,665.0,670.0,47800
2024-09-20,700.0,700.0,655.0,655.0,33700
2024-09-23,685.0,685.0,650.0,655.0,23700
2024-09-24,655.0,670.0,655.0,670.0,35500
2024-09-25,655.0,670.0,655.0,670.0,38900
2024-09-26,665.0,670.0,660.0,665.0,7400
2024-09-27,665.0,670.0,660.0,670.0,38700
2024-09-30,670.0,680.0,665.0,670.0,26200
2024-10-01,675.0,675.0,665.0,665.0,32200
2024-10-02,665.0,680.0,665.0,665.0,58300
2024-10-03,665.0,675.0,665.0,675.0,15300
2024-10-04,675.0,675.0,665.0,665.0,13100
2024-10-07,665.0,680.0,665.0,665.0,59600
2024-10-08,670.0,675.0,670.0,670.0,14000
2024-10-09,675.0,680.0,670.0,670.0,13900
2024-10-10,675.0,680.0,670.0,675.0,11100
2024-10-11,680.0,680.0,670.0,675.0,12000
2024-10-14,675.0,680.0,670.0,675.0,26900
2024-10-15,695.0,695.0,675.0,685.0,103400
2024-10-16,685.0,735.0,685.0,690.0,147100
2024-10-17,690.0,700.0,685.0,685.0,25700
2024-10-18,685.0,695.0,685.0,695.0,5900
2024-10-21,690.0,710.0,690.0,695.0,14800
2024-10-22,700.0,710.0,690.0,695.0,32200
2024-10-23,695.0,710.0,695.0,695.0,18600
2024-10-24,695.0,695.0,690.0,690.0,27100
2024-10-25,685.0,710.0,685.0,690.0,4300
2024-10-28,690.0,690.0,685.0,690.0,18700
2024-10-29,685.0,690.0,685.0,690.0,16800
2024-10-30,690.0,695.0,690.0,695.0,14700
2024-10-31,715.0,715.0,690.0,695.0,17500
2024-11-01,695.0,695.0,690.0,695.0,3200
2024-11-04,695.0,695.0,690.0,695.0,4900
2024-11-05,695.0,695.0,690.0,690.0,43700
2024-11-06,695.0,695.0,690.0,690.0,5900
2024-11-07,685.0,695.0,685.0,695.0,16200
2024-11-08,695.0,710.0,690.0,690.0,27600
2024-11-11,685.0,695.0,685.0,695.0,8600
2024-11-12,695.0,700.0,690.0,695.0,5100
2024-11-13,690.0,695.0,690.0,695.0,700
2024-11-14,700.0,700.0,685.0,685.0,4800
2024-11-15,690.0,690.0,690.0,690.0,500
2024-11-18,690.0,690.0,685.0,685.0,30300
2024-11-19,685.0,700.0,680.0,685.0,25800
2024-11-20,685.0,695.0,680.0,695.0,1300
2024-11-21,700.0,725.0,685.0,690.0,28500
2024-11-22,690.0,690.0,685.0,690.0,10000
2024-11-25,690.0,695.0,685.0,695.0,37900
2024-11-26,695.0,695.0,690.0,690.0,1200
2024-11-28,690.0,700.0,690.0,690.0,2800
2024-11-29,690.0,690.0,655.0,660.0,35000
2024-12-02,635.0,640.0,600.0,610.0,28900
2024-12-03,630.0,760.0,580.0,625.0,431300
2024-12-04,625.0,700.0,615.0,670.0,85300
2024-12-05,670.0,670.0,630.0,665.0,20700
2024-12-06,665.0,665.0,630.0,635.0,30700
2024-12-09,635.0,635.0,605.0,630.0,27800
2024-12-10,605.0,650.0,605.0,650.0,338400
2024-12-11,650.0,655.0,605.0,645.0,38200
2024-12-12,645.0,675.0,635.0,645.0,424200
2024-12-13,650.0,665.0,635.0,665.0,20600
2024-12-16,665.0,670.0,645.0,650.0,39400
2024-12-17,670.0,670.0,650.0,670.0,9200
2024-12-18,670.0,670.0,630.0,635.0,19400
2024-12-19,635.0,655.0,625.0,630.0,7600
2024-12-20,625.0,625.0,625.0,625.0,14500
2024-12-23,625.0,625.0,615.0,615.0,9900
2024-12-24,615.0,665.0,610.0,660.0,168700
2024-12-27,675.0,675.0,615.0,635.0,40900
2024-12-30,635.0,635.0,635.0,635.0,4200
2025-01-02,650.0,650.0,630.0,645.0,1800
2025-01-03,670.0,670.0,635.0,650.0,5600
2025-01-06,650.0,655.0,615.0,655.0,4400
2025-01-07,655.0,695.0,610.0,640.0,37500
2025-01-08,690.0,690.0,630.0,660.0,9000
2025-01-09,665.0,665.0,630.0,640.0,4700
2025-01-10,645.0,645.0,645.0,645.0,1400
2025-01-13,645.0,670.0,600.0,635.0,17300
2025-01-14,605.0,670.0,605.0,620.0,3700
2025-01-15,665.0,665.0,645.0,655.0,11200
2025-01-16,655.0,700.0,620.0,675.0,423200
2025-01-17,675.0,675.0,670.0,675.0,2800
2025-01-20,675.0,690.0,655.0,680.0,194200
2025-01-21,675.0,680.0,670.0,675.0,6200
2025-01-22,670.0,680.0,670.0,680.0,4200
2025-01-23,685.0,685.0,645.0,655.0,6200
2025-01-24,655.0,685.0,655.0,660.0,66900
2025-01-30,660.0,720.0,655.0,700.0,63400
2025-01-31,700.0,705.0,660.0,675.0,46000
2025-02-03,675.0,720.0,650.0,660.0,39800
2025-02-04,710.0,710.0,665.0,665.0,45700
2025-02-05,670.0,710.0,670.0,685.0,10100
2025-02-06,685.0,685.0,675.0,675.0,3300
2025-02-07,675.0,685.0,670.0,685.0,4100
2025-02-10,685.0,685.0,650.0,685.0,4500
2025-02-11,685.0,685.0,660.0,685.0,500
2025-02-12,685.0,685.0,675.0,675.0,2300
2025-02-13,675.0,690.0,675.0,690.0,800
2025-02-14,690.0,690.0,600.0,665.0,6500
2025-02-17,665.0,665.0,665.0,665.0,2300
2025-02-18,665.0,670.0,660.0,670.0,11200
2025-02-19,670.0,675.0,655.0,675.0,8800
2025-02-20,675.0,675.0,650.0,655.0,9500
2025-02-21,655.0,680.0,655.0,665.0,2400
2025-02-24,685.0,685.0,685.0,685.0,300
2025-02-25,685.0,685.0,685.0,685.0,3700
2025-02-26,685.0,685.0,635.0,640.0,1300
2025-02-27,640.0,685.0,640.0,645.0,150800
2025-02-28,640.0,650.0,640.0,650.0,1200
2025-03-03,650.0,650.0,500.0,640.0,7800
2025-03-04,640.0,640.0,560.0,635.0,3800
2025-03-05,640.0,665.0,585.0,665.0,306400
2025-03-06,665.0,665.0,660.0,660.0,900
2025-03-07,650.0,650.0,650.0,650.0,600
2025-03-10,650.0,650.0,610.0,645.0,9800
2025-03-11,625.0,645.0,625.0,645.0,1300
2025-03-12,620.0,650.0,615.0,640.0,14700
2025-03-13,635.0,645.0,620.0,645.0,1200
2025-03-14,645.0,650.0,615.0,630.0,9400
2025-03-17,615.0,630.0,615.0,620.0,1000
2025-03-18,620.0,635.0,610.0,635.0,8700
2025-03-19,635.0,635.0,610.0,620.0,13400
2025-03-20,620.0,630.0,610.0,610.0,236400
2025-03-21,630.0,630.0,610.0,625.0,1200
2025-03-24,600.0,625.0,505.0,625.0,60700
2025-03-25,625.0,625.0,625.0,625.0,13500
2025-03-26,625.0,625.0,600.0,625.0,20400
2025-03-27,625.0,635.0,625.0,635.0,7700
2025-04-08,635.0,635.0,590.0,590.0,23800
2025-04-09,590.0,610.0,515.0,605.0,37400
2025-04-10,605.0,605.0,605.0,605.0,1100
2025-04-11,630.0,630.0,625.0,625.0,900
2025-04-14,625.0,630.0,605.0,610.0,82100
2025-04-15,605.0,610.0,605.0,610.0,6500
2025-04-16,610.0,610.0,605.0,610.0,5200
2025-04-17,610.0,740.0,600.0,720.0,185300
2025-04-21,720.0,730.0,650.0,670.0,79100
2025-04-22,670.0,690.0,620.0,660.0,46200
2025-04-23,655.0,740.0,610.0,630.0,170700
2025-04-24,630.0,685.0,595.0,645.0,87500
2025-04-25,640.0,730.0,620.0,650.0,92700
2025-04-28,650.0,730.0,635.0,670.0,191500
2025-04-29,670.0,720.0,670.0,685.0,24400
2025-04-30,685.0,710.0,660.0,685.0,93600
2025-05-02,680.0,685.0,650.0,680.0,154300
2025-05-05,680.0,680.0,655.0,675.0,112900
2025-05-06,675.0,680.0,665.0,675.0,16400
2025-05-07,675.0,680.0,640.0,670.0,128900
2025-05-08,670.0,675.0,650.0,650.0,110400
2025-05-09,615.0,670.0,615.0,650.0,46700
2025-05-14,645.0,670.0,635.0,655.0,35800
2025-05-15,665.0,720.0,640.0,660.0,228900
2025-05-16,660.0,695.0,600.0,665.0,107600
2025-05-19,640.0,680.0,630.0,675.0,36900
2025-05-20,675.0,690.0,670.0,680.0,5600
2025-05-21,680.0,690.0,665.0,685.0,10700
2025-05-22,680.0,685.0,650.0,670.0,8000
2025-05-23,680.0,680.0,650.0,675.0,25700
2025-05-26,675.0,835.0,670.0,690.0,197800
2025-05-27,685.0,690.0,650.0,675.0,171400
2025-05-28,680.0,680.0,655.0,670.0,79600
2025-06-02,670.0,770.0,665.0,685.0,265800
2025-06-03,685.0,685.0,650.0,680.0,27100
2025-06-04,680.0,680.0,660.0,665.0,35700
2025-06-05,690.0,700.0,660.0,670.0,89000
2025-06-10,670.0,695.0,670.0,690.0,56700
2025-06-11,690.0,690.0,670.0,685.0,30600
2025-06-12,670.0,685.0,650.0,685.0,12900
2025-06-13,680.0,680.0,675.0,675.0,6200
2025-06-16,675.0,685.0,660.0,685.0,2400
2025-06-17,685.0,685.0,670.0,670.0,2100
2025-06-18,680.0,680.0,660.0,660.0,9300
