date,open,high,low,close,volume
2024-04-16,1960.0,1960.0,1960.0,1960.0,0
2024-04-17,1960.0,1960.0,1960.0,1960.0,0
2024-04-18,1960.0,1960.0,1960.0,1960.0,0
2024-04-19,1960.0,1960.0,1960.0,1960.0,0
2024-04-22,1960.0,1960.0,1960.0,1960.0,0
2024-04-23,1960.0,1960.0,1960.0,1960.0,0
2024-04-24,1960.0,1960.0,1960.0,1960.0,0
2024-04-25,1960.0,1960.0,1960.0,1960.0,0
2024-04-26,1765.0,1765.0,1765.0,1765.0,200
2024-04-29,1765.0,1765.0,1765.0,1765.0,0
2024-04-30,1590.0,1590.0,1590.0,1590.0,900
2024-05-02,1590.0,1590.0,1590.0,1590.0,100
2024-05-03,1590.0,1590.0,1590.0,1590.0,0
2024-05-06,1590.0,1590.0,1590.0,1590.0,0
2024-05-07,1590.0,1590.0,1590.0,1590.0,0
2024-05-08,1590.0,1590.0,1590.0,1590.0,0
2024-05-13,1590.0,1590.0,1590.0,1590.0,0
2024-05-14,1435.0,1435.0,1435.0,1435.0,300
2024-05-15,1305.0,1305.0,1295.0,1295.0,6300
2024-05-16,1170.0,1170.0,1170.0,1170.0,15300
2024-05-17,1055.0,1285.0,1055.0,1285.0,79000
2024-05-20,1235.0,1235.0,1200.0,1200.0,17600
2024-05-21,1145.0,1145.0,1085.0,1145.0,2200
2024-05-22,1100.0,1100.0,1040.0,1040.0,43600
2024-05-27,1105.0,1300.0,1100.0,1300.0,147100
2024-05-28,1380.0,1505.0,985.0,1035.0,606700
2024-05-29,1040.0,1100.0,890.0,945.0,185300
2024-05-30,890.0,945.0,885.0,885.0,39700
2024-05-31,910.0,1050.0,900.0,920.0,200400
2024-06-03,930.0,1025.0,930.0,955.0,55700
2024-06-04,970.0,970.0,850.0,850.0,66500
2024-06-05,905.0,980.0,905.0,910.0,79600
2024-06-06,940.0,970.0,850.0,880.0,75300
2024-06-07,880.0,885.0,860.0,885.0,58200
2024-06-10,885.0,900.0,855.0,875.0,42300
2024-06-11,860.0,885.0,840.0,845.0,17800
2024-06-12,830.0,845.0,830.0,845.0,1200
2024-06-13,880.0,880.0,840.0,845.0,3100
2024-06-14,845.0,845.0,640.0,640.0,49400
