date,open,high,low,close,volume
2024-04-16,55.0,55.0,52.0,53.0,3058100
2024-04-17,53.0,54.0,52.0,54.0,813000
2024-04-18,54.0,55.0,53.0,55.0,222100
2024-04-19,55.0,55.0,51.0,51.0,7556500
2024-04-22,52.0,53.0,51.0,52.0,1610300
2024-04-23,52.0,53.0,51.0,51.0,1832500
2024-04-24,52.0,52.0,50.0,51.0,30292800
2024-04-25,51.0,51.0,50.0,51.0,888300
2024-04-26,51.0,51.0,50.0,50.0,4348900
2024-04-29,50.0,52.0,50.0,52.0,1354000
2024-04-30,52.0,52.0,51.0,52.0,905400
2024-05-02,51.0,52.0,50.0,50.0,8813000
2024-05-03,50.0,51.0,50.0,50.0,2350300
2024-05-06,50.0,51.0,50.0,51.0,871500
2024-05-07,50.0,51.0,50.0,50.0,286000
2024-05-08,51.0,51.0,50.0,51.0,5341000
2024-05-13,51.0,51.0,50.0,50.0,2558200
2024-05-14,50.0,51.0,50.0,51.0,1035200
2024-05-15,51.0,51.0,50.0,50.0,1884000
2024-05-16,51.0,51.0,50.0,50.0,3165500
2024-05-17,50.0,51.0,50.0,51.0,895800
2024-05-20,51.0,52.0,50.0,51.0,1797900
2024-05-21,51.0,51.0,50.0,51.0,247300
2024-05-22,51.0,51.0,50.0,51.0,392000
2024-05-27,51.0,51.0,50.0,50.0,1051700
2024-05-28,50.0,51.0,50.0,51.0,1514600
2024-05-29,51.0,51.0,50.0,51.0,212500
2024-05-30,51.0,51.0,50.0,51.0,107300
2024-05-31,50.0,50.0,50.0,50.0,13640500
2024-06-03,50.0,50.0,50.0,50.0,1282400
2024-06-04,50.0,50.0,50.0,50.0,700200
2024-06-05,50.0,50.0,50.0,50.0,929300
2024-06-06,50.0,50.0,50.0,50.0,683800
2024-06-07,50.0,50.0,50.0,50.0,842100
2024-06-10,50.0,50.0,50.0,50.0,126000
2024-06-11,50.0,50.0,50.0,50.0,654300
2024-06-12,50.0,50.0,50.0,50.0,1200
2024-06-13,50.0,50.0,50.0,50.0,4100
2024-06-14,50.0,50.0,50.0,50.0,4800
2024-06-19,50.0,50.0,50.0,50.0,522900
2024-06-20,50.0,50.0,50.0,50.0,104000
2024-06-21,50.0,50.0,50.0,50.0,40000
2024-06-24,50.0,51.0,50.0,50.0,10769400
2024-06-25,50.0,51.0,50.0,50.0,1233200
2024-06-26,50.0,50.0,50.0,50.0,188700
2024-06-27,50.0,50.0,50.0,50.0,4666600
2024-06-28,50.0,51.0,50.0,50.0,1011500
2024-07-01,51.0,52.0,50.0,51.0,2148500
2024-07-02,51.0,52.0,50.0,50.0,6859800
2024-07-03,50.0,51.0,50.0,50.0,3135100
2024-07-04,50.0,50.0,50.0,50.0,103000
2024-07-05,50.0,50.0,50.0,50.0,1517800
2024-07-08,50.0,50.0,50.0,50.0,454700
2024-07-09,50.0,50.0,50.0,50.0,398700
2024-07-10,50.0,50.0,50.0,50.0,209700
2024-07-11,50.0,51.0,50.0,50.0,3705800
2024-07-12,50.0,50.0,50.0,50.0,1925200
2024-07-15,50.0,50.0,50.0,50.0,1979200
2024-07-16,50.0,50.0,50.0,50.0,290100
2024-07-17,50.0,50.0,50.0,50.0,17100
2024-07-18,50.0,50.0,50.0,50.0,80000
2024-07-19,50.0,50.0,50.0,50.0,889100
2024-07-22,50.0,50.0,50.0,50.0,341000
2024-07-23,50.0,50.0,50.0,50.0,312500
2024-07-24,50.0,50.0,50.0,50.0,309200
2024-07-25,50.0,50.0,50.0,50.0,513600
2024-07-26,50.0,50.0,50.0,50.0,1514700
2024-07-29,50.0,50.0,50.0,50.0,878100
2024-07-30,50.0,51.0,50.0,50.0,5097100
2024-07-31,50.0,51.0,50.0,50.0,12033300
2024-08-01,50.0,50.0,50.0,50.0,1060900
2024-08-02,50.0,50.0,50.0,50.0,742700
2024-08-05,50.0,50.0,50.0,50.0,469200
2024-08-06,50.0,51.0,50.0,50.0,27926800
2024-08-07,50.0,51.0,50.0,51.0,1033100
2024-08-08,51.0,57.0,50.0,52.0,27129700
2024-08-09,53.0,53.0,51.0,52.0,7034900
2024-08-12,53.0,54.0,51.0,52.0,11323900
2024-08-13,53.0,53.0,51.0,53.0,1963300
2024-08-14,52.0,53.0,51.0,51.0,5352700
2024-08-15,51.0,53.0,51.0,52.0,4164300
2024-08-16,53.0,53.0,52.0,53.0,323900
2024-08-19,53.0,53.0,51.0,53.0,4241300
2024-08-20,53.0,54.0,52.0,54.0,2596900
2024-08-21,54.0,55.0,53.0,54.0,770500
2024-08-22,53.0,54.0,52.0,52.0,2300400
2024-08-23,52.0,54.0,52.0,54.0,4370300
2024-08-26,54.0,55.0,52.0,53.0,4216700
2024-08-27,55.0,55.0,53.0,53.0,1101900
2024-08-28,54.0,54.0,52.0,52.0,2894500
2024-08-29,53.0,54.0,52.0,52.0,1426400
2024-08-30,53.0,53.0,52.0,53.0,3122600
2024-09-02,53.0,53.0,52.0,52.0,312200
2024-09-03,52.0,53.0,52.0,52.0,543300
2024-09-04,52.0,53.0,52.0,53.0,543200
2024-09-05,53.0,53.0,52.0,53.0,7015000
2024-09-06,53.0,53.0,52.0,53.0,851000
2024-09-09,53.0,54.0,52.0,52.0,2118200
2024-09-10,53.0,53.0,52.0,53.0,242900
2024-09-11,53.0,53.0,52.0,52.0,267700
2024-09-12,53.0,53.0,52.0,52.0,313600
2024-09-13,53.0,53.0,51.0,51.0,2218600
2024-09-17,51.0,53.0,51.0,53.0,1838800
2024-09-18,52.0,53.0,52.0,53.0,444500
2024-09-19,53.0,53.0,52.0,53.0,438600
2024-09-20,52.0,53.0,51.0,51.0,637700
2024-09-23,51.0,53.0,51.0,53.0,480500
2024-09-24,52.0,53.0,51.0,52.0,2098800
2024-09-25,52.0,53.0,51.0,52.0,1110900
2024-09-26,52.0,53.0,51.0,51.0,652800
2024-09-27,51.0,53.0,51.0,52.0,1017500
2024-09-30,52.0,52.0,51.0,51.0,880800
2024-10-01,52.0,52.0,51.0,51.0,161800
2024-10-02,52.0,52.0,51.0,52.0,931700
2024-10-03,52.0,52.0,51.0,51.0,612100
2024-10-04,51.0,52.0,51.0,51.0,846800
2024-10-07,52.0,52.0,51.0,51.0,1727600
2024-10-08,52.0,52.0,51.0,51.0,2883900
2024-10-09,51.0,52.0,51.0,51.0,1187300
2024-10-10,51.0,52.0,50.0,50.0,4742300
2024-10-11,51.0,51.0,50.0,50.0,1439400
2024-10-14,51.0,52.0,50.0,51.0,1851400
2024-10-15,51.0,52.0,51.0,52.0,354500
2024-10-16,52.0,52.0,51.0,51.0,698100
2024-10-17,51.0,52.0,51.0,51.0,1904000
2024-10-18,51.0,52.0,51.0,51.0,2402800
2024-10-21,51.0,53.0,51.0,53.0,2876300
2024-10-22,53.0,53.0,52.0,52.0,379500
2024-10-23,53.0,53.0,51.0,52.0,1078500
2024-10-24,52.0,53.0,50.0,51.0,1883500
2024-10-25,52.0,52.0,51.0,51.0,605000
2024-10-28,52.0,52.0,51.0,51.0,1100900
2024-10-29,52.0,52.0,51.0,51.0,2491300
2024-10-30,51.0,51.0,50.0,50.0,8298900
2024-10-31,50.0,51.0,50.0,50.0,4105100
2024-11-01,51.0,51.0,50.0,50.0,656900
2024-11-04,51.0,51.0,50.0,50.0,800200
2024-11-05,50.0,51.0,50.0,50.0,4268200
2024-11-06,51.0,51.0,50.0,51.0,444100
2024-11-07,51.0,51.0,50.0,50.0,3347900
2024-11-08,51.0,51.0,50.0,50.0,1577800
2024-11-11,51.0,51.0,50.0,50.0,3333400
2024-11-12,50.0,51.0,50.0,50.0,1069100
2024-11-13,50.0,51.0,50.0,51.0,283600
2024-11-14,50.0,51.0,50.0,50.0,245900
2024-11-15,50.0,50.0,50.0,50.0,1917100
2024-11-18,50.0,51.0,50.0,50.0,849100
2024-11-19,50.0,51.0,50.0,50.0,143900
2024-11-20,50.0,51.0,50.0,50.0,304200
2024-11-21,50.0,51.0,50.0,50.0,747500
2024-11-22,50.0,51.0,50.0,50.0,452900
2024-11-25,50.0,51.0,50.0,50.0,946100
2024-11-26,50.0,51.0,50.0,50.0,478700
2024-11-28,50.0,51.0,50.0,51.0,603900
2024-11-29,51.0,51.0,50.0,50.0,205200
2024-12-02,51.0,51.0,50.0,50.0,243800
2024-12-03,50.0,50.0,50.0,50.0,103600
2024-12-04,50.0,50.0,50.0,50.0,353400
2024-12-05,50.0,51.0,50.0,50.0,11042300
2024-12-06,50.0,51.0,50.0,50.0,437000
2024-12-09,50.0,50.0,50.0,50.0,846400
2024-12-10,50.0,51.0,50.0,50.0,219700
2024-12-11,50.0,51.0,50.0,51.0,539900
2024-12-12,51.0,51.0,50.0,50.0,663600
2024-12-13,51.0,51.0,50.0,50.0,191100
2024-12-16,50.0,50.0,50.0,50.0,181800
2024-12-17,50.0,50.0,50.0,50.0,151100
2024-12-18,50.0,50.0,50.0,50.0,13000
2024-12-19,50.0,50.0,50.0,50.0,71400
2024-12-20,50.0,50.0,50.0,50.0,320600
2024-12-23,50.0,50.0,50.0,50.0,81200
2024-12-24,50.0,50.0,50.0,50.0,153200
2024-12-27,50.0,50.0,50.0,50.0,47600
2024-12-30,50.0,50.0,50.0,50.0,26800
2025-01-02,50.0,50.0,50.0,50.0,105000
2025-01-03,50.0,50.0,50.0,50.0,104500
2025-01-06,50.0,50.0,50.0,50.0,784900
2025-01-07,50.0,50.0,50.0,50.0,79700
2025-01-08,50.0,51.0,50.0,50.0,161600
2025-01-09,50.0,50.0,50.0,50.0,152700
2025-01-10,51.0,51.0,50.0,50.0,382700
2025-01-13,50.0,50.0,50.0,50.0,20700
2025-01-14,50.0,50.0,50.0,50.0,58200
2025-01-15,50.0,50.0,50.0,50.0,81800
2025-01-16,50.0,51.0,50.0,50.0,53400
2025-01-17,50.0,51.0,50.0,50.0,2660800
2025-01-20,50.0,50.0,50.0,50.0,298100
2025-01-21,50.0,50.0,50.0,50.0,46000
2025-01-22,50.0,50.0,50.0,50.0,89900
2025-01-23,50.0,50.0,50.0,50.0,1232000
2025-01-24,50.0,50.0,50.0,50.0,258200
2025-01-30,50.0,51.0,50.0,50.0,345300
2025-01-31,50.0,51.0,50.0,50.0,297300
2025-02-03,51.0,51.0,50.0,50.0,537700
2025-02-04,50.0,51.0,50.0,50.0,76600
2025-02-05,50.0,51.0,50.0,50.0,85000
2025-02-06,50.0,50.0,50.0,50.0,3077400
2025-02-07,50.0,51.0,50.0,50.0,362700
2025-02-10,50.0,50.0,50.0,50.0,13500
2025-02-11,50.0,51.0,50.0,50.0,63400
2025-02-12,50.0,50.0,50.0,50.0,3300
2025-02-13,50.0,50.0,50.0,50.0,140100
2025-02-14,50.0,50.0,50.0,50.0,15600
2025-02-17,50.0,50.0,50.0,50.0,128500
