date,open,high,low,close,volume
2024-04-16,1490.0,1565.0,1475.0,1565.0,17567900
2024-04-17,1570.0,1575.0,1535.0,1555.0,14071000
2024-04-18,1555.0,1555.0,1500.0,1505.0,10793700
2024-04-19,1515.0,1560.0,1490.0,1530.0,12189100
2024-04-22,1540.0,1550.0,1505.0,1510.0,9658000
2024-04-23,1515.0,1540.0,1500.0,1510.0,11684300
2024-04-24,1510.0,1525.0,1485.0,1485.0,9706500
2024-04-25,1485.0,1495.0,1435.0,1435.0,12977300
2024-04-26,1440.0,1445.0,1410.0,1410.0,10336600
2024-04-29,1420.0,1420.0,1350.0,1360.0,19188600
2024-04-30,1360.0,1445.0,1360.0,1410.0,11221400
2024-05-02,1410.0,1435.0,1405.0,1410.0,9350400
2024-05-03,1410.0,1460.0,1400.0,1445.0,11769400
2024-05-06,1445.0,1460.0,1410.0,1435.0,12108600
2024-05-07,1435.0,1465.0,1435.0,1455.0,9735700
2024-05-08,1460.0,1480.0,1450.0,1460.0,9138700
2024-05-13,1460.0,1530.0,1450.0,1525.0,14281400
2024-05-14,1530.0,1575.0,1520.0,1570.0,17365600
2024-05-15,1565.0,1595.0,1550.0,1585.0,14330300
2024-05-16,1595.0,1610.0,1510.0,1515.0,16487300
2024-05-17,1520.0,1570.0,1520.0,1545.0,11042800
2024-05-20,1545.0,1565.0,1525.0,1525.0,9134800
2024-05-21,1535.0,1560.0,1525.0,1555.0,14149000
2024-05-22,1560.0,1570.0,1540.0,1545.0,9324100
2024-05-27,1545.0,1545.0,1475.0,1475.0,16936500
2024-05-28,1475.0,1540.0,1475.0,1505.0,18973000
2024-05-29,1505.0,1530.0,1475.0,1495.0,14123100
2024-05-30,1495.0,1530.0,1470.0,1485.0,13606900
2024-05-31,1485.0,1525.0,1485.0,1490.0,12706400
2024-06-03,1495.0,1535.0,1490.0,1530.0,15032900
2024-06-04,1530.0,1570.0,1530.0,1560.0,24604700
2024-06-05,1560.0,1565.0,1445.0,1460.0,19315100
2024-06-06,1460.0,1510.0,1460.0,1480.0,13702000
2024-06-07,1485.0,1510.0,1470.0,1495.0,13853700
2024-06-10,1490.0,1500.0,1460.0,1475.0,14102100
2024-06-11,1475.0,1495.0,1455.0,1455.0,14610400
2024-06-12,1455.0,1465.0,1410.0,1415.0,17396200
2024-06-13,1415.0,1460.0,1415.0,1430.0,15114100
2024-06-14,1430.0,1440.0,1350.0,1350.0,20816100
2024-06-19,1350.0,1365.0,1225.0,1235.0,20378800
2024-06-20,1240.0,1270.0,1225.0,1250.0,18096100
2024-06-21,1255.0,1325.0,1250.0,1320.0,17621500
2024-06-24,1315.0,1320.0,1280.0,1295.0,17460800
2024-06-25,1300.0,1300.0,1270.0,1290.0,15126600
2024-06-26,1290.0,1310.0,1280.0,1280.0,15913800
2024-06-27,1280.0,1365.0,1280.0,1360.0,18094600
2024-06-28,1370.0,1460.0,1365.0,1435.0,23835000
2024-07-01,1445.0,1495.0,1445.0,1480.0,19881100
2024-07-02,1485.0,1500.0,1445.0,1445.0,23760700
2024-07-03,1455.0,1465.0,1405.0,1415.0,22740400
2024-07-04,1415.0,1475.0,1415.0,1465.0,18476200
2024-07-05,1465.0,1480.0,1440.0,1450.0,19392600
2024-07-08,1450.0,1495.0,1445.0,1460.0,18618500
2024-07-09,1465.0,1490.0,1455.0,1470.0,17556200
2024-07-10,1475.0,1490.0,1455.0,1460.0,18755800
2024-07-11,1460.0,1475.0,1425.0,1425.0,22090800
2024-07-12,1430.0,1465.0,1430.0,1430.0,18210200
2024-07-15,1440.0,1505.0,1435.0,1495.0,24460700
2024-07-16,1500.0,1520.0,1480.0,1480.0,23601500
2024-07-17,1485.0,1515.0,1485.0,1490.0,19061100
2024-07-18,1495.0,1515.0,1485.0,1495.0,20096500
2024-07-19,1500.0,1530.0,1490.0,1495.0,20880800
2024-07-22,1495.0,1510.0,1470.0,1480.0,25566800
2024-07-23,1490.0,1510.0,1475.0,1480.0,19548300
2024-07-24,1485.0,1510.0,1475.0,1490.0,19016300
2024-07-25,1490.0,1490.0,1370.0,1440.0,37012900
2024-07-26,1425.0,1445.0,1405.0,1435.0,21649300
2024-07-29,1445.0,1510.0,1445.0,1505.0,27527300
2024-07-30,1505.0,1605.0,1505.0,1600.0,39868900
2024-07-31,1605.0,1685.0,1585.0,1675.0,58497300
2024-08-01,1675.0,1785.0,1655.0,1770.0,45082200
2024-08-02,1780.0,1795.0,1740.0,1770.0,31207500
