date,open,high,low,close,volume
2024-04-16,1040.0,1080.0,1015.0,1080.0,9477200
2024-04-17,1080.0,1080.0,1030.0,1045.0,9927200
2024-04-18,1045.0,1045.0,1005.0,1025.0,9030300
2024-04-19,1015.0,1015.0,990.0,1010.0,5609800
2024-04-22,1010.0,1020.0,975.0,1015.0,9978400
2024-04-23,1015.0,1025.0,1005.0,1020.0,7756400
2024-04-24,1020.0,1030.0,1010.0,1020.0,8724200
2024-04-25,1025.0,1025.0,970.0,970.0,10544300
2024-04-26,970.0,1005.0,965.0,1005.0,6489800
2024-04-29,1005.0,1105.0,1005.0,1105.0,11494100
2024-04-30,1105.0,1115.0,1045.0,1060.0,7806600
2024-05-02,1060.0,1065.0,1025.0,1050.0,8498300
2024-05-03,1035.0,1050.0,970.0,1000.0,14211800
2024-05-06,1000.0,1020.0,980.0,1005.0,8713900
2024-05-07,1010.0,1015.0,985.0,990.0,11693700
2024-05-08,995.0,1000.0,965.0,990.0,8935900
2024-05-13,1000.0,1005.0,965.0,1000.0,10830700
2024-05-14,1000.0,1000.0,975.0,1000.0,11544500
2024-05-15,980.0,1005.0,980.0,1000.0,9695100
2024-05-16,1000.0,1030.0,1000.0,1015.0,6612600
2024-05-17,1025.0,1030.0,1010.0,1010.0,7784500
2024-05-20,1010.0,1040.0,1000.0,1015.0,7734500
2024-05-21,1015.0,1015.0,985.0,985.0,10030200
2024-05-22,995.0,1005.0,975.0,1005.0,7732400
2024-05-27,1005.0,1005.0,980.0,985.0,9470700
2024-05-28,985.0,1000.0,980.0,980.0,8122300
2024-05-29,985.0,990.0,960.0,985.0,10994400
2024-05-30,985.0,1010.0,950.0,1005.0,10246800
2024-05-31,1005.0,1040.0,975.0,1040.0,15509200
2024-06-03,1045.0,1045.0,985.0,1000.0,8445800
2024-06-04,1000.0,1045.0,1000.0,1025.0,8676900
2024-06-05,1025.0,1065.0,1020.0,1020.0,7900200
2024-06-06,1020.0,1045.0,990.0,1020.0,9449600
2024-06-07,1020.0,1030.0,995.0,995.0,10081600
2024-06-10,995.0,1000.0,980.0,995.0,8423500
2024-06-11,995.0,1010.0,985.0,985.0,10735200
2024-06-12,985.0,985.0,965.0,985.0,9571500
2024-06-13,985.0,1005.0,970.0,990.0,10874500
2024-06-14,1000.0,1000.0,975.0,995.0,13112500
2024-06-19,995.0,1005.0,980.0,1000.0,10812700
2024-06-20,995.0,1045.0,990.0,1030.0,9485400
2024-06-21,1035.0,1085.0,1020.0,1080.0,4861400
2024-06-24,1085.0,1110.0,1075.0,1080.0,10703600
2024-06-25,1080.0,1100.0,1050.0,1065.0,9936900
2024-06-26,1065.0,1075.0,1025.0,1035.0,10743000
2024-06-27,1035.0,1060.0,995.0,1000.0,10410100
2024-06-28,1000.0,1060.0,1000.0,1025.0,6549700
2024-07-01,1065.0,1090.0,1040.0,1075.0,9021500
2024-07-02,1075.0,1105.0,1070.0,1095.0,7207800
2024-07-03,1110.0,1155.0,1085.0,1140.0,12273600
2024-07-04,1140.0,1195.0,1140.0,1170.0,10058300
2024-07-05,1175.0,1200.0,1120.0,1170.0,8945900
2024-07-08,1175.0,1200.0,1160.0,1170.0,9771500
2024-07-09,1170.0,1200.0,1150.0,1180.0,9115000
2024-07-10,1190.0,1265.0,1180.0,1245.0,11702200
2024-07-11,1245.0,1270.0,1225.0,1255.0,9367000
2024-07-12,1255.0,1280.0,1250.0,1250.0,3873900
2024-07-15,1265.0,1300.0,1240.0,1300.0,12330200
2024-07-16,1300.0,1300.0,1260.0,1300.0,10578700
2024-07-17,1285.0,1330.0,1250.0,1250.0,11589500
2024-07-18,1275.0,1275.0,1160.0,1175.0,11218200
2024-07-19,1190.0,1190.0,1095.0,1110.0,8753500
2024-07-22,1105.0,1130.0,1100.0,1110.0,866200
2024-07-23,1110.0,1110.0,1065.0,1070.0,12130000
2024-07-24,1095.0,1095.0,1030.0,1045.0,9413000
2024-07-25,1045.0,1060.0,1020.0,1055.0,10590600
2024-07-26,1065.0,1085.0,1050.0,1080.0,10120700
2024-07-29,1085.0,1100.0,1065.0,1085.0,9498700
2024-07-30,1085.0,1095.0,1065.0,1085.0,8185000
2024-07-31,1085.0,1085.0,1050.0,1080.0,2309000
2024-08-01,1080.0,1090.0,1050.0,1050.0,9110000
2024-08-02,1055.0,1085.0,1055.0,1070.0,8307400
2024-08-05,1075.0,1085.0,1045.0,1070.0,9093100
2024-08-06,1070.0,1070.0,1015.0,1065.0,9819200
2024-08-07,1070.0,1070.0,1040.0,1045.0,8230300
2024-08-08,1045.0,1065.0,1040.0,1045.0,8334800
2024-08-09,1055.0,1065.0,1045.0,1045.0,8669200
2024-08-12,1045.0,1060.0,1030.0,1055.0,8407600
2024-08-13,1055.0,1065.0,1035.0,1040.0,8542600
2024-08-14,1040.0,1050.0,1030.0,1035.0,8600200
2024-08-15,1045.0,1050.0,1030.0,1035.0,3251300
2024-08-16,1035.0,1045.0,1030.0,1030.0,8992900
2024-08-19,1035.0,1040.0,1020.0,1035.0,7125000
