date,open,high,low,close,volume
2024-04-16,20.0,20.0,20.0,20.0,170100
2024-04-17,18.0,18.0,18.0,18.0,222500
2024-04-18,17.0,17.0,17.0,17.0,33600
2024-04-19,16.0,16.0,16.0,16.0,6600
2024-04-22,15.0,15.0,15.0,15.0,4400
2024-04-23,14.0,14.0,14.0,14.0,1000
2024-04-24,13.0,13.0,13.0,13.0,4300
2024-04-25,12.0,12.0,12.0,12.0,10000
2024-04-26,11.0,11.0,11.0,11.0,122800
2024-04-29,10.0,10.0,10.0,10.0,12800
2024-04-30,9.0,9.0,9.0,9.0,4000
2024-05-02,8.0,8.0,8.0,8.0,59300
2024-05-03,7.0,7.0,7.0,7.0,8400
2024-05-06,6.0,6.0,6.0,6.0,43200
2024-05-07,5.0,5.0,5.0,5.0,85200
2024-05-08,4.0,4.0,4.0,4.0,208700
2024-05-13,3.0,3.0,3.0,3.0,2841300
2024-05-14,2.0,2.0,2.0,2.0,131241700
2024-05-15,1.0,1.0,1.0,1.0,80039800
2024-05-16,1.0,2.0,1.0,2.0,110292200
2024-05-17,2.0,2.0,2.0,2.0,36894100
2024-05-20,2.0,2.0,1.0,1.0,15158000
2024-05-21,2.0,2.0,2.0,2.0,13079300
2024-05-22,2.0,2.0,1.0,1.0,29756400
2024-05-27,1.0,2.0,1.0,2.0,50874500
2024-05-28,2.0,2.0,1.0,1.0,35943000
2024-05-29,2.0,2.0,1.0,2.0,22787100
2024-05-30,2.0,2.0,1.0,2.0,22195000
2024-05-31,1.0,2.0,1.0,1.0,17814800
2024-06-03,1.0,2.0,1.0,1.0,19513200
2024-06-04,2.0,2.0,1.0,1.0,17724000
2024-06-05,1.0,2.0,1.0,2.0,10406700
2024-06-06,2.0,2.0,2.0,2.0,16263400
2024-06-07,2.0,2.0,1.0,1.0,9886800
2024-06-10,2.0,2.0,1.0,2.0,15186300
2024-06-11,1.0,1.0,1.0,1.0,21017300
2024-06-12,2.0,2.0,2.0,2.0,15042200
2024-06-13,2.0,2.0,1.0,1.0,19688000
2024-06-14,2.0,2.0,2.0,2.0,10559400
2024-06-19,2.0,2.0,1.0,1.0,8731500
2024-06-20,2.0,2.0,1.0,2.0,7748900
2024-06-21,2.0,2.0,1.0,1.0,10211200
2024-06-24,2.0,2.0,1.0,2.0,8001200
2024-06-25,1.0,2.0,1.0,2.0,3456000
2024-06-26,2.0,2.0,1.0,2.0,5124700
2024-06-27,1.0,2.0,1.0,2.0,4598900
2024-06-28,1.0,2.0,1.0,1.0,3073200
2024-07-01,1.0,2.0,1.0,2.0,16583200
2024-07-02,2.0,2.0,1.0,1.0,27388800
2024-07-03,2.0,2.0,1.0,2.0,23855400
2024-07-04,2.0,2.0,1.0,1.0,16549600
