date,open,high,low,close,volume
2024-04-16,1870.0,1870.0,1600.0,1770.0,4195800
2024-04-17,1800.0,1825.0,1750.0,1770.0,1884200
2024-04-18,1765.0,1770.0,1710.0,1725.0,2048000
2024-04-19,1735.0,1800.0,1655.0,1750.0,2939700
2024-04-22,1760.0,1800.0,1740.0,1755.0,2859200
2024-04-23,1755.0,1880.0,1755.0,1855.0,3896300
2024-04-24,1855.0,1880.0,1835.0,1860.0,1421300
2024-04-25,1860.0,1860.0,1840.0,1855.0,561200
2024-04-26,1855.0,1855.0,1840.0,1855.0,541100
2024-04-29,1855.0,1955.0,1830.0,1915.0,3647800
2024-04-30,1935.0,1980.0,1915.0,1975.0,2451600
2024-05-02,1975.0,1975.0,1870.0,1900.0,6640400
2024-05-03,1905.0,1925.0,1895.0,1925.0,1184300
2024-05-06,1920.0,1925.0,1895.0,1925.0,680000
2024-05-07,1925.0,1950.0,1880.0,1900.0,586900
2024-05-08,1935.0,1935.0,1880.0,1895.0,2373100
2024-05-13,1900.0,1975.0,1885.0,1935.0,1531900
2024-05-14,1930.0,1970.0,1930.0,1960.0,6354800
2024-05-15,1960.0,1960.0,1910.0,1950.0,1134900
2024-05-16,1950.0,1950.0,1880.0,1895.0,2599300
2024-05-17,1890.0,1895.0,1800.0,1855.0,3847300
2024-05-20,1855.0,1885.0,1840.0,1870.0,3435000
2024-05-21,1860.0,1865.0,1830.0,1850.0,1506300
2024-05-22,1855.0,1870.0,1830.0,1850.0,2261800
2024-05-27,1850.0,1875.0,1840.0,1855.0,2108600
2024-05-28,1860.0,1875.0,1820.0,1850.0,3246700
2024-05-29,1850.0,1855.0,1805.0,1850.0,2715500
2024-05-30,1855.0,1855.0,1815.0,1835.0,3728600
2024-05-31,1840.0,1845.0,1770.0,1770.0,3270500
2024-06-03,1770.0,1870.0,1765.0,1850.0,1594600
2024-06-04,1840.0,1930.0,1830.0,1890.0,1649100
2024-06-05,1890.0,1920.0,1865.0,1890.0,1201100
2024-06-06,1895.0,1935.0,1840.0,1920.0,1629300
2024-06-07,1915.0,1935.0,1890.0,1910.0,1930700
2024-06-10,1900.0,1920.0,1860.0,1910.0,1495400
2024-06-11,1905.0,1915.0,1875.0,1905.0,1343000
2024-06-12,1910.0,1915.0,1890.0,1910.0,1600200
2024-06-13,1910.0,1965.0,1900.0,1950.0,2356900
2024-06-14,1950.0,1975.0,1930.0,1950.0,1284000
2024-06-19,1950.0,1955.0,1880.0,1900.0,1996700
2024-06-20,1895.0,1900.0,1825.0,1855.0,1686600
2024-06-21,1855.0,1900.0,1755.0,1755.0,52004100
2024-06-24,1770.0,1785.0,1730.0,1760.0,4889100
2024-06-25,1775.0,1775.0,1740.0,1750.0,2764700
2024-06-26,1750.0,1750.0,1730.0,1740.0,1658500
2024-06-27,1745.0,1820.0,1730.0,1800.0,2475100
2024-06-28,1795.0,1895.0,1765.0,1895.0,8080600
2024-07-01,1900.0,1900.0,1860.0,1870.0,1140600
2024-07-02,1870.0,1880.0,1855.0,1875.0,133300
2024-07-03,1880.0,1910.0,1870.0,1875.0,998200
2024-07-04,1875.0,1915.0,1870.0,1885.0,696700
2024-07-05,1900.0,1905.0,1875.0,1880.0,1300500
2024-07-08,1900.0,1900.0,1850.0,1870.0,2462700
2024-07-09,1885.0,1920.0,1865.0,1920.0,1471800
2024-07-10,1925.0,1965.0,1920.0,1935.0,2922400
2024-07-11,1955.0,1995.0,1930.0,1990.0,3923900
2024-07-12,1990.0,2020.0,1975.0,2000.0,1487200
2024-07-15,2000.0,2020.0,1960.0,1970.0,1840700
2024-07-16,1985.0,2010.0,1965.0,2010.0,2746700
2024-07-17,2010.0,2020.0,1980.0,1990.0,840000
2024-07-18,1990.0,2020.0,1980.0,1990.0,2206200
2024-07-19,1985.0,2000.0,1965.0,2000.0,1128100
2024-07-22,2010.0,2010.0,1990.0,1990.0,407900
2024-07-23,1985.0,2000.0,1980.0,1995.0,1183100
2024-07-24,2000.0,2000.0,1850.0,1920.0,3043300
2024-07-25,1910.0,1995.0,1910.0,1995.0,921800
2024-07-26,2000.0,2020.0,1950.0,1990.0,667600
2024-07-29,1985.0,1985.0,1960.0,1965.0,644000
2024-07-30,1980.0,1980.0,1945.0,1960.0,363600
2024-07-31,1985.0,2010.0,1970.0,2000.0,834800
2024-08-01,1995.0,2000.0,1970.0,1990.0,1479100
2024-08-02,1990.0,1995.0,1970.0,1990.0,2677000
2024-08-05,1985.0,1995.0,1950.0,1975.0,1012200
2024-08-06,1975.0,2020.0,1955.0,1955.0,2441300
2024-08-07,1950.0,1985.0,1900.0,1920.0,4219100
2024-08-08,1945.0,1945.0,1900.0,1920.0,2105200
2024-08-09,1920.0,1940.0,1900.0,1920.0,2820800
2024-08-12,1930.0,1930.0,1905.0,1920.0,2305700
2024-08-13,1925.0,1945.0,1910.0,1925.0,2278200
2024-08-14,1885.0,1935.0,1885.0,1915.0,2355800
2024-08-15,1965.0,1965.0,1900.0,1915.0,912600
2024-08-16,1920.0,1920.0,1905.0,1910.0,2479300
2024-08-19,1910.0,1915.0,1875.0,1900.0,950100
2024-08-20,1905.0,1990.0,1900.0,1920.0,1097100
2024-08-21,1925.0,1950.0,1905.0,1950.0,5075900
2024-08-22,1945.0,1950.0,1910.0,1915.0,2175600
2024-08-23,1920.0,1945.0,1900.0,1920.0,1363800
2024-08-26,1915.0,1940.0,1895.0,1915.0,1358200
2024-08-27,1930.0,1940.0,1915.0,1940.0,736500
2024-08-28,1945.0,1960.0,1920.0,1960.0,3901100
2024-08-29,1960.0,1965.0,1920.0,1925.0,1776400
2024-08-30,1925.0,1930.0,1905.0,1925.0,1786100
2024-09-02,1920.0,1945.0,1900.0,1935.0,1305300
2024-09-03,1930.0,1935.0,1910.0,1930.0,1840100
2024-09-04,1935.0,1950.0,1925.0,1940.0,1944300
2024-09-05,1940.0,1980.0,1930.0,1950.0,3939000
2024-09-06,1950.0,1950.0,1920.0,1920.0,1723700
2024-09-09,1925.0,1930.0,1900.0,1910.0,2943300
2024-09-10,1930.0,1940.0,1900.0,1905.0,2239600
2024-09-11,1900.0,1925.0,1900.0,1910.0,508600
2024-09-12,1905.0,1920.0,1900.0,1910.0,3140900
2024-09-13,1910.0,1930.0,1900.0,1910.0,3021000
2024-09-17,1925.0,1925.0,1900.0,1910.0,2786200
2024-09-18,1910.0,1920.0,1890.0,1910.0,3136800
2024-09-19,1905.0,1915.0,1895.0,1900.0,4021100
2024-09-20,1895.0,1900.0,1855.0,1855.0,60759000
2024-09-23,1865.0,1900.0,1860.0,1895.0,3735300
2024-09-24,1910.0,1910.0,1875.0,1885.0,1407500
2024-09-25,1885.0,1895.0,1865.0,1895.0,2333800
2024-09-26,1895.0,1910.0,1880.0,1900.0,1743200
2024-09-27,1910.0,1925.0,1890.0,1900.0,1836300
2024-09-30,1905.0,1905.0,1895.0,1900.0,3895800
2024-10-01,1905.0,1910.0,1885.0,1900.0,3413800
2024-10-02,1900.0,1900.0,1870.0,1890.0,3452700
2024-10-03,1890.0,1890.0,1865.0,1890.0,2216100
2024-10-04,1900.0,1905.0,1875.0,1890.0,2683300
2024-10-07,1875.0,1930.0,1865.0,1880.0,3016700
2024-10-08,1880.0,1890.0,1860.0,1880.0,4277400
2024-10-09,1880.0,1885.0,1865.0,1880.0,3543500
2024-10-10,1880.0,1880.0,1865.0,1880.0,2560400
2024-10-11,1880.0,1900.0,1875.0,1880.0,3249900
2024-10-14,1890.0,1910.0,1875.0,1880.0,1110300
2024-10-15,1880.0,1885.0,1865.0,1880.0,3350300
2024-10-16,1895.0,1895.0,1870.0,1880.0,2637200
2024-10-17,1880.0,1880.0,1870.0,1875.0,2242400
2024-10-18,1880.0,1885.0,1870.0,1880.0,2460500
2024-10-21,1890.0,1890.0,1870.0,1890.0,786300
2024-10-22,1890.0,1895.0,1880.0,1890.0,2045700
2024-10-23,1875.0,1880.0,1865.0,1875.0,1242300
2024-10-24,1875.0,1875.0,1870.0,1875.0,437900
2024-10-25,1875.0,1880.0,1860.0,1880.0,854600
2024-10-28,1880.0,1895.0,1865.0,1880.0,2076600
