date,open,high,low,close,volume
2024-04-16,660.0,670.0,650.0,665.0,4008700
2024-04-17,660.0,665.0,625.0,635.0,5190600
2024-04-18,635.0,640.0,610.0,615.0,5099500
2024-04-19,615.0,615.0,600.0,610.0,3214200
2024-04-22,610.0,620.0,605.0,605.0,1584600
2024-04-23,605.0,615.0,605.0,610.0,2246000
2024-04-24,615.0,620.0,610.0,610.0,848200
2024-04-25,615.0,620.0,605.0,605.0,1297600
2024-04-26,605.0,615.0,600.0,605.0,427700
2024-04-29,605.0,610.0,595.0,605.0,1104700
2024-04-30,605.0,620.0,600.0,620.0,1476800
2024-05-02,620.0,630.0,610.0,620.0,1690000
2024-05-03,620.0,620.0,605.0,610.0,2891700
2024-05-06,610.0,615.0,600.0,605.0,6243300
2024-05-07,610.0,610.0,600.0,605.0,1367400
2024-05-08,605.0,610.0,600.0,600.0,1745500
2024-05-13,600.0,605.0,595.0,600.0,3472800
2024-05-14,605.0,615.0,600.0,610.0,2395200
2024-05-15,610.0,625.0,605.0,620.0,1110900
2024-05-16,620.0,620.0,615.0,615.0,1808700
2024-05-17,615.0,630.0,615.0,620.0,630000
2024-05-20,620.0,625.0,615.0,615.0,578800
2024-05-21,615.0,625.0,615.0,615.0,644200
2024-05-22,615.0,625.0,610.0,620.0,687800
2024-05-27,620.0,710.0,615.0,670.0,17414900
2024-05-28,675.0,705.0,665.0,665.0,3339700
2024-05-29,665.0,700.0,650.0,680.0,3126700
2024-05-30,685.0,695.0,670.0,685.0,3114800
2024-05-31,685.0,695.0,680.0,690.0,3575700
2024-06-03,695.0,705.0,680.0,685.0,3088800
2024-06-04,690.0,695.0,675.0,685.0,1134600
2024-06-05,685.0,685.0,675.0,685.0,568900
2024-06-06,685.0,685.0,670.0,675.0,1218100
2024-06-07,680.0,680.0,660.0,675.0,1017500
2024-06-10,675.0,680.0,665.0,670.0,1353400
2024-06-11,670.0,675.0,670.0,670.0,319500
2024-06-12,670.0,675.0,650.0,660.0,2209500
2024-06-13,660.0,670.0,650.0,665.0,631000
2024-06-14,665.0,665.0,650.0,650.0,1481500
2024-06-19,655.0,700.0,630.0,640.0,6685500
2024-06-20,640.0,655.0,635.0,640.0,893200
2024-06-21,635.0,655.0,635.0,650.0,810000
2024-06-24,650.0,670.0,650.0,670.0,3926600
2024-06-25,645.0,645.0,610.0,625.0,1728000
2024-06-26,630.0,630.0,620.0,625.0,280600
2024-06-27,625.0,625.0,620.0,620.0,483900
2024-06-28,625.0,625.0,610.0,620.0,2436200
2024-07-01,625.0,665.0,620.0,660.0,4214300
2024-07-02,660.0,675.0,650.0,660.0,1077500
2024-07-03,675.0,675.0,660.0,665.0,952600
2024-07-04,670.0,675.0,665.0,670.0,1001700
2024-07-05,670.0,680.0,655.0,670.0,1147400
2024-07-08,660.0,675.0,660.0,675.0,258400
2024-07-09,675.0,705.0,670.0,680.0,2184800
2024-07-10,690.0,700.0,675.0,685.0,1531700
2024-07-11,680.0,690.0,675.0,680.0,222100
2024-07-12,685.0,685.0,675.0,675.0,413400
2024-07-15,675.0,690.0,675.0,680.0,177900
2024-07-16,680.0,685.0,660.0,685.0,424500
2024-07-17,685.0,690.0,675.0,685.0,302600
2024-07-18,685.0,690.0,680.0,685.0,689200
2024-07-19,685.0,690.0,680.0,685.0,448100
2024-07-22,685.0,685.0,680.0,680.0,313100
2024-07-23,680.0,700.0,680.0,685.0,3273300
2024-07-24,680.0,700.0,680.0,695.0,964900
2024-07-25,695.0,715.0,690.0,695.0,6213600
2024-07-26,700.0,715.0,700.0,705.0,2331900
2024-07-29,705.0,720.0,700.0,700.0,841200
2024-07-30,700.0,710.0,685.0,705.0,1257400
2024-07-31,710.0,710.0,625.0,635.0,12894400
2024-08-01,640.0,650.0,630.0,635.0,3405700
2024-08-02,635.0,645.0,630.0,635.0,2130300
2024-08-05,640.0,640.0,610.0,615.0,3414600
2024-08-06,615.0,625.0,615.0,620.0,792100
2024-08-07,625.0,630.0,620.0,625.0,552600
2024-08-08,625.0,625.0,620.0,625.0,1442200
