date,open,high,low,close,volume
2024-04-16,428.0,428.0,428.0,428.0,500
2024-04-17,420.0,420.0,420.0,420.0,700
2024-04-18,400.0,400.0,400.0,400.0,6600
2024-04-19,390.0,390.0,390.0,390.0,700
2024-04-22,388.0,388.0,388.0,388.0,500
2024-04-23,388.0,388.0,388.0,388.0,0
2024-04-24,388.0,388.0,388.0,388.0,0
2024-04-25,388.0,388.0,388.0,388.0,0
2024-04-26,388.0,388.0,388.0,388.0,300
2024-04-29,388.0,388.0,388.0,388.0,100
2024-04-30,388.0,388.0,388.0,388.0,600
2024-05-02,388.0,388.0,388.0,388.0,400
2024-05-03,388.0,388.0,388.0,388.0,0
2024-05-06,388.0,388.0,388.0,388.0,0
2024-05-07,386.0,386.0,386.0,386.0,1900
2024-05-08,384.0,384.0,384.0,384.0,1200
2024-05-13,384.0,384.0,384.0,384.0,800
2024-05-14,384.0,384.0,384.0,384.0,0
2024-05-15,370.0,370.0,370.0,370.0,700
2024-05-16,370.0,370.0,370.0,370.0,6600
2024-05-17,370.0,370.0,370.0,370.0,1500
2024-05-20,370.0,370.0,370.0,370.0,300
2024-05-21,370.0,370.0,370.0,370.0,0
2024-05-22,370.0,370.0,370.0,370.0,0
2024-05-27,370.0,370.0,370.0,370.0,0
2024-05-28,370.0,370.0,370.0,370.0,200
2024-05-29,370.0,370.0,370.0,370.0,900
2024-05-30,370.0,370.0,370.0,370.0,0
2024-05-31,370.0,370.0,370.0,370.0,0
2024-06-03,370.0,370.0,370.0,370.0,0
2024-06-04,370.0,370.0,370.0,370.0,0
2024-06-05,370.0,370.0,370.0,370.0,0
2024-06-06,370.0,370.0,370.0,370.0,0
2024-06-07,370.0,370.0,370.0,370.0,100
2024-06-10,370.0,370.0,370.0,370.0,0
2024-06-11,370.0,370.0,370.0,370.0,0
2024-06-12,370.0,370.0,370.0,370.0,0
2024-06-13,370.0,370.0,370.0,370.0,100
2024-06-14,370.0,370.0,370.0,370.0,0
2024-06-19,370.0,370.0,370.0,370.0,0
2024-06-20,370.0,370.0,370.0,370.0,0
2024-06-21,370.0,370.0,370.0,370.0,0
2024-06-24,370.0,370.0,370.0,370.0,0
2024-06-25,370.0,370.0,370.0,370.0,0
2024-06-26,370.0,370.0,370.0,370.0,0
2024-06-27,370.0,370.0,370.0,370.0,0
2024-06-28,370.0,370.0,370.0,370.0,0
2024-07-01,370.0,370.0,370.0,370.0,0
2024-07-02,370.0,370.0,370.0,370.0,1100
2024-07-03,370.0,370.0,370.0,370.0,0
2024-07-04,370.0,370.0,370.0,370.0,0
2024-07-05,370.0,370.0,370.0,370.0,200
2024-07-08,370.0,370.0,370.0,370.0,0
2024-07-09,370.0,370.0,370.0,370.0,0
2024-07-10,370.0,370.0,370.0,370.0,0
2024-07-11,370.0,370.0,370.0,370.0,0
2024-07-12,370.0,370.0,370.0,370.0,0
2024-07-15,370.0,370.0,370.0,370.0,0
2024-07-16,370.0,370.0,370.0,370.0,0
2024-07-17,370.0,370.0,370.0,370.0,0
2024-07-18,370.0,370.0,370.0,370.0,0
2024-07-19,370.0,370.0,370.0,370.0,0
2024-07-22,370.0,370.0,370.0,370.0,0
2024-07-23,370.0,370.0,370.0,370.0,0
2024-07-24,406.0,406.0,406.0,406.0,400
2024-07-25,446.0,446.0,446.0,446.0,900
2024-07-26,490.0,490.0,490.0,490.0,500
2024-07-29,500.0,535.0,500.0,535.0,1500
2024-07-30,535.0,540.0,535.0,540.0,11200
2024-07-31,590.0,590.0,590.0,590.0,13500
2024-08-01,610.0,620.0,610.0,610.0,2100
2024-08-02,630.0,630.0,615.0,615.0,7600
2024-08-05,615.0,615.0,615.0,615.0,0
2024-08-06,615.0,615.0,615.0,615.0,100
2024-08-07,615.0,615.0,615.0,615.0,0
2024-08-08,615.0,615.0,615.0,615.0,0
2024-08-09,615.0,615.0,615.0,615.0,0
2024-08-12,615.0,615.0,615.0,615.0,0
2024-08-13,615.0,615.0,615.0,615.0,0
2024-08-14,605.0,605.0,605.0,605.0,200
2024-08-15,600.0,600.0,600.0,600.0,800
2024-08-16,600.0,600.0,600.0,600.0,0
2024-08-19,600.0,600.0,600.0,600.0,0
2024-08-20,600.0,600.0,600.0,600.0,0
2024-08-21,600.0,600.0,600.0,600.0,0
2024-08-22,600.0,600.0,600.0,600.0,0
2024-08-23,600.0,600.0,600.0,600.0,0
2024-08-26,580.0,580.0,580.0,580.0,100
2024-08-27,580.0,580.0,580.0,580.0,0
2024-08-28,580.0,580.0,580.0,580.0,0
2024-08-29,580.0,580.0,580.0,580.0,0
2024-08-30,580.0,580.0,580.0,580.0,1700
2024-09-02,580.0,580.0,580.0,580.0,0
2024-09-03,580.0,580.0,580.0,580.0,0
2024-09-04,580.0,580.0,580.0,580.0,0
2024-09-05,580.0,580.0,580.0,580.0,0
2024-09-06,580.0,580.0,580.0,580.0,0
2024-09-09,575.0,575.0,575.0,575.0,100
2024-09-10,575.0,575.0,575.0,575.0,0
2024-09-11,575.0,575.0,575.0,575.0,0
2024-09-12,575.0,575.0,575.0,575.0,0
2024-09-13,575.0,575.0,575.0,575.0,0
2024-09-17,575.0,575.0,575.0,575.0,900
2024-09-18,575.0,575.0,575.0,575.0,0
2024-09-19,575.0,575.0,575.0,575.0,0
2024-09-20,575.0,575.0,575.0,575.0,0
2024-09-23,575.0,575.0,575.0,575.0,0
2024-09-24,575.0,575.0,575.0,575.0,200
2024-09-25,575.0,575.0,575.0,575.0,0
2024-09-26,575.0,575.0,575.0,575.0,0
2024-09-27,575.0,575.0,575.0,575.0,0
2024-09-30,575.0,575.0,575.0,575.0,0
2024-10-01,575.0,575.0,575.0,575.0,0
2024-10-02,575.0,575.0,575.0,575.0,0
2024-10-03,575.0,575.0,575.0,575.0,0
2024-10-04,575.0,575.0,575.0,575.0,0
2024-10-07,575.0,575.0,575.0,575.0,0
2024-10-08,575.0,575.0,575.0,575.0,0
2024-10-09,575.0,575.0,575.0,575.0,0
2024-10-10,575.0,575.0,575.0,575.0,0
2024-10-11,575.0,575.0,575.0,575.0,0
2024-10-14,575.0,575.0,575.0,575.0,0
2024-10-15,575.0,575.0,575.0,575.0,0
2024-10-16,575.0,575.0,575.0,575.0,0
2024-10-17,575.0,575.0,575.0,575.0,0
2024-10-18,575.0,575.0,575.0,575.0,100
2024-10-21,575.0,575.0,575.0,575.0,0
2024-10-22,575.0,575.0,575.0,575.0,0
2024-10-23,575.0,575.0,575.0,575.0,2000
2024-10-24,575.0,575.0,575.0,575.0,0
2024-10-25,575.0,575.0,575.0,575.0,0
2024-10-28,575.0,575.0,575.0,575.0,0
2024-10-29,575.0,575.0,575.0,575.0,0
2024-10-30,575.0,575.0,575.0,575.0,0
2024-10-31,570.0,570.0,570.0,570.0,300
2024-11-01,570.0,570.0,570.0,570.0,0
2024-11-04,570.0,570.0,570.0,570.0,0
2024-11-05,570.0,570.0,570.0,570.0,200
2024-11-06,570.0,570.0,570.0,570.0,2700
2024-11-07,570.0,570.0,570.0,570.0,100
2024-11-08,570.0,570.0,570.0,570.0,0
2024-11-11,570.0,570.0,570.0,570.0,0
2024-11-12,570.0,570.0,570.0,570.0,1500
2024-11-13,565.0,565.0,565.0,565.0,1100
2024-11-14,565.0,565.0,565.0,565.0,0
2024-11-15,565.0,565.0,560.0,560.0,1000
2024-11-18,560.0,560.0,560.0,560.0,200
2024-11-19,560.0,560.0,560.0,560.0,0
2024-11-20,560.0,560.0,560.0,560.0,0
2024-11-21,560.0,560.0,560.0,560.0,0
2024-11-22,560.0,560.0,560.0,560.0,0
2024-11-25,560.0,560.0,560.0,560.0,0
2024-11-26,560.0,560.0,560.0,560.0,0
2024-11-28,560.0,560.0,555.0,555.0,5700
2024-11-29,555.0,555.0,555.0,555.0,2100
2024-12-02,555.0,555.0,555.0,555.0,0
2024-12-03,555.0,555.0,555.0,555.0,0
2024-12-04,555.0,555.0,555.0,555.0,0
2024-12-05,555.0,555.0,555.0,555.0,0
2024-12-06,555.0,555.0,555.0,555.0,0
2024-12-09,555.0,555.0,555.0,555.0,0
2024-12-10,555.0,555.0,555.0,555.0,0
2024-12-11,555.0,555.0,555.0,555.0,0
2024-12-12,555.0,555.0,555.0,555.0,0
2024-12-13,555.0,555.0,555.0,555.0,7800
2024-12-16,555.0,555.0,555.0,555.0,0
2024-12-17,550.0,550.0,550.0,550.0,2300
2024-12-18,550.0,550.0,550.0,550.0,30000
2024-12-19,550.0,550.0,550.0,550.0,0
2024-12-20,550.0,550.0,550.0,550.0,0
2024-12-23,550.0,550.0,550.0,550.0,0
2024-12-24,550.0,550.0,550.0,550.0,0
2024-12-27,550.0,550.0,550.0,550.0,0
2024-12-30,550.0,550.0,550.0,550.0,0
2025-01-02,550.0,550.0,550.0,550.0,0
2025-01-03,550.0,550.0,550.0,550.0,0
2025-01-06,550.0,550.0,550.0,550.0,0
2025-01-07,550.0,550.0,550.0,550.0,0
2025-01-08,550.0,550.0,550.0,550.0,0
2025-01-09,550.0,550.0,550.0,550.0,0
2025-01-10,550.0,550.0,550.0,550.0,1000
2025-01-13,550.0,550.0,550.0,550.0,0
2025-01-14,550.0,550.0,550.0,550.0,0
2025-01-15,550.0,550.0,550.0,550.0,0
2025-01-16,550.0,550.0,550.0,550.0,0
