date,open,high,low,close,volume
2024-04-16,494.0,500.0,474.0,500.0,4943000
2024-04-17,500.0,515.0,476.0,478.0,4052900
2024-04-18,480.0,488.0,458.0,474.0,3665500
2024-04-19,474.0,476.0,452.0,454.0,4555400
2024-04-22,456.0,470.0,446.0,470.0,1640600
2024-04-23,470.0,496.0,470.0,494.0,3169600
2024-04-24,496.0,500.0,484.0,494.0,2893000
2024-04-25,494.0,496.0,484.0,490.0,1945900
2024-04-26,492.0,496.0,472.0,474.0,4716000
2024-04-29,478.0,482.0,470.0,478.0,1714800
2024-04-30,478.0,515.0,474.0,484.0,12534000
2024-05-02,486.0,510.0,486.0,492.0,5971400
2024-05-03,494.0,500.0,486.0,492.0,4409500
2024-05-06,492.0,505.0,484.0,484.0,5644400
2024-05-07,486.0,496.0,486.0,490.0,3551100
2024-05-08,490.0,494.0,484.0,490.0,5272900
2024-05-13,490.0,500.0,490.0,492.0,6132700
2024-05-14,494.0,525.0,450.0,472.0,33280600
2024-05-15,472.0,480.0,472.0,474.0,3105900
2024-05-16,472.0,476.0,462.0,462.0,7559100
2024-05-17,462.0,482.0,460.0,470.0,8026500
2024-05-20,470.0,486.0,470.0,476.0,6495100
2024-05-21,478.0,482.0,468.0,468.0,7305100
2024-05-22,470.0,476.0,466.0,472.0,10180600
2024-05-27,460.0,460.0,432.0,442.0,9868300
2024-05-28,440.0,464.0,440.0,464.0,5617900
2024-05-29,464.0,482.0,464.0,472.0,9461400
2024-05-30,472.0,478.0,444.0,460.0,4870600
2024-05-31,460.0,466.0,456.0,460.0,2491400
2024-06-03,462.0,468.0,458.0,468.0,4750500
2024-06-04,468.0,470.0,466.0,468.0,5019100
2024-06-05,470.0,496.0,468.0,484.0,7197100
2024-06-06,484.0,520.0,484.0,520.0,17171600
2024-06-07,520.0,520.0,500.0,510.0,4246500
2024-06-10,510.0,510.0,484.0,492.0,3790400
2024-06-11,492.0,492.0,482.0,484.0,2787400
2024-06-12,482.0,505.0,482.0,505.0,7488000
2024-06-13,505.0,510.0,486.0,486.0,4103900
2024-06-14,486.0,498.0,476.0,486.0,4666400
2024-06-19,484.0,494.0,474.0,486.0,5781300
2024-06-20,488.0,505.0,480.0,505.0,6530300
2024-06-21,505.0,525.0,500.0,510.0,11438900
2024-06-24,515.0,535.0,515.0,525.0,8686500
2024-06-25,525.0,585.0,525.0,570.0,21993100
2024-06-26,575.0,580.0,535.0,560.0,6569800
2024-06-27,560.0,570.0,545.0,555.0,4323700
2024-06-28,560.0,570.0,555.0,560.0,4011100
2024-07-01,560.0,570.0,530.0,560.0,5407700
2024-07-02,565.0,570.0,555.0,555.0,2076300
2024-07-03,555.0,565.0,535.0,535.0,4052300
2024-07-04,535.0,555.0,530.0,545.0,2589800
2024-07-05,550.0,555.0,530.0,545.0,3422000
2024-07-08,545.0,555.0,535.0,555.0,2677500
2024-07-09,555.0,560.0,540.0,545.0,1194500
2024-07-10,545.0,555.0,545.0,550.0,997200
2024-07-11,555.0,555.0,540.0,550.0,1296500
2024-07-12,550.0,595.0,545.0,560.0,7030700
2024-07-15,565.0,570.0,535.0,555.0,3384300
2024-07-16,555.0,560.0,545.0,550.0,1946100
2024-07-17,550.0,610.0,550.0,610.0,17907500
2024-07-18,615.0,700.0,590.0,595.0,9069300
2024-07-19,595.0,595.0,580.0,595.0,9281000
2024-07-22,595.0,610.0,590.0,590.0,3869100
2024-07-23,595.0,605.0,585.0,590.0,2560400
2024-07-24,590.0,650.0,590.0,635.0,11042600
2024-07-25,635.0,645.0,600.0,605.0,7781100
2024-07-26,605.0,630.0,600.0,630.0,4293800
2024-07-29,630.0,670.0,625.0,655.0,6426400
2024-07-30,665.0,670.0,625.0,625.0,4712500
2024-07-31,625.0,630.0,610.0,615.0,4257600
2024-08-01,615.0,630.0,610.0,615.0,3114900
2024-08-02,615.0,645.0,615.0,635.0,5469800
2024-08-05,600.0,635.0,580.0,600.0,13656100
2024-08-06,600.0,620.0,595.0,605.0,2481900
2024-08-07,610.0,625.0,605.0,615.0,9402400
2024-08-08,615.0,625.0,605.0,610.0,5715500
2024-08-09,610.0,620.0,600.0,605.0,4255100
2024-08-12,605.0,665.0,605.0,665.0,19263800
2024-08-13,665.0,760.0,660.0,720.0,37615300
2024-08-14,720.0,725.0,675.0,685.0,16356800
2024-08-15,690.0,710.0,665.0,675.0,13199800
2024-08-16,675.0,685.0,670.0,680.0,3875100
2024-08-19,680.0,685.0,670.0,670.0,3406600
2024-08-20,670.0,680.0,655.0,675.0,4347700
2024-08-21,675.0,685.0,660.0,670.0,4689500
2024-08-22,660.0,670.0,640.0,655.0,6749100
2024-08-23,655.0,675.0,640.0,655.0,7553000
2024-08-26,655.0,665.0,650.0,665.0,2532100
2024-08-27,665.0,670.0,655.0,655.0,2906500
2024-08-28,655.0,670.0,650.0,650.0,3629300
2024-08-29,655.0,655.0,635.0,635.0,6208800
2024-08-30,630.0,640.0,610.0,635.0,9289900
2024-09-02,640.0,650.0,635.0,640.0,5574500
2024-09-03,640.0,640.0,615.0,620.0,4400700
2024-09-04,610.0,620.0,590.0,620.0,6951300
2024-09-05,620.0,625.0,610.0,625.0,2838200
2024-09-06,625.0,635.0,610.0,610.0,2345800
2024-09-09,615.0,620.0,595.0,605.0,5869500
2024-09-10,605.0,630.0,605.0,620.0,2614400
2024-09-11,620.0,630.0,615.0,615.0,1719000
2024-09-12,615.0,645.0,615.0,635.0,4074700
2024-09-13,635.0,645.0,630.0,640.0,5158100
2024-09-17,640.0,655.0,620.0,630.0,6109800
2024-09-18,645.0,645.0,625.0,635.0,2748300
2024-09-19,630.0,645.0,630.0,640.0,2479600
2024-09-20,640.0,645.0,630.0,635.0,5805400
2024-09-23,630.0,635.0,620.0,625.0,2103000
2024-09-24,625.0,635.0,620.0,625.0,2117900
2024-09-25,630.0,640.0,625.0,640.0,2287900
2024-09-26,635.0,645.0,625.0,625.0,1643200
2024-09-27,625.0,630.0,605.0,615.0,3458000
2024-09-30,620.0,620.0,605.0,610.0,2157300
2024-10-01,615.0,615.0,600.0,605.0,2322600
2024-10-02,605.0,610.0,580.0,600.0,10827700
2024-10-03,605.0,605.0,590.0,600.0,2402000
2024-10-04,600.0,610.0,595.0,605.0,899700
2024-10-07,605.0,625.0,605.0,615.0,2018900
2024-10-08,615.0,615.0,605.0,615.0,1176300
2024-10-09,615.0,615.0,610.0,615.0,588200
2024-10-10,615.0,615.0,605.0,605.0,731900
2024-10-11,610.0,615.0,600.0,615.0,1241900
2024-10-14,620.0,625.0,610.0,615.0,597400
2024-10-15,615.0,635.0,615.0,630.0,3243700
2024-10-16,630.0,710.0,625.0,695.0,28038300
2024-10-17,690.0,730.0,680.0,690.0,16414000
2024-10-18,690.0,700.0,665.0,680.0,5929600
2024-10-21,690.0,715.0,680.0,690.0,4726500
2024-10-22,690.0,705.0,675.0,705.0,4702600
2024-10-23,705.0,710.0,680.0,700.0,4098800
2024-10-24,700.0,710.0,690.0,700.0,4081400
2024-10-25,700.0,710.0,695.0,705.0,940800
2024-10-28,710.0,860.0,705.0,830.0,43192600
2024-10-29,830.0,830.0,750.0,755.0,21305700
2024-10-30,755.0,780.0,735.0,775.0,9276500
2024-10-31,780.0,795.0,725.0,735.0,11485000
2024-11-01,735.0,755.0,725.0,740.0,4280700
2024-11-04,740.0,755.0,715.0,725.0,3684000
2024-11-05,725.0,735.0,715.0,720.0,1806700
2024-11-06,730.0,770.0,725.0,740.0,7831700
2024-11-07,745.0,760.0,725.0,740.0,2431700
2024-11-08,745.0,750.0,735.0,745.0,1551800
2024-11-11,745.0,745.0,705.0,715.0,4980500
2024-11-12,715.0,725.0,700.0,715.0,2159400
2024-11-13,715.0,735.0,710.0,710.0,2508700
2024-11-14,720.0,720.0,690.0,690.0,4107200
2024-11-15,690.0,705.0,680.0,700.0,2286300
2024-11-18,700.0,720.0,685.0,700.0,1709400
2024-11-19,700.0,700.0,690.0,690.0,1500100
2024-11-20,690.0,705.0,685.0,690.0,935800
2024-11-21,690.0,700.0,685.0,690.0,1658700
2024-11-22,690.0,690.0,685.0,685.0,682400
2024-11-25,685.0,740.0,685.0,725.0,4441900
2024-11-26,725.0,730.0,700.0,705.0,1772900
2024-11-28,705.0,710.0,690.0,700.0,1301400
2024-11-29,700.0,700.0,685.0,685.0,1710400
2024-12-02,695.0,695.0,650.0,655.0,5566800
2024-12-03,655.0,685.0,655.0,675.0,2238100
2024-12-04,685.0,705.0,665.0,700.0,5665800
2024-12-05,700.0,710.0,695.0,705.0,2071800
2024-12-06,705.0,710.0,700.0,705.0,1134000
2024-12-09,705.0,730.0,700.0,700.0,2867000
2024-12-10,700.0,710.0,695.0,705.0,1326800
2024-12-11,705.0,715.0,700.0,710.0,1965900
2024-12-12,715.0,720.0,710.0,710.0,2020800
2024-12-13,720.0,720.0,695.0,705.0,1441600
2024-12-16,705.0,710.0,675.0,690.0,2091900
2024-12-17,690.0,700.0,680.0,690.0,1257100
2024-12-18,690.0,690.0,680.0,685.0,580200
2024-12-19,680.0,685.0,670.0,685.0,1492900
2024-12-20,685.0,685.0,670.0,670.0,2226100
2024-12-23,670.0,680.0,660.0,665.0,2321500
2024-12-24,665.0,685.0,665.0,675.0,1512300
2024-12-27,675.0,690.0,670.0,680.0,3016200
2024-12-30,685.0,690.0,670.0,680.0,522400
2025-01-02,680.0,680.0,670.0,675.0,770700
2025-01-03,680.0,680.0,670.0,680.0,602600
2025-01-06,680.0,685.0,665.0,670.0,874800
2025-01-07,675.0,680.0,665.0,665.0,543800
2025-01-08,665.0,675.0,660.0,660.0,599100
2025-01-09,660.0,670.0,655.0,665.0,632200
2025-01-10,665.0,670.0,660.0,660.0,469700
2025-01-13,655.0,670.0,655.0,660.0,778600
2025-01-14,660.0,665.0,635.0,640.0,4566400
2025-01-15,645.0,645.0,610.0,630.0,4154300
2025-01-16,630.0,645.0,625.0,640.0,1199500
2025-01-17,650.0,650.0,630.0,635.0,537800
2025-01-20,635.0,640.0,625.0,630.0,565900
2025-01-21,630.0,635.0,610.0,620.0,1581700
2025-01-22,620.0,625.0,610.0,620.0,2217000
2025-01-23,620.0,625.0,610.0,610.0,1213700
2025-01-24,610.0,630.0,610.0,620.0,710000
2025-01-30,625.0,630.0,615.0,620.0,767000
2025-01-31,620.0,625.0,615.0,620.0,612700
2025-02-03,620.0,625.0,615.0,620.0,894700
2025-02-04,615.0,630.0,610.0,625.0,1287300
2025-02-05,625.0,625.0,595.0,610.0,5331100
2025-02-06,610.0,615.0,590.0,600.0,2841700
2025-02-07,600.0,600.0,580.0,585.0,3227600
2025-02-10,585.0,595.0,550.0,570.0,6950000
2025-02-11,565.0,595.0,565.0,590.0,896800
2025-02-12,590.0,610.0,585.0,605.0,600900
2025-02-13,605.0,610.0,595.0,600.0,407800
2025-02-14,600.0,615.0,595.0,605.0,785400
2025-02-17,605.0,610.0,590.0,600.0,912200
2025-02-18,605.0,605.0,570.0,605.0,2084100
2025-02-19,605.0,605.0,585.0,595.0,1876700
2025-02-20,595.0,595.0,585.0,585.0,382000
2025-02-21,585.0,600.0,580.0,590.0,727800
2025-02-24,590.0,590.0,580.0,585.0,310700
2025-02-25,585.0,585.0,570.0,575.0,1096600
2025-02-26,575.0,585.0,565.0,565.0,1047900
2025-02-27,565.0,580.0,545.0,545.0,4147900
2025-02-28,545.0,545.0,510.0,520.0,3756000
2025-03-03,520.0,570.0,510.0,555.0,1324900
2025-03-04,555.0,565.0,545.0,545.0,1647000
2025-03-05,545.0,565.0,545.0,550.0,541800
2025-03-06,550.0,575.0,550.0,560.0,843700
2025-03-07,560.0,570.0,555.0,560.0,721600
2025-03-10,565.0,585.0,555.0,570.0,456500
2025-03-11,570.0,570.0,555.0,565.0,1095400
2025-03-12,565.0,565.0,555.0,555.0,558500
2025-03-13,560.0,560.0,545.0,550.0,1389900
2025-03-14,550.0,550.0,535.0,535.0,1068800
2025-03-17,540.0,565.0,535.0,550.0,699200
2025-03-18,550.0,555.0,525.0,535.0,3652400
2025-03-19,540.0,540.0,530.0,535.0,678700
2025-03-20,540.0,570.0,525.0,545.0,2751600
2025-03-21,545.0,545.0,525.0,530.0,1540600
2025-03-24,530.0,530.0,478.0,510.0,3216200
2025-03-25,510.0,530.0,505.0,525.0,1080900
2025-03-26,565.0,600.0,555.0,580.0,6752600
2025-03-27,580.0,585.0,560.0,570.0,1740200
2025-04-08,515.0,545.0,500.0,535.0,4044600
2025-04-09,530.0,550.0,520.0,530.0,2865900
2025-04-10,550.0,565.0,545.0,565.0,2806300
2025-04-11,560.0,565.0,545.0,560.0,573100
2025-04-14,570.0,595.0,570.0,585.0,1323900
2025-04-15,585.0,595.0,580.0,590.0,898500
2025-04-16,590.0,600.0,575.0,585.0,1364900
2025-04-17,585.0,595.0,575.0,595.0,727900
2025-04-21,590.0,600.0,585.0,600.0,1286200
2025-04-22,600.0,625.0,600.0,610.0,3233400
2025-04-23,615.0,655.0,615.0,640.0,5110100
2025-04-24,650.0,650.0,615.0,615.0,2076900
2025-04-25,620.0,645.0,620.0,635.0,1363800
2025-04-28,640.0,655.0,640.0,645.0,2091000
2025-04-29,650.0,665.0,645.0,650.0,1730400
2025-04-30,670.0,750.0,670.0,680.0,12370300
2025-05-02,680.0,700.0,680.0,690.0,1809900
2025-05-05,690.0,705.0,680.0,680.0,1841600
2025-05-06,680.0,700.0,670.0,680.0,1960400
2025-05-07,685.0,700.0,680.0,700.0,3464700
2025-05-08,705.0,705.0,680.0,695.0,2351100
2025-05-09,695.0,725.0,690.0,720.0,2174400
2025-05-14,720.0,745.0,720.0,745.0,4644800
2025-05-15,745.0,800.0,745.0,770.0,34543100
2025-05-16,780.0,785.0,760.0,770.0,8687200
2025-05-19,775.0,780.0,765.0,770.0,5454200
2025-05-20,770.0,780.0,765.0,765.0,7432900
2025-05-21,770.0,775.0,765.0,770.0,6520600
2025-05-22,770.0,775.0,765.0,770.0,8687000
2025-05-23,770.0,790.0,765.0,790.0,13282400
2025-05-26,715.0,720.0,690.0,695.0,10723900
2025-05-27,695.0,710.0,685.0,700.0,3018200
2025-05-28,700.0,705.0,685.0,685.0,2297400
2025-06-02,685.0,690.0,655.0,675.0,4198000
2025-06-03,665.0,675.0,655.0,675.0,3319300
2025-06-04,680.0,690.0,670.0,680.0,1592800
2025-06-05,680.0,685.0,670.0,675.0,1183400
2025-06-10,675.0,685.0,670.0,675.0,1585500
