date,open,high,low,close,volume
2024-04-16,220.0,220.0,220.0,220.0,51700
2024-04-17,216.0,216.0,216.0,216.0,421300
2024-04-18,214.0,214.0,214.0,214.0,329400
2024-04-19,214.0,214.0,210.0,210.0,461200
2024-04-22,210.0,214.0,210.0,214.0,139000
2024-04-23,214.0,214.0,214.0,214.0,42100
2024-04-24,214.0,214.0,214.0,214.0,22500
2024-04-25,214.0,214.0,214.0,214.0,184500
2024-04-26,214.0,214.0,212.0,212.0,162400
2024-04-29,212.0,212.0,212.0,212.0,49600
2024-04-30,212.0,212.0,210.0,212.0,296200
2024-05-02,210.0,210.0,208.0,208.0,492200
2024-05-03,202.0,202.0,202.0,202.0,1008900
2024-05-06,202.0,202.0,202.0,202.0,225100
2024-05-07,200.0,202.0,200.0,202.0,379500
2024-05-08,202.0,204.0,202.0,204.0,90100
2024-05-13,204.0,204.0,204.0,204.0,54200
2024-05-14,204.0,204.0,202.0,202.0,190600
2024-05-15,204.0,204.0,204.0,204.0,156100
2024-05-16,204.0,204.0,204.0,204.0,353300
2024-05-17,204.0,204.0,204.0,204.0,183500
2024-05-20,204.0,206.0,204.0,206.0,68300
2024-05-21,206.0,206.0,204.0,204.0,18800
2024-05-22,206.0,206.0,206.0,206.0,71800
2024-05-27,206.0,206.0,206.0,206.0,99200
2024-05-28,206.0,206.0,206.0,206.0,56100
2024-05-29,206.0,206.0,204.0,206.0,67200
2024-05-30,206.0,206.0,206.0,206.0,20300
2024-05-31,206.0,206.0,204.0,204.0,133900
2024-06-03,204.0,204.0,202.0,202.0,83300
2024-06-04,202.0,204.0,202.0,204.0,202400
2024-06-05,204.0,204.0,204.0,204.0,284500
2024-06-06,208.0,208.0,206.0,208.0,493400
2024-06-07,208.0,210.0,208.0,210.0,126100
2024-06-10,210.0,210.0,210.0,210.0,722900
2024-06-11,210.0,210.0,210.0,210.0,200000
2024-06-12,202.0,202.0,202.0,202.0,321500
2024-06-13,202.0,202.0,202.0,202.0,146600
