date,open,high,low,close,volume
2024-04-16,840.0,845.0,805.0,815.0,105425400
2024-04-17,815.0,815.0,790.0,800.0,68201400
2024-04-18,800.0,825.0,795.0,805.0,65182300
2024-04-19,795.0,800.0,775.0,800.0,34001500
2024-04-22,795.0,805.0,770.0,780.0,38734400
2024-04-23,785.0,810.0,775.0,800.0,32325100
2024-04-24,800.0,820.0,800.0,800.0,42701900
2024-04-25,805.0,820.0,790.0,815.0,26594900
2024-04-26,820.0,820.0,790.0,795.0,26089800
2024-04-29,805.0,815.0,795.0,805.0,29862600
2024-04-30,800.0,815.0,795.0,805.0,49607900
2024-05-02,805.0,805.0,790.0,790.0,24390700
2024-05-03,790.0,805.0,785.0,800.0,37954100
2024-05-06,795.0,800.0,790.0,800.0,27470200
2024-05-07,795.0,800.0,785.0,795.0,23766800
2024-05-08,795.0,795.0,780.0,795.0,35672400
2024-05-13,795.0,795.0,765.0,780.0,70191400
2024-05-14,780.0,785.0,765.0,780.0,52568500
2024-05-15,750.0,750.0,685.0,750.0,252892800
2024-05-16,750.0,795.0,745.0,760.0,73247100
2024-05-17,760.0,765.0,735.0,760.0,62230200
2024-05-20,760.0,770.0,740.0,765.0,42168800
2024-05-21,760.0,765.0,740.0,745.0,41959500
2024-05-22,740.0,765.0,725.0,765.0,86727200
2024-05-27,750.0,760.0,705.0,710.0,200954000
2024-05-28,710.0,730.0,710.0,725.0,51106100
2024-05-29,715.0,725.0,695.0,715.0,138925100
2024-05-30,720.0,735.0,710.0,720.0,55636300
2024-05-31,720.0,735.0,690.0,690.0,1945968000
2024-06-03,690.0,705.0,660.0,690.0,327045000
2024-06-04,690.0,720.0,690.0,715.0,217257500
2024-06-05,715.0,720.0,700.0,705.0,107291100
2024-06-06,710.0,730.0,710.0,725.0,72253600
2024-06-07,725.0,725.0,710.0,725.0,56738200
2024-06-10,725.0,725.0,710.0,720.0,42882600
2024-06-11,710.0,715.0,700.0,710.0,119825300
2024-06-12,705.0,710.0,695.0,695.0,81887300
2024-06-13,700.0,700.0,675.0,690.0,69993200
2024-06-14,690.0,690.0,660.0,675.0,78056500
2024-06-19,675.0,685.0,665.0,680.0,52169000
2024-06-20,680.0,685.0,670.0,680.0,55750300
2024-06-21,680.0,700.0,675.0,700.0,73926300
2024-06-24,705.0,705.0,675.0,675.0,42948700
2024-06-25,680.0,685.0,670.0,685.0,36949900
2024-06-26,685.0,685.0,670.0,685.0,24178300
2024-06-27,685.0,720.0,685.0,715.0,50764300
2024-06-28,715.0,735.0,710.0,735.0,79488300
2024-07-01,735.0,735.0,720.0,730.0,25415300
2024-07-02,730.0,735.0,720.0,730.0,39343500
2024-07-03,730.0,750.0,720.0,745.0,59870500
2024-07-04,745.0,755.0,730.0,745.0,33425500
2024-07-05,735.0,735.0,720.0,735.0,27335400
2024-07-08,740.0,755.0,725.0,750.0,62509400
2024-07-09,750.0,785.0,745.0,785.0,92467600
2024-07-10,785.0,785.0,765.0,780.0,42658100
2024-07-11,785.0,795.0,770.0,785.0,49344400
2024-07-12,790.0,810.0,780.0,810.0,92135200
2024-07-15,815.0,815.0,790.0,800.0,35384700
2024-07-16,800.0,805.0,790.0,790.0,29957600
2024-07-17,790.0,810.0,785.0,795.0,29924800
2024-07-18,800.0,800.0,780.0,795.0,31316800
2024-07-19,795.0,795.0,760.0,780.0,44518900
2024-07-22,785.0,790.0,775.0,780.0,11819400
2024-07-23,775.0,800.0,775.0,795.0,62450300
2024-07-24,795.0,800.0,775.0,785.0,17662700
2024-07-25,785.0,795.0,770.0,790.0,23131000
2024-07-26,800.0,800.0,780.0,790.0,17126400
2024-07-29,785.0,795.0,785.0,785.0,15598100
2024-07-30,790.0,790.0,775.0,785.0,17564800
2024-07-31,795.0,795.0,780.0,795.0,42075900
2024-08-01,800.0,825.0,790.0,820.0,119754600
2024-08-02,815.0,850.0,805.0,835.0,117259500
2024-08-05,825.0,825.0,775.0,800.0,131326000
2024-08-06,805.0,825.0,800.0,815.0,72891200
2024-08-07,815.0,830.0,815.0,825.0,22287500
2024-08-08,820.0,835.0,810.0,825.0,48354100
2024-08-09,825.0,835.0,820.0,835.0,33330800
2024-08-12,835.0,835.0,810.0,820.0,26340600
2024-08-13,820.0,835.0,815.0,835.0,43795100
2024-08-14,835.0,840.0,825.0,840.0,37869200
2024-08-15,840.0,845.0,820.0,825.0,29716600
2024-08-16,830.0,835.0,810.0,815.0,38134800
2024-08-19,810.0,815.0,790.0,800.0,74155500
2024-08-20,805.0,810.0,795.0,810.0,23343800
2024-08-21,820.0,820.0,805.0,815.0,18986300
2024-08-22,805.0,810.0,790.0,805.0,30676000
