date,open,high,low,close,volume
2024-04-16,885.0,895.0,855.0,860.0,3753200
2024-04-17,860.0,870.0,850.0,860.0,891100
2024-04-18,865.0,865.0,845.0,850.0,1379000
2024-04-19,850.0,850.0,815.0,835.0,1121500
2024-04-22,835.0,835.0,800.0,800.0,2830400
2024-04-23,810.0,815.0,765.0,785.0,4747200
2024-04-24,790.0,795.0,765.0,765.0,2437500
2024-04-25,770.0,790.0,760.0,780.0,998100
2024-04-26,780.0,790.0,755.0,775.0,2005200
2024-04-29,775.0,780.0,760.0,765.0,1097500
2024-04-30,765.0,785.0,765.0,780.0,1214900
2024-05-02,785.0,800.0,765.0,770.0,3441400
2024-05-03,770.0,775.0,755.0,760.0,1299900
2024-05-06,770.0,770.0,755.0,765.0,1472900
2024-05-07,760.0,765.0,740.0,750.0,6652600
2024-05-08,755.0,770.0,745.0,760.0,2269700
2024-05-13,765.0,795.0,750.0,785.0,3298300
2024-05-14,785.0,835.0,775.0,825.0,4085100
2024-05-15,825.0,850.0,820.0,845.0,1795900
2024-05-16,855.0,855.0,795.0,810.0,3106100
2024-05-17,815.0,835.0,810.0,830.0,479200
2024-05-20,830.0,845.0,820.0,840.0,735900
2024-05-21,835.0,840.0,820.0,830.0,736700
2024-05-22,835.0,850.0,825.0,840.0,1085600
2024-05-27,840.0,860.0,840.0,850.0,1921800
2024-05-28,860.0,860.0,815.0,850.0,2027300
2024-05-29,850.0,860.0,835.0,845.0,599500
2024-05-30,850.0,875.0,835.0,865.0,2222100
2024-05-31,875.0,875.0,860.0,860.0,923300
2024-06-03,860.0,870.0,855.0,865.0,932100
2024-06-04,865.0,875.0,850.0,855.0,1760800
2024-06-05,845.0,865.0,845.0,860.0,700800
2024-06-06,860.0,875.0,845.0,860.0,1737700
2024-06-07,860.0,875.0,860.0,870.0,1767100
2024-06-10,870.0,885.0,860.0,885.0,912700
2024-06-11,885.0,885.0,865.0,865.0,440500
2024-06-12,865.0,870.0,860.0,865.0,582000
