date,open,high,low,close,volume
2024-04-16,1850.0,1850.0,1735.0,1800.0,6506800
2024-04-17,1795.0,1875.0,1770.0,1855.0,4853400
2024-04-18,1845.0,1895.0,1830.0,1860.0,2246300
2024-04-19,1860.0,1870.0,1785.0,1865.0,3121100
2024-04-22,1865.0,1880.0,1825.0,1855.0,1401100
2024-04-23,1860.0,1865.0,1820.0,1820.0,292700
2024-04-24,1830.0,1900.0,1830.0,1880.0,1269700
2024-04-25,1880.0,1930.0,1860.0,1900.0,3181400
2024-04-26,1905.0,1920.0,1830.0,1830.0,1108700
2024-04-29,1830.0,1890.0,1830.0,1875.0,1027000
2024-04-30,1875.0,1920.0,1850.0,1860.0,2848800
2024-05-02,1860.0,1895.0,1855.0,1885.0,2248100
2024-05-03,1885.0,2050.0,1870.0,1970.0,5991300
2024-05-06,1935.0,2060.0,1935.0,2020.0,4430800
2024-05-07,2070.0,2070.0,1950.0,1975.0,2130500
2024-05-08,1975.0,1975.0,1895.0,1900.0,2245300
2024-05-13,1900.0,1920.0,1840.0,1855.0,2485300
2024-05-14,1860.0,1945.0,1855.0,1885.0,1298300
2024-05-15,1945.0,2050.0,1910.0,1950.0,12674000
2024-05-16,1950.0,1955.0,1865.0,1880.0,11302500
2024-05-17,1880.0,1910.0,1855.0,1855.0,7903700
2024-05-20,1860.0,1895.0,1850.0,1865.0,4598200
2024-05-21,1870.0,1890.0,1855.0,1880.0,5449100
2024-05-22,1875.0,1930.0,1865.0,1930.0,8360300
2024-05-27,1925.0,1930.0,1850.0,1855.0,7118700
2024-05-28,1860.0,1875.0,1855.0,1860.0,3375000
2024-05-29,1860.0,1870.0,1825.0,1825.0,5878500
2024-05-30,1820.0,1860.0,1770.0,1820.0,6888400
2024-05-31,1825.0,1885.0,1785.0,1785.0,48928400
2024-06-03,1800.0,1810.0,1740.0,1740.0,3794900
2024-06-04,1750.0,1765.0,1680.0,1700.0,4472800
2024-06-05,1700.0,1780.0,1690.0,1725.0,4288300
2024-06-06,1725.0,1855.0,1725.0,1840.0,6728900
2024-06-07,1840.0,1885.0,1815.0,1865.0,10786300
2024-06-10,1870.0,1885.0,1835.0,1870.0,4073900
2024-06-11,1865.0,1870.0,1835.0,1870.0,4460200
2024-06-12,1870.0,1870.0,1790.0,1800.0,2075100
2024-06-13,1815.0,1815.0,1795.0,1800.0,315500
2024-06-14,1805.0,1825.0,1795.0,1800.0,1028200
2024-06-19,1800.0,1810.0,1750.0,1795.0,1274500
2024-06-20,1800.0,1825.0,1790.0,1795.0,1631000
2024-06-21,1795.0,1870.0,1790.0,1870.0,5873500
2024-06-24,1870.0,1880.0,1840.0,1850.0,3755700
2024-06-25,1855.0,1855.0,1835.0,1835.0,1007800
2024-06-26,1835.0,1850.0,1830.0,1845.0,780400
2024-06-27,1835.0,1855.0,1835.0,1845.0,607000
2024-06-28,1845.0,1850.0,1795.0,1850.0,1064900
2024-07-01,1845.0,1845.0,1805.0,1810.0,1215300
2024-07-02,1820.0,1830.0,1780.0,1800.0,2119800
2024-07-03,1805.0,1810.0,1785.0,1810.0,1105600
2024-07-04,1810.0,1820.0,1785.0,1810.0,586700
2024-07-05,1810.0,1845.0,1810.0,1825.0,1208600
2024-07-08,1825.0,1850.0,1810.0,1850.0,5304200
2024-07-09,1850.0,1855.0,1840.0,1850.0,436300
2024-07-10,1850.0,1875.0,1840.0,1870.0,1988300
2024-07-11,1870.0,1880.0,1855.0,1865.0,709800
2024-07-12,1875.0,1880.0,1860.0,1875.0,1264000
2024-07-15,1875.0,1920.0,1840.0,1860.0,1570500
2024-07-16,1860.0,1875.0,1860.0,1860.0,230100
2024-07-17,1860.0,1885.0,1850.0,1875.0,832500
2024-07-18,1875.0,1920.0,1875.0,1910.0,1347100
2024-07-19,1910.0,1960.0,1900.0,1900.0,1794200
2024-07-22,1900.0,1925.0,1885.0,1925.0,988900
2024-07-23,1925.0,1930.0,1870.0,1880.0,1183800
2024-07-24,1880.0,1915.0,1870.0,1900.0,1272400
2024-07-25,1905.0,1910.0,1875.0,1900.0,520300
2024-07-26,1900.0,1920.0,1900.0,1915.0,560500
2024-07-29,1915.0,1965.0,1915.0,1955.0,720900
2024-07-30,1955.0,1975.0,1940.0,1945.0,1526500
2024-07-31,1965.0,1970.0,1930.0,1970.0,1139800
2024-08-01,1970.0,1980.0,1930.0,1935.0,841800
2024-08-02,1935.0,1945.0,1910.0,1925.0,1427600
2024-08-05,1920.0,1930.0,1860.0,1875.0,2321300
2024-08-06,1875.0,1895.0,1855.0,1885.0,387200
2024-08-07,1885.0,1910.0,1870.0,1890.0,835200
2024-08-08,1900.0,1905.0,1880.0,1900.0,343000
2024-08-09,1910.0,1910.0,1875.0,1880.0,471800
2024-08-12,1880.0,1905.0,1855.0,1900.0,1306800
2024-08-13,1910.0,1910.0,1855.0,1870.0,1074000
2024-08-14,1875.0,1880.0,1830.0,1845.0,3495700
2024-08-15,1865.0,1865.0,1810.0,1820.0,2263600
2024-08-16,1820.0,1840.0,1810.0,1815.0,1700600
2024-08-19,1815.0,1840.0,1785.0,1800.0,7097500
2024-08-20,1800.0,1835.0,1790.0,1815.0,2647300
2024-08-21,1815.0,1835.0,1790.0,1795.0,4391600
2024-08-22,1795.0,1835.0,1775.0,1815.0,4191600
2024-08-23,1825.0,1835.0,1810.0,1825.0,1577100
2024-08-26,1820.0,1840.0,1800.0,1810.0,2330000
2024-08-27,1810.0,1815.0,1795.0,1800.0,11281400
2024-08-28,1800.0,1830.0,1800.0,1830.0,1783800
2024-08-29,1830.0,1835.0,1800.0,1815.0,1820600
2024-08-30,1815.0,1860.0,1805.0,1860.0,3212200
2024-09-02,1860.0,1860.0,1820.0,1825.0,1439200
2024-09-03,1825.0,1835.0,1810.0,1815.0,523500
2024-09-04,1810.0,1825.0,1795.0,1820.0,517900
2024-09-05,1820.0,1830.0,1800.0,1815.0,2608900
2024-09-06,1820.0,1825.0,1805.0,1815.0,972100
2024-09-09,1815.0,1820.0,1790.0,1790.0,3241000
2024-09-10,1795.0,1815.0,1795.0,1805.0,729900
2024-09-11,1805.0,1815.0,1795.0,1805.0,951500
2024-09-12,1805.0,1810.0,1800.0,1810.0,755800
2024-09-13,1805.0,1815.0,1800.0,1805.0,1580500
2024-09-17,1810.0,1840.0,1805.0,1835.0,2054200
