date,open,high,low,close,volume
2024-04-16,20.0,20.0,20.0,20.0,294900
2024-04-17,18.0,18.0,18.0,18.0,254400
2024-04-18,17.0,17.0,17.0,17.0,120700
2024-04-19,16.0,16.0,16.0,16.0,20200
2024-04-22,15.0,15.0,15.0,15.0,19200
2024-04-23,14.0,14.0,14.0,14.0,1079200
2024-04-24,13.0,13.0,13.0,13.0,383900
2024-04-25,12.0,12.0,12.0,12.0,116100
2024-04-26,11.0,11.0,11.0,11.0,267100
2024-04-29,10.0,10.0,10.0,10.0,1540000
2024-04-30,9.0,9.0,9.0,9.0,13160800
2024-05-02,8.0,8.0,8.0,8.0,3089800
2024-05-03,7.0,7.0,7.0,7.0,1786300
2024-05-06,6.0,6.0,6.0,6.0,4643900
2024-05-07,6.0,6.0,6.0,6.0,5328100
2024-05-08,6.0,6.0,6.0,6.0,3184700
2024-05-13,6.0,6.0,5.0,6.0,4509900
2024-05-14,5.0,6.0,5.0,6.0,2264700
2024-05-15,6.0,6.0,6.0,6.0,2837400
2024-05-16,6.0,7.0,6.0,7.0,1719200
2024-05-17,7.0,7.0,7.0,7.0,5241000
2024-05-20,7.0,7.0,7.0,7.0,443400
2024-05-21,7.0,7.0,6.0,7.0,840800
2024-05-22,7.0,7.0,6.0,6.0,422300
2024-05-27,6.0,6.0,6.0,6.0,1897900
2024-05-28,6.0,6.0,6.0,6.0,737600
2024-05-29,6.0,6.0,5.0,6.0,1564100
2024-05-30,6.0,6.0,6.0,6.0,529800
2024-05-31,5.0,6.0,5.0,6.0,3981500
2024-06-03,6.0,6.0,5.0,6.0,142800
2024-06-04,6.0,6.0,5.0,6.0,569900
2024-06-05,6.0,6.0,5.0,5.0,279400
2024-06-06,5.0,5.0,4.0,5.0,1103100
2024-06-07,5.0,5.0,5.0,5.0,524100
2024-06-10,5.0,6.0,5.0,6.0,1406200
2024-06-11,6.0,6.0,6.0,6.0,1286900
2024-06-12,5.0,6.0,5.0,6.0,854300
2024-06-13,5.0,5.0,5.0,5.0,3126700
2024-06-14,4.0,5.0,4.0,5.0,569300
2024-06-19,4.0,5.0,4.0,5.0,663800
2024-06-20,5.0,5.0,4.0,5.0,2304600
2024-06-21,5.0,5.0,5.0,5.0,4580300
2024-06-24,5.0,6.0,5.0,6.0,302100
2024-06-25,6.0,6.0,6.0,6.0,1891800
2024-06-26,6.0,6.0,6.0,6.0,321300
2024-06-27,5.0,6.0,5.0,6.0,148000
2024-06-28,6.0,6.0,6.0,6.0,162900
2024-07-01,6.0,6.0,6.0,6.0,114300
2024-07-02,6.0,6.0,6.0,6.0,0
2024-07-03,6.0,6.0,6.0,6.0,0
2024-07-04,6.0,6.0,6.0,6.0,0
2024-07-05,6.0,6.0,6.0,6.0,0
2024-07-08,6.0,6.0,6.0,6.0,0
2024-07-09,6.0,6.0,6.0,6.0,0
2024-07-10,6.0,6.0,6.0,6.0,0
2024-07-11,6.0,6.0,6.0,6.0,0
2024-07-12,6.0,6.0,6.0,6.0,0
2024-07-15,6.0,6.0,6.0,6.0,0
2024-07-16,6.0,6.0,6.0,6.0,0
2024-07-17,6.0,6.0,6.0,6.0,0
2024-07-18,6.0,6.0,6.0,6.0,0
2024-07-19,6.0,6.0,6.0,6.0,0
2024-07-22,6.0,6.0,6.0,6.0,0
2024-07-23,6.0,6.0,6.0,6.0,0
2024-07-24,6.0,6.0,6.0,6.0,0
2024-07-25,6.0,6.0,6.0,6.0,0
2024-07-26,6.0,6.0,6.0,6.0,0
2024-07-29,6.0,6.0,6.0,6.0,0
2024-07-30,6.0,6.0,6.0,6.0,0
2024-07-31,6.0,6.0,6.0,6.0,0
2024-08-01,6.0,6.0,6.0,6.0,0
2024-08-02,6.0,6.0,6.0,6.0,0
2024-08-05,6.0,6.0,6.0,6.0,0
2024-08-06,6.0,6.0,6.0,6.0,0
2024-08-07,6.0,6.0,6.0,6.0,0
2024-08-08,6.0,6.0,6.0,6.0,0
2024-08-09,6.0,6.0,6.0,6.0,0
2024-08-12,6.0,6.0,6.0,6.0,0
2024-08-13,6.0,6.0,6.0,6.0,0
2024-08-14,6.0,6.0,6.0,6.0,0
2024-08-15,6.0,6.0,6.0,6.0,0
2024-08-16,6.0,6.0,6.0,6.0,0
2024-08-19,6.0,6.0,6.0,6.0,0
2024-08-20,6.0,6.0,6.0,6.0,0
2024-08-21,6.0,6.0,6.0,6.0,0
2024-08-22,6.0,6.0,6.0,6.0,0
2024-08-23,6.0,6.0,6.0,6.0,0
2024-08-26,6.0,6.0,6.0,6.0,0
2024-08-27,6.0,6.0,6.0,6.0,0
2024-08-28,6.0,6.0,6.0,6.0,0
2024-08-29,6.0,6.0,6.0,6.0,0
2024-08-30,6.0,6.0,6.0,6.0,0
2024-09-02,6.0,6.0,6.0,6.0,0
2024-09-03,6.0,6.0,6.0,6.0,0
2024-09-04,6.0,6.0,6.0,6.0,0
2024-09-05,6.0,6.0,6.0,6.0,0
2024-09-06,6.0,6.0,6.0,6.0,0
2024-09-09,6.0,6.0,6.0,6.0,0
2024-09-10,6.0,6.0,6.0,6.0,0
2024-09-11,6.0,6.0,6.0,6.0,0
2024-09-12,6.0,6.0,6.0,6.0,0
2024-09-13,6.0,6.0,6.0,6.0,0
2024-09-17,6.0,6.0,6.0,6.0,0
2024-09-18,6.0,6.0,6.0,6.0,0
2024-09-19,6.0,6.0,6.0,6.0,0
2024-09-20,6.0,6.0,6.0,6.0,0
2024-09-23,6.0,6.0,6.0,6.0,0
2024-09-24,6.0,6.0,6.0,6.0,0
2024-09-25,6.0,6.0,6.0,6.0,0
2024-09-26,6.0,6.0,6.0,6.0,0
2024-09-27,6.0,6.0,6.0,6.0,0
2024-09-30,6.0,6.0,6.0,6.0,0
2024-10-01,6.0,6.0,6.0,6.0,0
2024-10-02,6.0,6.0,6.0,6.0,0
2024-10-03,6.0,6.0,6.0,6.0,0
2024-10-04,6.0,6.0,6.0,6.0,0
2024-10-07,6.0,6.0,6.0,6.0,0
2024-10-08,6.0,6.0,6.0,6.0,0
2024-10-09,6.0,6.0,6.0,6.0,0
2024-10-10,6.0,6.0,6.0,6.0,0
2024-10-11,6.0,6.0,6.0,6.0,0
2024-10-14,6.0,6.0,6.0,6.0,0
2024-10-15,6.0,6.0,6.0,6.0,0
2024-10-16,6.0,6.0,6.0,6.0,0
2024-10-17,6.0,6.0,6.0,6.0,0
2024-10-18,6.0,6.0,6.0,6.0,0
2024-10-21,6.0,6.0,6.0,6.0,0
2024-10-22,6.0,6.0,6.0,6.0,0
2024-10-23,6.0,6.0,6.0,6.0,0
2024-10-24,6.0,6.0,6.0,6.0,0
2024-10-25,6.0,6.0,6.0,6.0,0
2024-10-28,6.0,6.0,6.0,6.0,0
2024-10-29,6.0,6.0,6.0,6.0,0
2024-10-30,6.0,6.0,6.0,6.0,0
2024-10-31,6.0,6.0,6.0,6.0,0
2024-11-01,6.0,6.0,6.0,6.0,0
2024-11-04,6.0,6.0,6.0,6.0,0
2024-11-05,6.0,6.0,6.0,6.0,0
2024-11-06,6.0,6.0,6.0,6.0,0
2024-11-07,6.0,6.0,6.0,6.0,0
