date,open,high,low,close,volume
2024-04-16,88.0,88.0,87.0,88.0,280800
2024-04-17,85.0,90.0,85.0,89.0,178900
2024-04-18,80.0,90.0,80.0,88.0,7700
2024-04-19,86.0,88.0,86.0,86.0,74800
2024-04-22,86.0,90.0,86.0,90.0,26400
2024-04-23,88.0,93.0,88.0,90.0,1766200
2024-04-24,95.0,95.0,90.0,90.0,119200
2024-04-25,90.0,95.0,90.0,94.0,98100
2024-04-26,96.0,97.0,89.0,93.0,127400
2024-04-29,94.0,94.0,90.0,93.0,1700
2024-04-30,95.0,95.0,88.0,93.0,136500
2024-05-02,89.0,91.0,88.0,88.0,45000
2024-05-03,88.0,88.0,86.0,87.0,563200
2024-05-06,86.0,88.0,85.0,85.0,706800
2024-05-07,86.0,87.0,86.0,87.0,6800
2024-05-08,88.0,88.0,85.0,87.0,39800
2024-05-13,86.0,88.0,85.0,88.0,310100
2024-05-14,88.0,90.0,87.0,90.0,453700
2024-05-15,90.0,93.0,87.0,92.0,277400
2024-05-16,91.0,91.0,89.0,89.0,26600
2024-05-17,87.0,88.0,87.0,87.0,175300
2024-05-20,88.0,88.0,87.0,88.0,15600
2024-05-21,88.0,89.0,88.0,88.0,9500
2024-05-22,88.0,89.0,88.0,88.0,108200
2024-05-27,88.0,105.0,85.0,88.0,2461300
2024-05-28,90.0,98.0,88.0,90.0,1361500
2024-05-29,91.0,95.0,88.0,95.0,1989700
2024-05-30,94.0,95.0,89.0,89.0,863900
2024-05-31,89.0,90.0,88.0,89.0,29100
2024-06-03,90.0,91.0,89.0,90.0,47700
2024-06-04,91.0,93.0,88.0,88.0,77600
2024-06-05,90.0,90.0,88.0,88.0,68600
2024-06-06,88.0,90.0,88.0,89.0,76100
2024-06-07,89.0,89.0,87.0,87.0,1065100
2024-06-10,87.0,87.0,84.0,86.0,1212200
2024-06-11,87.0,87.0,86.0,86.0,51100
2024-06-12,85.0,86.0,85.0,86.0,55600
2024-06-13,86.0,87.0,85.0,87.0,146300
2024-06-14,86.0,90.0,86.0,86.0,228000
2024-06-19,88.0,88.0,85.0,85.0,116300
2024-06-20,86.0,86.0,86.0,86.0,2200
2024-06-21,85.0,86.0,85.0,86.0,13500
