date,open,high,low,close,volume
2024-04-16,78.0,78.0,73.0,76.0,7368900
2024-04-17,76.0,78.0,74.0,78.0,2245400
2024-04-18,78.0,79.0,76.0,78.0,4261800
2024-04-19,78.0,78.0,74.0,75.0,2998500
2024-04-22,75.0,79.0,74.0,75.0,5375500
2024-04-23,75.0,78.0,75.0,76.0,2509300
2024-04-24,76.0,77.0,74.0,74.0,4689300
2024-04-25,75.0,75.0,73.0,75.0,2136000
2024-04-26,75.0,76.0,73.0,74.0,8556900
2024-04-29,73.0,74.0,73.0,74.0,696600
2024-04-30,66.0,76.0,66.0,71.0,9777600
2024-05-02,72.0,72.0,65.0,66.0,15111200
2024-05-03,67.0,68.0,65.0,68.0,2928500
2024-05-06,66.0,69.0,64.0,65.0,6206500
2024-05-07,65.0,68.0,65.0,67.0,4205600
2024-05-08,67.0,68.0,65.0,66.0,4759900
2024-05-13,66.0,67.0,65.0,66.0,1398200
2024-05-14,66.0,67.0,64.0,67.0,5040300
2024-05-15,67.0,68.0,65.0,67.0,7814400
2024-05-16,68.0,68.0,66.0,67.0,1947500
2024-05-17,67.0,70.0,67.0,70.0,3927400
2024-05-20,69.0,71.0,69.0,71.0,5570000
2024-05-21,70.0,70.0,68.0,70.0,5234300
2024-05-22,70.0,70.0,68.0,69.0,2067500
2024-05-27,69.0,69.0,66.0,68.0,7527500
2024-05-28,68.0,71.0,67.0,69.0,6986200
2024-05-29,69.0,69.0,66.0,67.0,4050700
2024-05-30,67.0,68.0,66.0,67.0,3533300
2024-05-31,66.0,67.0,65.0,66.0,7883300
2024-06-03,66.0,67.0,65.0,67.0,1162000
2024-06-04,67.0,67.0,64.0,66.0,4235900
2024-06-05,66.0,66.0,64.0,65.0,3617900
2024-06-06,64.0,67.0,64.0,66.0,2749000
2024-06-07,64.0,67.0,64.0,66.0,1801400
2024-06-10,65.0,66.0,64.0,65.0,1570200
2024-06-11,65.0,66.0,64.0,65.0,1574000
2024-06-12,65.0,66.0,63.0,64.0,1573300
2024-06-13,63.0,64.0,59.0,60.0,7613000
2024-06-14,50.0,61.0,50.0,58.0,9274100
2024-06-19,58.0,58.0,50.0,52.0,22618400
2024-06-20,52.0,57.0,51.0,55.0,4781700
2024-06-21,55.0,57.0,54.0,55.0,3097800
2024-06-24,55.0,57.0,54.0,55.0,2353800
2024-06-25,55.0,56.0,54.0,56.0,1876000
2024-06-26,56.0,60.0,55.0,57.0,3393200
2024-06-27,57.0,58.0,56.0,57.0,755900
2024-06-28,57.0,59.0,56.0,58.0,1223800
2024-07-01,58.0,62.0,57.0,61.0,7501900
2024-07-02,61.0,69.0,61.0,67.0,16592000
2024-07-03,67.0,72.0,66.0,68.0,50785000
2024-07-04,68.0,69.0,63.0,66.0,16639800
2024-07-05,66.0,68.0,65.0,65.0,2878000
2024-07-08,65.0,79.0,64.0,74.0,99129400
2024-07-09,75.0,76.0,68.0,69.0,47307400
2024-07-10,69.0,71.0,67.0,69.0,8474800
2024-07-11,69.0,71.0,66.0,68.0,6641800
2024-07-12,67.0,72.0,67.0,71.0,16704200
2024-07-15,71.0,72.0,69.0,69.0,16927700
2024-07-16,69.0,70.0,68.0,68.0,2056700
2024-07-17,69.0,72.0,68.0,70.0,7488000
2024-07-18,70.0,71.0,70.0,71.0,6858500
2024-07-19,71.0,71.0,69.0,70.0,3404100
2024-07-22,70.0,70.0,69.0,70.0,4088600
2024-07-23,70.0,70.0,68.0,68.0,3515200
2024-07-24,68.0,69.0,65.0,65.0,7976800
2024-07-25,65.0,68.0,64.0,66.0,6682700
2024-07-26,67.0,69.0,66.0,66.0,10416800
2024-07-29,67.0,67.0,66.0,67.0,1470900
2024-07-30,67.0,67.0,65.0,66.0,2821600
2024-07-31,66.0,67.0,65.0,65.0,2953500
2024-08-01,65.0,69.0,65.0,66.0,9753100
2024-08-02,66.0,67.0,65.0,67.0,2863700
2024-08-05,67.0,67.0,64.0,64.0,9655900
2024-08-06,64.0,66.0,63.0,66.0,4731400
2024-08-07,66.0,66.0,64.0,65.0,1721200
2024-08-08,66.0,66.0,64.0,64.0,5286800
2024-08-09,64.0,67.0,64.0,65.0,16405800
2024-08-12,66.0,66.0,64.0,65.0,1249400
2024-08-13,65.0,84.0,65.0,82.0,238241600
2024-08-14,85.0,88.0,78.0,83.0,220077600
2024-08-15,84.0,95.0,79.0,83.0,365781200
2024-08-16,83.0,85.0,80.0,82.0,40340900
2024-08-19,82.0,86.0,81.0,81.0,40139700
2024-08-20,81.0,83.0,80.0,81.0,15100400
2024-08-21,81.0,84.0,80.0,81.0,16655100
2024-08-22,81.0,82.0,80.0,80.0,13874500
2024-08-23,81.0,85.0,80.0,83.0,34460500
2024-08-26,84.0,84.0,81.0,83.0,26189700
2024-08-27,83.0,84.0,81.0,81.0,6362500
2024-08-28,81.0,82.0,80.0,80.0,11241200
2024-08-29,80.0,82.0,78.0,80.0,8965600
2024-08-30,81.0,84.0,80.0,82.0,18474300
2024-09-02,82.0,93.0,82.0,89.0,216678400
2024-09-03,90.0,91.0,86.0,87.0,45190000
2024-09-04,87.0,88.0,85.0,86.0,12591000
2024-09-05,86.0,88.0,83.0,87.0,16216300
2024-09-06,87.0,88.0,85.0,86.0,8873700
2024-09-09,85.0,87.0,85.0,85.0,7947400
2024-09-10,86.0,92.0,85.0,88.0,36117100
2024-09-11,88.0,89.0,83.0,83.0,32470100
2024-09-12,83.0,85.0,83.0,83.0,13887500
2024-09-13,83.0,86.0,83.0,84.0,10736100
2024-09-17,85.0,85.0,83.0,83.0,10234200
2024-09-18,83.0,84.0,82.0,84.0,4200300
2024-09-19,84.0,86.0,83.0,84.0,4611700
2024-09-20,84.0,85.0,83.0,83.0,5170700
2024-09-23,84.0,84.0,82.0,83.0,6289600
2024-09-24,83.0,85.0,82.0,83.0,21578600
2024-09-25,83.0,84.0,82.0,83.0,9833600
2024-09-26,83.0,83.0,82.0,83.0,6541000
2024-09-27,82.0,84.0,82.0,84.0,1963600
2024-09-30,83.0,86.0,82.0,86.0,13228100
2024-10-01,85.0,86.0,83.0,83.0,9459200
2024-10-02,84.0,84.0,82.0,82.0,7009300
2024-10-03,82.0,83.0,81.0,82.0,6576600
2024-10-04,83.0,83.0,79.0,81.0,12907900
2024-10-07,81.0,81.0,78.0,78.0,15239500
2024-10-08,79.0,79.0,75.0,78.0,11739700
2024-10-09,78.0,84.0,78.0,82.0,24608300
2024-10-10,82.0,83.0,80.0,80.0,9123200
2024-10-11,80.0,83.0,80.0,81.0,3985000
2024-10-14,81.0,82.0,80.0,81.0,1174200
2024-10-15,81.0,84.0,81.0,83.0,7757700
2024-10-16,83.0,85.0,82.0,83.0,33816700
2024-10-17,84.0,85.0,82.0,83.0,19419900
2024-10-18,83.0,85.0,83.0,85.0,16984300
2024-10-21,85.0,86.0,84.0,85.0,10067400
2024-10-22,85.0,86.0,83.0,83.0,6283300
2024-10-23,83.0,86.0,83.0,84.0,6749300
2024-10-24,85.0,86.0,84.0,84.0,16898600
2024-10-25,84.0,86.0,83.0,83.0,9684200
2024-10-28,83.0,84.0,82.0,82.0,11148900
2024-10-29,82.0,84.0,82.0,82.0,18246800
2024-10-30,83.0,85.0,81.0,84.0,20404300
2024-10-31,84.0,85.0,81.0,82.0,13305800
2024-11-01,82.0,84.0,81.0,83.0,10638100
2024-11-04,83.0,83.0,80.0,81.0,7258100
2024-11-05,80.0,82.0,77.0,79.0,10635700
2024-11-06,79.0,79.0,78.0,78.0,11800500
2024-11-07,78.0,78.0,76.0,78.0,4082400
2024-11-08,78.0,79.0,76.0,76.0,4803900
2024-11-11,76.0,77.0,69.0,74.0,23712500
2024-11-12,75.0,78.0,72.0,77.0,9311000
2024-11-13,77.0,78.0,75.0,77.0,4174600
2024-11-14,77.0,77.0,74.0,75.0,6212500
2024-11-15,74.0,76.0,73.0,75.0,3504900
2024-11-18,75.0,76.0,74.0,75.0,2220000
2024-11-19,75.0,78.0,73.0,75.0,8103100
2024-11-20,76.0,80.0,75.0,75.0,23222900
2024-11-21,75.0,76.0,75.0,75.0,1989300
2024-11-22,75.0,78.0,74.0,76.0,5751400
2024-11-25,76.0,76.0,75.0,75.0,1822900
2024-11-26,75.0,76.0,72.0,75.0,5210100
2024-11-28,75.0,76.0,74.0,74.0,1643600
2024-11-29,74.0,75.0,73.0,73.0,1647900
2024-12-02,74.0,74.0,71.0,71.0,2616200
2024-12-03,71.0,73.0,71.0,71.0,2017200
2024-12-04,71.0,75.0,70.0,72.0,6257500
2024-12-05,73.0,73.0,69.0,70.0,5965600
2024-12-06,70.0,72.0,69.0,71.0,952100
2024-12-09,71.0,71.0,69.0,71.0,3598100
2024-12-10,70.0,71.0,70.0,71.0,3029400
2024-12-11,71.0,73.0,70.0,71.0,4317800
2024-12-12,71.0,72.0,70.0,70.0,1167100
2024-12-13,70.0,71.0,69.0,69.0,1674700
2024-12-16,70.0,70.0,67.0,67.0,2366400
2024-12-17,67.0,67.0,65.0,65.0,5294400
2024-12-18,65.0,68.0,65.0,65.0,5090400
2024-12-19,65.0,65.0,60.0,63.0,4358400
2024-12-20,63.0,63.0,62.0,62.0,1345200
2024-12-23,62.0,64.0,61.0,62.0,2336600
2024-12-24,62.0,63.0,61.0,62.0,2248100
2024-12-27,62.0,64.0,62.0,62.0,637600
2024-12-30,63.0,64.0,62.0,64.0,247100
